SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15062372,44.493,44,117.634,117,58.6,54,29.889,28,313.24574,306,33.352,27,45.952,35,296.59286,303,50.72,65,32.063,16,100.17,359,53.104,28,19.403,26,84.833,94,84.286,84,6.514,7,205.085,318,94.295,96,34.112,35,101.96208,83,65.595,75,36.377,44,171.32512,117,48.773,54
15061583,43.56,44,116.323,117,57.104,54,36.999,39,317.57909,308,40.677,54,50.585,48,318.66814,315,45.82,59,28.972,26,160.585,342,44.999,50,8.167,6,71.325,71,90.824,92,5.604,7,238.987,318,94.981,96,33.378,18,114.23896,90,71.599,84,41.759,44,124.03521,117,52.621,54
15061767,47.413,59,117.533,106,60.151,69,23,20,310.94791,307,30.144,26,44.618,35,306.84802,303,50.993,65,18.635,11,243.453,328,37.368,30,17.626,26,84.15,94,86.466,84,7.041,4,237.031,41,93.405,94,34.397,25,114.47681,28,67.828,45,42.306,44,134.5025,117,52.133,54
15062130,47.381,59,114.841,106,60.149,69,41.173,47,313.61769,352,34.716,36,45.12,41,317.66508,320,54.127,48,33.038,35,114.5,16,46.726,40,11.36,6,80.729,71,88.174,92,7.515,7,224.102,318,93.162,96,32.341,35,101.7478,83,62.285,75,38.025,44,163.822,117,48.234,54
15061637,46.254,59,116.153,106,59.879,69,25.857,20,311.56377,307,31.984,26,44.371,58,311.8003,322,54.809,43,33.491,35,83.531,83,52.007,75,19.549,18,89.066,90,84.708,84,5.634,7,216.749,318,94.369,96,35.407,33,94.22707,10,62.569,43,40.601,38,120.72656,132,52.946,53
15061337,45.218,44,116.628,117,58.978,54,25.231,26,309.50708,314,32.171,33,49.151,57,320.43525,317,42.437,49,25.005,28,88.626,345,35.817,30,15.746,18,84.747,90,86.178,84,6.209,7,198.207,318,94.068,96,34.937,35,120.07738,22,72.164,80,33.877,44,175.55049,117,46.573,54
15062104,45.397,45,117.962,128,59.333,58,26.116,20,311.31152,307,29.553,26,48.37,58,318.40596,312,42.802,33,15.252,36,243.298,83,32.804,79,20.249,18,87.712,90,85.187,84,6.354,4,185.2,41,93.917,94,38.109,32,98.19184,5,74.063,42,33.04,44,206.64003,117,43.348,54
15061579,44.896,45,115.875,115,59.529,72,34.243,26,309.73029,314,38.298,33,50.99,58,321.49453,322,44.444,43,33.351,16,123.189,3,61.491,30,15.372,6,86.926,71,86.013,92,7.224,4,160.957,41,93.663,94,30.515,42,174.98514,96,54.459,80,26.804,16,275.61888,359,36.788,28
15061932,44.361,45,117.258,128,58.871,58,42.179,45,320.39987,330,46.625,52,46.981,46,319.90917,323,56.338,57,39.956,42,74.977,96,68.242,80,12.088,6,81.352,71,87.529,92,6.65,4,187.003,41,93.814,94,34.005,28,43.39799,84,54.584,41,45.361,44,111.42304,117,54.328,54
15061603,44.897,48,115.929,118,59.343,66,25.156,28,309.32297,306,31.005,27,51.707,39,321.50087,319,45.574,42,17.536,8,179.752,313,34.896,29,8.871,3,69.426,32,89.86,92,5.864,7,183.854,318,94.205,96,37.335,42,110.09124,96,73.331,80,22.277,44,284.28993,117,34.715,54
15060025,46.213,48,116.159,118,59.872,66,26.133,20,311.84392,307,32.116,26,44.071,45,312.31059,305,55.175,52,33.42,47,82.069,85,51.697,76,19.416,5,89.072,52,84.762,94,5.628,7,217,318,94.366,95,35.369,19,92.6903,5,63.484,27,40.423,44,121.50169,117,52.722,54
15061704,46.221,75,116.142,107,59.868,76,25.883,28,311.71085,306,32.003,27,44.664,37,311.98904,293,54.862,61,33.467,19,82.144,5,51.889,27,19.496,6,89.031,71,84.666,92,5.628,4,216.786,41,94.369,94,35.478,47,92.30825,85,63.338,76,40.572,44,121.14136,117,52.787,54
15061334,46.34,48,116.53,118,59.164,66,35.193,49,313.62324,320,37.208,54,48.771,57,315.92234,327,47.702,45,25.028,32,142.926,14,40.866,38,13.005,26,85.434,94,87.246,84,8.162,7,207.945,318,92.524,96,35.923,47,108.80857,85,69.035,76,34.024,44,174.01095,117,47.76,54
15061631,40.421,48,117.446,118,58.604,66,25.004,28,310.7483,306,29.163,27,49.85,58,319.65648,322,46.181,43,17.546,11,223.915,318,33.6,28,31.669,6,92.182,71,82.674,92,6.635,4,280.371,41,94.25,94,36.865,47,66.9439,85,72.536,76,23.648,16,269.17836,359,36.18,28
15060964,44.545,38,116.759,132,58.489,53,37.678,40,315.05096,309,37.769,43,54.733,39,317.37044,321,44.256,36,29.889,16,93.988,359,44.948,28,19.178,32,87.117,84,85.252,81,6.669,7,248.598,318,94.672,96,35.815,47,108.16108,85,66,76,41.658,44,159.06881,117,49.146,54
15061778,45.351,44,117.492,117,59.113,54,32.609,58,294.47595,322,41.241,43,52.394,58,324.4358,322,45.473,43,20.178,11,222.923,318,40.608,28,15.809,42,84.628,96,86.58,80,11.496,7,184.806,318,87.224,96,35.202,41,94.6513,86,69.146,80,28.084,16,246.26316,359,39.642,28
15061718,43.206,44,117.745,128,58.643,54,28.985,26,315.72863,307,33.34,33,56.503,40,322.06524,305,43.188,59,20.047,11,198.397,318,37.114,28,17.041,6,85.114,71,85.487,92,5.839,7,195.293,318,95.32,96,36.401,36,88.17484,83,75.061,79,35.625,21,166.98646,132,49.953,49
15061486,46.123,44,117.101,117,60.067,54,32.502,26,316.44263,314,36.215,33,43.942,45,322.3723,310,39.826,58,26.028,8,145.798,313,54.285,29,9.696,6,77.399,88,90.072,92,5.177,7,223.299,318,94.559,96,32.469,35,159.35841,86,61.495,80,30.214,44,228.68567,117,42.445,54
15060214,45.708,44,117.561,117,59.69,54,37.412,53,314.5001,315,40.989,62,36.179,39,278.83618,321,67.281,36,36.443,47,82.246,85,59.123,76,15.786,6,84.504,71,86.699,92,6.068,7,212.057,318,94.078,95,33.522,37,71.7071,12,59.454,41,48.695,44,130.98634,117,53.196,54
15061333,45.55,44,116.809,117,59.705,54,31.157,28,314.45832,306,34.457,27,48.796,45,318.27937,305,41.554,52,28.905,8,129.544,313,47.579,29,16.537,18,83.763,90,87.06,84,6.416,7,217.978,318,94.283,96,33.645,36,124.74015,96,64.708,30,39.633,44,199.27269,117,45.26,54
15061962,44.414,44,117.345,117,58.875,54,42.251,55,320.40922,328,46.54,52,46.64,49,319.5925,320,56.137,54,39.9,35,77.215,83,68.215,75,12.065,6,81.661,71,87.574,92,6.665,4,187.142,41,93.823,94,34.045,29,44.70057,17,54.506,50,45.372,44,111.92073,117,54.358,54
15061624,45.089,44,115.885,117,59.387,54,24.792,55,309.52585,329,30.81,36,49.59,40,317.8912,308,46.92,38,18.015,39,176.348,17,34.534,43,8.82,6,69.362,71,89.759,92,5.919,4,184.772,41,94.295,94,37.227,42,108.81534,96,73.752,80,22.751,44,275.92979,117,35.734,54
15061282,43.62,32,116.345,112,57.114,58,37.042,28,317.67202,306,40.657,27,50.795,58,319.00372,322,45.898,43,28.803,26,164.865,342,44.956,50,7.112,6,70.768,71,91.114,92,5.61,7,239.913,318,94.925,96,33.448,6,116.372,71,71.999,92,41.778,44,122.77992,117,52.827,54
15061529,46.063,48,115.584,118,59.668,66,25.357,26,310.45619,314,31.374,33,15.603,6,129.44378,71,76.56,92,21.479,11,174.011,328,43.581,30,16.17,18,82.927,90,87.194,84,6.563,7,228.826,318,94.175,96,34.376,39,96.92522,86,65.009,80,36.829,44,142.03486,117,50.403,54
15061935,44.398,59,117.275,106,58.886,69,42.09,57,320.71273,347,46.755,54,46.98,55,319.78712,329,55.886,36,39.85,37,74.578,18,68.143,42,12.057,6,81.379,71,87.588,92,6.657,4,187.56,41,93.803,94,34.013,41,44.07175,86,54.514,80,45.317,44,111.47771,117,54.289,54
15061568,44.73,44,116.098,117,59.438,54,36.199,49,316.30636,320,36.117,54,52.775,58,318.21651,322,45.108,43,28.093,42,103.842,96,40.464,80,10.815,18,86.075,90,87.42,84,6.277,4,207.192,41,93.567,94,35.099,37,98.32903,18,68.894,42,37.622,44,178.52333,117,46.818,54
15061491,45.433,59,117.428,106,59.123,69,32.279,58,294.45013,336,41.012,48,52.474,58,323.77782,322,45.394,43,20.424,11,222.614,328,40.713,30,15.814,18,84.676,90,86.56,84,11.498,7,185.956,318,87.228,95,35.254,41,93.82878,86,69.192,80,28.163,16,245.42823,359,39.82,28
15061318,45.015,44,117.566,117,59.283,54,28.082,20,314.06643,307,32.296,26,45.865,55,320.25363,329,42.905,36,26.48,11,119.574,328,41.954,30,10.769,6,76.789,71,87.908,92,7.111,4,216.187,41,93.466,94,34.689,41,122.9604,41,69.893,82,31.047,44,204.28947,117,44.05,54
15061361,45.223,44,116.619,117,58.974,54,25.142,20,309.27298,307,32.012,26,49.096,58,321.11876,322,42.391,43,24.989,28,89.673,21,35.726,34,15.839,18,84.611,90,86.187,84,6.211,7,198.18,318,94.083,96,34.991,41,120.37675,90,72.151,75,33.902,44,175.90804,117,46.524,54
15061515,44.609,32,119.099,112,59.013,58,23.497,26,308.67751,314,31.934,33,12.339,6,101.53149,71,85.676,92,28.63,29,110.536,17,47.181,35,20.61,18,88.733,90,85.316,84,6.061,7,186.925,318,94.755,96,34.425,31,91.47454,53,72.733,73,41.058,19,139.70854,134,51.831,45
15062123,46.292,44,116.361,117,60.396,54,27.915,20,309.91019,307,31.252,26,49.879,45,315.89334,310,48.445,58,36.772,35,80.433,83,63.498,75,18.798,6,87.122,71,85.035,92,5.584,4,231.085,41,94.367,94,34.842,37,50.49839,18,55.891,42,45.27,44,117.25675,117,54.034,54
15061358,46.256,38,116.108,132,59.876,53,26.073,28,311.56524,306,32.07,27,44.595,40,311.52589,314,54.841,48,33.511,41,83.198,86,52.037,80,19.527,18,89.332,90,84.732,84,5.614,7,216.892,318,94.378,96,35.387,36,92.48073,346,62.84,42,40.564,44,122.0122,117,52.865,54
15061428,48.571,48,116.049,118,60.454,66,52.033,58,332.10977,336,43.064,48,51.147,49,321.42634,320,47.883,54,33.6,32,51.326,14,47.081,38,20.558,18,89.922,90,84.319,84,6.968,4,224.386,41,94.327,94,38.164,42,77.43797,96,71.447,80,42.4,44,124.01365,117,53.403,54
15061496,44.1,44,117.371,117,59.12,54,21.962,26,309.60847,314,28.886,33,50.122,58,315.29458,312,41.665,33,26.489,28,115.311,22,34.389,39,16.501,6,87.928,71,85.302,92,5.738,7,286.148,318,95.783,96,35.993,41,80.72389,86,69.981,80,23.926,16,263.29919,359,36.883,28
15061648,45.485,48,116.52,118,59.113,66,47.092,20,324.12819,307,38.735,26,50.765,58,325.13936,322,49.404,43,29.32,11,45.839,318,37.681,28,20.974,18,88.436,90,84.782,84,8.703,7,249.308,318,92.34,96,35.645,37,92.9419,74,75.648,74,36.897,38,160.97384,132,49.868,53
15061808,38.959,48,116.588,118,56.101,66,45.094,47,323.54691,352,41.69,36,41.965,46,306.79686,323,59.021,57,39.238,32,97.948,84,72.814,81,9.488,10,73.625,96,90.54,88,7.397,4,148.289,41,94.539,94,33.855,29,36.95011,17,55.226,50,38.403,44,137.61195,117,51.718,54
15061600,44.901,44,119.141,117,59.136,54,34.362,43,321.29087,319,40.291,61,46.709,40,317.88969,326,51.889,63,28.156,29,104.575,17,36.899,35,10.815,18,76.844,90,89.023,84,5.007,7,159.921,318,94.485,96,37.408,32,93.55193,84,73.751,81,37.625,44,153.55903,117,50.452,54
15061730,45.056,28,117.822,115,58.853,50,32.373,39,309.64065,319,40.751,42,47.12,45,319.38862,305,49.497,52,27.332,19,80.96,5,49.064,27,19.374,18,84.026,90,85.541,84,5.973,7,227.788,318,94.755,96,33.553,41,107.76175,86,62.56,80,17.729,16,329.52001,359,30.334,28
15061623,46.245,48,116.127,118,59.873,66,25.945,20,311.61864,307,32.047,26,44.324,40,311.11176,308,55.191,38,33.67,32,81.767,25,52.097,42,19.548,6,89.209,71,84.695,92,5.628,7,217.545,318,94.375,96,35.348,42,93.75067,96,62.84,80,40.561,44,121.4205,117,52.874,54
15061405,43.602,28,116.295,115,57.162,50,37.188,20,317.58189,307,40.571,26,51.488,45,321.0647,310,45.517,58,28.857,36,163.84,346,44.628,42,7.196,6,70.833,71,90.93,92,5.608,4,240.032,41,94.903,94,33.443,35,114.00776,17,72.475,75,41.911,44,123.72481,117,52.775,54
15061299,43.606,44,116.308,117,57.146,54,37.236,40,317.24853,309,40.749,43,51.493,43,321.04017,319,45.452,61,28.985,33,160.964,10,45.012,43,7.283,6,71,71,90.975,92,5.547,7,236.907,318,94.901,96,33.426,26,113.89264,80,72.439,82,41.882,44,122.50335,117,52.794,54
15061578,45.372,44,118.015,117,59.369,54,26.31,55,311.4972,329,29.566,36,47.879,43,318.14913,319,42.802,61,15.211,16,241.455,3,32.917,30,20.435,6,87.637,71,85.144,92,6.382,4,185.972,41,93.914,94,38.085,36,99.05409,83,74.322,79,32.95,16,207.97598,359,43.241,28
15061476,44.983,50,117.287,115,59.261,71,29.664,26,315.91551,314,36.699,33,37.114,42,298.96079,312,58.027,49,25.573,22,89.853,344,39.867,27,12.975,6,77.041,71,88.236,92,8.395,4,229.105,41,92.656,94,34.942,42,104.52493,96,68.591,80,31.533,16,220.44635,359,41.056,28
15061765,46.067,48,115.585,118,59.672,66,25.522,20,310.29508,307,31.537,26,16.307,6,132.21771,71,76.518,92,21.486,11,173.131,318,43.496,28,16.255,18,83.692,90,87.107,84,6.576,4,229.396,41,94.121,94,34.383,42,95.15379,86,65.039,84,36.94,44,141.13291,117,50.472,54
15062111,43.883,38,117.489,132,59.091,53,33.14,20,315.94213,307,36.41,26,52.544,58,326.09697,322,45.735,43,25.213,33,97.438,349,35.15,62,21.215,26,89.562,94,84.261,84,7.585,7,214.336,318,91.21,96,34.783,36,108.45155,86,69.308,43,33.308,16,175.25257,359,47.214,28
15061397,45.003,38,115.838,132,59.357,53,24.911,42,309.32093,304,30.892,58,51.104,6,320.53552,71,45.839,92,17.783,26,179.493,342,35.128,50,8.825,26,69.343,94,89.875,84,5.867,7,183.184,318,94.246,96,37.338,37,109.64389,74,73.1,74,22.501,44,282.66174,117,34.91,54
15061713,46.259,28,116.133,115,59.879,50,25.979,20,311.57737,307,32.062,26,44.436,36,311.51023,309,55.118,66,33.548,47,81.879,85,51.995,76,19.612,24,89.282,85,84.655,84,5.627,4,216.794,41,94.372,94,35.455,22,92.10682,83,62.863,30,40.642,44,120.39078,117,52.93,54
15061584,41.789,48,118.367,118,58.057,66,37.761,57,310.18601,327,42.525,45,34.147,58,258.07999,322,63.406,43,34.521,39,107.043,21,59.662,48,9.771,6,78.616,71,88.838,92,8.585,4,197.26,41,93.981,94,34.163,41,88.11288,86,71.11,80,34.94,44,190.39972,117,49.743,54
15061912,45.096,44,117.776,117,59.251,54,34.131,53,318.49327,341,39.378,44,50.859,46,313.54184,323,46.105,57,29.02,41,121.925,86,49.089,80,19.528,26,92.493,94,85.574,84,8.484,7,221.888,318,93.366,95,35.596,25,166.31288,28,70.169,45,38.958,44,186.94003,117,47.177,54
15061260,46.216,45,116.145,128,59.869,58,26.093,20,311.58279,307,32.13,26,44.627,46,312.16233,323,54.684,57,33.247,11,83.511,328,51.777,30,19.475,6,88.783,71,84.752,92,5.625,4,216.096,41,94.394,94,35.432,35,92.85454,83,62.992,75,40.5,44,121.74072,117,52.787,54
15062099,42.862,44,116.774,117,58.368,54,34.619,40,310.22553,308,34.819,38,51.962,57,318.43575,327,50.935,45,33.867,22,236.732,344,45.837,27,10.307,26,84.042,94,87.861,84,6.024,4,190.039,41,94.506,94,32.729,24,92.77598,85,70.772,80,40.022,44,148.27833,117,51.088,54
15061350,45.426,45,116.326,128,59.439,58,42.951,58,316.23271,336,39.135,48,49.272,40,317.79234,326,52.515,63,33.286,37,64.762,18,44.035,42,15.006,35,82.046,93,86.919,82,6.571,4,177.018,41,93.308,94,35.324,35,97.81636,83,70.355,75,38.559,44,164.36728,117,49.765,54
15060933,47.74,48,116.123,118,59.595,66,48.661,59,325.64141,350,38.301,47,40.739,58,315.30592,312,55,43,33.834,39,63,17,44.438,43,14.837,5,152.857,52,88.475,94,7.968,7,254.046,318,93.793,96,35.242,32,114.96062,84,67.91,81,41.506,44,151.29934,117,50.616,54
15061548,47.087,44,116.384,117,60.05,54,39.888,57,312.81668,327,38.747,45,39.104,55,302.06876,329,59.447,36,31.086,29,106.115,7,56.142,30,10.516,26,81.42,94,88.393,84,7.642,7,238.386,318,92.598,96,32.884,42,124.05,74,53.872,80,36.267,44,156.17571,117,49.355,54
15061348,45.248,45,116.57,128,59.034,58,25.03,20,309.19028,307,31.899,26,48.808,58,320.38384,322,42.654,43,24.84,29,90.397,7,35.666,30,15.791,18,85,90,86.159,84,6.232,7,198.721,318,94.051,96,34.995,37,120.82735,41,72.147,84,33.648,44,178.45105,117,46.303,54
