SAMPLES,c1_11920,c1_12152,c1_15218,c1_4464,c1_7964,c2_12720,c2_18549,c2_28212,c2_32056,c2_35049,c2_39191,c2_50324,c2_51390,c2_53521,c2_55279
15061583,0,4,1,3,2,1,4,0,2,2,3,4,4,2,2
15061767,2,4,1,4,1,1,4,0,3,3,4,4,2,2,2
15062130,1,4,1,2,3,3,4,0,4,3,4,4,3,1,2
15061637,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061337,1,4,1,2,3,2,4,0,4,3,4,4,3,2,1
15062104,1,4,3,3,2,1,4,0,4,4,4,4,2,2,0
15061579,1,4,2,2,3,3,4,0,4,3,4,4,2,3,1
15061932,2,3,2,3,3,2,4,1,4,3,4,2,2,3,1
15061603,1,4,1,3,3,1,4,0,4,4,4,3,4,2,0
15060025,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061704,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061334,0,4,2,1,3,2,4,0,4,4,3,3,2,1,0
15061631,1,4,0,4,2,3,4,0,4,4,3,1,3,2,0
15060964,1,4,2,1,2,4,4,0,4,4,4,3,3,2,0
15061778,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061718,1,4,3,4,2,4,4,0,4,4,3,2,3,1,2
15061486,1,4,1,3,3,4,4,0,4,4,3,2,3,2,1
15060214,2,4,0,3,3,2,4,0,3,4,4,2,1,1,2
15061333,1,4,0,3,1,1,4,0,4,4,3,3,2,3,3
15061962,2,3,2,3,3,2,4,1,4,3,4,2,2,3,1
15061624,1,4,1,3,3,1,4,0,4,4,4,3,4,2,0
15061282,0,4,1,3,2,1,4,0,2,2,3,4,4,2,2
15061529,1,3,0,4,2,2,4,0,3,3,3,2,2,3,0
15061935,2,3,2,3,3,2,4,1,4,3,4,2,2,3,1
15061568,0,4,1,2,3,2,4,0,4,3,4,4,2,2,1
15061491,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061318,1,3,1,2,4,2,4,0,3,4,4,4,4,2,1
15061361,1,4,1,2,3,2,4,0,4,3,4,4,3,2,1
15061515,2,3,0,4,3,1,2,1,2,3,2,3,2,3,0
15062123,0,4,1,3,2,1,4,0,NA,3,4,4,3,1,2
15061358,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061428,0,4,1,3,2,1,4,0,4,4,4,4,4,1,1
15061496,1,4,2,2,3,3,4,0,4,4,3,2,3,2,1
15061648,0,4,1,2,2,2,4,0,4,4,4,4,2,1,1
15061808,1,3,2,3,1,4,4,0,4,4,2,2,4,3,2
15061600,1,4,2,3,3,2,4,0,4,3,4,4,3,3,2
15061730,2,4,2,3,1,2,4,0,4,4,4,4,4,2,2
15061623,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061405,0,4,1,3,2,1,4,0,2,2,3,4,4,2,2
15061299,0,4,1,3,2,1,4,0,2,2,3,4,4,2,2
15061578,1,4,3,3,2,1,4,0,4,4,4,4,2,2,0
15061476,1,3,1,4,3,1,4,0,3,4,4,4,4,3,1
15061765,1,3,0,4,2,2,4,0,3,3,3,1,2,3,0
15062111,0,4,0,4,3,3,4,0,4,4,4,4,3,1,1
15061397,1,4,1,3,3,1,4,0,4,4,4,3,4,2,0
15061713,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061584,3,3,2,4,2,2,4,0,4,4,3,3,4,3,0
15061912,0,4,3,3,4,2,4,0,4,4,3,3,3,2,1
15061260,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15062099,0,3,1,4,3,1,4,0,4,4,4,3,2,3,2
15061350,1,4,1,3,2,2,4,0,4,3,4,4,3,3,1
15060933,1,3,1,3,1,3,4,0,4,4,4,3,3,2,1
15061548,3,4,0,3,2,3,4,0,3,4,4,4,4,2,1
15061348,1,4,1,2,3,2,4,0,4,3,4,4,3,2,1
15061560,2,3,1,3,2,2,4,0,2,4,2,2,2,1,1
15061544,1,4,1,3,3,1,4,0,4,4,4,3,4,3,0
15061449,1,4,3,4,2,4,4,0,4,4,3,2,3,1,2
15062348,0,4,1,3,2,1,4,0,4,4,4,4,4,1,1
15061916,1,4,1,2,3,2,4,0,4,3,4,4,3,2,1
15062138,1,4,1,3,3,2,4,0,3,4,4,NA,4,2,0
15061946,1,4,2,2,3,3,4,0,4,4,3,2,3,2,1
15061676,1,4,1,2,3,2,4,0,4,3,4,4,3,2,1
15060536,1,3,0,2,3,2,4,0,4,4,1,3,2,3,1
15061391,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061662,1,4,3,4,2,4,4,0,4,4,3,2,3,1,2
15061228,1,3,2,3,1,1,3,1,4,3,4,3,4,3,1
15061356,1,3,1,3,2,3,3,2,4,3,2,3,3,2,2
15061963,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061338,1,4,1,3,3,1,4,0,4,4,4,3,4,2,0
15062331,1,3,1,3,2,3,3,2,4,3,2,3,3,2,2
15062098,0,4,1,3,2,1,4,0,4,4,4,4,4,1,1
15062114,1,4,2,2,3,3,4,0,4,3,4,4,2,3,1
15062046,0,4,3,3,4,2,4,0,4,4,3,3,3,2,1
15062370,1,4,3,3,2,1,4,0,4,4,4,4,2,2,0
15061685,0,4,1,3,2,1,4,0,3,4,4,4,3,0,1
15061540,0,4,1,3,2,1,4,0,NA,3,4,4,3,1,2
15061721,0,4,2,1,4,4,4,0,4,4,4,2,2,2,1
15062074,2,4,1,4,1,2,4,0,4,3,4,4,2,2,3
15062362,1,4,1,2,3,2,4,0,4,3,4,4,3,2,1
15061689,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061357,1,4,3,3,2,1,4,0,4,4,4,4,2,2,0
15061376,0,4,1,3,2,1,4,0,4,4,4,4,4,1,1
15061308,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
