Prefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.502171216174401
CBaya,C,BA,CBaya.C,0.504112723016888
CBaya,C,BA,CBaya.C,0.457985148046271
CBaya,C,BA,CBaya.C,0.461333947916359
CBaya,C,BA,CBaya.C,0.416697262608633
CBaya,C,BA,CBaya.C,0.429532705166737
CBaya,C,BA,CBaya.C,0.438528955840554
CBaya,C,BA,CBaya.C,0.483606388205018
CBaya,C,BA,CBaya.C,0.457820908311307
CBaya,C,BA,CBaya.C,0.432154169461574
CBaya,C,BA,CBaya.C,0.453490305633303
CBaya,C,BA,CBaya.C,0.432309959469284
CBaya,C,BA,CBaya.C,0.417424409631654
CBaya,C,BA,CBaya.C,0.395117921042359
CBaya,C,BA,CBaya.C,0.449045064432572
CBaya,C,BA,CBaya.C,0.429162127990825
CBaya,C,BA,CBaya.C,0.37659515968684
CBaya,C,BA,CBaya.C,0.401127179626704
CBaya,C,BA,CBaya.C,0.418477385033732
CBaya,C,BA,CBaya.C,0.435482783882541
CBaya,C,BA,CBaya.C,0.445719283249789
CBaya,C,BA,CBaya.C,0.432430140784084
CBaya,C,BA,CBaya.C,0.399166157586779
CBaya,C,BA,CBaya.C,0.420681719707872
CBaya,C,BA,CBaya.C,0.429441168699388
CBaya,C,BA,CBaya.C,0.403775567276763
CBaya,C,BA,CBaya.C,0.429048975457294
CBaya,C,BA,CBaya.C,0.427648996183839
CBaya,C,BA,CBaya.C,0.42127787789073
CBaya,C,BA,CBaya.C,0.44821062699086
CBaya,C,BA,CBaya.C,0.45228493987077
CBaya,C,BA,CBaya.C,0.443985353690903
CBaya,C,BA,CBaya.C,0.431840173292587
CBaya,C,BA,CBaya.C,0.45720465690883
CBaya,C,BA,CBaya.C,0.44416496872092
CBaya,C,BA,CBaya.C,0.463301106229932
CBaya,C,BA,CBaya.C,0.426230485264001
CBaya,C,BA,CBaya.C,0.422245036702632
CBaya,C,BA,CBaya.C,0.415048992816721
CBaya,C,BA,CBaya.C,0.403980193614479
CBaya,C,BA,CBaya.C,0.372197125604713
CBaya,C,BA,CBaya.C,0.360024277371089
CBaya,C,BA,CBaya.C,0.405385348280883
CBaya,C,BA,CBaya.C,0.355460550882952
CBaya,C,BA,CBaya.C,0.372107131656977
CBaya,C,BA,CBaya.C,0.371042618896402
CBaya,C,BA,CBaya.C,0.371004973331602
CBaya,C,BA,CBaya.C,0.381791957838582
CBaya,C,BA,CBaya.C,0.369544958891757
CBaya,C,BA,CBaya.C,0.354845705244852
CBaya,C,BA,CBaya.C,0.388432102022867
CBaya,C,BA,CBaya.C,0.348000440012432
CBaya,C,BA,CBaya.C,0.419859691735485
CBaya,C,BA,CBaya.C,0.394886116774685
CBaya,C,BA,CBaya.C,0.429121357108237
CBaya,C,BA,CBaya.C,0.393271058563905
CBaya,C,BA,CBaya.C,0.407955455269691
CBaya,C,BA,CBaya.C,0.421678949803732
CBaya,C,BA,CBaya.C,0.397140728476679
CBaya,C,BA,CBaya.C,0.424197346034175
CBaya,C,BA,CBaya.C,0.403954402067142
CBaya,C,BA,CBaya.C,0.371874830905225
CBaya,C,BA,CBaya.C,0.406310006658324
CBaya,C,BA,CBaya.C,0.36308950449164
CBaya,C,BA,CBaya.C,0.352820574971266
CBaya,C,BA,CBaya.C,0.395917845524702
CBaya,C,BA,CBaya.C,0.366357781573691
CBaya,C,BA,CBaya.C,0.388515370563903
CBaya,C,BA,CBaya.C,0.40075628882194
CBaya,C,BA,CBaya.C,0.3772680436317
CBaya,C,BA,CBaya.C,0.387195337344578
CBaya,C,BA,CBaya.C,0.37429775371949
CBaya,C,BA,CBaya.C,0.387188068013994
CBaya,C,BA,CBaya.C,0.391971779906481
CBaya,C,BA,CBaya.C,0.35527616921683
CBaya,C,BA,CBaya.C,0.326343611872052
CBaya,C,BA,CBaya.C,0.338803564493261
CBaya,C,BA,CBaya.C,0.335978729513775
CBaya,C,BA,CBaya.C,0.337365301639969
CBaya,C,BA,CBaya.C,0.312708981680224
CBaya,C,BA,CBaya.C,0.321565217901759
CBaya,C,BA,CBaya.C,0.34392012145443
CBaya,C,BA,CBaya.C,0.351560908249293
CBaya,C,BA,CBaya.C,0.338200970518983
CBaya,C,BA,CBaya.C,0.340512801199271
CBaya,C,BA,CBaya.C,0.340963490920156
CBaya,C,BA,CBaya.C,0.367253687068778
CBaya,C,BA,CBaya.C,0.347624152761077
CBaya,C,BA,CBaya.C,0.326524121268082
CBaya,C,BA,CBaya.C,0.340425755241674
CBaya,C,BA,CBaya.C,0.352368059910389
CBaya,C,BA,CBaya.C,0.345828443415694
CBaya,C,BA,CBaya.C,0.334545206637187
CBaya,C,BA,CBaya.C,0.318876817972276
CBaya,C,BA,CBaya.C,0.357740031948666
CBaya,C,BA,CBaya.C,0.367487720482542
CBaya,C,BA,CBaya.C,0.328590993754296
CBaya,C,BA,CBaya.C,0.348375734547886
CBaya,C,BA,CBaya.C,0.331519196954773
CBaya,C,BA,CBaya.C,0.290906337117334
CBaya,C,BA,CBaya.C,0.330709677951917
CBaya,C,BA,CBaya.C,0.361497236266707
CBaya,C,BA,CBaya.C,0.338368604928621
CBaya,C,BA,CBaya.C,0.349708662964719
CBaya,C,BA,CBaya.C,0.340927543370374
CBaya,C,BA,CBaya.C,0.319118314326763
CBaya,C,BA,CBaya.C,0.321365138052498
CBaya,C,BA,CBaya.C,0.364484983803973
CBaya,C,BA,CBaya.C,0.343479492938215
CBaya,C,BA,CBaya.C,0.292476612898875
CBaya,C,BA,CBaya.C,0.30427043845072
CBaya,C,BA,CBaya.C,0.340650128966119
CBaya,C,BA,CBaya.C,0.306510738594628
CBaya,C,BA,CBaya.C,0.294522330848765
CBaya,C,BA,CBaya.C,0.289816867269731
CBaya,C,BA,CBaya.C,0.304813163915054
CBaya,C,BA,CBaya.C,0.298409331037509
CBaya,C,BA,CBaya.C,0.304957756026333
CBaya,C,BA,CBaya.C,0.284057377342681
CBaya,C,BA,CBaya.C,0.31215715688038
CBaya,C,BA,CBaya.C,0.297958054390073
CBaya,C,BA,CBaya.C,0.27244145118956
CBaya,C,BA,CBaya.C,0.274771803339477
CBaya,C,BA,CBaya.C,0.29980986424307
CBaya,C,BA,CBaya.C,0.290989862036405
CBaya,C,BA,CBaya.C,0.300579605604864
CBaya,C,BA,CBaya.C,0.244152563015097
CBaya,C,BA,CBaya.C,0.258096561920466
CBaya,C,BA,CBaya.C,0.253709809582585
CBaya,C,BA,CBaya.C,0.27098921452231
CBaya,C,BA,CBaya.C,0.275371258449612
CBaya,C,BA,CBaya.C,0.258022482173741
CBaya,C,BA,CBaya.C,0.251416862417278
CBaya,C,BA,CBaya.C,0.249019438618572
CBaya,C,BA,CBaya.C,0.24366544046202
CBaya,C,BA,CBaya.C,0.262544556094833
CBaya,C,BA,CBaya.C,0.243684186716896
CBaya,C,BA,CBaya.C,0.273017497079023
CBaya,C,BA,CBaya.C,0.267916245162918
CBaya,C,BA,CBaya.C,0.241118146868609
CBaya,C,BA,CBaya.C,0.252538151662101
CBaya,C,BA,CBaya.C,0.240536850470657
CBaya,C,BA,CBaya.C,0.26931891323666
CBaya,C,BA,CBaya.C,0.268743166694491
CBaya,C,BA,CBaya.C,0.245450680298653
CBaya,C,BA,CBaya.C,0.251173566753149
CBaya,C,BA,CBaya.C,0.248663028831665
CBaya,C,BA,CBaya.C,0.267806052662308
CBaya,C,BA,CBaya.C,0.263229136864385
CBaya,C,BA,CBaya.C,0.293940559845547
CBaya,C,BA,CBaya.C,0.269673911868657
CBaya,C,BA,CBaya.C,0.287783350356871
CBaya,C,BA,CBaya.C,0.264977837427541
CBaya,C,BA,CBaya.C,0.272954821581822
CBaya,C,BA,CBaya.C,0.271896554304135
CBaya,C,BA,CBaya.C,0.283437769438134
CBaya,C,BA,CBaya.C,0.272525428106732
CBaya,C,BA,CBaya.C,0.279208656887805
CBaya,C,BA,CBaya.C,0.270600868085222
CBaya,C,BA,CBaya.C,0.281306572939839
CBaya,C,BA,CBaya.C,0.280333800033239
CBaya,C,BA,CBaya.C,0.269029257397524
CBaya,C,BA,CBaya.C,0.280159526445646
CBaya,C,BA,CBaya.C,0.290774475474808
CBaya,C,BA,CBaya.C,0.292873981813454
CBaya,C,BA,CBaya.C,0.270951266597813
CBaya,C,BA,CBaya.C,0.301336363399059
CBaya,C,BA,CBaya.C,0.316862176654808
CBaya,C,BA,CBaya.C,0.283562675376401
CBaya,C,BA,CBaya.C,0.274993970462431
CBaya,C,BA,CBaya.C,0.278206516784195
CBaya,C,BA,CBaya.C,0.266884701643204
CBaya,C,BA,CBaya.C,0.282830396572941
CBaya,C,BA,CBaya.C,0.267583211482194
CBaya,C,BA,CBaya.C,0.287671080539222
CBaya,C,BA,CBaya.C,0.272984569572808
CBaya,C,BA,CBaya.C,0.300876865919222
CBaya,C,BA,CBaya.C,0.264110349677572
CBaya,C,BA,CBaya.C,0.284683943150187
CBaya,C,BA,CBaya.C,0.281297024258342
CBaya,C,BA,CBaya.C,0.285314882984322
CBaya,C,BA,CBaya.C,0.288864819885252
CBaya,C,BA,CBaya.C,0.270000904475197
CBaya,C,BA,CBaya.C,0.279415720573672
CBaya,C,BA,CBaya.C,0.273103648836142
CBaya,C,BA,CBaya.C,0.298520269037265
CBaya,C,BA,CBaya.C,0.271736170196873
CBaya,C,BA,CBaya.C,0.312915245050254
CBaya,C,BA,CBaya.C,0.304139678557506
CBaya,C,BA,CBaya.C,0.25657632810766
CBaya,C,BA,CBaya.C,0.296176374183165
CBaya,C,BA,CBaya.C,0.297447126426441
CBaya,C,BA,CBaya.C,0.287747099060872
CBaya,C,BA,CBaya.C,0.307556975810301
CBaya,C,BA,CBaya.C,0.299013558843355
CBaya,C,BA,CBaya.C,0.315447470882535
CBaya,C,BA,CBaya.C,0.307369970065859
CBaya,C,BA,CBaya.C,0.305320167154559
CBaya,C,BA,CBaya.C,0.30382251154947
CBaya,C,BA,CBaya.C,0.27661169801994
CBaya,C,BA,CBaya.C,0.303572225640567
CBaya,C,BA,CBaya.C,0.29997452572229
CBaya,C,BA,CBaya.C,0.305825140545736
CBaya,C,BA,CBaya.C,0.296062980377228
CBaya,C,BA,CBaya.C,0.286406396615229
CBaya,C,BA,CBaya.C,0.268770181359663
CBaya,C,BA,CBaya.C,0.287022107873353
CBaya,C,BA,CBaya.C,0.312125392017118
CBaya,C,BA,CBaya.C,0.284614954137148
CBaya,C,BA,CBaya.C,0.290574930530041
CBaya,C,BA,CBaya.C,0.285737466248245
CBaya,C,BA,CBaya.C,0.27553761973161
CBaya,C,BA,CBaya.C,0.304094332856213
CBaya,C,BA,CBaya.C,0.294249006590865
CBaya,C,BA,CBaya.C,0.290650008462747
CBaya,C,BA,CBaya.C,0.322711803822332
CBaya,C,BA,CBaya.C,0.303782053437157
CBaya,C,BA,CBaya.C,0.282844925111067
CBaya,C,BA,CBaya.C,0.322422538998405
CBaya,C,BA,CBaya.C,0.303256440727357
CBaya,C,BA,CBaya.C,0.296966226945933
CBaya,C,BA,CBaya.C,0.314800353006527
CBaya,C,BA,CBaya.C,0.293881508714718
CBaya,C,BA,CBaya.C,0.297706173481815
CBaya,C,BA,CBaya.C,0.281836780105246
CBaya,C,BA,CBaya.C,0.285227204789761
CBaya,C,BA,CBaya.C,0.257905308311463
CBaya,C,BA,CBaya.C,0.29750785247099
CBaya,C,BA,CBaya.C,0.306969930196091
CBaya,C,BA,CBaya.C,0.286266698468378
CBaya,C,BA,CBaya.C,0.266360405312023
CBaya,C,BA,CBaya.C,0.268296572312721
CBaya,C,BA,CBaya.C,0.28095778302845
CBaya,C,BA,CBaya.C,0.304524656352069
CBaya,C,BA,CBaya.C,0.293980352225009
CBaya,C,BA,CBaya.C,0.304636352950357
CBaya,C,BA,CBaya.C,0.307144547830231
CBaya,C,BA,CBaya.C,0.300852906725453
CBaya,C,BA,CBaya.C,0.276953495580812
CBaya,C,BA,CBaya.C,0.26456520014013
CBaya,C,BA,CBaya.C,0.294864589990018
CBaya,C,BA,CBaya.C,0.284009853057311
CBaya,C,BA,CBaya.C,0.268472463274286
CBaya,C,BA,CBaya.C,0.294849933498316
CBaya,C,BA,CBaya.C,0.25440490613434
CBaya,C,BA,CBaya.C,0.265041378104298
CBaya,C,BA,CBaya.C,0.243446076755543
CBaya,C,BA,CBaya.C,0.257972289906664
CBaya,C,BA,CBaya.C,0.243644796305119
CBaya,C,BA,CBaya.C,0.24164928185124
CBaya,C,BA,CBaya.C,0.255586881416703
CBaya,C,BA,CBaya.C,0.232871763689642
CBaya,C,BA,CBaya.C,0.217369446525629
CBaya,C,BA,CBaya.C,0.233137004692394
CBaya,C,BA,CBaya.C,0.256981904118227
CBaya,C,BA,CBaya.C,0.227857519925077
CBaya,C,BA,CBaya.C,0.231467214445625
CBaya,C,BA,CBaya.C,0.230265932125702
CBaya,C,BA,CBaya.C,0.234762063297005
CBaya,C,BA,CBaya.C,0.231284448694382
CBaya,C,BA,CBaya.C,0.230615039162254
CBaya,C,BA,CBaya.C,0.251358791948304
CBaya,C,BA,CBaya.C,0.229350699884555
CBaya,C,BA,CBaya.C,0.204500569060908
CBaya,C,BA,CBaya.C,0.249991048057714
CBaya,C,BA,CBaya.C,0.223197874744898
CBaya,C,BA,CBaya.C,0.224205168486053
CBaya,C,BA,CBaya.C,0.213761560724255
CBaya,C,BA,CBaya.C,0.207639058530422
CBaya,C,BA,CBaya.C,0.199248360588167
CBaya,C,BA,CBaya.C,0.208210650075541
CBaya,C,BA,CBaya.C,0.211023889856931
CBaya,C,BA,CBaya.C,0.20654306588623
CBaya,C,BA,CBaya.C,0.215076379940537
CBaya,C,BA,CBaya.C,0.220988844053098
CBaya,C,BA,CBaya.C,0.230211096663524
CBaya,C,BA,CBaya.C,0.241982815912433
CBaya,C,BA,CBaya.C,0.229162332504758
CBaya,C,BA,CBaya.C,0.227830892212362
CBaya,C,BA,CBaya.C,0.252575039541056
CBaya,C,BA,CBaya.C,0.258044437853531
CBaya,C,BA,CBaya.C,0.23194891391794
CBaya,C,BA,CBaya.C,0.249798259030732
CBaya,C,BA,CBaya.C,0.264316382988301
CBaya,C,BA,CBaya.C,0.291033688468117
CBaya,C,BA,CBaya.C,0.257623478455192
CBaya,C,BA,CBaya.C,0.259263991225024
CBaya,C,BA,CBaya.C,0.272891598410583
CBaya,C,BA,CBaya.C,0.284363736255482
CBaya,C,BA,CBaya.C,0.258006382256631
CBaya,C,BA,CBaya.C,0.244902199431299
CBaya,C,BA,CBaya.C,0.231489792251546
CBaya,C,BA,CBaya.C,0.24038202138501
CBaya,C,BA,CBaya.C,0.28344392646169
CBaya,C,BA,CBaya.C,0.234986348839089
CBaya,C,BA,CBaya.C,0.243654192005756
CBaya,C,BA,CBaya.C,0.233558004423396
CBaya,C,BA,CBaya.C,0.224007831766285
CBaya,C,BA,CBaya.C,0.235014508873725
CBaya,C,BA,CBaya.C,0.213552406277554
CBaya,C,BA,CBaya.C,0.214581658556248
CBaya,C,BA,CBaya.C,0.225930989354605
CBaya,C,BA,CBaya.C,0.230221618665007
CBaya,C,BA,CBaya.C,0.234078104091083
CBaya,C,BA,CBaya.C,0.236595992915464
CBaya,C,BA,CBaya.C,0.257544581964266
CBaya,C,BA,CBaya.C,0.241538979787337
CBaya,C,BA,CBaya.C,0.2655713450114
CBaya,C,BA,CBaya.C,0.244489726583485
CBaya,C,BA,CBaya.C,0.241229927729908
CBaya,C,BA,CBaya.C,0.249674385876997
CBaya,C,BA,CBaya.C,0.24123741748633
CBaya,C,BA,CBaya.C,0.222360938438257
CBaya,C,BA,CBaya.C,0.210888467862402
CBaya,C,BA,CBaya.C,0.229145499603762
CBaya,C,BA,CBaya.C,0.208470263745201
CBaya,C,BA,CBaya.C,0.213386194525295
CBaya,C,BA,CBaya.C,0.235816790290423
CBaya,C,BA,CBaya.C,0.204668161499279
CBaya,C,BA,CBaya.C,0.223393378948593
CBaya,C,BA,CBaya.C,0.231213946767307
CBaya,C,BA,CBaya.C,0.231609865949493
CBaya,C,BA,CBaya.C,0.237641095452459
CBaya,C,BA,CBaya.C,0.230871190166633
CBaya,C,BA,CBaya.C,0.240061691388458
CBaya,C,BA,CBaya.C,0.229501431806144
CBaya,C,BA,CBaya.C,0.211995776030603
CBaya,C,BA,CBaya.C,0.224017898868674
CBaya,C,BA,CBaya.C,0.218240788233259
CBaya,C,BA,CBaya.C,0.233964082353216
CBaya,C,BA,CBaya.C,0.257692686850277
CBaya,C,BA,CBaya.C,0.275226997982365
CBaya,C,BA,CBaya.C,0.248453860582238
CBaya,C,BA,CBaya.C,0.247264886226349
CBaya,C,BA,CBaya.C,0.222959459033703
CBaya,C,BA,CBaya.C,0.211251721445401
CBaya,C,BA,CBaya.C,0.202592026444407
CBaya,C,BA,CBaya.C,0.221292083392762
CBaya,C,BA,CBaya.C,0.241698518806829
CBaya,C,BA,CBaya.C,0.215503030297692
CBaya,C,BA,CBaya.C,0.198635483751334
CBaya,C,BA,CBaya.C,0.199711087507862
CBaya,C,BA,CBaya.C,0.224084056857491
CBaya,C,BA,CBaya.C,0.232388471828243
CBaya,C,BA,CBaya.C,0.211547915823294
CBaya,C,BA,CBaya.C,0.203688651640177
CBaya,C,BA,CBaya.C,0.201142828102581
CBaya,C,BA,CBaya.C,0.200353966808673
CBaya,C,BA,CBaya.C,0.200089233279329
CBaya,C,BA,CBaya.C,0.196740992023937
CBaya,C,BA,CBaya.C,0.206588504387789
CBaya,C,BA,CBaya.C,0.228254158905221
CBaya,C,BA,CBaya.C,0.238085753892626
CBaya,C,BA,CBaya.C,0.227299370607198
CBaya,C,BA,CBaya.C,0.242207202437082
CBaya,C,BA,CBaya.C,0.235849891652529
CBaya,C,BA,CBaya.C,0.254211260690652
CBaya,C,BA,CBaya.C,0.268533757893889
CBaya,C,BA,CBaya.C,0.252986254985406
CBaya,C,BA,CBaya.C,0.258642949155204
CBaya,C,BA,CBaya.C,0.239570850034641
CBaya,C,BA,CBaya.C,0.247028195441415
CBaya,C,BA,CBaya.C,0.25818799122643
CBaya,C,BA,CBaya.C,0.256470494594655
CBaya,C,BA,CBaya.C,0.251163447729217
CBaya,C,BA,CBaya.C,0.250052992047113
CBaya,C,BA,CBaya.C,0.234683864638954
CBaya,C,BA,CBaya.C,0.244036472196336
CBaya,C,BA,CBaya.C,0.224647649254275
CBaya,C,BA,CBaya.C,0.220457452832244
CBaya,C,BA,CBaya.C,0.21731778055062
CBaya,C,BA,CBaya.C,0.222204593679154
CBaya,C,BA,CBaya.C,0.215794056013828
CBaya,C,BA,CBaya.C,0.194076746598028
CBaya,C,BA,CBaya.C,0.19474721927606
CBaya,C,BA,CBaya.C,0.204860805688464
CBaya,C,BA,CBaya.C,0.203686187644734
CBaya,C,BA,CBaya.C,0.193567423110505
CBaya,C,BA,CBaya.C,0.204449750555451
CBaya,C,BA,CBaya.C,0.191799760522683
CBaya,C,BA,CBaya.C,0.209077562341877
CBaya,C,BA,CBaya.C,0.212407708665546
CBaya,C,BA,CBaya.C,0.226091320301509
CBaya,C,BA,CBaya.C,0.221524293435782
CBaya,C,BA,CBaya.C,0.215823241930785
CBaya,C,BA,CBaya.C,0.214405166026994
CBaya,C,BA,CBaya.C,0.239426495962363
CBaya,C,BA,CBaya.C,0.22151491735593
CBaya,C,BA,CBaya.C,0.25428790214529
CBaya,C,BA,CBaya.C,0.244294651045829
CBaya,C,BA,CBaya.C,0.239308101486077
CBaya,C,BA,CBaya.C,0.240932617893453
CBaya,C,BA,CBaya.C,0.254166688999
CBaya,C,BA,CBaya.C,0.223100293943611
CBaya,C,BA,CBaya.C,0.249539595373626
CBaya,C,BA,CBaya.C,0.261542319951175
CBaya,C,BA,CBaya.C,0.231704408195005
CBaya,C,BA,CBaya.C,0.253983577335889
CBaya,C,BA,CBaya.C,0.259413370273859
CBaya,C,BA,CBaya.C,0.236176267015304
CBaya,C,BA,CBaya.C,0.22686438138596
CBaya,C,BA,CBaya.C,0.234228992462367
CBaya,C,BA,CBaya.C,0.22066926155638
CBaya,C,BA,CBaya.C,0.24961594820144
CBaya,C,BA,CBaya.C,0.232560829070907
CBaya,C,BA,CBaya.C,0.232123505619078
CBaya,C,BA,CBaya.C,0.220159950789254
CBaya,C,BA,CBaya.C,0.210805021329022
CBaya,C,BA,CBaya.C,0.201423787765893
CBaya,C,BA,CBaya.C,0.210224534944074
CBaya,C,BA,CBaya.C,0.20192598260722
CBaya,C,BA,CBaya.C,0.20641770587719
CBaya,C,BA,CBaya.C,0.202108664032571
CBaya,C,BA,CBaya.C,0.215091033973019
CBaya,C,BA,CBaya.C,0.206797710713633
CBaya,C,BA,CBaya.C,0.208018399989055
CBaya,C,BA,CBaya.C,0.19864404570885
CBaya,C,BA,CBaya.C,0.198841431229935
CBaya,C,BA,CBaya.C,0.19479785239514
CBaya,C,BA,CBaya.C,0.192428293856955
CBaya,C,BA,CBaya.C,0.179114084324288
CBaya,C,BA,CBaya.C,0.178887047489514
CBaya,C,BA,CBaya.C,0.182420784557831
CBaya,C,BA,CBaya.C,0.177959276603674
CBaya,C,BA,CBaya.C,0.199336577147605
CBaya,C,BA,CBaya.C,0.202005506731411
CBaya,C,BA,CBaya.C,0.174877902988647
CBaya,C,BA,CBaya.C,0.169729968303897
CBaya,C,BA,CBaya.C,0.178640086814211
CBaya,C,BA,CBaya.C,0.175739821112623
CBaya,C,BA,CBaya.C,0.17785411142609
CBaya,C,BA,CBaya.C,0.181586099312714
CBaya,C,BA,CBaya.C,0.188773954033766
CBaya,C,BA,CBaya.C,0.18906161806584
CBaya,C,BA,CBaya.C,0.184130774537526
CBaya,C,BA,CBaya.C,0.20102950110905
CBaya,C,BA,CBaya.C,0.177935882288518
CBaya,C,BA,CBaya.C,0.177969049499168
CBaya,C,BA,CBaya.C,0.176700651668718
CBaya,C,BA,CBaya.C,0.174973177069771
CBaya,C,BA,CBaya.C,0.178130471811313
CBaya,C,BA,CBaya.C,0.173426467542685
CBaya,C,BA,CBaya.C,0.18878158189886
CBaya,C,BA,CBaya.C,0.168753562123755
CBaya,C,BA,CBaya.C,0.1889016720515
CBaya,C,BA,CBaya.C,0.175665137304823
CBaya,C,BA,CBaya.C,0.188965084246071
CBaya,C,BA,CBaya.C,0.206907092030646
CBaya,C,BA,CBaya.C,0.182736722764886
CBaya,C,BA,CBaya.C,0.202645720410728
CBaya,C,BA,CBaya.C,0.212067733280552
CBaya,C,BA,CBaya.C,0.176082406722501
CBaya,C,BA,CBaya.C,0.199312433821483
CBaya,C,BA,CBaya.C,0.182042335343382
CBaya,C,BA,CBaya.C,0.169997053823971
CBaya,C,BA,CBaya.C,0.188196625714021
CBaya,C,BA,CBaya.C,0.160281369260451
CBaya,C,BA,CBaya.C,0.165555684433305
CBaya,C,BA,CBaya.C,0.160335450658031
CBaya,C,BA,CBaya.C,0.178719010426058
CBaya,C,BA,CBaya.C,0.179549891324076
CBaya,C,BA,CBaya.C,0.142347302657776
CBaya,C,BA,CBaya.C,0.154321169439804
CBaya,C,BA,CBaya.C,0.161709039952241
