"Samples","CTallo.L","CTallo.C","CTallo.H","CPFlor.L","CPFlor.C","CPFlor.H","CBaya.L","CBaya.C","CBaya.H","CPTuber.L","CPTuber.C","CPTuber.H","CSTuber.L","CSTuber.C","CSTuber.H","CPulpa.L","CPulpa.C","CPulpa.H","CSPulpa.L","CSPulpa.C","CSPulpa.H","CPBrote.L","CPBrote.C","CPBrote.H","CSBrote.L","CSBrote.C","CSBrote.H"
"15061673",28,16,359,54,49,320,50,38,115,37,42,3,60,19,40,92,6,71,27,33,344,45,57,327,96,7,318
"15062356",42,17,138,59,48,315,62,43,116,29,8,313,80,35,83,84,26,94,27,22,344,26,20,307,96,7,318
"15061361",54,44,117,43,58,322,54,44,117,34,28,21,30,33,41,84,18,90,41,26,344,26,20,307,96,7,318
"15061729",28,16,359,52,45,305,54,44,117,30,29,7,79,36,83,84,18,90,30,33,333,49,57,317,96,7,318
"15061755",54,44,117,63,31,315,50,38,115,30,16,3,80,42,96,84,26,94,43,43,316,33,26,314,96,7,318
"15061496",28,16,359,33,58,312,54,44,117,39,28,22,80,41,86,92,6,71,27,28,345,33,26,314,96,7,318
"15062368",54,44,117,49,57,317,69,48,117,39,28,22,76,47,85,84,26,94,37,23,345,48,58,336,96,7,318
"15062339",54,44,117,36,55,329,69,48,117,76,47,85,42,37,41,84,26,94,41,28,344,36,39,321,95,7,318
"15061577",54,44,117,43,58,322,54,44,117,30,11,328,76,47,85,84,26,94,37,36,328,26,20,307,94,4,41
"15062136",28,6,23,36,55,329,44,38,116,30,29,7,60,31,41,82,35,93,27,22,346,33,26,314,95,7,346
"15061529",54,44,117,61,49,305,66,48,118,30,11,328,80,42,86,84,18,90,31,33,324,33,26,314,96,7,318
"15061396",28,16,359,43,58,312,66,48,118,29,8,313,80,41,86,92,6,71,27,22,344,26,20,307,94,4,41
"15061482",54,44,117,41,60,332,66,50,118,80,42,96,50,29,40,92,6,71,31,33,344,36,47,327,94,4,41
"15061814",28,16,359,43,58,322,54,44,117,30,29,7,80,42,96,92,6,71,30,30,346,49,57,317,94,4,41
"15061769",54,44,117,63,40,326,54,44,117,34,34,8,80,37,83,92,6,71,41,37,345,39,57,339,96,7,318
"15061610",42,17,138,36,39,321,66,48,118,28,16,359,80,42,96,92,6,71,27,33,344,26,20,307,94,4,41
"15062147",54,44,117,33,34,316,69,45,116,42,37,18,80,42,86,92,6,71,30,28,346,39,53,346,96,7,318
"15061358",54,44,117,48,40,314,53,38,115,80,41,86,42,36,41,84,18,90,30,28,344,27,28,306,96,7,318
"15061550",28,16,359,67,41,314,54,44,117,27,19,5,80,42,96,84,26,94,37,36,316,33,26,314,96,7,318
"15061271",54,44,117,43,58,312,62,43,115,30,11,328,80,42,96,92,3,71,42,36,346,26,20,307,96,7,318
"15060214",54,44,117,36,39,321,54,44,117,76,47,85,41,37,33,92,6,71,27,28,344,26,20,314,95,7,318
"15062074",54,44,117,70,31,304,54,44,117,80,41,86,50,26,41,92,3,71,42,36,345,26,20,307,94,4,41
"15061507",54,44,117,36,55,329,69,48,117,38,32,14,80,42,96,92,6,71,27,30,334,43,40,309,94,4,41
"15061383",28,16,359,49,57,317,50,38,115,35,29,17,76,36,83,84,18,90,27,23,346,26,20,307,96,7,318
"15062149",28,16,359,43,58,322,53,38,115,35,29,17,80,42,86,84,18,90,37,26,344,44,53,341,96,7,318
"15060042",28,16,359,45,57,327,66,48,118,50,26,342,80,42,96,92,6,71,27,26,346,26,20,307,94,5,52
"15061647",54,44,117,52,45,305,54,44,117,76,47,85,30,28,40,92,6,71,27,28,324,27,28,306,94,4,41
"15061477",54,44,117,43,58,312,72,45,115,29,8,313,84,24,85,92,6,71,31,33,324,26,20,307,96,7,318
"15061586",54,44,117,67,36,319,66,48,118,80,42,96,54,37,41,92,3,71,42,22,344,46,66,344,95,5,344
"15062347",54,44,117,52,45,305,69,48,117,28,16,359,74,37,74,84,18,90,42,36,344,26,20,307,94,4,41
"15061958",54,44,117,67,36,319,77,39,117,76,47,85,43,39,41,84,18,90,50,28,344,48,58,336,94,4,41
"15062346",54,44,117,41,42,316,54,44,117,80,42,96,43,39,40,84,26,94,30,33,324,36,49,301,96,7,318
"15061639",49,21,132,61,43,319,54,44,117,30,28,345,84,37,90,92,6,71,27,26,344,43,58,322,96,7,318
"15061757",28,16,359,49,57,317,58,45,117,30,29,7,29,32,41,84,26,94,50,22,344,26,20,307,95,5,344
"15061299",28,6,23,61,43,319,54,44,117,43,33,10,82,26,80,92,6,71,42,43,346,43,40,309,96,7,318
"15061653",54,44,117,52,55,328,54,44,117,75,35,83,43,39,40,84,26,94,50,33,346,48,58,336,96,7,318
"15061761",54,44,117,54,58,322,54,44,117,45,32,39,78,20,35,84,26,94,27,28,344,26,20,307,94,4,41
"15062146",28,16,359,43,40,309,72,45,115,45,42,0,42,19,40,82,35,93,27,22,344,26,20,307,96,7,318
"15061655",54,44,117,66,36,309,66,48,118,76,47,85,42,29,41,84,18,90,37,34,344,36,55,329,94,4,41
"15061329",28,16,359,36,39,321,54,44,117,28,11,318,80,42,96,82,35,93,36,39,321,27,28,306,94,4,41
"15061535",28,16,359,49,57,317,54,44,117,34,28,21,80,41,86,84,18,90,29,33,345,26,20,307,96,7,318
"15061578",28,6,23,61,43,319,54,44,117,30,16,3,79,36,83,92,6,71,42,34,344,36,55,329,94,4,41
"15061730",28,16,359,52,45,305,50,38,115,27,19,5,80,41,86,84,18,90,31,33,334,42,39,319,96,7,318
"15061627",54,44,117,66,36,309,76,48,116,60,32,41,30,28,41,92,6,71,42,33,346,54,49,320,96,7,318
"15061500",54,44,117,36,55,329,50,38,115,80,42,96,43,39,41,92,3,71,41,33,344,52,55,328,94,4,41
"15061717",28,16,359,52,45,305,54,44,117,28,16,359,53,24,40,84,18,90,32,23,344,27,28,306,94,4,41
"15062122",28,6,23,31,33,324,66,48,118,29,8,313,80,42,86,92,6,71,27,22,344,26,20,307,95,7,318
"15061435",28,16,359,43,58,322,54,44,117,41,37,12,45,42,40,84,18,90,27,22,344,33,26,302,96,7,318
"15061706",54,44,117,43,57,316,54,44,117,84,26,94,48,32,40,84,18,90,30,28,345,49,57,317,96,7,318
"15061624",28,6,23,38,40,308,54,44,117,43,39,17,80,42,96,92,6,71,27,28,322,36,55,329,94,4,41
"15060121",54,44,117,52,45,305,58,45,117,28,16,359,82,41,96,92,6,71,30,36,316,26,20,307,95,7,318
"15061423",54,44,117,54,49,320,54,44,117,35,29,17,80,41,86,92,6,71,27,36,316,31,33,324,94,4,41
"15061488",28,16,359,43,58,322,54,44,117,30,11,328,75,35,83,92,6,71,27,33,324,38,40,308,94,4,41
"15061916",54,44,117,36,39,321,58,38,112,27,19,5,75,35,83,84,18,90,33,36,345,26,20,307,94,4,41
"15061487",28,6,23,42,39,319,53,38,115,30,16,3,80,42,96,92,6,71,27,28,316,26,20,307,96,7,318
"15061281",54,44,117,41,60,332,50,38,115,42,37,18,80,42,96,92,6,71,27,26,345,54,49,320,96,7,318
"15061937",54,44,117,36,39,321,71,50,115,28,16,359,80,42,96,92,3,71,31,36,328,26,20,307,94,4,41
"15061493",54,44,117,43,58,312,54,44,117,30,29,7,80,41,86,84,26,94,27,36,316,33,26,314,95,7,318
"15061296",28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,84,26,94,37,33,318,33,26,314,95,7,318
"15061649",54,44,117,54,39,308,58,45,117,30,28,345,75,35,83,84,18,90,30,33,331,33,26,314,96,7,318
"15061307",28,16,359,61,43,319,54,44,117,30,16,3,82,35,93,84,18,90,27,36,324,27,28,306,94,4,41
"15062133",28,6,23,43,58,322,54,44,117,35,29,17,76,37,83,92,6,71,27,33,316,26,20,307,96,7,318
"15062350",54,44,117,54,49,320,54,44,117,30,16,3,75,35,83,84,26,94,37,33,324,38,40,308,96,7,318
"15061338",28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,92,6,71,29,23,333,26,20,307,96,7,318
"15060027",28,16,359,36,39,321,54,44,117,35,29,17,75,35,83,92,6,71,27,38,324,26,20,307,95,7,318
"15061011",54,44,117,43,58,312,54,44,117,80,42,96,43,33,40,84,26,94,27,22,344,27,26,302,95,7,318
"15061795",28,16,359,43,58,322,50,38,115,30,11,328,80,42,85,82,35,93,27,22,344,33,26,314,96,7,318
"15062358",28,16,359,43,58,322,58,45,117,28,11,318,76,47,85,84,18,90,29,11,346,36,55,329,94,4,41
"15061216",54,44,117,57,49,319,66,48,118,30,11,328,81,32,84,84,18,90,43,33,346,38,40,308,96,7,318
"15061300",54,44,117,43,58,322,58,38,112,80,42,96,30,41,33,88,10,96,42,28,346,27,28,306,94,4,41
"15061462",54,44,117,43,40,309,72,45,115,76,47,85,27,22,41,88,10,96,50,36,324,48,45,302,96,7,318
"15061516",28,16,359,41,60,332,66,48,118,38,32,14,73,33,74,94,5,52,30,22,344,36,47,346,95,5,344
"15061394",54,44,117,43,39,321,66,48,118,50,26,342,60,19,41,84,26,94,27,22,345,26,20,307,96,7,318
"15061453",28,16,359,43,58,322,50,38,115,29,8,313,80,42,96,84,18,90,31,28,346,43,40,309,94,4,41
"15062123",54,44,117,58,45,310,54,44,117,75,35,83,42,37,33,92,6,71,30,22,342,26,20,307,94,4,41
"15060110",28,16,359,36,55,329,54,44,117,28,16,359,76,47,85,92,6,71,31,22,334,26,20,307,95,5,344
"15061964",54,44,117,43,49,312,54,44,117,50,29,17,80,41,86,84,18,90,27,33,331,26,20,307,94,4,41
"15061542",54,44,117,57,46,323,50,38,115,27,19,5,80,41,86,84,18,90,41,37,344,49,57,317,95,7,318
"15060570",54,44,117,42,39,319,54,44,117,76,47,85,38,32,40,84,26,94,32,23,345,43,58,322,96,7,318
"15061785",54,44,117,66,36,309,53,38,115,75,35,83,50,29,41,92,6,71,42,36,318,43,58,322,96,7,318
"15061766",54,44,117,33,58,312,66,48,118,76,47,85,40,35,33,84,18,90,30,22,344,26,20,307,95,7,318
"15060021",28,16,359,37,43,331,44,38,116,29,8,313,43,32,41,82,35,93,27,22,344,26,20,307,95,7,318
"15061364",54,44,117,43,58,322,76,48,116,30,29,7,80,41,86,84,18,90,36,22,345,33,26,314,95,5,344
"15060050",54,44,117,54,49,320,50,38,115,80,28,67,34,34,40,92,6,71,50,43,346,45,57,327,95,7,318
"15061637",53,38,132,43,58,322,69,48,117,75,35,83,43,33,41,84,18,90,27,22,344,26,20,307,96,7,318
"15062369",28,16,359,43,58,312,54,44,117,34,28,21,80,42,93,84,18,90,36,33,345,48,58,336,96,7,318
"15061345",54,44,117,36,55,329,69,48,117,42,37,18,75,35,83,84,18,90,43,37,344,39,57,339,94,4,41
"15061966",28,16,359,43,58,312,54,44,117,29,8,313,80,41,86,84,18,90,37,33,345,26,20,307,96,7,318
"15061737",28,16,359,43,58,322,54,44,117,81,32,84,27,19,41,84,18,90,42,36,346,59,48,315,96,7,318
"15060112",54,44,117,41,58,318,44,38,116,30,29,7,75,35,83,84,18,90,31,36,344,26,20,307,95,7,318
"15061751",62,43,124,58,45,310,49,45,120,43,33,10,74,37,74,92,6,71,27,30,344,49,42,312,94,4,41
"15061567",54,44,117,63,40,326,66,48,118,76,47,85,45,25,41,84,26,94,50,36,344,39,57,339,94,4,41
