"","CTallo.L","CTallo.C","CTallo.H","CPFlor.L","CPFlor.C","CPFlor.H","CBaya.L","CBaya.C","CBaya.H","CPTuber.L","CPTuber.C","CPTuber.H","CSTuber.L","CSTuber.C","CSTuber.H","CPulpa.L","CPulpa.C","CPulpa.H","CSPulpa.L","CSPulpa.C","CSPulpa.H","CPBrote.L","CPBrote.C","CPBrote.H","CSBrote.L","CSBrote.C","CSBrote.H"
"15060846",54,44,117,56,48,332,54,44,117,38,32,14,81,32,84,92,3,71,27,36,318,26,20,307,94,4,41
"15060907",28,16,359,43,58,322,54,44,117,51,43,355,80,41,86,92,6,71,30,28,345,28,35,303,95,7,318
"15060909",54,44,117,61,43,319,54,44,117,82,35,93,42,37,41,92,6,71,30,33,329,27,20,307,94,4,41
"15060933",54,44,117,43,58,312,66,48,118,43,39,17,81,32,84,94,5,52,27,33,346,47,59,339,96,7,318
"15060964",54,44,117,36,39,321,53,38,115,28,16,359,76,47,85,81,32,84,27,37,324,43,40,309,96,7,318
"15061007",54,44,117,43,58,322,54,44,117,43,33,10,75,35,83,81,32,84,27,38,344,43,40,309,96,7,318
"15061011",54,44,117,43,58,312,54,44,117,80,42,96,43,33,40,84,26,94,27,22,344,27,26,302,95,7,318
"15061122",54,44,117,41,60,332,50,38,115,43,33,10,75,35,83,92,6,71,30,36,346,49,57,317,96,7,318
"15061204",54,44,117,53,43,320,50,38,115,30,11,328,84,47,96,84,18,90,36,33,344,26,20,307,94,4,41
"15061213",54,44,117,36,55,329,63,38,111,35,29,17,75,35,83,84,24,85,27,33,346,36,47,346,94,4,41
"15061215",54,44,117,43,58,322,54,44,117,34,28,21,80,42,96,84,18,90,30,26,344,52,45,330,94,4,41
"15061216",54,44,117,57,49,319,66,48,118,30,11,328,81,32,84,84,18,90,43,33,346,38,40,308,96,7,318
"15061225",54,44,117,36,55,329,66,48,118,43,33,10,84,24,85,92,6,71,27,38,322,59,40,305,96,7,318
"15061226",54,44,117,41,42,316,58,38,112,80,41,86,29,23,41,92,6,71,43,37,346,43,40,308,94,4,41
"15061228",28,16,359,43,58,312,58,45,117,30,11,328,82,35,93,84,18,90,42,36,333,26,20,307,95,7,318
"15061235",54,44,117,52,45,305,50,38,115,42,32,25,76,42,83,84,26,94,31,33,324,54,57,347,96,7,318
"15061236",54,44,117,52,45,305,54,44,117,81,32,84,42,36,41,84,26,94,30,28,316,26,20,307,95,7,318
"15061237",54,44,117,54,39,313,76,48,116,43,39,17,81,32,84,95,5,52,30,36,345,48,58,336,96,7,318
"15061239",54,44,117,53,43,320,66,48,118,80,41,86,50,29,33,92,6,71,42,33,344,39,57,339,96,7,318
"15061244",54,44,117,53,43,320,50,38,115,35,29,17,82,42,86,92,6,71,37,36,345,26,20,307,94,4,41
"15061255",54,44,117,41,42,316,66,48,118,79,36,83,43,39,41,84,18,90,37,22,345,33,26,307,95,5,344
"15061256",54,44,117,36,55,329,54,44,117,30,11,328,75,35,83,92,6,88,31,33,324,26,20,307,95,7,318
"15061257",28,16,359,41,42,316,66,48,118,43,39,17,80,35,85,84,18,90,27,33,344,43,47,338,94,4,41
"15061258",28,16,359,53,43,320,54,44,117,30,11,328,80,41,86,92,3,71,29,23,333,26,20,307,95,5,344
"15061259",28,16,359,48,40,314,44,38,116,29,8,313,80,41,86,92,6,71,31,33,324,26,20,307,94,4,41
"15062063",54,44,117,36,39,321,66,48,118,27,19,5,29,36,33,84,18,90,27,22,346,26,20,307,94,4,41
"15061926",54,44,117,36,55,329,69,48,117,28,16,359,80,41,86,92,3,71,27,28,344,33,34,316,94,4,41
"15061927",28,16,359,63,31,315,69,48,117,29,8,313,80,42,96,92,6,71,43,38,322,47,44,304,94,4,41
"15062344",54,44,117,36,55,329,54,44,117,30,29,7,80,42,96,84,18,90,27,36,328,26,20,307,96,7,318
"15061928",28,16,359,45,57,327,54,44,117,30,11,328,80,41,86,92,6,71,27,28,333,65,35,303,96,7,318
"15062067",54,44,117,45,57,327,69,48,116,80,42,96,42,37,41,92,6,71,41,33,344,39,53,346,94,4,41
"15061929",54,44,117,42,39,319,54,44,117,75,35,83,42,36,41,92,6,71,27,30,324,26,20,307,95,7,318
"15061930",28,16,359,45,57,327,69,45,116,50,26,342,79,36,83,92,3,71,27,28,346,31,33,324,95,7,318
"15062069",28,16,359,31,33,324,54,44,117,28,11,318,27,19,41,84,26,94,33,34,316,26,20,307,96,7,318
"15061260",54,44,117,57,46,323,58,45,117,30,11,328,75,35,83,92,6,71,42,34,344,26,20,307,94,4,41
"15061261",54,44,117,52,45,305,69,48,117,80,41,86,50,29,41,80,35,96,29,33,331,33,34,316,95,7,318
"15061262",54,44,117,36,58,329,58,45,117,34,8,313,66,40,69,84,18,90,30,23,344,26,20,307,94,4,41
"15062071",54,44,117,54,43,320,53,38,115,60,32,41,50,26,33,84,18,90,30,22,344,26,20,307,95,7,318
"15061263",54,44,117,43,58,317,58,45,117,28,16,359,82,36,93,84,26,94,36,34,321,58,42,304,96,7,318
"15061932",54,44,117,57,46,323,58,45,117,80,42,96,43,32,41,92,6,71,42,34,344,52,45,330,94,4,41
"15061264",54,44,117,52,40,319,54,44,117,75,35,83,43,33,41,84,26,94,43,33,345,26,20,307,94,4,41
"15061933",54,44,117,49,42,312,44,38,116,28,16,359,75,35,83,84,26,94,43,38,331,26,20,307,94,4,41
"15061265",54,44,117,52,45,305,66,48,118,30,29,7,80,42,96,92,6,71,27,33,316,26,20,307,95,7,318
"15061270",54,44,117,54,49,320,54,44,117,43,39,17,75,41,80,84,18,90,30,26,344,26,20,307,96,7,318
"15062074",54,44,117,70,31,304,54,44,117,80,41,86,50,26,41,92,3,71,42,36,345,26,20,307,94,4,41
"15061934",28,16,359,43,58,322,53,38,115,80,41,86,28,41,41,84,26,94,43,33,318,26,20,307,94,4,41
"15061935",54,44,117,36,55,329,69,50,115,42,37,18,80,41,86,92,6,71,27,34,345,54,57,347,94,4,41
"15061271",54,44,117,43,58,312,62,43,115,30,11,328,80,42,96,92,3,71,42,36,346,26,20,307,96,7,318
"15061936",54,44,117,36,55,329,44,38,116,34,28,21,50,39,40,84,18,90,30,28,344,36,47,317,94,4,41
"15061273",54,44,117,41,58,318,54,44,117,43,39,17,38,32,41,84,26,94,30,23,316,26,20,307,95,5,353
"15061274",54,44,117,43,58,312,44,38,116,41,37,12,80,42,85,84,18,90,30,30,344,44,53,341,96,7,318
"15061937",54,44,117,36,39,321,71,50,115,28,16,359,80,42,96,92,3,71,31,36,328,26,20,307,94,4,41
"15061277",54,44,117,54,49,320,58,45,116,80,41,86,50,29,41,92,6,71,42,36,333,27,20,306,96,7,318
"15062080",54,44,117,43,58,322,54,44,117,76,47,85,42,36,41,84,18,90,27,23,344,57,46,323,96,7,318
"15062081",28,6,23,54,39,308,71,50,115,27,19,5,60,29,41,84,18,90,43,22,344,26,20,307,95,5,344
"15061279",54,44,117,54,49,320,54,44,117,35,29,17,80,35,84,84,26,94,31,33,321,33,26,314,96,7,346
"15061280",54,44,117,43,58,322,58,45,117,42,37,18,79,36,83,84,18,90,41,43,346,44,53,341,94,4,41
"15061281",54,44,117,41,60,332,50,38,115,42,37,18,80,42,96,92,6,71,27,26,345,54,49,320,96,7,318
"15061939",54,44,117,43,58,322,66,48,118,80,42,96,29,26,40,84,26,94,30,33,316,26,4,307,95,7,324
"15061282",54,44,117,43,58,322,58,38,112,50,26,342,92,42,71,92,6,71,27,30,346,27,28,306,96,7,318
"15060910",28,16,359,36,55,329,44,38,116,43,39,17,80,42,96,84,18,90,30,36,345,48,58,336,96,7,318
"15061940",54,44,117,54,49,320,54,44,117,82,35,93,46,41,41,92,6,71,30,22,344,43,58,322,94,4,41
"15061283",54,44,117,31,33,324,66,48,118,34,28,21,80,42,96,84,18,90,30,22,324,27,28,306,95,5,344
"15061284",54,44,117,53,43,320,66,48,118,30,16,3,80,41,86,92,6,71,29,28,345,26,20,307,94,4,41
"15061285",54,44,117,54,49,320,72,45,115,38,32,14,80,41,86,84,18,90,27,28,344,31,33,324,96,7,318
"15062346",54,44,117,41,42,316,54,44,117,80,42,96,43,39,40,84,26,94,30,33,324,36,49,301,96,7,318
"15061286",54,44,117,36,39,321,54,44,117,35,29,17,75,35,83,84,26,94,30,36,316,26,16,308,96,7,346
"15061287",54,44,117,49,42,312,66,48,118,40,35,16,75,35,83,84,18,90,27,26,344,26,20,307,94,4,41
"15061288",54,44,117,48,40,314,58,44,117,40,35,16,82,35,93,92,6,71,30,34,322,33,26,307,94,4,41
"15061289",54,44,117,45,57,327,66,48,118,38,32,14,75,35,83,84,18,90,27,30,346,57,46,323,94,4,41
"15061290",54,44,117,54,49,320,72,45,115,80,42,96,43,33,41,92,6,71,29,28,328,26,20,307,95,7,318
"15061291",54,44,117,49,57,317,54,44,117,42,37,18,80,42,96,84,18,90,27,30,345,45,57,327,94,4,41
"15061292",28,16,359,45,57,327,54,44,117,29,8,313,75,35,83,84,26,94,43,33,333,26,20,307,94,4,41
"15061293",28,16,359,53,43,320,66,48,118,65,57,97,28,29,41,84,18,90,32,28,344,27,28,306,94,4,41
"15061295",36,19,28,54,49,320,71,50,115,35,29,17,28,19,33,92,6,71,31,33,324,26,20,307,96,7,318
"15061941",54,44,117,54,49,320,71,50,115,75,35,83,43,33,41,84,18,90,31,22,344,52,55,328,94,4,41
"15061296",28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,84,26,94,37,33,318,33,26,314,95,7,318
"15061297",54,44,117,43,58,312,54,44,117,29,8,313,76,47,85,89,8,95,28,11,318,26,20,307,96,7,318
"15061942",54,44,117,57,46,323,66,48,118,39,46,9,80,42,96,84,18,90,32,36,344,33,26,314,94,4,41
"15061298",54,44,117,61,43,319,66,48,118,54,43,21,80,42,96,84,18,90,42,37,344,33,26,314,94,4,41
"15061299",28,6,23,61,43,319,54,44,117,43,33,10,82,26,80,92,6,71,42,43,346,43,40,309,96,7,318
"15061300",54,44,117,43,58,322,58,38,112,80,42,96,30,41,33,88,10,96,42,28,346,27,28,306,94,4,41
"15061301",54,44,117,43,58,322,54,44,117,38,32,14,80,42,96,84,18,90,27,22,344,33,26,314,96,7,352
"15061302",54,44,117,31,33,324,66,48,118,30,11,328,80,42,96,84,26,94,27,36,316,27,28,306,94,4,41
"15061303",54,44,117,57,46,323,66,48,118,80,42,96,43,33,41,92,6,71,42,36,346,52,55,328,94,4,41
"15061305",54,44,117,42,39,319,66,48,118,80,41,86,42,36,41,92,6,71,37,33,344,26,20,307,94,4,41
"15061307",28,16,359,61,43,319,54,44,117,30,16,3,82,35,93,84,18,90,27,36,324,27,28,306,94,4,41
"15061308",28,6,23,57,46,323,54,44,117,29,8,313,80,41,96,82,35,93,33,34,316,27,28,306,95,7,318
"15061943",28,6,23,45,57,327,44,38,116,28,11,318,75,35,83,92,6,71,42,36,346,26,20,307,95,7,318
"15061312",54,44,117,61,43,319,69,48,118,43,39,17,75,35,83,92,6,71,29,26,344,38,40,308,94,4,41
"15061313",54,44,117,43,58,322,69,39,111,75,35,83,43,39,41,84,18,90,31,22,346,26,20,307,94,4,41
"15061314",54,44,117,57,46,323,76,48,116,43,33,10,81,41,86,84,18,90,50,43,346,39,53,346,96,7,318
"15061944",54,44,117,49,57,317,69,45,115,80,42,96,43,39,33,92,6,71,43,30,346,49,57,317,96,7,318
"15062088",54,44,117,36,39,321,62,43,115,28,11,318,39,32,41,92,6,71,27,22,345,26,20,307,94,4,41
"15061317",54,44,117,41,58,322,66,48,118,43,33,10,75,35,83,84,26,94,30,28,345,33,26,314,94,4,41
"15061318",54,44,117,36,55,329,54,44,117,30,11,328,82,42,86,92,6,71,27,26,344,26,20,307,94,4,41
"15061319",54,44,117,49,42,312,72,45,115,44,41,21,66,40,69,92,6,71,30,23,328,26,20,307,95,5,344
"15061320",54,44,117,43,58,322,72,45,115,80,41,86,40,35,40,84,18,90,42,28,344,39,57,339,94,4,41
"15061321",28,16,359,54,49,320,54,44,117,51,43,355,76,36,83,84,18,90,27,28,342,26,20,307,95,7,318
"15061323",54,44,117,43,58,322,54,44,117,74,37,74,42,36,40,92,6,71,27,22,344,33,26,314,96,7,318
"15061324",54,44,117,61,45,314,54,44,117,38,32,14,76,47,85,84,26,94,30,30,324,26,20,307,94,4,41
"15061327",54,44,117,63,40,326,54,44,117,41,37,12,80,42,96,92,6,71,31,36,324,26,20,307,96,7,318
"15061329",28,16,359,36,39,321,54,44,117,28,11,318,80,42,96,82,35,93,36,39,321,27,28,306,94,4,41
"15061330",54,44,117,43,58,322,62,43,116,40,35,16,80,41,96,84,26,94,31,33,324,39,57,339,94,4,41
"15061331",54,44,117,53,43,320,54,44,117,60,35,53,48,39,40,92,6,71,31,28,344,33,34,316,96,7,318
"15061333",54,44,117,52,45,305,54,44,117,29,8,313,74,32,74,84,18,90,41,42,316,27,28,306,96,7,318
"15061334",54,44,117,45,57,327,66,48,118,38,32,14,76,47,85,84,26,94,27,22,345,54,49,320,96,7,318
"15061335",54,44,117,36,39,321,66,48,118,75,35,83,42,36,41,84,18,90,37,30,342,27,28,306,96,7,318
"15061336",54,44,117,43,58,322,54,44,117,29,23,333,80,42,96,84,18,90,27,22,344,26,20,307,94,4,41
"15061337",54,44,117,49,57,317,54,44,117,30,28,345,80,47,96,84,18,90,31,33,344,33,26,314,94,5,41
"15061338",28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,92,6,71,29,23,333,26,20,307,96,7,318
"15061340",28,16,359,54,49,320,54,44,117,43,39,17,75,35,83,84,18,90,27,28,344,27,28,306,96,7,318
"15061342",54,44,117,42,39,319,69,48,117,35,29,17,80,42,96,84,18,90,31,33,322,27,28,306,96,7,318
"15061344",54,44,117,54,49,320,71,50,115,42,36,346,75,35,67,84,18,90,30,33,345,27,28,306,96,7,318
"15061345",54,44,117,36,55,329,69,48,117,42,37,18,75,35,83,84,18,90,43,37,344,39,57,339,94,4,41
"15061945",54,44,117,43,58,322,66,48,118,75,35,83,42,32,41,84,18,90,42,33,344,48,58,336,96,7,318
"15061346",54,44,117,61,43,319,54,44,117,38,32,14,81,32,84,84,26,94,30,33,324,48,58,336,94,4,41
"15061347",54,44,117,42,39,319,54,44,117,42,36,346,80,42,96,84,18,90,31,36,333,26,20,307,96,7,318
"15061348",54,44,117,43,58,322,58,45,117,30,29,7,82,35,83,84,18,90,27,28,346,26,20,307,96,7,318
"15061349",54,44,117,61,43,319,58,45,117,81,32,84,44,32,33,84,18,90,42,36,344,33,26,314,96,7,318
"15061350",54,44,117,63,40,326,58,45,117,42,37,18,75,35,83,82,35,93,43,39,346,48,58,336,94,4,41
"15061352",54,44,117,36,55,329,66,48,118,76,47,85,42,36,41,84,26,94,27,22,344,26,4,307,95,7,322
"15061353",54,44,117,36,55,329,54,44,117,35,29,17,80,35,83,92,6,71,29,34,324,27,28,306,96,7,318
"15061946",28,16,359,48,40,314,54,44,117,27,22,344,79,36,83,92,6,71,29,28,344,26,20,307,96,7,318
"15062091",54,44,117,49,57,317,54,44,117,27,19,5,80,42,96,84,18,90,29,26,346,26,20,307,94,4,41
"15061355",28,16,359,36,55,329,54,44,117,27,19,5,80,41,86,84,18,90,29,33,342,26,20,307,94,4,41
"15062092",54,44,117,48,40,314,53,38,115,35,29,17,28,35,41,92,6,71,32,22,345,27,28,306,94,4,41
"15061356",54,44,117,61,43,319,54,44,117,60,35,53,50,26,33,92,6,88,42,36,324,54,49,320,96,7,318
"15061357",28,16,359,43,58,322,54,44,117,29,8,313,75,35,83,84,18,90,43,38,334,26,20,307,94,4,41
"15061358",54,44,117,48,40,314,53,38,115,80,41,86,42,36,41,84,18,90,30,28,344,27,28,306,96,7,318
"15061359",54,44,117,43,58,312,53,38,115,38,32,14,80,42,96,84,26,94,29,34,316,26,20,307,95,7,318
"15061360",54,44,117,36,55,329,54,44,117,29,23,333,80,35,84,84,18,90,27,36,345,26,20,307,94,4,41
"15061361",54,44,117,43,58,322,54,44,117,34,28,21,30,33,41,84,18,90,41,26,344,26,20,307,96,7,318
"15062094",28,6,23,41,58,318,69,48,116,29,8,313,80,41,86,92,3,71,43,38,334,33,26,314,96,7,318
"15061364",54,44,117,43,58,322,76,48,116,30,29,7,80,41,86,84,18,90,36,22,345,33,26,314,95,5,344
"15061365",54,44,117,61,43,319,54,44,117,38,32,14,75,35,83,84,18,90,33,36,334,42,39,319,96,7,318
"15061367",54,44,117,54,49,320,69,48,117,35,29,17,75,35,83,92,6,71,37,36,334,42,39,319,94,4,41
"15061948",54,44,117,61,43,319,54,44,117,57,56,45,75,35,83,84,18,90,42,43,345,57,46,323,96,7,318
"15061368",54,44,117,52,45,305,69,48,117,53,24,40,28,26,41,84,26,94,37,28,316,26,20,307,96,7,318
"15062347",54,44,117,52,45,305,69,48,117,28,16,359,74,37,74,84,18,90,42,36,344,26,20,307,94,4,41
"15061369",54,44,117,52,45,305,66,48,118,47,20,338,60,32,41,92,6,71,43,33,342,26,20,307,96,7,318
"15062097",54,44,117,43,58,322,54,44,117,40,28,27,80,41,86,84,18,90,29,33,324,26,20,307,96,7,318
"15061370",54,44,117,36,55,329,54,44,117,41,37,12,80,41,86,84,18,90,27,33,345,48,58,336,96,7,318
"15062348",54,44,117,54,49,320,54,44,117,35,29,17,76,47,85,84,26,94,27,28,331,53,43,320,94,4,41
"15062349",54,44,117,42,39,319,53,38,112,28,11,318,76,47,85,84,18,90,30,33,324,27,28,306,96,7,318
"15062350",54,44,117,54,49,320,54,44,117,30,16,3,75,35,83,84,26,94,37,33,324,38,40,308,96,7,318
"15061949",54,44,117,41,42,316,54,44,117,29,8,313,76,47,85,92,6,71,27,22,333,26,20,307,94,4,41
"15062351",28,16,359,41,42,316,69,48,117,27,22,344,75,35,83,84,18,90,31,22,344,26,20,307,96,7,318
"15062098",54,44,117,54,49,320,66,48,118,39,28,22,76,47,85,84,18,90,30,33,334,48,58,336,94,4,41
"15061376",54,44,117,36,55,329,54,44,117,38,32,14,75,35,83,84,26,94,31,28,345,48,58,336,96,7,318
"15061377",54,44,117,52,45,305,54,44,117,76,47,85,42,37,40,84,26,94,27,22,333,48,58,336,94,4,41
"15061378",54,44,117,49,57,317,54,44,117,76,47,85,50,26,41,84,18,90,30,28,345,43,40,309,96,7,318
"15061380",28,16,359,43,58,322,54,44,117,42,37,18,76,47,85,84,18,90,27,28,345,26,20,307,94,4,41
"15061382",54,44,117,33,58,312,50,38,115,50,26,342,75,42,83,92,6,71,27,30,328,58,45,310,96,7,318
"15061383",28,16,359,49,57,317,50,38,115,35,29,17,76,36,83,84,18,90,27,23,346,26,20,307,96,7,318
"15061384",28,16,359,43,58,322,54,44,117,30,11,328,80,41,86,92,6,71,31,33,324,27,28,306,96,7,318
"15061385",28,16,359,54,49,320,54,44,117,30,11,328,80,41,86,92,6,71,29,23,333,26,20,307,94,4,41
