"GSCORE","SNP","CHROM","POS","TRAIT","ANNOT"
"0.823","c2_5966","chr11","3559302","CPulpa.H","Phosphoglycolate phosphatase-like, domain 2"
"0.793","c2_36664","chr01","809153","CPTuber.H","PAS domain"
"0.793","c2_53708","chr01","54264723","CPTuber.H","Retrovirus zinc finger-like domains"
"0.793","c2_54797","chr01","992483","CPTuber.H","Rubisco LSMT, substrate-binding domain"
"0.793","c2_686","chr01","14805485","CPTuber.H","Phospholipid-translocating ATPase N-terminal"
"0.793","c1_8619","chr01","7252495","CPTuber.H","Protein kinase domain"
"0.793","c2_45071","chr01","6103001","CPTuber.H","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.793","c2_27903","chr01","7192782","CPTuber.H","Phosphatase BSL, C-terminal metallophosphatase domain"
"0.793","c2_49042","chr01","10922797","CPTuber.H",NA
"0.793","c2_54811","chr01","52996601","CPTuber.H","Enoyl-CoA hydratase/isomerase"
"0.793","c2_40131","chr01","53444045","CPTuber.H","ATP-citrate lyase/succinyl-CoA ligase"
"0.793","c2_52704","chr01","9095607","CPTuber.H","No apical meristem (NAM) protein"
"0.793","c2_55012","chr01","5654532","CPTuber.H","Transcription factor TGA like domain"
"0.793","c2_48155","chr01","7834894","CPTuber.H",NA
"0.792","c2_28521","chr08","50650372","CPTuber.H","ATP-dependent Clp protease proteolytic subunit"
"0.792","c2_56059","chr06","38800602","CPTuber.H","Invertase/pectin methylesterase inhibitor domain superfamily"
"0.792","c2_8431","chr05","52989126","CPTuber.H","Ribosomal Protein L6, KOW domain"
"0.792","c2_15530","chr10","56158687","CPTuber.H","UDP-glucoronosyl and UDP-glucosyl transferase"
"0.792","c2_31156","chr06","49274562","CPTuber.H",NA
"0.792","c2_22205","chr11","42339943","CPTuber.H",NA
"0.792","c1_3894","chr01","72533658","CPTuber.H","MADS MEF2-like"
"0.792","c2_3747","chr11","41925342","CPTuber.H","Sec23/Sec24, helical domain"
"0.792","c2_27414","chr12","49216209","CPTuber.H",NA
"0.792","c2_44634","chr11","21124779","CPTuber.H","Protein of unknown function UPF0301"
"0.792","c2_19537","chr09","45335256","CPTuber.H",NA
"0.792","c2_4978","chr11","25158648","CPTuber.H","Ribosomal protein L44e"
"0.792","c2_37406","chr09","41902886","CPTuber.H",NA
"0.792","c2_54335","chr04","56277376","CPTuber.H",NA
"0.792","c2_44804","chr09","53326789","CPTuber.H","CID domain"
"0.792","c2_30361","chr11","35109336","CPTuber.H","GTD-binding domain"
"0.792","c2_52887","chr04","55044845","CPTuber.H","Putative S-adenosyl-L-methionine-dependent methyltransferase"
"0.792","c2_23170","chr02","29256125","CPTuber.H","Sugar efflux transporter for intercellular exchange"
"0.792","c2_44816","chr09","53270453","CPTuber.H","Immunoglobulin-like fold"
"0.792","c1_958","chr09","40062774","CPTuber.H","Alpha/beta hydrolase fold signature"
"0.792","c2_57257","chr03","52006963","CPTuber.H","EF-hand domain pair"
"0.792","c2_52069","chr05","1907418","CPTuber.H","Cytochrome b561/ferric reductase transmembrane"
"0.792","c1_12797","chr09","54103901","CPTuber.H","Mitochondrial Rho GTPase"
"0.792","c2_39450","chr04","61191297","CPTuber.H","Plant organelle RNA recognition domain"
"0.792","c1_6869","chr03","41009095","CPTuber.H","Protein kinase domain"
"0.792","c1_4604","chr01","75196506","CPTuber.H","Mammalian uncoordinated homology 13, domain 2"
"0.792","c2_49495","chr02","35025916","CPTuber.H","DJ-1/PfpI family"
"0.792","c2_27650","chr09","51854006","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.792","c2_40699","chr12","53644230","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.792","c1_15684","chr05","1135681","CPTuber.H","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"0.792","c2_26509","chr09","46988850","CPTuber.H","Salt stress response/antifungal"
"0.792","c1_10751","chr04","56641710","CPTuber.H","Squalene cyclase"
"0.792","c2_43032","chr09","59162845","CPTuber.H","Rubber elongation factor protein (REF)"
"0.792","c2_42451","chr05","52290923","CPTuber.H","DnaJ domain"
"0.792","c1_14839","chr05","5638954","CPTuber.H","MFS general substrate transporter"
"0.792","c2_8253","chr05","53083990","CPTuber.H","Protein OBERON"
"0.792","c1_8763","chr08","59114829","CPTuber.H","Alcohol dehydrogenase, C-terminal"
"0.792","c2_5440","chr12","319737","CPTuber.H","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.792","c2_52053","chr05","20212269","CPTuber.H","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
"0.792","c2_19556","chr09","54713760","CPTuber.H","Betaine-homocysteine S-methyltransferase, BHMT"
"0.792","c1_9027","chr10","56953687","CPTuber.H","Coatomer beta subunit (COPB1)"
"0.792","c2_42475","chr05","52353892","CPTuber.H","Rad50 zinc hook motif"
"0.792","c2_43049","chr09","59168884","CPTuber.H","AIG1-type guanine nucleotide-binding (G) domain"
"0.792","c2_4165","chr09","3915451","CPTuber.H",NA
"0.792","c2_4030","chr09","3433410","CPTuber.H","Aldolase-type TIM barrel"
"0.792","c1_13236","chr02","30080660","CPTuber.H","WD domain, G-beta repeat"
"0.792","c1_3793","chr05","3721408","CPTuber.H","Aldolase-type TIM barrel"
"0.792","c2_29767","chr10","57277910","CPTuber.H","Putative diphthamide synthesis protein"
"0.792","c1_7622","chr05","489125","CPTuber.H","Insulinase (Peptidase family M16)"
"0.792","c1_7678","chr06","54726821","CPTuber.H","mRNA-decapping enzyme subunit 1"
"0.792","c2_48687","chr12","11869192","CPTuber.H","Trp-Asp (WD) repeats circular profile."
"0.792","c1_7680","chr06","54682311","CPTuber.H","Homeobox domain"
"0.792","c2_12789","chr09","52720097","CPTuber.H","ABC transporter type 1, transmembrane domain"
"0.792","c1_15580","chr01","71530961","CPTuber.H","Golgi SNAP receptor complex, subunit 1"
"0.792","c2_28580","chr08","50583825","CPTuber.H",NA
"0.792","c2_39035","chr09","1064131","CPTuber.H","Homeobox domain"
"0.792","c1_13526","chr10","48923342","CPTuber.H","Protein of unknown function (DUF630)"
"0.792","c2_32467","chr12","5980197","CPTuber.H","Cellulase (glycosyl hydrolase family 5)"
"0.792","c2_23139","chr02","29015208","CPTuber.H",NA
"0.792","c1_13349","chr04","67527515","CPTuber.H","Thioredoxin-like superfamily"
"0.792","c2_16777","chr06","48044220","CPTuber.H","AAA domain (Cdc48 subfamily)"
"0.792","c2_33892","chr06","49952539","CPTuber.H","Cytochrome c-like domain superfamily"
"0.792","c1_16172","chr02","35468438","CPTuber.H","Nucleophile aminohydrolases, N-terminal"
"0.792","c2_35411","chr09","5445375","CPTuber.H",NA
"0.792","c2_53998","chr09","57846815","CPTuber.H",NA
"0.792","c2_1092","chr10","2229320","CPTuber.H","Phosphoenolpyruvate carboxylase, bacterial/plant-type"
"0.792","c2_19081","chr08","54991187","CPTuber.H","L-lactate dehydrogenase [ldh]."
"0.792","c1_3497","chr04","68769666","CPTuber.H",NA
"0.792","c2_4480","chr07","41477431","CPTuber.H","Glycoside hydrolase, family 28"
"0.792","c2_58236","chr09","11085611","CPTuber.H","Prenylated rab acceptor PRA1"
"0.792","c2_13751","chr01","66106436","CPTuber.H",NA
"0.792","c1_16414","chr09","58590119","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.792","c1_3867","chr01","72337680","CPTuber.H","Xeroderma pigmentosum group G/yeast RAD superfamily signature"
"0.792","c2_14848","chr01","87310101","CPTuber.H","XAP5, circadian clock regulator"
"0.792","c2_52700","chr08","52035522","CPTuber.H","Protein of unknown function DUF597"
"0.792","c1_12377","chr02","35334126","CPTuber.H","Forkhead-associated (FHA) domain"
"0.792","c2_14640","chr09","56854945","CPTuber.H","Long-chain-alcohol oxidase"
"0.792","c2_37472","chr04","59695907","CPTuber.H","TRAPP complex, Trs33 subunit"
"0.792","c2_12953","chr04","66208806","CPTuber.H","Homeobox domain"
"0.792","c2_31443","chr11","36343786","CPTuber.H","Helicase conserved C-terminal domain"
"0.792","c1_16258","chr04","11641080","CPTuber.H","ABC transporter-like"
"0.792","c1_11137","chr06","55716119","CPTuber.H","Transmembrane four family signature"
"0.792","c2_52898","chr09","11180794","CPTuber.H","Development and cell death domain"
"0.792","c2_14274","chr01","75053929","CPTuber.H","RNA polymerase Rpb1, domain 1"
"0.792","c2_19692","chr02","27349009","CPTuber.H","Tetratricopeptide-like helical domain superfamily"
"0.792","c2_34958","chr04","56187339","CPTuber.H","E3 ligase, CCCH-type zinc finger"
"0.792","c2_40858","chr09","58867551","CPTuber.H","BTB/POZ domain"
"0.792","c2_20514","chr01","68614630","CPTuber.H",NA
"0.792","c1_6748","chr04","62391020","CPTuber.H","Argininosuccinate lyase"
"0.792","c1_9413","chr01","88228894","CPTuber.H","Flavin monooxygenase FMO"
"0.792","c2_17899","chr02","34459132","CPTuber.H","Glycoside hydrolase family 17"
"0.792","c2_28665","chr10","60022055","CPTuber.H","Late embryogenesis abundant protein, LEA_1 subgroup"
"0.792","c2_24535","chr12","59370296","CPTuber.H","L-lactate/malate dehydrogenase"
"0.792","c2_16274","chr09","48595830","CPTuber.H","UDP-glucoronosyl and UDP-glucosyl transferase"
"0.792","c2_34017","chr04","67147687","CPTuber.H","Homeobox domain"
"0.792","c2_13671","chr01","66548104","CPTuber.H","Protein RETICULATA-related"
"0.792","c2_23254","chr12","7260563","CPTuber.H","6-phosphogluconate dehydrogenase, decarboxylating"
"0.792","c1_7132","chr03","52915590","CPTuber.H","Casparian strip membrane protein domain"
"0.792","c2_18945","chr08","45930362","CPTuber.H",NA
"0.792","c2_5463","chr12","626115","CPTuber.H","Beta-L-arabinofuranosidase, GH127"
"0.792","c2_30296","chr12","39466807","CPTuber.H",NA
"0.792","c2_11679","chr10","44620849","CPTuber.H","Adenylate cyclase associated (CAP) C terminal"
"0.792","c2_15388","chr11","42785949","CPTuber.H","Homeobox domain"
"0.792","c2_48808","chr04","53349146","CPTuber.H","Domain of unknown function (DUF3511)"
"0.792","c2_35997","chr04","67871626","CPTuber.H","DEAD/DEAH box helicase domain"
"0.792","c2_48184","chr08","44057388","CPTuber.H","Vacuolar ATP synthase 16kDa subunit signature"
"0.792","c2_52057","chr05","20205444","CPTuber.H","Phosphoglucomutase/phosphomannomutase family signature"
"0.792","c2_34866","chr04","65070135","CPTuber.H","Protein kinase domain"
"0.792","c1_216","chr09","36014044","CPTuber.H",NA
"0.792","c2_30297","chr11","44107450","CPTuber.H","Alcohol dehydrogenase GroES-like domain"
"0.792","c2_40879","chr09","58749360","CPTuber.H","B-box-type zinc finger"
"0.792","c1_13482","chr07","46355721","CPTuber.H","Ribonuclease III domain"
"0.792","c2_39083","chr09","1248924","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.792","c1_12945","chr04","55649379","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.792","c2_38274","chr10","44206770","CPTuber.H","Cytochrome P450 superfamily"
"0.792","c1_7381","chr07","44327865","CPTuber.H","PsbP, C-terminal"
"0.792","c2_34085","chr08","34629849","CPTuber.H","FAR1 DNA binding domain"
"0.792","c2_41396","chr10","46825111","CPTuber.H","Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal"
"0.792","c2_24","chr01","85668664","CPTuber.H","B3 DNA binding domain"
"0.792","c2_39848","chr04","49170296","CPTuber.H","TLDc domain"
"0.792","c1_7658","chr11","7019700","CPTuber.H","Urate_oxidase"
"0.792","c1_12339","chr02","26161388","CPTuber.H","Serine-threonine/tyrosine-protein kinase, catalytic domain"
"0.792","c2_5774","chr06","50572507","CPTuber.H","AMP-binding enzyme, C-terminal domain"
"0.792","c2_34203","chr11","46398899","CPTuber.H","Secretory peroxidase"
"0.792","c2_54060","chr06","48580498","CPTuber.H","AAA ATPase, AAA+ lid domain"
"0.792","c2_22301","chr06","53614740","CPTuber.H","UDP-glucoronosyl and UDP-glucosyl transferase"
"0.792","c2_7958","chr12","3837083","CPTuber.H","Glyceraldehyde/Erythrose phosphate dehydrogenase family"
"0.792","c2_13766","chr01","69151882","CPTuber.H",NA
"0.792","c2_10563","chr04","68870646","CPTuber.H","Hydroxymethylglutaryl-CoA reductase, eukaryotic/archaeal type"
"0.792","c2_25216","chr07","48573383","CPTuber.H","Myc-type, basic helix-loop-helix (bHLH) domain"
"0.792","c2_28228","chr07","52565452","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.792","c2_46113","chr07","692528","CPTuber.H","Pathogenesis-related protein Bet v 1 family"
"0.792","c1_5656","chr01","71751985","CPTuber.H","Myelodysplasia-myeloid leukemia factor 1-interacting protein"
"0.792","c2_43736","chr04","61312752","CPTuber.H","UDP-glucoronosyl and UDP-glucosyl transferase"
"0.792","c2_35592","chr06","30107444","CPTuber.H","Ribosomal protein L3, bacterial/organelle-type"
"0.792","c1_11935","chr07","6096223","CPTuber.H","Rab-GTPase-TBC domain"
"0.792","c2_33422","chr08","43959543","CPTuber.H","Very-long-chain 3-ketoacyl-CoA synthase"
"0.792","c1_4925","chr11","43031943","CPTuber.H","SIT4 phosphatase-associated protein family"
"0.792","c2_43748","chr04","61552296","CPTuber.H","Plant ascorbate peroxidase signature"
"0.792","c2_10802","chr04","68308218","CPTuber.H","Ascorbate oxidase homologue, first cupredoxin domain"
"0.792","c2_35590","chr06","29872194","CPTuber.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.792","c2_27961","chr12","55744163","CPTuber.H","Serine acetyltransferase, N-terminal domain superfamily"
"0.792","c1_3484","chr04","68859403","CPTuber.H","NAD dependent epimerase/dehydratase family"
"0.792","c2_46195","chr01","65753846","CPTuber.H","Rossmann-like alpha/beta/alpha sandwich fold"
"0.792","c1_58","chr03","56927544","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.792","c2_44335","chr08","42832139","CPTuber.H","Protein kinase domain"
"0.792","c2_56726","chr08","54701702","CPTuber.H","Agenet-like domain"
"0.792","c1_167","chr03","23274682","CPTuber.H","Abhydrolase domain containing 18"
"0.792","c1_9695","chr02","21640872","CPTuber.H","FAD-dependent oxidoreductase 2, FAD binding domain"
"0.792","c1_11391","chr04","58844620","CPTuber.H","Protein GIGANTEA signature"
"0.792","c1_12015","chr05","48976718","CPTuber.H","Transketolase, N-terminal"
"0.792","c1_5560","chr08","57530640","CPTuber.H","Homeobox domain"
"0.792","c2_40745","chr12","47362541","CPTuber.H","Pentacotripeptide-repeat region of PRORP"
"0.792","c2_48810","chr04","53315344","CPTuber.H","Triose-phosphate Transporter family"
"0.792","c2_46708","chr07","4607422","CPTuber.H","AMP-binding enzyme, C-terminal domain"
"0.792","c2_23846","chr05","814688","CPTuber.H","SBP domain"
"0.792","c1_10855","chr07","9419615","CPTuber.H","Rad51/DMC1/RadA"
"0.792","c1_4803","chr01","87065450","CPTuber.H","Auxin responsive protein"
"0.792","c2_55199","chr02","33572556","CPTuber.H",NA
"0.792","c1_7139","chr03","37346461","CPTuber.H","VEFS-Box of polycomb protein"
"0.792","c2_164","chr03","58031464","CPTuber.H","Aldolase-type TIM barrel"
"0.792","c2_32790","chr10","5988843","CPTuber.H","Zinc finger, RING/FYVE/PHD-type"
"0.792","c2_40831","chr10","46445283","CPTuber.H","Arginine decarboxylase"
"0.792","c2_24454","chr12","59193947","CPTuber.H","Ribosomal protein L1/ribosomal biogenesis protein"
"0.792","c1_4415","chr01","66521392","CPTuber.H","Cucumisin-like catalytic domain"
"0.792","c2_38938","chr02","26500723","CPTuber.H","Glutathione S-transferase Omega/GSH"
"0.792","c2_31359","chr04","41356423","CPTuber.H","Protein kinase domain"
"0.792","c2_1486","chr09","30657636","CPTuber.H","PWI domain"
"0.792","c2_6185","chr11","4232240","CPTuber.H","SNU66/SART1 family"
"0.792","c1_1323","chr11","41159413","CPTuber.H","NAD dependent epimerase/dehydratase family"
"0.792","c2_30973","chr01","88257483","CPTuber.H",NA
"0.792","c2_34557","chr07","21039147","CPTuber.H","Vacuolar protein sorting-associated protein Ist1"
"0.792","c2_54204","chr08","3526746","CPTuber.H","Myb-like domain profile."
"0.792","c2_1514","chr09","29700506","CPTuber.H","Major facilitator superfamily"
"0.792","c2_36053","chr04","56746443","CPTuber.H","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.792","c1_3074","chr06","57334590","CPTuber.H","Protein kinase domain"
"0.792","c2_26296","chr07","2496733","CPTuber.H","Chloramphenicol acetyltransferase-like domain superfamily"
"0.792","c1_7430","chr02","28963745","CPTuber.H","MEI2-like, RNA recognition motif 1"
"0.792","c2_11479","chr04","7767497","CPTuber.H","Small GTPase"
"0.792","c1_11211","chr04","59858990","CPTuber.H","Vacuolar protein sorting-associated protein Ist1"
"0.792","c1_10461","chr07","50712754","CPTuber.H","26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit"
"0.792","c2_55124","chr09","29618178","CPTuber.H","Chloroplast envelope transporter"
"0.792","c2_34777","chr12","51975839","CPTuber.H","Cyclic nucleotide-binding domain"
"0.792","c1_11290","chr01","87792873","CPTuber.H","PPM-type phosphatase domain"
"0.792","c1_1249","chr05","55144795","CPTuber.H","Alcohol dehydrogenase GroES-like domain"
"0.792","c2_27863","chr06","35664111","CPTuber.H","Putative tRNA binding domain"
"0.792","c1_16470","chr06","43205349","CPTuber.H","RmlC-like jelly roll fold"
"0.792","c2_29282","chr08","21522650","CPTuber.H",NA
"0.792","c2_681","chr09","36710524","CPTuber.H","CBS domain"
"0.792","c2_35970","chr04","67668177","CPTuber.H","Family of unknown function (DUF5351)"
"0.792","c2_52070","chr05","1913182","CPTuber.H",NA
"0.792","c1_12305","chr02","26209472","CPTuber.H","Ankyrin repeat-containing domain"
"0.792","c1_11363","chr04","58734459","CPTuber.H","Secretory peroxidase"
"0.792","c2_53250","chr06","2343721","CPTuber.H","Tetratricopeptide repeat"
"0.792","c2_36833","chr07","3330903","CPTuber.H","Putative K(+)-stimulated pyrophosphate-energized sodium pump [hppA]."
"0.792","c1_6749","chr04","62367580","CPTuber.H","Mechanosensitive ion channel MscS"
"0.792","c2_20333","chr03","47886232","CPTuber.H","Ubiquitin-conjugating enzyme E2"
"0.792","c2_45603","chr10","48971709","CPTuber.H","Isopropylmalate dehydrogenase-like domain"
"0.792","c2_56794","chr06","21503828","CPTuber.H","Magnesium transporter NIPA"
"0.792","c1_7040","chr06","53910471","CPTuber.H","Lysyl-tRNA synthetase, class II, C-terminal"
"0.792","c2_21682","chr02","24387770","CPTuber.H","Coilin, N-terminal domain"
"0.792","c2_16718","chr04","47529897","CPTuber.H","Cytochrome P450 superfamily"
"0.792","c1_11356","chr04","58789793","CPTuber.H",NA
"0.792","c2_10617","chr04","68743219","CPTuber.H","Glyceraldehyde/Erythrose phosphate dehydrogenase family"
"0.792","c2_36714","chr06","5921332","CPTuber.H","2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
"0.792","c2_8037","chr12","3604993","CPTuber.H","Pyrophosphate-dependent phosphofructokinase TP0108-type"
"0.792","c2_44304","chr08","42730417","CPTuber.H","Protein kinase-like domain superfamily"
"0.792","c2_3962","chr09","4652421","CPTuber.H","Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain"
"0.792","c1_1923","chr12","1556494","CPTuber.H","YT521-B-like domain"
"0.792","c1_4847","chr02","43151687","CPTuber.H","Carboxypeptidase C serine protease (S10) family signature"
"0.792","c2_38556","chr04","63682892","CPTuber.H","Bulb-type lectin domain"
"0.792","c2_10539","chr04","68952759","CPTuber.H","Domain of unknown function CP12"
"0.792","c2_3146","chr06","5211425","CPTuber.H","Serine-threonine/tyrosine-protein kinase, catalytic domain"
"0.792","c1_16459","chr09","56104281","CPTuber.H","K Homology domain, type 1"
"0.792","c2_14947","chr11","39858442","CPTuber.H","Aldehyde oxidase/xanthine dehydrogenase"
"0.792","c2_25560","chr03","46842107","CPTuber.H","Molybdate-anion transporter"
"0.792","c2_27563","chr06","3628154","CPTuber.H","Domain of unknown function (DUF1771)"
"0.792","c2_26008","chr07","51201220","CPTuber.H","Phosphoenolpyruvate carboxylase, bacterial/plant-type"
"0.792","c1_2319","chr09","34137871","CPTuber.H","N-acetyltransferase B complex (NatB) non catalytic subunit"
"0.792","c1_6556","chr09","63031605","CPTuber.H","Long-chain-alcohol oxidase"
"0.792","c1_12179","chr09","60328637","CPTuber.H","Pyridoxal-phosphate dependent enzyme"
"0.792","c1_14683","chr11","39617992","CPTuber.H","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.792","c2_32400","chr02","21485979","CPTuber.H","L-lactate/malate dehydrogenase"
"0.792","c1_6758","chr04","62263846","CPTuber.H","Aspartic peptidase domain superfamily"
"0.792","c2_9039","chr06","57394760","CPTuber.H","Cytochrome P450 superfamily"
"0.792","c2_29981","chr09","62190862","CPTuber.H","MATH/TRAF domain"
"0.792","c2_3512","chr05","54654441","CPTuber.H","C2 domain"
"0.792","c1_513","chr07","37737782","CPTuber.H","Serine aminopeptidase, S33"
"0.792","c2_33280","chr07","57508926","CPTuber.H","Phosphoglycerate kinase"
"0.792","c2_19135","chr08","54844010","CPTuber.H","DnaJ domain"
"0.792","c2_1493","chr09","31891968","CPTuber.H","Winged helix-like DNA-binding domain superfamily"
"0.792","c1_13006","chr10","3721305","CPTuber.H","Mpv17 / PMP22 family"
"0.792","c1_7192","chr10","58252277","CPTuber.H","Actin signature"
"0.792","c2_55700","chr06","43998646","CPTuber.H","Flavin monooxygenase FMO"
"0.792","c1_16406","chr11","39387477","CPTuber.H","EF-hand domain"
"0.792","c2_15047","chr02","43187165","CPTuber.H","Ribosomal protein L7/L12"
"0.792","c2_43588","chr07","4257126","CPTuber.H","Non-repetitive/WGA-negative nucleoporin C-terminal"
"0.792","c1_2405","chr07","10251717","CPTuber.H","P-type ATPase, subfamily IIIA"
"0.792","c2_41541","chr02","30008536","CPTuber.H","NAD(P)-binding domain"
"0.792","c2_325","chr03","56043155","CPTuber.H","AMP-binding enzyme, C-terminal domain"
"0.792","c1_449","chr09","18550286","CPTuber.H","WRKY DNA -binding domain"
"0.792","c1_12802","chr09","54297084","CPTuber.H","Armadillo/beta-catenin-like repeat"
"0.792","c2_37329","chr06","55682080","CPTuber.H","Adenylate kinase isoenzyme 6"
"0.792","c2_55837","chr07","3695590","CPTuber.H","Sucrose-phosphate synthase, C-terminal"
"0.792","c1_10031","chr07","47020118","CPTuber.H","Exostosin, GT47 domain"
"0.792","c2_25219","chr07","48611027","CPTuber.H","Beta-amylase (glycosyl hydrolase family 14) signature"
"0.792","c2_35053","chr07","50789995","CPTuber.H","Leucine-rich repeat domain superfamily"
"0.792","c2_45256","chr10","59057591","CPTuber.H","IMP dehydrogenase/GMP reductase"
"0.792","c1_5295","chr01","75994884","CPTuber.H","GDP-mannose 3,5-epimerase"
"0.792","c1_14442","chr04","48648958","CPTuber.H","Protein tyrosine phosphatase superfamily"
