"GSCORE","SNP","TRAIT","SIGNIFICANCE","REF","SNP_POS","SEQID","GOTERMS","SOURCEANNOT","ANNOT"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","ProSitePatterns","Ribulose-phosphate 3-epimerase family signature 1."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","ProSitePatterns","Ribulose-phosphate 3-epimerase family signature 2."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","SUPERFAMILY","Ribulose-phosphate binding barrel"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","TIGRFAM","Ribulose-phosphate 3-epimerase-like"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","CDD","Ribulose-phosphate 3-epimerase-like"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","Gene3D","Aldolase-type TIM barrel"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","Pfam","Ribulose-phosphate 3 epimerase family"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","ProSitePatterns","Ribulose-phosphate 3-epimerase family signature 1."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","ProSitePatterns","Ribulose-phosphate 3-epimerase family signature 2."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","SUPERFAMILY","Ribulose-phosphate binding barrel"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.2","GO:0003824, GO:0005975, GO:0016857","TIGRFAM","Ribulose-phosphate 3-epimerase-like"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.04G024640.1",NA,NA,NA
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.1","GO:0005515","PRINTS","G protein beta WD-40 repeat signature"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.1","GO:0005515","Pfam","WD domain, G-beta repeat"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.1","GO:0005515","ProSiteProfiles","Trp-Asp (WD) repeats circular profile."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.1","GO:0005515","ProSiteProfiles","Trp-Asp (WD) repeats profile."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.1","GO:0005515","SMART","WD40 repeat"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.1","GO:0005515","SUPERFAMILY","WD40-repeat-containing domain superfamily"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.2","GO:0005515","PRINTS","G protein beta WD-40 repeat signature"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.2","GO:0005515","Pfam","WD domain, G-beta repeat"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.2","GO:0005515","ProSiteProfiles","Trp-Asp (WD) repeats circular profile."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.2","GO:0005515","ProSiteProfiles","Trp-Asp (WD) repeats profile."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.2","GO:0005515","SMART","WD40 repeat"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.07G024520.2","GO:0005515","SUPERFAMILY","WD40-repeat-containing domain superfamily"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.10G022160.1","GO:0016705, GO:0005506, GO:0055114, GO:0020037","Gene3D","Cytochrome P450 superfamily"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.10G022160.1","GO:0016705, GO:0005506, GO:0055114, GO:0020037","PRINTS","Cytochrome P450, E-class, group I"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.10G022160.1","GO:0016705, GO:0005506, GO:0055114, GO:0020037","PRINTS","P450 superfamily signature"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.10G022160.1","GO:0016705, GO:0005506, GO:0055114, GO:0020037","Pfam","Cytochrome P450"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.10G022160.1","GO:0016705, GO:0005506, GO:0055114, GO:0020037","ProSitePatterns","Cytochrome P450 cysteine heme-iron ligand signature."
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.10G022160.1","GO:0016705, GO:0005506, GO:0055114, GO:0020037","SUPERFAMILY","Cytochrome P450 superfamily"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.12G024280.1","GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","CDD","Squalene cyclase"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.12G024280.1","GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","Pfam","Squalene-hopene cyclase C-terminal domain"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.12G024280.1","GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","Pfam","Squalene-hopene cyclase N-terminal domain"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.12G024280.1","GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","ProSitePatterns","Terpene synthase, conserved site"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.12G024280.1","GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","SUPERFAMILY","Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.12G024280.1","GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","TIGRFAM","squalene_cyclas: squalene/oxidosqualene cyclases"
0.967,"c2_21934","CSBrote.C",TRUE,"chr04",5765944,"Soltu.DM.04G005270.1",NA,"Pfam","OCRE domain"
0.967,"c2_21934","CSBrote.C",TRUE,"chr04",5765944,"Soltu.DM.04G005270.3",NA,NA,NA
0.967,"c2_21934","CSBrote.C",TRUE,"chr04",5765944,"Soltu.DM.11G005810.1",NA,NA,NA
0.967,"c2_21934","CSBrote.C",TRUE,"chr04",5765944,"Soltu.DM.12G006870.1",NA,"CDD","Putative O-fucosyltransferase, plant"
0.967,"c2_21934","CSBrote.C",TRUE,"chr04",5765944,"Soltu.DM.12G006870.1",NA,"PIRSF","Putative O-fucosyltransferase, plant"
0.967,"c2_21934","CSBrote.C",TRUE,"chr04",5765944,"Soltu.DM.12G006870.1",NA,"Pfam","GDP-fucose protein O-fucosyltransferase"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.1","GO:0003676","Pfam","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.1","GO:0003676","ProSiteProfiles","Eukaryotic RNA Recognition Motif (RRM) profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.1","GO:0003676","SMART","RNA recognition motif domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.1","GO:0003676","SMART","RNA recognition motif domain, eukaryote"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.1","GO:0003676","SUPERFAMILY","RNA-binding domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.2","GO:0003676","Pfam","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.2","GO:0003676","ProSiteProfiles","Eukaryotic RNA Recognition Motif (RRM) profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.2","GO:0003676","SMART","RNA recognition motif domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.2","GO:0003676","SMART","RNA recognition motif domain, eukaryote"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.09G003150.2","GO:0003676","SUPERFAMILY","RNA-binding domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","CDD","Class XI myosin, cargo binding domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","CDD","Plant myosin, class XI, motor domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","Gene3D","Kinesin motor domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","PRINTS","Myosin heavy chain signature"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","Pfam","Dilute domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","Pfam","IQ motif, EF-hand binding site"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","Pfam","Myosin N-terminal SH3-like domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","Pfam","Myosin head (motor domain)"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","ProSiteProfiles","Dilute domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","ProSiteProfiles","IQ motif, EF-hand binding site"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","ProSiteProfiles","Myosin N-terminal SH3-like domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","ProSiteProfiles","Myosin motor domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","SMART","Dilute domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","SMART","IQ motif, EF-hand binding site"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","SMART","Myosin head, motor domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.1","GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774","SUPERFAMILY","P-loop containing nucleoside triphosphate hydrolases"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","CDD","Class XI myosin, cargo binding domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","CDD","Plant myosin, class XI, motor domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","Gene3D","Kinesin motor domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","PRINTS","Myosin heavy chain signature"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","Pfam","Dilute domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","Pfam","IQ motif, EF-hand binding site"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","Pfam","Myosin N-terminal SH3-like domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","Pfam","Myosin head (motor domain)"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","ProSiteProfiles","Dilute domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","ProSiteProfiles","IQ motif, EF-hand binding site"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","ProSiteProfiles","Myosin N-terminal SH3-like domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","ProSiteProfiles","Myosin motor domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","SMART","Dilute domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","SMART","IQ motif, EF-hand binding site"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","SMART","Myosin head, motor domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.06G002100.2","GO:0003774, GO:0016459, GO:0005524, GO:0005515, GO:0007015","SUPERFAMILY","P-loop containing nucleoside triphosphate hydrolases"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.04G002320.1","GO:0046983","CDD","Myc-type, basic helix-loop-helix (bHLH) domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.04G002320.1","GO:0046983","Gene3D","Helix-loop-helix DNA-binding domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.04G002320.1","GO:0046983","Pfam","Myc-type, basic helix-loop-helix (bHLH) domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.04G002320.1","GO:0046983","ProSiteProfiles","Myc-type, basic helix-loop-helix (bHLH) domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.04G002320.1","GO:0046983","SMART","Myc-type, basic helix-loop-helix (bHLH) domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.04G002320.1","GO:0046983","SUPERFAMILY","Helix-loop-helix DNA-binding domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","Gene3D","Thioredoxin-like superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","Pfam","Glutathione S-transferase, N-terminal domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","ProSiteProfiles","Soluble glutathione S-transferase C-terminal domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","ProSiteProfiles","Soluble glutathione S-transferase N-terminal domain profile."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","SFLD","Glutathione Transferase (cytosolic)"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","SUPERFAMILY","Glutathione S-transferase, C-terminal domain superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.11G002340.1","GO:0005515","SUPERFAMILY","Thioredoxin-like superfamily"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.08G001790.1","GO:0030170, GO:0016831, GO:0003824, GO:0019752","Gene3D","Pyridoxal phosphate-dependent transferase domain 1"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.08G001790.1","GO:0030170, GO:0016831, GO:0003824, GO:0019752","Pfam","Pyridoxal-dependent decarboxylase conserved domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.08G001790.1","GO:0030170, GO:0016831, GO:0003824, GO:0019752","ProSitePatterns","DDC / GAD / HDC / TyrDC pyridoxal-phosphate attachment site."
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.08G001790.1","GO:0030170, GO:0016831, GO:0003824, GO:0019752","SUPERFAMILY","Pyridoxal phosphate-dependent transferase"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.12G003030.1","GO:0003824","Pfam","Chalcone and stilbene synthases, C-terminal domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.12G003030.1","GO:0003824","Pfam","Chalcone and stilbene synthases, N-terminal domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.12G003030.1","GO:0003824","SUPERFAMILY","Thiolase-like"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.1","GO:0055114, GO:0016491","Pfam","Oxidoreductase family, C-terminal alpha/beta domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.1","GO:0055114, GO:0016491","Pfam","Oxidoreductase family, NAD-binding Rossmann fold"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.1","GO:0055114, GO:0016491","SUPERFAMILY","NAD(P)-binding Rossmann-fold domains"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.2","GO:0016491, GO:0055114","Pfam","Oxidoreductase family, C-terminal alpha/beta domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.2","GO:0016491, GO:0055114","Pfam","Oxidoreductase family, NAD-binding Rossmann fold"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.2","GO:0016491, GO:0055114","SUPERFAMILY","NAD(P)-binding Rossmann-fold domains"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.3","GO:0016491, GO:0055114","Pfam","Oxidoreductase family, C-terminal alpha/beta domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.3","GO:0016491, GO:0055114","Pfam","Oxidoreductase family, NAD-binding Rossmann fold"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.3","GO:0016491, GO:0055114","SUPERFAMILY","NAD(P)-binding Rossmann-fold domains"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.4","GO:0055114, GO:0016491","Pfam","Oxidoreductase family, C-terminal alpha/beta domain"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.4","GO:0055114, GO:0016491","Pfam","Oxidoreductase family, NAD-binding Rossmann fold"
0.964,"c2_51974","CSBrote.C",TRUE,"chr08",2472934,"Soltu.DM.01G002290.4","GO:0055114, GO:0016491","SUPERFAMILY","NAD(P)-binding Rossmann-fold domains"
