SAMPLES,c2_10615,c2_10690,c2_33657,c2_44816,c2_52202
15061479,3,3,2,1,2
15061480,4,0,2,1,4
15061481,3,1,3,0,2
15061482,4,1,2,2,3
15061484,4,0,3,3,4
15061485,4,1,2,2,3
15061487,4,0,3,2,3
15061488,3,1,3,1,3
15061489,3,1,3,1,3
15061490,3,1,3,1,3
15061492,3,1,3,1,3
15061493,3,1,3,3,4
15061495,3,1,3,3,4
15061498,3,1,3,2,3
15061500,4,1,2,2,3
15061501,4,0,3,3,4
15061503,3,3,2,1,2
15061504,4,0,4,2,3
15061505,4,0,1,2,2
15061507,3,1,4,2,3
15061508,3,1,4,2,3
15061509,4,0,3,3,3
15061511,4,0,3,3,3
15061514,3,1,2,1,4
15061516,4,0,3,3,4
15061517,3,1,3,2,4
15061518,3,3,2,2,3
15061520,4,0,4,3,4
15061521,4,0,3,2,4
15061523,3,1,2,1,3
15061524,4,0,2,4,4
15061525,3,1,4,2,3
15061526,4,0,2,3,4
15061528,3,1,3,3,4
15061530,3,1,4,2,3
15061533,3,1,4,2,3
15061534,3,1,2,3,4
15061535,3,1,3,3,4
15061536,3,1,4,2,3
15061537,3,1,4,0,1
15061538,3,1,2,2,3
15061539,3,1,2,1,3
15061542,3,1,3,0,2
15061543,3,1,4,2,4
15061546,3,1,2,2,3
15061549,3,1,3,2,4
15061550,4,0,2,3,4
15061551,4,1,2,3,4
15061553,3,0,2,2,4
15061555,3,1,2,2,4
15061556,4,1,2,3,3
15061557,3,1,2,1,4
15061561,3,1,3,2,4
15061564,3,3,2,2,2
15061565,4,0,2,2,3
15061566,3,1,2,1,3
15061567,4,0,1,1,4
15061571,3,1,4,1,4
15061575,4,0,3,3,4
15061576,4,0,3,2,2
15061577,3,1,3,2,4
15061580,3,1,3,2,4
15061585,4,0,3,2,2
15061586,4,0,3,2,2
15061588,4,1,2,2,3
15061601,3,1,3,2,4
15061602,3,0,2,1,3
15061604,4,0,2,3,3
15061608,4,0,3,2,2
15061609,3,1,2,1,3
15061610,3,1,3,2,4
15061614,4,0,4,2,2
15061621,4,0,3,3,4
15061622,4,1,2,2,4
15061626,4,0,2,1,4
15061627,2,2,2,2,4
15061628,4,0,3,3,3
15061629,4,0,2,3,4
15061630,3,1,2,3,4
15061632,4,0,4,2,2
15061633,4,1,2,1,4
15061638,3,1,2,1,4
15061639,3,1,2,3,3
15061640,3,1,4,1,3
15061641,3,1,2,3,3
15061642,3,1,2,1,4
15061645,3,1,4,1,3
15061646,3,1,4,0,1
15061649,4,0,3,2,4
15061650,4,0,2,3,1
15061651,3,1,4,2,3
15061653,3,1,4,2,4
15061654,4,0,4,2,2
15061658,4,0,4,2,2
15061659,4,0,3,2,2
15061665,2,1,2,2,4
15061666,4,0,2,4,4
15061667,4,0,3,3,4
15061668,2,1,2,1,4
15061669,4,0,2,2,4
15061670,3,1,2,3,3
15061671,3,1,4,1,3
15061673,3,1,3,3,4
15061677,3,1,3,1,3
15061678,3,1,3,1,3
15061679,4,0,2,2,4
15061680,3,1,2,3,3
15061682,3,1,2,1,4
15061683,3,1,3,3,4
15061684,4,0,3,1,3
15061686,3,1,3,2,4
15061687,3,1,3,1,4
15061688,3,1,3,2,4
15061690,3,1,3,1,3
15061702,3,1,4,1,3
15061706,4,0,3,2,3
15061707,3,1,3,0,4
15061709,4,0,2,2,4
15061712,3,1,3,3,3
15061714,4,0,3,3,3
15061717,3,1,2,2,4
15061719,3,1,4,0,1
15061720,4,0,2,3,4
15061722,4,1,3,2,3
15061723,4,0,3,3,4
15061724,4,0,2,3,4
15061725,4,0,3,3,3
15061726,3,1,4,2,3
15061729,4,0,2,3,4
15061733,3,1,3,1,3
15061734,3,1,3,1,3
15061735,4,0,3,3,3
15061736,4,0,2,3,4
15061737,4,0,2,3,4
15061738,3,1,3,1,3
15061740,3,1,2,2,3
15061744,4,0,2,2,4
15061747,3,1,4,0,1
15061751,4,0,3,2,2
15061752,3,1,2,2,3
15061753,3,1,3,1,3
15061754,3,2,3,3,4
15061755,3,1,2,2,3
15061756,3,1,2,2,3
15061757,4,0,2,2,4
15061758,3,1,2,3,4
15061760,4,0,2,3,4
15061761,3,1,4,0,1
15061762,3,1,3,3,4
15061764,4,0,3,3,3
15061766,3,1,3,0,2
15061769,4,0,3,3,3
15061771,3,1,3,1,3
15061772,4,0,2,2,4
15061773,4,0,3,4,4
15061776,4,1,2,2,3
15061777,4,0,2,2,4
15061784,3,1,3,1,3
15061785,2,2,1,3,4
15061788,4,0,2,4,4
15061789,4,1,2,2,3
15061790,4,0,2,2,4
15061795,3,1,2,3,4
15061797,3,1,3,1,3
15061798,3,3,2,2,3
15061799,4,0,2,2,4
15061800,4,0,2,3,4
15061811,3,1,2,1,4
15061813,4,1,2,2,3
15061814,3,1,2,3,3
15061815,4,0,4,2,3
15061826,3,3,2,1,3
15061905,3,1,4,2,4
15061906,3,1,2,1,3
15061907,4,1,2,3,2
15061908,3,1,3,1,4
15061909,3,1,3,2,4
15061910,4,0,4,2,3
15061911,3,1,3,2,4
15061915,3,1,3,2,4
15061917,3,1,4,2,4
15061918,4,0,3,2,2
15061926,4,0,4,2,2
15061927,4,0,4,1,3
15061929,4,0,3,3,3
15061930,4,0,3,2,2
15061933,3,1,3,2,4
15061934,4,0,2,3,4
15061937,4,0,2,1,4
15061939,3,1,3,1,3
15061941,4,0,2,2,4
15061944,4,0,1,0,4
15061945,3,1,4,2,4
15061948,3,1,3,2,4
15061949,3,1,2,0,4
15061951,3,1,4,2,4
15061952,4,0,2,3,4
15061953,3,1,2,1,3
15061954,3,1,4,2,4
15061957,3,1,4,1,4
15061958,4,0,1,1,4
15061960,3,1,2,1,3
15061961,3,1,2,1,3
15061964,3,1,4,0,1
15061965,3,1,2,1,2
15061966,4,0,3,2,3
15061967,3,1,4,2,4
15061968,4,0,2,2,4
15061969,4,0,3,2,4
15062036,4,0,3,2,4
15062038,3,1,4,2,4
15062039,3,1,4,2,4
15062050,4,0,4,2,4
15062051,3,1,4,2,4
15062052,3,1,4,2,4
15062053,3,1,4,2,4
15062063,3,1,3,2,4
15062067,4,0,3,2,4
15062069,4,0,2,4,4
15062071,3,1,4,0,1
15062080,4,0,3,2,3
15062081,3,1,3,0,3
15062092,3,1,3,2,4
15062094,3,1,2,1,3
15062097,3,1,2,1,4
15062100,4,0,3,2,4
15062101,4,0,3,3,4
15062102,4,0,3,1,3
15062103,2,2,2,1,3
15062105,3,1,2,1,3
15062106,3,1,3,1,3
15062107,3,1,4,2,3
15062108,3,1,3,1,3
15062109,3,1,4,2,4
15062112,3,1,2,1,3
15062115,4,0,2,1,4
15062117,3,1,4,2,4
15062118,3,1,4,2,4
15062119,3,1,3,2,4
15062122,4,0,2,4,4
15062124,4,0,3,3,3
15062126,3,1,2,1,4
15062133,3,1,3,3,4
15062136,4,0,3,3,3
15062139,4,0,3,3,3
15062143,4,0,3,3,4
15062144,3,1,2,1,3
15062145,3,1,3,0,4
15062146,3,1,2,3,4
15062147,4,0,3,3,3
15062149,4,0,3,3,3
15062150,4,2,3,3,3
15062151,3,1,4,3,4
15062152,3,1,3,1,3
15062153,3,1,3,1,3
15062332,4,0,3,2,2
15062333,4,0,2,1,4
15062334,4,0,3,2,2
15062335,4,0,1,2,2
15062337,3,1,4,2,4
15062338,3,1,4,2,4
15062339,4,0,3,3,4
15062344,3,1,3,1,4
15062346,3,1,3,2,2
15062347,4,0,2,2,4
15062349,3,1,3,2,4
15062350,3,1,2,0,4
15062351,3,1,3,3,4
15062353,4,0,2,2,4
15062354,3,1,4,2,4
15062356,3,1,2,3,4
15062357,3,1,2,1,3
15062358,3,1,3,1,3
15062359,2,1,2,1,4
15062360,4,0,3,2,4
15062361,3,1,3,1,4
15062363,3,1,4,2,4
15062366,3,3,2,1,3
15062367,4,0,2,1,4
15062368,3,1,4,2,4
15062369,4,0,3,3,3
15062371,4,0,3,2,2
