SAMPLES,c1_4803,c2_14841,c2_28012,c2_38167,c2_44000
15062147,3,3,1,0,2
15062149,3,3,1,0,2
15062150,3,2,0,0,2
15062151,2,0,1,0,3
15062152,3,1,1,1,3
15062153,3,1,1,1,3
15062332,1,1,1,0,3
15062333,3,2,0,1,3
15062334,1,1,1,0,3
15062335,3,1,0,2,3
15062337,2,0,0,0,4
15062338,2,0,0,0,4
15062339,2,0,0,0,4
15062344,3,1,0,0,3
15062346,2,0,1,0,4
15062347,2,0,0,0,4
15062349,3,1,1,1,3
15062350,4,1,0,1,4
15062351,3,2,0,0,2
15062353,2,1,0,1,2
15062354,2,0,0,0,4
15062356,2,1,1,0,3
15062357,2,1,0,0,4
15062358,3,1,1,1,3
15062359,1,0,0,0,4
15062360,2,2,0,0,4
15062361,3,1,0,1,3
15062363,2,1,0,1,4
15062366,4,1,0,0,3
15062367,2,0,0,0,4
15062368,2,0,0,0,4
15062369,3,3,1,0,2
15062371,1,1,1,0,3
