SAMPLES,c1_13482,c1_4799,c2_10681,c2_48370,c2_57401
15062145,4,2,4,3,0
15062146,2,0,3,2,3
15062147,2,2,4,3,2
15062149,2,2,4,3,2
15062150,2,1,4,3,1
15062151,3,1,3,2,0
15062152,1,1,3,3,0
15062153,1,1,3,3,0
15062332,1,2,4,4,0
15062333,0,1,2,4,0
15062334,1,2,4,4,0
15062335,2,2,4,4,0
15062337,2,2,3,3,0
15062338,2,2,3,3,0
15062339,1,3,4,4,1
15062344,0,2,4,2,0
15062346,3,1,3,3,0
15062347,3,1,3,3,0
15062349,2,2,4,3,0
15062350,1,1,3,3,0
15062351,1,2,4,2,2
15062353,1,0,3,3,0
15062354,2,2,3,3,0
15062356,2,0,3,2,3
15062357,1,0,4,3,0
15062358,1,1,3,3,0
15062359,2,2,4,2,0
15062360,2,1,3,4,1
15062361,2,1,3,3,0
15062363,1,3,4,3,0
15062366,3,2,4,3,0
15062367,4,2,2,3,0
15062368,2,2,3,3,0
15062369,2,2,4,3,2
15062371,1,2,4,4,0
