SAMPLES,c1_15909,c1_16643,c1_4238,c1_4925,c1_5126,c1_7132,c2_10615,c2_10690,c2_12770,c2_13133,c2_13177,c2_13180,c2_19081,c2_22165,c2_27635,c2_30460,c2_33657,c2_4030,c2_44816,c2_51370,c2_51567,c2_52196,c2_52202,c2_52203,c2_56602
15060797,3,4,4,0,3,1,4,0,2,0,0,0,4,0,2,4,1,2,2,0,2,0,4,4,0
15060846,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15060907,4,2,3,0,3,2,4,0,2,0,0,0,3,1,2,4,3,3,3,0,4,0,2,4,0
15060909,3,4,3,0,3,1,3,1,3,1,1,1,1,1,3,4,3,1,2,2,3,0,4,4,0
15060910,3,3,3,3,3,2,3,1,3,1,1,1,3,1,3,4,4,2,2,0,4,0,3,4,1
15061007,3,4,4,0,4,1,4,0,3,1,0,0,0,0,3,4,2,3,3,0,4,0,4,4,1
15061011,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061122,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061204,4,4,4,0,4,0,4,0,2,0,0,0,2,0,2,NA,2,3,2,2,3,0,3,4,1
15061213,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061215,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061216,4,3,4,0,4,1,4,1,3,0,0,0,2,0,3,2,3,2,2,0,4,1,2,3,0
15061225,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15061226,4,4,4,1,4,1,4,0,2,0,0,0,2,1,2,2,2,3,3,0,3,0,4,4,0
15061237,3,4,4,1,3,0,4,0,2,0,0,0,2,0,2,2,1,2,2,0,2,1,3,3,1
15061256,2,4,4,0,3,1,4,1,4,0,0,0,1,0,4,2,3,2,3,0,3,0,4,4,1
15061257,4,4,4,0,3,0,4,0,2,0,0,0,3,0,2,3,1,2,2,0,2,1,3,3,0
15061258,3,4,4,2,4,0,4,0,2,0,0,0,1,1,2,2,2,1,3,0,4,0,4,4,0
15061259,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061261,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061262,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
15061263,4,4,3,1,4,1,2,2,4,1,1,1,3,2,4,4,4,3,0,0,NA,0,3,4,0
15061264,4,4,3,1,4,2,3,1,4,1,1,1,2,1,NA,4,4,2,1,0,2,1,2,3,NA
15061265,4,4,4,3,2,1,4,0,4,0,0,0,2,1,4,3,2,2,1,0,4,0,4,4,0
15061270,3,4,4,1,4,0,4,0,3,0,0,0,2,0,3,3,3,2,3,1,4,0,4,4,1
15061271,4,4,4,3,4,2,4,0,2,0,0,0,3,2,2,NA,1,1,2,0,4,2,2,2,0
15061273,4,4,4,3,2,1,4,0,4,0,0,0,2,1,4,3,2,2,1,0,4,0,4,4,0
15061274,4,3,4,2,3,1,3,1,4,0,0,0,3,2,4,3,4,2,1,0,4,0,4,4,0
15061277,4,4,4,3,4,1,4,0,4,0,0,0,2,1,4,3,3,3,2,2,3,1,3,3,0
15061279,2,4,4,3,4,2,3,1,3,0,0,0,2,2,3,2,3,1,1,0,4,0,4,4,2
15061281,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061283,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061286,4,4,4,3,4,2,4,0,2,0,0,0,3,2,2,NA,1,1,2,0,4,2,2,2,0
15061288,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061289,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061290,4,4,4,2,3,1,3,1,4,0,0,0,2,1,4,3,2,3,2,3,4,0,4,4,0
15061291,3,4,4,2,4,2,3,1,3,0,0,0,1,2,3,4,2,3,2,0,4,1,3,3,1
15061293,3,4,2,1,4,2,4,0,3,2,2,2,2,1,3,3,2,1,2,0,3,0,4,4,0
15061295,4,4,2,1,4,2,4,0,3,1,1,1,1,1,3,2,3,2,4,0,3,0,4,4,0
15061296,3,4,4,2,4,0,3,1,3,0,0,0,2,1,3,3,2,2,3,1,4,0,4,4,1
15061297,2,4,4,0,3,1,4,1,4,0,0,0,1,0,4,2,3,2,3,0,3,0,4,4,1
15061298,3,4,3,3,4,2,3,1,3,1,1,1,2,2,3,3,1,2,2,0,4,0,3,4,0
15061300,4,4,4,2,3,2,4,0,3,0,0,0,0,1,3,3,2,1,1,1,4,0,4,4,0
15061301,3,4,3,3,4,2,3,1,3,1,1,1,2,2,3,3,1,2,2,0,4,0,3,4,0
15061302,2,4,3,0,4,2,3,1,4,1,1,1,2,0,4,4,2,0,0,0,4,0,4,4,1
15061303,3,4,3,0,3,1,3,1,3,1,1,1,1,1,3,4,3,1,2,2,3,0,4,4,0
15061305,2,4,3,2,4,2,4,0,3,1,1,1,2,1,3,3,2,0,2,0,3,0,4,4,0
15061307,4,3,3,0,4,2,4,0,4,1,1,1,2,0,4,4,4,3,2,0,4,1,3,3,0
15061312,3,4,4,2,4,2,3,1,3,0,0,0,1,2,3,4,2,3,2,0,4,1,3,3,1
15061313,3,4,4,2,3,1,3,1,4,0,0,0,1,1,4,3,3,2,0,0,3,0,2,4,0
15061314,3,4,4,3,3,0,3,1,3,0,0,0,4,2,3,2,4,1,1,0,4,1,3,3,1
15061317,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
15061320,3,4,3,1,4,2,4,0,2,1,1,1,2,1,2,4,2,3,4,3,2,0,4,4,0
15061323,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15061324,3,2,1,0,4,1,4,0,3,2,3,3,1,1,3,3,2,3,3,1,4,0,2,4,2
15061327,3,4,4,3,3,1,3,1,4,0,0,0,1,1,4,2,2,2,1,0,4,0,4,4,0
15061329,3,4,3,2,4,0,3,1,4,1,1,1,1,1,4,3,3,3,2,1,4,0,4,4,2
15061330,3,2,3,2,4,1,4,0,4,1,1,1,2,1,4,3,2,2,1,1,4,1,1,3,0
15061331,4,4,3,2,3,2,3,1,4,1,1,1,0,1,4,2,1,1,1,1,4,0,4,4,0
15061335,3,4,3,2,2,2,3,1,4,1,1,1,0,1,4,4,1,3,1,0,4,0,4,4,0
15061336,2,4,3,2,4,1,4,0,3,1,1,1,1,1,3,3,3,1,1,1,4,1,3,3,1
15061340,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061342,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061344,3,3,3,1,3,2,4,0,3,1,1,1,3,1,3,3,2,1,2,0,4,0,4,4,1
15061345,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061346,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061347,4,4,3,1,4,0,3,1,3,1,1,1,1,0,3,3,3,2,3,0,4,0,4,4,0
15061349,4,4,4,2,2,1,4,0,3,0,0,0,2,1,3,2,3,1,1,0,4,0,4,4,1
15061352,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061353,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061355,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061360,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061364,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061365,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061367,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15061368,4,4,3,1,2,1,4,0,3,1,1,1,3,1,3,4,2,1,2,1,4,0,4,4,1
15061369,4,4,3,1,2,1,4,0,3,1,1,1,3,1,3,4,2,1,2,1,4,0,4,4,1
15061370,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061377,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061378,3,4,3,2,2,2,3,1,4,1,1,1,0,1,4,4,1,3,1,0,4,0,4,4,0
15061380,4,4,3,1,4,0,3,1,3,1,1,1,1,0,3,3,3,2,3,0,4,0,4,4,0
15061382,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15061383,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061384,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061385,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061386,4,4,3,1,2,1,4,0,3,1,1,1,3,1,3,4,2,1,2,1,4,0,4,4,1
15061388,2,4,3,2,4,1,4,0,4,1,1,1,2,1,4,3,2,2,2,0,4,0,4,4,1
15061389,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061390,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061392,2,4,4,1,3,1,4,1,3,0,0,0,2,0,3,NA,2,4,4,0,3,0,3,4,0
15061394,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
15061396,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
15061404,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061406,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061410,2,3,2,1,4,1,2,1,4,2,2,2,2,3,4,4,2,3,1,2,4,0,4,4,0
15061411,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061414,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061415,4,4,4,1,4,1,4,0,4,0,0,0,3,0,4,3,3,3,3,0,4,0,3,4,0
15061417,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061418,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061419,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061420,3,4,3,1,4,2,4,0,2,1,1,1,2,1,2,4,2,3,4,3,2,0,4,4,0
15061421,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061422,4,4,3,1,4,0,3,3,3,1,1,2,3,2,3,4,2,1,1,0,4,0,3,4,0
15061423,4,4,3,1,4,0,3,3,2,2,1,1,3,2,3,4,2,1,2,0,4,0,2,4,0
15061424,3,4,4,2,4,0,4,0,2,0,0,0,1,1,2,3,2,1,3,0,4,0,4,4,0
15061425,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061430,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061434,4,4,4,1,4,1,4,0,4,0,0,0,3,0,4,3,3,3,3,0,4,0,3,4,0
15061435,4,4,4,1,3,2,4,0,3,0,0,0,1,0,3,3,2,3,2,1,4,0,4,4,1
15061436,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,2,1,3,1,3,3,0
15061437,4,4,4,1,4,2,3,1,2,0,0,0,1,1,2,3,3,1,3,0,4,0,4,4,0
15061438,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061439,4,4,4,1,4,2,3,1,2,0,0,0,1,1,2,3,3,1,3,0,4,0,4,4,0
15061441,4,4,4,2,3,2,4,0,3,0,0,0,0,1,3,3,2,1,1,1,4,0,4,4,0
15061442,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061443,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,2,1,3,1,3,3,0
15061444,3,4,4,1,4,0,4,0,2,0,0,0,2,1,2,3,3,2,3,0,3,0,2,4,0
15061445,4,4,4,2,3,2,4,0,3,0,0,0,0,1,3,3,2,1,1,1,4,0,4,4,0
15061447,4,4,3,1,4,0,3,3,3,1,1,2,2,2,3,4,2,2,2,0,4,0,3,4,0
15061453,4,4,4,2,3,2,4,0,3,0,0,0,0,1,3,3,2,1,1,1,4,0,4,4,0
15061458,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061459,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061461,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15061462,4,4,4,1,4,2,3,1,2,0,0,0,1,1,2,3,3,1,3,0,4,0,4,4,0
15061463,4,4,3,2,4,0,3,2,3,1,1,1,2,2,3,4,2,1,1,0,4,0,3,4,0
15061469,3,3,3,1,3,2,4,0,3,1,1,1,3,1,3,3,2,1,2,0,4,0,4,4,1
15061470,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061471,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061475,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061477,3,4,4,1,4,0,4,0,2,0,0,0,2,1,2,3,3,2,3,0,3,0,2,4,0
15061478,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061479,4,4,3,1,4,0,3,3,2,2,1,2,3,2,3,4,2,1,1,0,4,0,2,4,0
15061480,4,4,4,2,3,2,4,0,3,0,0,0,0,1,3,3,2,1,1,1,4,0,4,4,0
15061481,3,4,4,2,3,1,3,1,4,0,0,0,1,1,4,3,3,2,0,0,3,0,2,4,0
15061482,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,2,1,3,1,3,3,0
15061484,3,4,4,1,4,0,4,0,3,0,0,0,2,0,3,3,3,2,3,1,4,0,4,4,1
15061485,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,2,1,3,1,3,3,0
15061487,4,4,3,1,4,0,4,0,3,1,1,1,2,0,3,3,3,2,2,0,3,0,3,4,0
15061488,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061489,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061490,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061492,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061493,4,4,3,1,4,0,3,1,3,1,1,1,1,0,3,3,3,2,3,0,4,0,4,4,0
15061495,4,4,3,1,4,0,3,1,3,1,1,1,1,0,3,3,3,2,3,0,4,0,4,4,0
15061498,3,4,3,3,4,0,3,1,3,1,1,1,1,2,3,2,3,1,2,1,4,1,3,3,0
15061500,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,2,1,3,1,3,3,0
15061501,3,4,4,1,3,1,4,0,3,0,0,0,3,0,3,4,3,1,3,0,3,0,4,4,0
15061503,4,4,3,1,4,0,3,3,2,1,1,2,3,3,3,4,2,1,1,0,4,0,2,4,0
15061504,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,3,4,1
15061505,4,4,4,3,4,2,4,0,2,0,0,0,3,2,2,NA,1,1,2,0,4,2,2,2,0
15061507,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061508,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061509,4,4,3,1,4,2,4,0,3,1,1,1,1,2,3,3,3,2,3,0,4,0,3,4,0
15061511,4,4,3,1,4,2,4,0,3,1,1,1,1,1,3,3,3,2,3,0,4,0,3,4,0
15061514,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061516,3,4,4,1,3,1,4,0,3,0,0,0,3,0,3,4,3,1,3,0,3,0,4,4,0
15061517,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061518,4,4,2,1,4,0,3,3,2,1,1,2,3,2,3,4,2,1,2,0,4,0,3,4,0
15061520,3,3,3,2,4,1,4,0,2,1,1,1,1,2,2,4,4,3,3,0,4,0,4,4,2
15061521,3,3,3,1,4,2,4,0,4,1,1,1,1,1,4,4,3,2,2,0,4,0,4,4,0
15061523,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,2
15061524,4,4,4,2,3,1,4,0,3,0,0,0,1,1,3,2,2,4,4,0,2,0,4,4,0
15061525,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061526,3,4,4,2,4,0,4,0,2,0,0,0,1,1,3,3,2,1,3,0,4,0,4,4,0
15061528,4,4,3,1,4,0,3,1,3,1,1,1,1,0,3,3,3,2,3,0,4,0,4,4,0
15061530,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061533,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061534,4,3,3,0,4,1,3,1,4,1,1,1,2,0,4,3,2,3,3,0,4,0,4,4,1
15061535,4,4,3,1,4,0,3,1,3,1,1,1,1,0,3,3,3,2,3,0,4,0,4,4,0
15061536,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061537,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
15061538,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,2,0,3,1,3,3,1
15061539,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061542,3,4,4,2,3,1,3,1,4,0,0,0,1,1,4,3,3,2,0,0,3,0,2,4,0
15061543,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,2
15061546,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,2,0,3,1,3,3,2
15061549,2,4,4,3,4,2,3,1,3,0,0,0,2,2,3,2,3,1,2,0,4,0,4,4,2
15061550,3,4,4,2,4,0,4,0,2,0,0,0,1,1,2,3,2,1,3,0,4,0,4,4,0
15061551,3,4,4,3,4,2,4,1,3,0,0,0,2,1,3,4,2,1,3,1,3,1,4,3,0
15061553,3,4,3,1,4,0,3,0,3,1,1,1,2,1,3,3,2,2,2,0,3,0,4,4,0
15061555,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,2,0,4,0,4,4,0
15061556,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,3,1,3,1,3,3,0
15061557,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061561,3,4,4,2,4,1,3,1,3,0,0,0,1,3,3,2,3,4,2,1,3,0,4,4,0
15061564,4,4,3,1,4,0,3,3,2,2,1,2,3,2,3,4,2,1,2,0,4,0,2,4,0
15061565,4,3,2,1,3,2,4,0,2,2,2,2,3,0,2,3,2,3,2,1,3,0,3,4,0
15061566,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061567,4,4,4,3,1,1,4,0,3,0,0,0,1,2,3,2,1,4,1,0,4,0,4,4,2
15061571,3,4,4,2,3,2,3,1,4,0,0,0,3,1,4,4,4,2,1,0,3,0,4,4,1
15061575,3,4,4,1,4,0,4,0,3,0,0,0,2,0,3,3,3,2,3,1,4,0,4,4,1
15061576,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061577,3,4,3,2,4,0,3,1,4,1,1,1,1,1,4,3,3,3,2,1,4,0,4,4,2
15061580,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061585,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061586,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061588,3,3,4,3,4,2,4,1,3,0,0,0,2,2,3,4,2,1,2,1,3,1,3,3,0
15061601,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061602,3,4,3,1,4,0,3,0,3,1,1,1,1,2,3,3,2,1,1,0,3,0,3,4,NA
15061604,3,3,3,1,4,2,4,0,4,1,1,1,2,1,4,4,2,3,3,2,4,0,3,4,2
15061608,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15061609,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061610,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15061614,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15061621,3,4,4,1,3,1,4,0,3,0,0,0,3,0,3,4,3,1,3,0,3,0,4,4,0
15061622,3,4,4,2,3,1,4,1,3,0,0,0,1,1,NA,2,2,2,2,0,4,0,4,4,0
15061626,4,4,4,1,3,0,4,0,3,0,0,0,1,2,3,4,2,2,1,0,4,0,4,4,1
15061627,3,4,4,4,4,2,2,2,4,0,0,0,2,2,4,2,2,2,2,1,3,0,4,4,0
15061628,4,4,3,1,4,2,4,0,3,1,1,1,1,2,3,3,3,2,3,0,4,0,3,4,0
15061629,4,3,4,1,4,1,4,0,2,0,0,0,1,1,2,3,2,1,3,0,4,0,4,4,0
15061630,4,3,3,0,4,1,3,1,4,1,1,1,2,0,4,3,2,3,3,0,4,0,4,4,1
15061632,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15061633,3,3,4,1,2,4,4,1,3,0,0,0,2,1,3,4,2,1,1,0,3,0,4,4,0
15061638,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061639,3,3,3,2,4,2,3,1,2,1,1,1,1,3,2,2,2,3,3,3,4,1,3,3,0
15061640,3,4,4,3,4,0,3,1,4,0,0,0,1,1,4,2,4,2,1,0,4,1,3,3,1
15061641,3,3,3,2,4,2,3,1,2,1,1,1,2,3,2,2,2,3,3,3,4,1,3,3,0
15061642,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15061645,3,4,4,3,4,0,3,1,4,0,0,0,1,1,4,2,4,2,1,0,4,1,3,3,1
15061646,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
