"Samples","Tallo.L","Tallo.C","Tallo.H","PriFlor.L","PriFlor.C","PriFlor.H","Baya.L","Baya.C","Baya.H","PriTuber.L","PriTuber.C","PriTuber.H","SecTuber.L","SecTuber.C","SecTuber.H","Pulpa.L","Pulpa.C","Pulpa.H","PriBrote.L","PriBrote.C","PriBrote.H","SecBrote.L","SecBrote.C","SecBrote.H"
"15061544",28,16,359,66,36,324,50,28,115,27,19,5,76,47,85,92,3,32,33,26,314,94,4,41
"15061449",54,44,117,58,45,310,66,48,117,51,43,355,80,42,96,84,18,90,26,20,307,96,7,318
"15062348",54,44,117,54,49,320,54,44,117,35,29,17,76,47,85,84,26,94,53,43,320,94,4,41
"15061916",54,44,117,36,39,321,58,32,112,27,19,5,75,35,83,84,18,90,26,20,307,96,7,318
"15062138",28,16,359,43,58,322,69,59,106,29,8,313,75,35,83,92,3,32,27,28,306,94,4,41
"15061946",28,16,359,48,40,314,54,44,117,27,22,344,79,36,83,92,6,71,26,20,307,96,7,318
"15061676",54,44,117,41,42,316,58,45,128,38,32,14,79,36,83,84,18,90,33,26,314,96,7,318
"15060536",54,44,117,67,36,319,54,44,117,81,32,84,29,36,96,84,18,90,47,59,350,95,7,318
"15061391",28,16,359,36,55,329,54,44,117,28,16,359,80,41,86,84,18,90,94,4,41,33,34,316
"15061662",28,16,359,49,42,312,50,38,115,28,16,359,80,42,96,92,3,32,33,26,314,94,4,41
"15061228",28,16,359,43,58,312,58,45,128,30,11,328,82,35,93,84,18,90,26,20,307,95,7,318
"15061356",54,44,117,61,43,319,54,44,117,60,35,53,50,26,342,92,6,88,54,49,320,96,7,318
"15061963",54,44,117,43,58,322,58,45,128,28,11,318,80,41,86,92,6,71,43,38,334,94,4,41
"15061338",28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,92,6,71,26,20,307,96,7,318
"15062331",54,44,117,45,57,327,77,8,70,50,26,342,74,37,74,92,6,71,43,58,322,95,5,344
"15062098",54,44,117,54,49,320,66,48,118,39,28,22,76,47,85,84,18,90,48,58,336,94,4,41
"15062114",28,16,359,43,58,322,71,50,115,76,47,85,29,8,313,84,18,90,54,39,308,96,7,318
"15062046",54,44,117,45,57,327,54,44,117,80,41,86,49,41,6,84,26,94,44,53,341,95,7,318
"15062370",54,44,117,43,58,312,54,44,117,29,8,313,75,35,83,84,26,94,26,20,307,94,4,41
"15061685",49,21,132,54,49,320,71,50,115,38,32,14,82,40,18,84,26,94,27,28,306,96,7,318
"15061540",54,44,117,43,58,322,72,45,115,80,41,86,42,32,25,84,18,90,26,20,307,48,58,353
"15061721",54,24,136,45,57,327,69,59,106,39,28,22,80,41,86,84,18,90,37,43,331,96,7,318
"15062074",54,44,117,70,31,304,54,44,117,80,41,86,50,26,342,92,3,32,26,20,307,94,4,41
"15062362",54,44,117,41,42,316,54,44,117,76,47,85,38,31,10,84,18,90,43,40,309,94,4,41
"15061689",54,44,117,36,55,329,69,59,106,28,11,318,79,36,83,84,18,90,36,47,352,96,7,318
"15061357",28,16,359,43,58,322,54,44,117,29,8,313,75,35,83,84,18,90,26,20,307,94,4,41
"15061376",54,44,117,36,55,329,54,44,117,38,32,14,75,35,83,84,26,94,48,58,336,96,7,318
"15061308",54,44,117,57,46,323,54,44,117,29,8,313,75,47,18,82,35,93,27,28,306,95,7,318
