SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061522,38.802,48,118.47678,118,58.218,66,27.117,20,310.169,307,35.494,26,43.5,43,34.175,47,137.062,85,19.221,6,82.18,71,88.17654,92,93.258,94,34.12926,32,45.005,14,70.286,38,26.27343,16,193.177,359,40.468,28
15060081,43.682,32,115.81197,112,59.487,58,29.84,20,298.531,307,38.674,26,60.551,52,29.829,41,143.558,86,19.989,5,81.147,52,85.28993,94,90.768,95,32.53911,29,116.498,7,61.739,30,37.82124,44,161.746,117,52.976,54
15061656,45.779,45,120.94694,128,59.277,58,26.903,42,323.081,316,31.402,41,50.581,66,36.155,36,121.894,346,11.273,6,92.705,71,87.32166,92,94.46,95,32.8535,26,64.525,80,66.911,82,40.43555,38,140.855,132,53.95,53
15061759,48.78,59,115.56571,106,62.658,69,29.249,40,323.616,308,35.194,38,41.872,33,23.37,45,140.722,83,9.525,26,86.358,94,87.49875,84,94.692,96,32.46047,16,150.535,3,62.511,30,39.08042,44,166.08,117,51.077,54
15061928,41.548,44,115.18931,117,56.919,54,44.147,35,323.616,303,46.643,65,45.552,45,22.687,11,86.516,328,17.005,6,86.229,71,86.93978,92,95.246,96,32.32767,41,84.693,86,61.858,80,26.51028,16,193.177,359,44.432,28
15061454,40.009,44,117.91593,117,55.971,54,30.691,40,310.169,308,33.91,38,45.176,43,23.226,19,169.902,5,11.797,18,90.913,90,88.17654,84,96.53,94,35.58541,42,110.317,96,70.39,80,33.52304,44,128.408,117,44.575,54
15061605,43.368,48,118.96476,118,57.676,66,46.89,49,323.081,320,43.092,54,50.572,61,38.668,42,231.129,96,10.872,8,73.261,95,86.94433,89,98.287,96,31.57598,43,133.486,355,54.549,51,38.5634,44,166.08,117,49.705,54
15060087,46.027,28,115.60649,115,60.063,50,28.574,20,310.169,307,33.813,26,45.495,41,19.825,11,132.648,328,7.086,4,71.363,41,90.01872,94,93.231,95,37.5492,32,96.529,84,74.463,81,20.83334,16,263.207,359,33.971,28
15061619,45.866,38,118.21446,132,59.776,53,34.626,53,310.169,346,40.501,39,48.402,43,21.251,11,165.825,318,15.683,18,88.018,90,87.49875,84,86.544,96,36.56501,41,84.525,86,69.923,80,29.1329,16,263.207,359,38.951,28
15060090,42.132,48,118.64904,118,56.395,66,34.106,20,319.835,307,33.448,26,51.738,41,30.818,36,167.915,346,10.996,5,80.581,52,87.16579,94,93.906,95,33.23975,32,85.912,84,68.589,81,39.47442,44,193.177,117,51.61,54
15061731,45.866,48,118.38837,118,59.776,66,34.085,41,310.169,347,40.501,35,48.402,54,21.251,43,165.825,355,15.683,18,88.018,90,87.49875,84,86.544,95,36.58504,36,84.525,83,69.923,79,28.92081,16,263.207,359,38.951,28
15061655,44.699,48,117.69576,118,56.214,66,29.897,55,305.359,329,43.455,36,59.803,66,27.173,47,89.335,85,13.394,18,87.262,90,87.27147,84,90.327,94,32.01935,29,88.581,17,67.582,50,41.38644,44,157.887,117,54.723,54
15061661,43.927,38,116.10817,132,57.076,53,36.226,40,316.878,308,42.129,38,46.402,67,30.885,36,172.273,346,9.329,3,69.998,32,86.72769,92,97.003,96,32.86769,41,102.726,86,69.367,80,42.40066,44,128.408,117,55.016,54
15061499,47.124,59,115.59053,106,61.839,69,31.969,26,312.364,314,31.706,33,41.872,66,30.561,41,132.648,86,16.896,18,73.887,90,85.28993,84,95.044,96,32.54063,39,48.831,17,60.97,43,40.81024,44,166.08,117,53.421,54
15061647,46.366,44,115.91115,117,61.839,54,29.21,28,310.696,306,36.582,27,54.389,52,29.829,47,137.276,85,19.989,6,81.725,71,85.28993,92,94.489,94,34.10395,28,121.024,345,59.586,30,35.51676,44,161.746,117,49.783,54
15061612,42.364,44,115.46513,117,57.537,54,31.139,26,310.463,314,33.813,33,46.737,43,30.05,41,80.449,86,8.584,6,87.172,71,88.84396,92,89.228,95,33.30778,33,156.335,324,59.588,31,25.77771,16,198.05,359,42.114,28
15061742,47.124,32,115.66538,111,61.839,63,31.969,20,312.364,307,31.706,26,41.872,45,30.561,35,132.648,83,16.896,6,73.887,71,85.28993,92,95.044,94,33.22408,37,60.745,18,60.97,42,41.01942,44,166.08,117,53.421,54
15061710,41.309,59,118.29099,106,57.895,69,24.041,20,310.169,307,30.273,26,48.881,45,23.63,8,240.245,313,28.556,42,97.455,96,84.48236,80,96.53,96,35.5761,41,101.212,85,73.68,79,24.77252,16,216.017,359,40.034,28
15062372,44.472,44,116.18348,117,57.399,54,30.77,28,316.527,306,33.79,27,62.884,65,22.745,16,183.556,359,21.388,26,76.869,94,85.28993,84,95.921,96,35.96182,35,110.427,83,74.052,75,34.66626,44,146.317,117,51.345,54
15061583,43.927,44,116.00131,117,57.076,54,36.226,39,316.878,308,42.129,54,46.402,59,30.885,26,172.273,342,9.805,6,69.998,71,86.13372,92,97.003,96,32.86835,18,102.726,90,69.367,84,42.42226,44,128.408,117,55.016,54
15061767,48.28,59,115.44658,106,61.839,69,25.672,20,310.463,307,33.791,26,54.389,65,19.926,11,243.182,328,21.978,26,82.381,94,85.27674,84,94.198,94,33.48179,25,95.879,28,68.574,45,41.79459,44,146.317,117,53.78,54
15062130,47.544,59,115.69198,106,59.923,69,50.76,47,311.792,352,40.383,36,45.495,48,34.154,35,39.584,16,12.288,6,76.516,71,88.20572,92,93.961,96,33.13179,35,101.301,83,65.827,75,42.58079,44,161.746,117,52.976,54
15061637,46.366,59,116.01479,106,61.839,69,31.033,20,310.696,307,36.582,26,54.389,43,29.829,35,137.276,83,19.989,18,81.725,90,85.28993,84,94.489,96,33.56054,33,121.024,10,59.586,43,35.5565,38,161.746,132,49.783,53
15061337,44.159,44,116.38319,117,57.399,54,25.251,26,310.169,314,30.788,33,46.676,49,27.887,28,120.272,345,18.259,18,79.04,90,85.97053,84,94.692,96,37.17078,35,117.375,22,73.096,80,36.96265,44,176.49,117,48.028,54
15062104,43.743,45,118.79987,128,58.042,58,31.823,20,311.792,307,33.329,26,42.607,33,20.879,36,240.881,83,17.958,18,82.125,90,86.38536,84,93.961,94,36.56866,32,107.725,5,73.691,42,34.4976,44,166.276,117,44.291,54
15061579,42.927,45,114.92836,115,58.504,72,29.591,26,310.169,314,33.329,33,46.015,43,32.594,16,168.989,3,15.287,6,81.815,71,87.30847,92,91.973,94,33.01376,42,114.235,96,57.443,80,30.69852,16,203.884,359,41.009,28
15061932,47.573,45,116.10776,128,58.957,58,41.502,45,317.841,330,48.9,52,56.642,57,31.214,42,66.605,96,13.932,6,75.425,71,89.33811,92,90.646,94,36.56127,28,68.159,84,69.291,41,49.78979,44,146.317,117,54.429,54
15061603,46.027,48,115.70672,118,60.063,66,28.574,28,310.169,306,33.813,27,45.495,42,19.825,8,132.648,313,7.086,3,71.363,32,90.01872,92,93.231,96,37.5082,42,96.529,96,74.463,80,20.75484,44,263.207,117,33.971,54
15060025,46.366,48,116.02144,118,61.839,66,29.21,20,310.696,307,36.582,26,54.389,52,29.829,47,137.276,85,19.989,5,81.725,52,85.28993,94,94.489,95,33.53223,19,121.024,5,59.586,27,35.71279,44,161.746,117,49.783,54
15061704,46.366,75,115.96151,107,61.839,76,29.21,28,310.696,306,36.582,27,54.389,61,29.829,19,137.276,5,19.989,6,81.725,71,85.28993,92,94.489,94,34.12337,47,121.024,85,59.586,76,35.48652,44,161.746,117,49.783,54
15061334,45.366,48,116.7845,118,59.176,66,50.59,49,323.616,320,41.735,54,41.663,45,30.712,32,32.926,14,9.759,26,86.802,94,88.19254,84,91.419,96,37.17212,47,116.232,85,70.395,76,38.96135,44,140.855,117,51.712,54
15061631,41.309,48,118.31539,118,57.895,66,24.041,28,310.169,306,30.273,27,48.881,43,23.63,11,240.245,318,27.697,6,97.455,71,84.48236,92,96.53,94,35.53774,47,101.212,85,73.68,76,24.86057,16,216.017,359,40.034,28
15060964,40.267,38,114.72968,132,55.336,53,35.005,40,310.169,309,35.9,43,46.015,36,23.041,16,151.308,359,13.933,32,78.003,84,89.36448,81,92.359,96,34.40412,47,122.058,85,68.874,76,39.3523,44,138.493,117,47.043,54
15061778,45.866,44,118.3553,117,59.776,54,34.085,58,310.169,322,40.501,43,48.402,43,21.251,11,165.825,318,15.683,42,88.018,96,87.49875,80,86.544,96,36.58099,41,84.525,86,69.923,80,29.146,16,263.207,359,38.951,28
15061718,40.009,44,117.86736,128,55.971,54,30.691,26,310.169,307,33.91,33,45.176,59,23.226,11,169.902,318,11.797,6,90.913,71,88.17654,92,96.53,96,35.585,36,110.317,83,70.39,79,33.51763,21,128.408,132,44.575,49
15061486,50.404,44,118.66268,117,58.957,54,28.535,26,310.169,314,31.923,33,40.047,58,27.18,8,183.556,313,8.597,6,83.957,88,89.55093,92,97.058,96,32.90024,35,161.756,86,55.981,80,30.95867,44,166.08,117,46.494,54
15060214,47.57,44,118.03303,117,60.063,54,36.212,53,316.527,315,40.666,62,63.139,36,31.844,47,83.225,85,20.183,6,76.516,71,87.0046,92,96.13,95,33.79985,37,99.901,12,66.502,41,42.30465,44,176.49,117,53.749,54
15061333,44.921,44,118.23345,117,56.936,54,24.815,28,310.169,306,30.273,27,48.881,52,27.18,8,226.109,313,13.733,18,86.671,90,87.05278,84,94.516,96,34.13908,36,130.239,96,64.135,30,28.43863,44,176.49,117,41.868,54
15061962,47.573,44,116.34657,117,58.957,54,41.502,55,317.841,328,48.9,52,56.642,54,31.214,35,66.605,83,13.932,6,75.425,71,89.33811,92,90.646,94,36.55203,29,68.159,17,69.291,50,49.43907,44,146.317,117,54.429,54
15061624,46.027,44,115.67355,117,60.063,54,28.574,55,310.169,329,33.813,36,45.495,38,19.825,39,132.648,17,7.086,6,71.363,71,90.01872,92,93.231,94,37.57395,42,96.529,96,74.463,80,20.86444,44,263.207,117,33.971,54
15061282,43.927,32,116.10792,112,57.076,58,36.226,28,316.878,306,42.129,27,46.402,43,30.885,26,172.273,342,9.329,6,69.998,71,86.72769,92,97.003,96,32.8545,6,102.726,71,69.367,92,42.5873,44,128.408,117,55.016,54
15061529,47.099,48,115.78389,118,60.063,66,28.535,26,323.081,314,33.329,33,75.225,92,29.835,11,143.558,328,16.266,18,81.915,90,84.372,84,94.516,96,34.43176,39,120.062,86,61.567,80,32.5649,44,176.49,117,47.384,54
15061935,47.573,59,116.20929,106,58.957,69,41.502,57,304.432,347,48.9,54,56.642,36,31.214,37,66.605,18,13.932,6,75.425,71,89.33811,92,90.646,94,36.56711,41,68.159,86,69.291,80,48.99987,44,146.317,117,54.429,54
15061568,43.74,44,115.63579,117,59.462,54,49.54,49,323.616,320,40.666,54,41.872,43,27.887,42,127.781,96,9.876,18,85.448,90,89.3513,84,93.231,94,34.14043,37,113.726,18,70.577,42,45.0613,44,128.408,117,55.016,54
15061491,45.866,59,118.36451,106,59.776,69,34.085,58,310.169,336,40.501,48,48.402,43,21.251,11,165.825,328,15.683,18,88.018,90,87.49875,84,86.544,95,36.55538,41,84.525,86,69.923,80,29.1387,16,263.207,359,38.951,28
15061318,48.317,44,118.38162,117,58.199,54,25.251,20,310.169,307,34.441,26,46.676,36,38.365,11,104.579,328,16.152,6,77.757,71,86.81432,92,94.516,94,35.41766,41,168.507,41,66.358,82,35.90886,44,176.49,117,52.547,54
15061361,44.159,44,116.31366,117,57.399,54,25.251,20,310.169,307,30.788,26,46.676,43,27.887,28,120.272,21,18.259,18,79.04,90,85.97053,84,94.692,96,37.20626,41,117.375,90,73.096,75,37.25137,44,176.49,117,48.028,54
15061515,44.355,32,119.59862,112,57.852,58,24.668,26,310.463,314,31.49,33,83.676,92,30.977,29,147.035,17,19.55,18,73.499,90,86.72769,84,93.786,96,36.60984,31,117.554,53,72.356,73,31.48764,19,228.793,134,48.928,45
15062123,47.124,44,115.66922,117,61.839,54,31.969,20,312.364,307,31.706,26,41.872,58,30.561,35,132.648,83,16.896,6,73.887,71,85.28993,92,95.044,94,33.2419,37,48.831,18,60.97,42,41.23867,44,166.08,117,53.421,54
15061358,46.366,38,116.00985,132,61.839,53,29.21,28,310.696,306,36.582,27,54.389,48,29.829,41,137.276,86,19.989,18,81.725,90,85.28993,84,94.489,96,33.46973,36,121.024,346,59.586,42,35.65361,44,161.746,117,49.783,54
15061428,48.467,48,115.01055,118,61.839,66,51.955,58,323.616,336,45.709,48,46.823,54,33.671,32,50.25,14,19.5,18,85.197,90,85.97053,84,94.718,94,38.11874,42,97.537,96,70.038,80,42.90639,44,128.408,117,53.137,54
15061496,44.1,44,116.02056,117,59.629,54,25.798,26,310.169,314,30.273,33,44.013,33,30.837,28,105.094,22,14.511,6,95.299,71,87.51194,92,97.26,96,34.98892,41,88.883,86,67.811,80,32.15804,16,166.08,359,43.076,28
15061648,47.831,48,116.19961,118,60.558,66,43.871,20,323.616,307,37.859,26,46.484,43,22.453,11,165.825,318,20.049,18,89.373,90,85.27674,84,91.419,96,33.20826,37,79.608,74,68.885,74,38.23269,38,140.855,132,52.264,53
15061808,36.371,48,115.3434,118,53.732,66,33.343,47,323.081,352,41.509,36,50.581,57,33.038,32,100.69,84,10.872,10,85.274,96,86.93115,88,91.918,94,31.46044,29,73.702,17,57.664,50,36.1965,44,216.017,117,46.642,54
15061600,44.859,44,119.26134,117,61.021,54,29.227,43,310.169,319,36.067,61,47.88,63,27.887,29,86.367,17,11.358,18,76.976,90,89.3513,84,98.519,96,38.47222,32,98.543,84,72.258,81,39.84221,44,157.887,117,54.723,54
15061730,44.046,28,118.71412,115,57.852,50,32.331,39,310.463,319,40.263,42,49.23,52,28.336,19,63.417,5,17.852,18,84.629,90,87.1526,84,95.246,96,33.44124,41,89.353,86,57.224,80,29.14337,16,228.793,359,32.795,28
15061623,46.366,48,115.98337,118,61.839,66,29.21,20,310.696,307,36.582,26,54.389,38,29.829,32,137.276,25,19.989,6,81.725,71,85.28993,92,94.489,96,33.51694,42,121.024,96,59.586,80,35.62019,44,161.746,117,49.783,54
15061405,43.927,28,116.13107,115,57.076,50,36.226,20,316.878,307,42.129,26,46.402,58,30.885,36,172.273,346,9.329,6,69.998,71,86.72769,92,97.003,94,32.87349,35,102.726,17,69.367,75,42.32624,44,128.408,117,55.016,54
15061299,43.927,44,116.02475,117,57.076,54,36.226,40,318.605,309,42.129,43,46.402,61,30.885,33,221.367,10,9.329,6,69.998,71,86.72769,92,97.003,96,32.92439,26,102.726,80,69.367,82,42.34408,44,128.408,117,55.016,54
15061578,43.743,44,119.10181,117,58.042,54,31.823,55,311.792,329,33.329,36,42.607,61,20.879,16,240.881,3,17.958,6,82.125,71,86.38536,92,93.961,94,36.57276,36,96.442,83,73.691,79,34.46917,16,166.276,359,44.291,28
15061476,47.231,50,115.74379,115,58.634,71,34.085,26,310.169,314,38.727,33,45.495,49,28.017,22,85.807,344,11.585,6,80.234,71,86.88555,92,91.973,94,37.51244,42,115.298,96,73.096,80,22.82398,16,247.484,359,38.074,28
15061765,47.099,48,115.75854,118,60.063,66,28.535,20,323.081,307,33.329,26,75.225,92,29.835,11,143.558,318,16.266,18,81.915,90,84.372,84,94.516,94,34.40991,42,120.062,86,61.567,84,32.77468,44,176.49,117,47.384,54
15062111,42.981,38,118.96598,132,59,53,46.851,20,323.616,307,39.312,26,46.097,43,30.599,33,122.942,349,16.896,26,78.772,94,85.27674,84,92.677,96,33.52395,36,117.372,86,63.858,43,38.1887,16,140.855,359,49.268,28
15061397,46.027,38,115.62414,132,60.063,53,28.574,42,310.169,304,33.813,58,45.495,92,19.825,26,132.648,342,7.086,26,71.363,94,90.01872,84,93.231,96,37.53071,37,96.529,74,74.463,74,20.61145,44,263.207,117,33.971,54
15061713,46.366,28,115.9429,115,61.839,50,29.21,20,310.696,307,36.582,26,54.389,66,29.829,47,137.276,85,19.989,24,81.725,85,85.28993,84,94.489,94,34.11937,22,121.024,83,59.586,30,35.47007,44,161.746,117,49.783,54
15061584,42.361,48,118.39395,118,57.608,66,30.784,57,309.296,327,35.947,45,51.451,43,35.131,39,81.525,21,7.683,6,78.947,71,91.43266,92,89.431,94,32.68829,41,87.256,86,68.753,80,39.26038,44,150.489,117,50.922,54
15061912,41.356,44,117.90345,117,56.787,54,46.962,53,323.616,341,42.634,44,40.307,57,33.995,41,240.245,86,17.541,26,89.575,94,84.75932,84,89.086,95,33.53565,25,171.254,28,64.018,45,39.79896,44,166.08,117,51.825,54
15061260,46.366,45,116.09013,128,61.839,58,31.033,20,310.696,307,36.582,26,54.389,57,29.829,11,137.276,328,19.989,6,81.725,71,85.28993,92,94.489,94,34.06184,35,121.024,83,59.586,75,35.53,44,161.746,117,49.783,54
15062099,43.898,44,115.20214,117,58.071,54,30.49,40,323.616,308,31.388,38,41.872,45,37.21,22,194.091,344,9.131,26,76.869,94,88.88633,84,94.516,94,33.52634,24,110.862,85,68.574,80,35.53996,44,166.08,117,51.077,54
15061350,42.981,45,119.27331,128,58.365,58,49.897,58,310.169,336,45.595,48,45.495,63,35.039,37,83.835,18,14.591,35,86.169,93,87.07915,82,93.231,94,34.07621,35,84.55,83,72.424,75,35.54519,44,157.887,117,47.928,54
15060933,49.524,48,116.02499,118,59.78,66,47.867,59,310.169,350,45.983,47,52.416,43,22.633,39,43.558,17,16.001,5,121.244,52,88.89951,94,90.689,96,32.36736,32,113.515,84,72.599,81,35.78918,44,166.276,117,47.562,54
15061548,47.57,44,115.42199,117,60.881,54,30.248,57,309.296,327,33.123,45,64.252,36,23.041,29,113.463,7,7.506,26,85.961,94,90.04509,84,94.198,96,31.83853,42,111.7,74,58.329,80,42.70092,44,166.08,117,53.421,54
15061348,43.685,45,116.40023,128,57.399,58,25.251,20,310.169,307,30.788,26,46.676,43,27.887,29,120.272,7,18.259,18,79.04,90,85.97053,84,94.692,96,37.16691,37,117.375,41,73.096,84,37.05381,44,176.49,117,48.028,54
15061560,44.097,48,115.81462,118,57.39,66,29.171,26,308.889,314,35.439,33,54.389,61,31.143,35,52.498,16,16.429,18,84.941,90,87.01778,84,95.044,96,35.47012,32,36.917,41,62.172,54,44.5629,44,208.791,117,49.104,54
15061544,45.553,28,117.40764,115,60.063,50,24.534,26,310.169,314,30.935,33,45.495,66,20.796,19,130.484,5,7.506,3,71.363,32,90.01872,92,94.516,94,38.12728,47,107.761,85,73.534,76,21.00644,16,263.207,359,33.971,28
15061449,40.009,48,117.82565,117,55.971,66,30.691,20,310.169,307,33.91,26,45.176,58,23.226,43,169.902,355,11.797,18,90.913,90,88.17654,84,96.53,96,35.56238,42,110.317,96,70.39,80,33.47661,44,128.408,117,44.575,54
15062348,48.467,44,114.95707,117,61.839,54,51.955,43,323.616,320,45.814,53,46.823,54,33.671,29,50.25,17,19.5,26,85.197,94,85.97053,84,94.718,94,38.11037,47,97.537,85,70.038,76,42.83348,44,128.408,117,53.137,54
15061916,44.159,32,116.38545,112,57.399,58,25.251,20,310.169,307,30.788,26,46.676,36,27.887,19,120.272,5,18.259,18,79.04,90,85.97053,84,94.692,96,37.15002,35,117.375,83,73.096,75,37.00409,44,176.49,117,48.028,54
15062138,46.027,59,115.69831,106,60.063,69,28.574,28,310.169,306,33.813,27,46.616,43,19.825,8,153.866,313,9.584,3,71.363,32,88.82244,92,93.231,94,37.51167,35,96.529,83,74.463,75,20.8961,16,263.207,359,33.971,28
15061946,44.1,44,116.06319,117,59.629,54,25.798,20,310.169,307,30.273,26,44.013,48,30.837,22,105.094,344,14.511,6,95.299,71,87.51194,92,97.26,96,34.95528,36,88.883,83,67.811,79,32.04896,16,166.08,359,43.076,28
15061676,43.685,45,116.25564,128,57.399,58,25.251,26,310.169,314,30.788,33,46.676,41,27.887,32,120.272,14,18.259,18,79.04,90,85.97053,84,94.692,96,37.19265,36,117.375,83,73.096,79,37.06584,44,176.49,117,48.028,54
15060536,47.3,44,116.29534,117,61.117,54,34.645,59,310.169,350,34.211,47,58.393,67,25.387,32,167.162,84,16.812,18,90.827,90,88.02863,84,92.149,95,32.75662,36,127.209,96,61.357,29,37.68403,44,150.489,117,48.765,54
15061391,45.866,44,118.3511,117,59.776,54,34.085,4,310.169,41,40.501,94,48.402,36,21.251,16,165.825,359,15.683,18,88.018,90,87.49875,84,86.544,33,36.53421,41,84.525,86,69.923,80,28.9984,16,263.207,359,38.951,28
15061662,40.009,38,117.88653,115,55.971,50,30.691,26,310.169,314,33.91,33,45.176,49,23.226,16,169.902,359,11.797,3,90.913,32,88.17654,92,96.53,94,35.5791,42,110.317,96,70.39,80,33.41916,16,128.408,359,44.575,28
15061228,42.923,45,117.16625,128,58.181,58,30.973,20,311.792,307,33.79,26,43.815,43,29.564,11,183.556,328,14.269,18,83.642,90,88.02863,84,92.703,95,32.2792,35,51.218,93,67.578,82,37.24883,16,140.855,359,51.712,28
15061356,42.132,44,118.70385,117,56.395,54,34.106,49,319.835,320,33.448,54,51.738,61,30.818,35,167.915,53,10.996,6,80.581,88,87.16579,92,93.906,96,33.2875,26,85.912,342,68.589,50,39.36879,44,193.177,117,51.61,54
15061963,45.866,45,118.35197,128,59.776,58,34.626,38,310.169,334,40.501,43,48.402,43,21.251,11,165.825,318,15.683,6,88.018,71,87.49875,92,86.544,94,36.59863,41,84.525,86,69.923,80,29.13115,44,263.207,117,38.951,54
15061338,46.027,48,115.65157,118,60.063,66,28.574,20,310.169,307,33.813,26,45.495,54,19.825,8,132.648,313,7.086,6,71.363,71,90.01872,92,93.231,96,37.55588,35,96.529,83,74.463,75,20.62292,16,263.207,359,33.971,28
15062331,42.132,8,118.65603,70,56.395,77,32.478,58,319.835,322,33.448,43,51.738,45,30.818,26,167.915,342,10.996,6,80.581,71,87.16579,92,93.906,95,33.23019,37,46.853,74,68.589,74,39.2352,44,193.177,117,51.61,54
15062098,48.467,48,114.96537,118,61.839,66,51.955,58,323.616,336,45.709,48,46.823,54,33.671,28,50.25,22,19.5,18,85.197,90,85.97053,84,94.718,94,38.10234,47,97.537,85,70.038,76,42.76757,44,128.408,117,53.137,54
15062114,42.927,50,114.98968,115,58.504,71,29.591,39,310.169,308,33.329,54,46.015,43,32.594,47,168.989,85,15.287,18,81.815,90,87.30847,84,91.973,96,32.92408,8,114.235,313,56.381,29,30.76832,16,203.884,359,41.009,28
15062046,41.356,44,118.92184,117,56.787,54,47.955,53,323.616,341,42.634,44,40.307,45,33.995,41,240.245,86,17.541,26,86.622,94,84.75932,84,89.086,95,33.47626,41,171.254,6,64.018,49,39.94475,44,166.08,117,51.825,54
15062370,43.743,44,118.73115,117,58.042,54,31.823,20,311.792,307,33.329,26,42.607,43,20.879,8,240.881,313,17.958,26,82.125,94,86.38536,84,93.961,94,36.49701,35,107.725,83,73.691,75,34.39735,44,166.276,117,44.291,54
15061685,48.306,50,118.56795,115,61.839,71,25.353,28,323.616,306,29.238,27,45.93,54,33.197,32,129.021,14,21.388,26,86.289,94,85.28993,84,92.677,96,34.77571,40,85.155,18,66.911,82,23.42144,21,212.018,132,44.616,49
15061540,47.124,45,115.63507,115,61.839,72,31.969,20,312.364,307,31.706,26,41.872,43,30.561,41,132.648,86,16.896,18,73.887,90,85.28993,84,95.044,48,33.20542,32,48.831,25,60.97,42,40.93556,44,166.08,117,53.421,54
