SAMPLES,c1_11211,c1_14083,c1_14770,c1_15521,c1_16021,c1_8132,c1_8186,c1_8353,c1_8518,c2_12959,c2_14636,c2_1506,c2_22205,c2_23841,c2_26165,c2_26167,c2_26210,c2_26211,c2_2653,c2_31180,c2_32644,c2_34002,c2_35101,c2_35997,c2_37762,c2_41337,c2_44712,c2_48808,c2_49128,c2_50502,c2_5149,c2_52067,c2_56238,c2_57263,c2_57678
15061257,4,1,3,3,2,4,4,3,4,2,2,4,2,4,1,3,4,3,0,3,4,1,4,4,3,2,3,4,1,1,NA,3,4,3,2
15061258,2,0,2,4,3,4,2,0,4,2,2,3,2,3,2,2,3,3,1,4,4,4,3,3,0,1,3,2,1,2,4,3,3,2,1
15061259,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15061261,3,0,3,4,4,4,1,1,3,3,3,4,3,3,2,1,1,3,2,3,4,3,3,1,0,3,3,3,0,2,4,3,4,3,1
15061262,1,0,2,3,4,3,2,1,2,1,3,4,2,1,3,1,1,3,1,2,4,3,4,0,2,2,4,1,2,1,3,3,4,3,2
15061263,1,0,3,3,4,3,3,2,2,0,3,4,3,1,4,0,0,4,0,3,4,3,4,0,2,3,4,2,3,1,NA,3,4,3,1
15061264,1,0,2,3,4,3,2,1,2,1,3,4,2,1,3,1,1,3,2,2,3,2,NA,1,2,2,4,2,2,1,3,3,4,2,2
15061265,3,0,2,4,4,3,2,2,3,3,3,3,3,3,3,1,1,3,1,3,4,3,4,3,1,1,3,2,1,2,4,4,3,3,1
15061270,2,0,2,4,4,4,1,1,3,3,2,4,3,4,1,2,2,2,1,3,3,3,4,2,0,0,3,3,1,2,3,4,4,3,1
15061271,2,2,1,4,4,4,1,0,4,4,1,2,1,3,2,1,2,2,2,1,3,4,3,0,0,2,4,2,1,1,4,3,2,4,2
15061273,3,0,2,4,4,3,2,1,3,3,3,3,3,3,3,1,1,3,1,3,4,3,4,3,1,1,3,2,1,2,4,4,3,3,1
15061274,2,0,1,3,4,3,1,1,3,2,3,4,1,2,4,0,1,3,1,2,4,2,4,2,1,1,3,1,3,2,3,2,4,1,1
15061277,2,1,1,4,4,4,3,1,4,4,2,3,2,1,4,1,2,3,3,2,4,3,3,2,2,1,4,2,1,3,4,2,4,3,1
15061279,1,1,1,4,4,4,1,1,3,3,1,3,2,3,1,2,2,2,2,3,3,3,3,1,0,2,3,3,2,2,4,3,3,3,1
15061281,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15061283,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,1,4,4,4,2,2
15061286,2,2,1,4,4,4,1,0,4,4,1,2,1,3,2,1,2,2,2,1,3,4,3,0,0,2,4,2,1,1,4,3,2,4,2
15061288,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,3,2,2,3,2,4,2,2
15061289,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15061290,1,0,2,4,3,4,3,2,3,3,3,3,2,1,2,1,2,2,2,1,4,1,3,2,1,2,4,3,3,1,3,2,3,4,3
15061291,3,1,2,NA,4,4,1,1,4,2,1,3,4,4,2,2,2,2,0,2,3,4,4,1,1,0,4,2,1,1,3,4,4,3,0
15061293,2,0,1,3,4,2,0,1,3,2,0,3,3,4,1,3,2,2,0,3,4,3,2,4,2,2,4,2,2,2,4,4,3,2,1
15061295,2,0,1,4,4,2,1,1,4,0,0,3,3,3,3,2,1,4,1,4,3,3,1,3,3,2,3,2,2,2,4,3,3,3,1
15061296,2,0,1,3,4,3,1,0,3,0,1,3,2,4,2,2,2,2,0,2,2,3,4,1,1,0,3,1,3,1,3,4,3,3,2
15061297,3,0,1,4,3,4,2,2,4,2,2,2,1,2,2,3,2,3,2,4,4,4,2,3,0,3,3,3,1,2,4,4,2,2,1
15061298,3,1,2,4,4,4,0,0,2,2,2,4,2,3,1,3,3,1,1,4,4,4,4,2,0,3,4,1,1,0,4,4,4,3,2
15061300,2,0,1,4,4,3,2,0,3,2,2,3,3,4,2,1,1,3,0,3,4,3,3,2,2,1,4,4,3,2,3,4,3,3,1
15061301,3,1,2,4,4,4,0,0,2,2,2,4,2,3,1,3,3,1,1,4,4,4,4,2,0,3,4,1,1,0,4,4,4,3,2
15061302,1,0,0,3,4,3,2,0,3,2,3,4,2,4,1,3,3,1,2,2,2,4,4,1,1,3,4,3,2,0,3,4,4,3,1
15061303,2,0,1,4,4,3,0,0,4,3,1,4,3,0,3,1,2,2,2,2,3,1,4,2,2,2,3,2,2,2,4,1,4,3,2
15061305,1,0,1,3,4,3,0,1,3,1,3,4,2,2,3,2,3,2,0,2,3,2,4,3,1,2,3,3,1,0,4,3,4,3,1
15061307,2,0,1,4,3,4,3,1,2,4,2,4,1,3,1,2,3,3,2,4,4,3,3,3,1,0,2,3,2,1,4,4,4,3,1
15061312,2,1,2,NA,4,4,1,1,4,2,1,3,4,4,2,2,2,2,0,2,3,4,4,1,1,0,4,2,1,1,3,4,4,3,0
15061313,1,0,2,4,4,3,2,1,3,1,2,4,3,1,2,1,1,3,1,3,4,3,3,0,0,2,3,3,1,2,4,3,4,3,2
15061314,2,0,0,3,4,4,1,1,3,3,2,3,1,3,3,1,2,2,1,3,4,3,3,2,0,1,4,1,2,2,4,3,3,3,2
15061317,1,0,2,3,4,3,2,2,2,1,3,4,2,1,3,1,1,3,1,2,4,3,4,0,2,2,4,1,2,1,3,3,4,3,2
15061320,3,1,3,3,4,4,3,3,3,4,2,4,2,2,1,4,4,3,2,3,2,1,4,3,2,4,2,3,3,1,4,2,4,3,1
15061323,1,0,1,4,3,4,3,2,4,1,2,4,1,2,3,1,1,4,3,3,3,2,2,2,1,2,3,3,3,1,4,4,4,1,2
15061324,3,0,1,4,4,3,3,1,3,3,1,2,2,1,1,3,3,3,1,1,4,0,4,3,NA,1,4,3,2,2,4,3,3,4,1
15061327,3,0,3,4,4,4,1,2,3,3,3,4,3,3,2,1,1,3,2,3,4,3,3,1,0,3,3,3,0,2,4,3,4,3,1
15061329,2,1,3,3,4,3,1,0,4,2,3,3,3,4,2,3,3,2,2,3,4,3,4,2,1,2,4,2,1,0,3,4,4,3,0
15061330,0,1,0,4,3,3,2,1,3,2,3,4,1,3,3,1,2,2,1,1,4,2,4,1,1,3,4,3,2,0,4,4,4,2,1
15061331,4,0,1,3,4,3,3,0,3,2,4,4,2,3,2,1,2,2,0,3,4,4,3,1,2,2,4,1,1,1,4,3,4,2,1
15061335,2,0,0,4,4,3,1,2,4,2,3,4,1,4,2,2,2,2,2,3,3,3,3,1,1,2,3,2,2,0,4,4,4,3,2
15061336,1,0,3,4,4,4,0,2,4,4,3,4,2,3,2,2,2,2,2,2,4,3,4,2,1,2,3,4,1,2,4,3,4,2,2
15061340,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15061342,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,1,4,4,4,2,2
15061344,1,0,2,3,4,4,2,2,3,3,3,4,2,3,2,3,3,2,3,4,2,3,4,4,1,1,3,4,1,2,4,4,4,1,2
15061345,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,1,4,4,4,3,2
15061346,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,1,4,4,4,3,2
15061347,2,0,1,4,3,3,3,1,4,0,2,3,2,3,2,3,2,4,0,4,4,2,3,1,2,1,4,2,2,1,4,3,3,4,2
15061349,3,0,1,4,4,3,1,0,4,2,3,4,2,3,3,1,2,2,1,4,4,3,2,2,1,3,4,0,2,1,4,3,4,2,2
15061352,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061353,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,1,4,4,4,2,2
15061355,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,1,4,4,4,2,2
15061360,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,1,4,4,4,2,2
15061364,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,2,4,4,4,2,2
15061365,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15061367,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15061368,2,0,1,3,4,3,1,0,3,3,2,4,2,3,4,0,0,4,2,1,4,3,3,2,1,2,4,3,0,1,3,4,4,4,1
15061369,2,0,1,3,4,3,1,0,3,3,2,4,2,3,4,0,0,4,2,1,4,3,3,2,1,2,4,3,0,1,3,4,4,4,1
15061370,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,2,4,4,4,3,2
15061377,3,0,3,4,4,4,1,1,3,3,3,4,3,3,2,1,1,3,2,3,4,3,3,1,0,3,3,3,0,1,4,3,4,3,1
15061378,2,0,0,4,4,3,1,1,4,2,3,4,1,4,2,2,2,2,2,3,3,3,3,1,1,2,3,2,2,0,4,4,4,3,2
15061380,2,0,1,4,3,3,3,1,4,0,2,3,2,3,2,3,2,4,0,4,4,2,3,1,2,1,4,1,2,1,4,3,3,4,2
15061382,1,0,1,4,3,4,3,2,4,1,2,4,1,2,3,1,1,4,3,3,3,2,3,2,1,2,3,3,3,1,4,4,4,1,2
15061383,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,2,4,4,4,2,2
15061384,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15061385,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15061386,2,0,1,3,4,3,1,0,3,3,2,4,2,3,4,0,0,4,2,1,4,3,3,2,1,2,4,3,0,1,3,4,4,4,1
15061388,4,0,1,3,4,4,1,2,3,3,1,4,3,3,2,2,2,2,0,2,4,3,4,2,0,1,4,2,1,2,4,3,4,2,1
15061389,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061390,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061392,4,1,0,4,3,4,3,2,4,1,1,3,3,4,3,2,3,2,2,3,3,1,4,3,3,3,3,3,3,2,3,4,3,2,1
15061394,1,0,2,3,4,3,2,1,2,1,3,4,2,1,3,1,1,3,1,2,4,3,4,0,2,2,4,1,2,1,3,3,4,3,2
15061396,1,0,2,3,4,3,2,1,2,1,3,4,2,1,3,1,1,3,1,2,4,3,4,0,2,2,4,1,2,1,3,3,4,3,2
15061404,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061406,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,1,4,4,4,2,2
15061410,1,0,2,4,3,3,1,1,4,3,0,4,2,3,0,4,4,0,2,1,4,2,3,1,2,2,2,2,3,2,4,4,4,3,1
15061411,3,0,3,4,4,3,2,1,2,2,3,4,4,3,2,2,2,3,1,3,4,2,4,1,2,1,2,1,1,1,4,3,4,2,1
15061414,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061415,3,1,2,4,4,3,2,0,4,1,2,3,1,3,3,2,2,3,1,3,4,3,3,1,2,2,4,1,2,1,4,3,3,4,0
15061417,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061418,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061419,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15061420,3,1,3,3,4,4,3,3,3,4,2,4,2,2,1,4,4,3,2,3,2,1,4,3,2,4,2,3,3,1,4,2,4,3,1
15061421,3,0,3,4,4,4,1,1,3,3,3,4,3,3,2,1,1,3,2,3,4,3,3,1,0,3,3,3,0,2,4,3,4,3,1
15061422,3,1,2,3,4,3,0,0,4,1,2,4,2,4,1,3,3,1,0,2,4,1,4,1,NA,3,3,1,1,0,NA,4,4,3,1
15061423,3,1,3,3,4,3,0,0,4,2,3,4,2,4,1,3,3,2,0,2,4,1,4,1,NA,2,3,1,2,0,NA,4,4,3,1
15061424,2,0,2,4,3,4,2,0,4,2,2,3,2,3,2,2,3,3,1,4,4,4,3,3,0,1,3,2,1,2,4,3,3,2,1
15061425,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,1,4,4,4,3,2
15061430,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,1,4,4,4,3,2
15061434,3,1,2,4,4,3,2,0,4,1,2,3,1,3,3,2,2,3,1,3,4,3,3,1,2,2,4,2,2,1,4,3,3,4,0
15061435,3,0,3,NA,4,3,2,2,3,3,3,4,3,3,2,2,2,2,2,2,2,2,4,2,1,2,3,3,1,1,3,3,4,3,1
15061436,2,1,1,3,4,2,1,1,3,4,0,4,2,2,3,1,2,2,2,2,2,2,4,2,3,2,3,2,2,0,3,3,4,4,1
15061437,2,0,2,4,3,3,2,2,3,0,2,3,4,3,3,2,3,3,1,4,4,2,3,1,2,2,4,0,2,2,4,3,3,3,1
15061438,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061439,2,0,2,4,3,3,2,2,3,0,2,3,4,3,3,2,3,3,1,4,4,2,3,1,2,2,4,0,2,2,4,3,3,3,1
15061441,2,0,1,4,4,3,2,0,3,2,2,3,3,4,2,1,1,3,0,3,4,3,3,2,2,1,4,4,3,1,3,4,3,3,1
15061442,3,0,3,4,4,3,2,1,2,2,3,4,4,3,2,2,2,3,1,3,4,2,4,1,2,1,2,1,1,2,4,3,4,2,1
15061443,2,1,1,3,4,2,1,1,3,4,0,4,2,2,3,1,2,2,2,2,2,2,4,2,3,2,3,2,2,0,3,3,4,4,1
15061444,3,0,3,3,4,3,3,0,2,3,1,2,4,3,2,2,2,3,1,2,4,2,3,2,1,1,3,1,0,1,4,3,2,2,1
15061445,2,0,1,4,4,3,2,0,3,2,2,3,3,4,2,1,1,3,0,3,4,3,3,2,2,1,4,4,3,1,3,4,3,3,1
15061447,2,1,2,3,4,3,1,0,4,2,2,4,2,4,1,2,3,2,0,2,4,1,4,2,2,3,3,2,1,0,3,4,4,3,1
15061453,2,0,1,4,4,3,2,0,3,2,2,3,3,4,2,1,1,3,0,3,4,3,3,2,2,1,4,4,3,1,3,4,3,3,1
15061458,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,1,4,4,4,3,2
15061459,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061461,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,1,4,4,4,3,2
15061462,2,0,2,4,3,3,2,2,3,0,2,3,4,3,3,2,3,3,1,4,4,2,3,1,2,2,4,0,2,2,4,3,3,3,1
15061463,3,1,3,3,4,3,0,0,NA,2,2,4,3,4,2,2,2,2,1,2,4,2,NA,1,2,2,3,2,1,0,3,4,4,3,1
15061469,1,0,2,3,4,4,2,2,3,3,3,4,2,3,2,3,3,2,3,4,3,3,4,4,1,1,3,4,1,2,4,4,4,1,2
15061470,2,0,0,4,4,4,3,2,3,2,3,4,2,2,2,2,3,2,2,4,3,2,4,4,2,1,3,2,1,0,4,2,4,2,3
15061471,2,0,0,4,4,4,3,2,3,2,3,4,2,2,2,2,3,2,2,4,3,2,4,4,2,1,3,2,1,0,4,2,4,2,3
15061475,3,0,3,4,4,4,1,1,3,3,3,4,3,3,2,1,1,3,2,3,4,3,3,1,0,3,3,3,0,2,4,3,4,3,1
15061477,3,0,3,3,4,3,3,0,2,3,1,2,4,3,2,2,2,3,1,2,4,2,3,2,1,1,3,1,0,1,4,3,2,2,1
15061478,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15061479,3,1,2,3,4,3,0,0,4,1,2,4,3,4,1,3,3,2,0,2,4,1,4,2,NA,3,3,1,1,0,NA,4,4,3,1
15061480,2,0,1,4,4,3,2,0,3,2,2,3,3,4,2,1,1,3,0,3,4,3,3,2,2,1,4,4,3,1,3,4,3,3,1
15061481,1,0,2,4,4,3,2,1,3,1,2,4,3,1,2,1,1,3,1,3,4,3,3,0,0,2,3,3,1,2,4,3,4,3,2
15061482,2,1,1,3,4,2,1,1,3,4,0,4,2,2,3,1,2,2,2,2,3,2,4,2,3,2,3,2,2,0,3,3,4,4,2
15061484,2,0,2,4,4,4,1,1,3,3,2,4,3,4,1,2,2,2,1,3,3,3,4,2,0,0,3,3,1,2,3,4,4,3,1
15061485,2,1,1,3,4,2,1,1,3,4,0,4,2,2,3,1,2,2,2,2,3,2,4,2,3,2,3,2,2,0,3,3,4,4,1
15061487,3,0,1,4,3,4,2,1,3,2,1,2,3,2,2,2,3,3,1,3,4,3,2,2,1,1,3,1,2,3,3,2,2,2,1
15061488,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061489,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061490,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061492,0,0,1,4,4,3,1,0,3,2,2,3,2,4,3,1,3,1,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,0
15061493,2,0,1,4,3,3,3,1,4,0,2,3,2,3,2,3,2,4,0,4,4,2,3,1,2,1,4,1,2,1,4,3,3,4,2
15061495,2,0,1,4,3,3,3,1,4,0,2,3,2,3,2,3,2,4,0,4,4,2,3,1,2,1,4,1,2,1,4,3,3,4,2
15061498,1,0,1,4,4,3,1,0,3,2,2,3,2,4,3,2,3,2,1,3,4,3,3,1,1,2,3,2,3,0,4,4,3,3,1
15061500,2,1,1,3,4,2,1,1,3,4,0,4,2,2,3,1,2,2,2,2,2,2,4,2,3,2,3,2,2,0,3,3,4,4,1
15061501,1,0,1,4,3,4,2,2,4,1,3,3,2,4,3,1,2,3,2,3,3,2,4,3,0,4,3,0,2,2,4,3,3,2,2
15061503,3,1,2,3,4,3,0,0,4,2,2,4,2,4,1,3,3,1,0,2,4,1,4,1,NA,3,3,1,1,0,NA,4,4,3,1
15061504,1,0,1,4,3,4,3,2,4,1,2,4,1,2,3,1,1,4,3,3,3,2,3,2,1,2,3,3,3,1,4,4,4,1,2
