SAMPLES,c1_10180,c1_11459,c1_13482,c1_3098,c1_3499,c1_4799,c1_5837,c1_7874,c1_8186,c2_10617,c2_10681,c2_14731,c2_14980,c2_19135,c2_19537,c2_20714,c2_22024,c2_28224,c2_32257,c2_34870,c2_37406,c2_4030,c2_40858,c2_44804,c2_47202,c2_48370,c2_4910,c2_49313,c2_50041,c2_50391,c2_53914,c2_55779,c2_55781,c2_57401,c2_5966
15061260,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15062099,3,3,1,2,1,0,0,0,2,3,3,4,0,2,1,2,3,1,3,1,3,1,2,3,4,3,0,1,3,1,2,1,3,0,3
15061350,4,4,2,4,0,1,0,1,1,1,4,3,2,2,1,1,2,0,4,3,3,3,1,2,3,3,2,2,2,3,3,1,3,0,2
15060933,2,4,4,4,1,4,2,0,4,4,3,0,0,1,4,0,3,2,3,4,0,2,4,0,4,0,4,4,2,0,4,2,2,4,0
15061548,4,4,3,4,0,2,0,0,2,1,4,3,0,2,1,1,1,2,4,3,4,2,1,2,4,3,2,1,4,4,2,1,3,0,1
15061348,3,4,2,3,1,1,1,1,1,2,3,3,2,2,1,2,2,1,4,1,3,1,1,2,3,2,1,1,4,3,2,1,3,0,2
15061560,4,4,3,4,1,3,1,0,1,1,3,4,2,2,3,1,1,2,2,1,1,2,1,3,4,2,4,2,4,4,3,1,3,0,1
15061544,4,NA,1,4,0,0,0,0,1,2,4,4,0,3,3,2,0,1,4,2,3,0,0,4,4,3,0,2,4,3,1,0,4,0,4
15061449,4,4,1,4,0,1,0,0,2,0,4,3,2,2,2,1,2,0,3,3,2,3,2,1,4,2,2,2,3,3,1,0,4,2,2
15062348,3,4,2,3,1,2,1,1,1,1,3,4,2,2,1,2,1,1,4,1,3,1,2,2,3,3,2,1,3,4,3,2,2,0,2
15061916,3,4,2,3,1,1,1,1,1,2,3,3,2,2,1,2,2,1,4,1,3,1,1,2,2,2,1,1,4,3,2,1,3,0,2
15062138,4,2,1,4,0,0,NA,NA,1,2,4,4,1,3,3,2,0,1,4,2,1,0,0,4,4,3,0,2,4,3,1,0,NA,0,4
15061946,4,3,1,4,1,2,0,0,3,1,4,3,0,3,4,2,3,0,4,2,0,2,3,1,4,2,2,1,3,3,2,1,3,2,2
15061676,3,4,2,3,1,1,1,1,1,2,3,3,2,2,1,2,2,1,4,1,3,1,1,2,3,2,1,1,4,3,2,1,3,0,2
15060536,4,3,3,4,2,3,1,0,1,4,4,2,0,0,2,2,2,1,2,0,2,3,2,1,4,3,2,2,3,2,3,NA,NA,2,2
15061391,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061662,4,4,1,4,0,1,0,0,2,0,4,3,2,2,2,1,2,0,3,3,2,3,2,1,4,2,2,2,3,3,1,0,4,2,2
15061228,2,4,2,4,2,1,0,0,3,3,2,3,0,3,3,1,0,0,4,2,1,3,2,0,4,3,2,1,3,3,2,2,2,0,3
15061356,4,3,1,3,0,2,0,1,3,3,4,3,3,2,2,1,2,0,3,2,2,2,3,1,3,4,3,1,4,3,2,0,4,0,1
15061963,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061338,4,2,1,4,0,0,0,0,1,2,4,4,0,3,3,3,0,1,4,2,1,0,0,4,4,3,0,2,4,3,1,0,4,0,4
15062331,4,3,1,NA,0,2,0,1,3,3,4,3,3,2,2,1,2,0,3,2,2,2,3,1,3,4,3,1,4,3,3,0,4,0,1
15062098,3,4,2,3,1,2,1,1,1,1,3,4,2,2,1,2,1,1,4,1,3,1,2,2,3,3,2,1,3,4,3,2,2,0,2
15062114,2,4,4,4,2,2,1,0,2,3,2,2,0,2,1,3,3,1,4,1,3,1,2,3,3,3,1,1,3,3,3,1,3,0,2
15062046,3,4,3,4,2,3,1,0,1,4,4,4,2,1,4,3,0,1,4,0,0,3,2,0,4,2,1,2,1,3,2,NA,NA,2,1
15062370,4,4,2,3,0,2,1,1,1,0,4,3,2,1,3,2,2,1,4,1,1,3,3,1,3,3,2,1,3,3,2,1,3,0,2
15061685,3,4,2,3,1,1,1,1,1,2,3,4,2,3,2,3,1,1,4,2,2,2,1,2,3,3,2,2,3,4,2,2,2,0,2
15061540,4,4,4,4,1,0,0,1,2,2,3,4,2,3,3,1,1,NA,4,1,1,2,0,4,3,3,0,2,4,3,2,1,3,0,2
15061721,2,3,1,4,0,1,1,1,2,2,4,3,1,0,2,2,3,0,4,2,2,1,1,1,3,2,0,1,3,4,2,1,3,1,2
15062074,3,4,2,4,1,0,1,0,2,1,3,4,0,2,0,1,1,0,4,2,4,2,1,1,4,4,2,1,4,4,2,1,3,0,1
15062362,3,4,2,3,1,1,1,1,1,2,3,3,2,2,1,2,2,1,4,1,3,1,1,2,3,2,1,1,4,3,2,1,3,0,2
15061689,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061357,4,4,2,3,0,2,1,1,1,0,4,3,2,1,3,2,2,1,4,1,1,3,3,1,3,3,2,1,3,3,2,1,3,0,2
15061376,3,4,2,3,1,2,1,1,1,1,3,4,2,2,1,2,1,1,4,1,3,1,2,2,3,3,2,1,3,4,3,2,2,0,2
15061308,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
