Samples,Tallo.LCH.L,Tallo.LCH.C,Tallo.LCH.H,PriFlor.LCH.L,PriFlor.LCH.C,PriFlor.LCH.H,Baya.LCH.L,Baya.LCH.C,Baya.LCH.H,PriTuber.LCH.L,PriTuber.LCH.C,PriTuber.LCH.H,SecTuber.LCH.L,SecTuber.LCH.C,SecTuber.LCH.H,Pulpa.LCH.L,Pulpa.LCH.C,Pulpa.LCH.H,PriBrote.LCH.L,PriBrote.LCH.C,PriBrote.LCH.H,SecBrote.LCH.L,SecBrote.LCH.C,SecBrote.LCH.H
15061313,54,44,117,43,58,322,69,59,106,75,35,83,43,39,17,84,18,90,26,20,307,94,4,41
15061314,54,44,117,57,46,323,76,75,107,43,33,10,79,32,85,84,18,90,39,53,346,96,7,318
15061317,54,44,117,92,6,71,66,48,118,43,33,10,75,35,83,84,26,94,33,26,314,94,4,41
15061320,54,44,117,43,58,322,72,45,115,80,41,86,40,35,16,84,18,90,39,57,339,94,4,41
15061323,54,44,117,43,58,322,54,44,117,74,37,74,42,36,346,92,6,71,33,26,314,96,7,318
15061324,54,44,117,48,43,305,54,44,117,38,32,14,76,47,85,84,26,94,26,20,307,96,5,318
15061327,54,44,117,63,40,326,54,44,117,41,37,12,80,42,96,92,6,71,26,20,307,96,7,318
15061329,28,16,359,36,39,321,54,44,117,28,11,318,80,42,96,82,35,93,27,28,306,94,4,41
15061330,54,44,117,43,58,322,62,43,124,40,35,16,80,35,96,84,26,94,39,57,339,94,4,41
15061331,54,44,117,53,43,320,54,44,117,60,35,53,48,39,21,92,6,71,33,34,316,96,7,318
15061335,54,44,117,36,39,321,66,48,118,75,35,83,42,36,346,84,18,90,27,28,306,96,7,318
15061336,54,44,117,43,58,322,54,44,117,29,23,333,80,42,96,84,18,90,26,20,307,94,4,41
15061340,28,16,359,54,49,320,54,44,117,43,39,17,75,35,83,84,18,90,27,28,306,96,7,318
15061342,54,44,117,42,39,319,69,59,106,35,29,17,80,42,96,84,18,90,27,28,306,96,7,318
15061344,54,44,117,54,49,320,71,50,115,42,36,346,80,35,85,84,18,90,27,28,306,96,7,318
15061345,54,44,117,36,55,329,69,59,106,42,37,18,75,35,83,84,18,90,39,57,339,94,4,41
15061346,54,44,117,61,43,319,54,44,117,38,32,14,81,32,84,84,26,94,48,58,336,94,4,41
15061347,54,44,117,42,39,319,54,44,117,42,36,346,80,42,96,84,18,90,26,20,307,96,7,318
15061349,54,44,117,61,43,319,58,45,128,81,32,84,44,32,328,84,18,90,33,26,314,96,7,318
15061352,54,44,117,36,55,329,66,48,118,76,47,85,42,36,346,84,26,94,94,4,41,43,58,322
15061353,54,44,117,36,55,329,54,44,117,35,29,17,80,41,21,92,6,71,27,28,306,96,7,318
15061355,28,16,359,36,55,329,54,44,117,27,19,5,80,41,86,84,18,90,26,20,307,94,4,41
15061360,54,44,117,36,55,329,54,44,117,29,23,333,74,41,83,84,18,90,26,20,307,94,4,41
15061364,54,44,117,43,58,322,76,75,107,30,29,7,80,41,86,84,18,90,33,26,314,95,5,344
15061365,54,44,117,61,43,319,54,44,117,38,32,14,75,35,83,84,18,90,42,39,319,96,7,318
15061367,54,44,117,54,49,320,72,45,106,35,29,17,75,35,83,92,6,71,42,39,319,94,4,41
15061368,54,44,117,52,45,305,69,59,106,53,24,40,28,16,359,84,26,94,26,20,307,96,7,318
15061369,54,44,117,52,45,305,66,48,118,47,20,338,60,32,41,92,6,71,26,20,307,96,7,318
15061370,54,44,117,36,55,329,54,44,117,41,37,12,80,41,86,84,18,90,48,58,336,96,7,318
15061377,54,44,117,52,45,305,54,44,117,76,47,85,42,37,18,84,26,94,48,58,336,94,4,41
15061378,54,44,117,49,57,317,54,44,117,76,47,85,50,26,342,84,18,90,43,40,309,96,7,318
15061380,28,16,359,43,58,322,54,44,117,42,37,18,76,47,85,84,18,90,26,20,307,94,7,318
15061382,54,44,117,33,58,312,50,28,115,50,26,342,75,47,86,92,6,71,58,45,310,96,7,318
15061383,28,16,359,49,57,317,50,28,115,35,29,17,80,35,96,84,18,90,26,20,307,96,7,318
15061384,28,16,359,43,58,322,54,44,117,30,11,328,80,41,86,92,6,71,27,28,306,96,7,318
15061385,28,16,359,54,49,320,54,44,117,30,11,328,80,41,86,92,6,71,26,20,307,94,4,41
15061386,54,44,117,43,40,309,66,48,118,28,16,359,80,30,83,84,18,90,26,20,307,96,7,318
15061388,54,44,117,61,43,319,58,45,128,35,29,17,82,26,80,92,6,71,57,53,344,94,4,41
15061389,28,16,359,45,57,327,66,48,118,30,11,328,76,47,85,84,18,90,48,45,302,94,4,41
15061390,28,16,359,45,57,327,54,44,117,30,11,328,80,41,86,84,18,90,26,20,307,94,4,41
15061392,54,44,117,52,45,305,54,44,117,45,25,28,42,36,346,84,26,94,43,40,309,96,7,318
15061394,54,44,117,92,6,71,66,48,118,50,26,342,74,37,86,84,26,94,26,20,307,96,7,318
15061396,28,16,359,43,58,312,66,48,118,29,8,313,80,41,86,92,6,71,26,20,307,94,4,41
15061404,53,44,117,36,55,329,66,48,118,30,11,328,82,35,93,84,18,90,26,20,307,35,41,347
15061406,54,44,117,43,58,322,54,44,117,34,28,21,81,32,84,84,18,90,26,20,307,96,7,318
15061410,54,44,117,36,55,329,54,44,117,42,37,18,81,32,84,92,6,71,36,47,352,96,7,318
15061411,54,44,117,42,39,319,50,28,115,50,26,342,82,35,93,94,4,41,26,20,307,94,4,41
15061414,28,16,359,61,43,319,66,48,118,76,47,85,27,19,5,84,18,90,36,39,321,94,4,41
15061415,54,44,117,41,58,318,53,38,132,42,37,18,82,42,86,84,18,90,39,57,339,96,7,318
15061417,28,16,359,57,46,323,58,45,128,29,8,313,76,47,85,84,24,85,31,33,324,95,5,344
15061418,28,16,359,57,46,323,66,48,118,76,47,85,30,16,3,92,6,71,31,33,324,94,4,41
15061419,28,16,359,41,58,318,54,44,117,29,8,313,80,42,96,92,3,32,26,20,307,94,4,41
15061420,54,44,117,36,39,321,54,44,117,76,47,85,30,16,3,92,6,71,49,42,312,96,7,318
15061421,54,44,117,65,35,303,66,48,118,34,28,21,75,35,83,84,18,90,26,20,307,96,7,318
15061422,54,44,117,52,55,328,54,44,117,30,16,3,80,41,86,92,6,71,39,53,346,94,4,41
15061423,54,44,117,54,49,320,54,44,117,35,29,17,80,41,86,92,6,71,31,33,324,94,4,41
15061424,28,16,359,57,46,323,54,44,117,30,16,3,80,42,96,84,26,94,65,35,303,96,7,318
15061425,54,44,117,54,49,320,54,44,117,38,32,14,80,42,96,84,18,90,48,58,336,96,7,318
15061430,54,44,117,41,60,332,54,44,117,42,37,18,76,47,85,84,18,90,39,57,339,94,4,41
15061434,28,16,359,54,49,320,44,26,116,35,29,17,80,47,85,84,18,90,39,53,346,96,7,318
15061435,28,16,359,43,58,322,54,44,117,41,37,12,45,42,0,84,18,90,75,26,302,94,7,318
15061436,54,44,117,57,46,323,50,28,115,76,47,85,42,37,83,92,6,71,43,40,309,94,4,41
15061437,54,44,117,36,39,321,71,50,115,80,42,96,50,26,342,92,6,71,33,26,314,94,7,318
15061438,54,38,117,57,46,323,54,44,117,29,8,313,81,32,84,92,6,71,33,26,314,48,58,336
15061439,54,44,117,36,39,321,54,44,117,76,47,85,28,16,359,84,18,90,27,28,306,94,4,41
15061441,28,16,359,42,39,319,66,48,118,80,42,96,29,8,313,84,18,90,65,35,303,96,7,318
15061442,54,44,117,31,33,324,66,48,118,47,20,338,82,35,93,92,6,71,38,40,308,94,4,41
15061443,54,44,117,53,43,320,71,50,115,76,47,85,43,39,17,84,18,90,57,53,344,94,4,41
15061444,54,44,117,36,55,329,62,43,124,27,19,5,80,47,41,92,6,71,26,20,307,94,4,41
15061445,54,44,117,42,39,319,54,44,117,80,42,96,45,42,0,84,18,90,38,40,308,94,4,41
15061447,54,44,117,57,46,323,53,38,132,34,28,21,80,42,96,92,6,71,30,28,345,94,4,41
15061453,28,16,359,43,58,322,50,28,115,29,8,313,80,42,96,84,18,90,43,40,309,94,4,41
15061458,54,44,117,67,41,314,66,48,118,48,39,21,76,47,85,84,26,94,48,58,336,96,7,318
15061459,54,44,117,49,57,317,50,28,115,29,8,313,80,42,96,92,6,71,33,26,314,94,4,41
15061461,54,44,117,58,45,310,69,59,106,80,42,96,38,32,14,84,26,94,48,58,336,96,7,318
15061462,54,44,117,43,40,309,72,45,115,76,47,85,27,22,344,88,10,96,48,45,302,96,7,318
15061463,54,44,117,61,43,319,54,44,117,28,16,359,80,42,96,88,10,96,33,26,314,94,4,41
15061469,54,44,117,49,57,317,58,32,112,42,36,346,75,26,83,88,10,96,43,40,309,94,4,41
15061470,54,44,117,61,43,319,66,48,118,50,26,342,84,22,70,92,6,71,31,33,324,94,4,41
15061471,49,21,132,59,48,315,54,44,117,42,36,346,81,32,84,92,6,71,33,26,314,96,7,318
15061475,54,44,117,70,31,304,71,50,115,35,29,17,80,42,96,84,18,90,26,20,307,94,4,41
15061477,54,44,117,43,58,312,72,45,115,29,8,313,84,24,85,92,6,71,26,20,307,96,4,344
15061478,28,16,359,61,43,319,54,44,117,29,8,313,80,42,96,88,10,96,26,20,307,94,4,41
15061479,54,44,117,43,58,322,66,48,118,34,28,21,80,42,96,88,10,96,35,41,347,94,4,41
15061480,28,16,359,52,55,328,54,44,117,45,42,0,80,42,96,84,26,94,43,40,309,96,7,318
15061481,54,44,117,43,58,322,54,44,117,76,47,85,45,25,28,92,6,71,26,20,307,96,7,318
15061482,54,44,117,41,60,332,69,59,118,80,42,96,50,29,17,92,6,71,36,47,352,94,4,41
15061484,45,19,134,42,39,319,72,45,115,40,35,16,80,39,328,84,26,94,26,20,307,95,7,318
15061485,54,44,117,38,40,308,58,44,117,80,42,96,54,37,17,84,18,90,36,47,352,94,4,41
15061487,49,21,132,42,39,319,53,38,132,30,16,3,80,42,96,92,6,71,26,20,307,96,7,318
15061488,28,16,359,43,58,322,54,44,117,30,11,328,75,35,83,92,6,71,38,40,308,94,4,41
15061489,28,16,359,36,55,329,66,48,118,30,16,3,75,35,83,84,18,90,33,26,314,94,4,41
15061490,28,16,359,43,58,322,66,48,118,30,16,3,80,42,96,84,26,94,48,58,336,94,4,41
15061492,53,44,117,61,43,319,54,44,117,30,11,328,80,41,86,82,35,93,41,42,316,94,4,41
15061493,54,44,117,43,58,312,54,44,117,30,29,7,80,41,86,84,26,94,33,26,314,95,7,318
15061495,28,16,359,43,40,309,72,45,115,30,29,7,80,41,86,84,18,90,26,20,307,96,7,318
15061498,54,44,117,33,34,316,54,44,117,29,8,313,80,41,86,84,18,90,33,26,314,96,7,318
15061500,54,44,117,36,55,329,50,28,115,80,42,96,43,39,17,92,3,32,52,55,328,94,4,41
15061501,28,16,359,43,58,322,50,28,115,69,36,65,42,32,25,92,6,71,41,60,332,96,7,318
15061503,54,44,117,58,45,310,66,48,118,50,26,342,82,35,93,84,26,94,84,16,308,96,7,318
15061504,45,19,134,54,49,320,54,44,117,50,26,342,82,35,93,92,6,71,54,39,308,95,7,318
15061505,49,21,132,36,55,329,66,48,118,43,39,17,76,29,28,84,26,94,39,57,339,95,5,344
15061507,54,44,117,36,55,329,69,59,106,38,32,14,80,42,96,92,6,71,43,40,309,94,4,41
15061508,28,16,359,36,55,329,66,48,118,80,42,96,35,29,17,92,6,71,43,40,309,94,4,41
15061509,54,44,117,92,6,71,66,48,118,30,11,328,76,32,93,84,18,90,33,26,314,94,4,41
15061511,54,44,117,92,6,71,50,28,115,29,8,313,80,39,86,92,6,71,26,20,307,94,4,41
15061514,54,44,117,66,36,309,66,48,118,42,37,18,80,41,86,84,18,90,26,20,307,96,7,318
15061516,28,16,359,41,60,332,66,48,118,38,32,14,76,37,86,94,5,52,36,47,352,95,5,344
15061517,42,17,138,43,58,322,54,44,117,30,29,7,80,42,96,84,18,90,70,31,304,96,7,318
15061518,54,44,117,43,58,322,66,48,118,30,29,7,80,41,86,92,6,71,59,40,305,94,4,41
15061520,54,44,117,43,58,322,50,28,115,39,28,22,80,41,86,82,35,93,43,38,334,94,4,41
15061521,28,16,359,61,43,319,66,48,118,35,29,17,80,41,86,82,35,93,26,26,320,96,7,318
15061523,28,16,359,43,58,322,72,45,115,30,16,3,80,42,96,92,6,71,26,20,307,94,4,41
15061524,28,16,359,61,43,319,62,43,124,30,11,328,37,42,3,92,6,71,33,26,314,96,4,41
15061525,54,44,117,31,33,324,72,45,115,42,36,346,80,42,96,92,6,71,49,42,312,96,7,318
15061526,28,16,359,49,42,312,54,44,117,27,19,5,75,35,83,84,26,94,75,26,302,96,7,318
15061528,42,17,138,43,58,322,66,48,118,38,32,14,30,16,3,84,18,90,26,20,307,96,4,344
15061530,54,44,117,36,39,321,66,48,118,30,16,3,74,37,74,92,6,71,48,45,302,94,4,41
15061533,54,44,117,26,52,310,53,38,132,28,16,359,80,41,86,92,6,71,33,26,314,96,7,318
15061534,54,44,117,54,49,320,50,28,115,28,11,318,82,41,96,80,42,96,38,40,308,94,7,318
15061535,28,16,359,49,57,317,54,44,117,34,28,21,80,41,86,84,18,90,26,20,307,96,7,318
15061536,28,16,359,36,55,329,69,59,106,29,8,313,80,41,86,92,6,71,26,20,307,96,7,318
15061537,54,44,117,92,6,71,71,50,115,50,29,17,82,30,83,84,26,94,54,39,308,94,4,41
15061538,28,16,359,42,39,319,50,28,117,30,11,328,76,47,85,92,6,71,54,39,308,94,4,41
15061539,54,44,117,43,58,322,54,44,117,75,35,83,27,22,344,84,18,90,43,40,309,96,7,318
15061542,54,44,117,57,46,323,50,28,115,27,19,5,80,41,86,84,18,90,49,57,317,95,7,318
15061543,54,44,117,45,57,327,66,48,118,38,32,14,80,41,86,84,18,90,33,26,314,94,4,41
15061546,28,16,359,45,57,327,54,44,117,29,8,313,80,41,86,92,6,71,33,26,314,96,7,318
15061549,49,21,132,36,55,329,53,38,132,30,11,328,81,32,84,84,18,90,26,20,307,94,4,41
15061550,28,16,359,67,41,314,54,44,117,27,19,5,80,42,96,84,26,94,33,26,314,96,7,318
15061551,54,44,117,45,57,327,71,59,106,80,41,86,50,29,17,92,6,71,48,58,336,94,4,41
15061553,54,44,117,75,26,302,54,44,117,41,37,12,81,42,17,84,18,90,33,26,314,96,7,318
15061555,42,17,138,65,35,303,54,44,117,48,39,21,82,35,93,84,18,90,26,20,307,96,7,318
15061556,54,44,117,43,58,322,54,44,117,80,42,96,64,28,15,92,6,71,59,48,315,94,4,41
15061557,54,44,117,59,48,315,50,28,115,40,35,16,80,42,96,84,18,90,26,20,307,95,4,41
15061561,54,44,117,43,58,322,54,44,117,80,42,96,42,36,346,84,18,90,66,40,333,94,4,41
15061564,54,44,117,61,43,319,53,38,132,57,56,45,80,42,96,92,6,71,36,55,329,94,4,41
15061565,42,17,138,54,49,320,44,26,116,40,35,16,82,26,80,84,26,94,48,58,336,96,7,318
15061566,28,16,359,49,57,317,50,28,115,29,8,313,80,42,96,92,6,71,33,26,314,94,4,41
15061567,54,44,117,63,40,326,66,48,118,76,47,85,45,25,28,84,26,94,39,57,339,94,4,41
15061571,54,44,117,61,43,319,69,59,106,41,37,12,80,28,67,92,6,71,45,57,327,96,7,318
15061575,49,21,132,41,42,316,66,48,118,39,46,9,79,32,71,84,18,90,26,20,307,96,7,318
15061576,49,21,132,67,41,314,54,44,117,82,35,93,42,36,346,84,18,90,33,26,314,94,4,41
15061577,54,44,117,43,58,322,54,44,117,30,11,328,76,47,85,84,26,94,26,20,307,94,4,41
15061580,42,17,138,59,40,305,66,48,118,27,19,5,80,42,96,84,18,90,26,20,307,94,4,41
15061585,49,21,132,66,36,324,53,28,117,28,16,359,84,24,85,92,3,32,33,26,314,94,4,41
15061586,54,44,117,67,36,319,66,48,118,80,42,96,54,37,17,92,3,32,46,66,344,95,5,344
15061588,42,17,138,42,39,319,54,44,117,35,29,17,79,36,83,84,18,90,26,20,307,94,4,41
15061601,28,16,359,33,34,316,44,26,116,89,8,95,51,43,355,84,26,94,26,20,307,96,7,318
15061602,54,44,117,66,36,309,53,38,132,40,35,16,81,35,83,84,26,94,33,34,316,96,7,318
15061604,54,44,117,49,42,312,58,45,128,34,34,8,80,42,96,84,18,90,44,54,353,96,7,318
15061608,54,44,117,56,48,332,53,38,132,84,26,94,45,42,0,84,26,94,31,33,324,94,4,41
15061609,49,21,117,43,58,322,54,44,117,27,19,5,80,42,96,92,6,71,26,20,307,96,7,318
15061610,42,17,138,36,39,321,66,48,118,28,16,359,80,42,96,92,6,71,26,20,307,94,4,41
15061614,54,44,117,54,49,320,54,44,117,39,28,22,82,30,83,92,6,71,31,33,324,96,7,318
15061621,54,44,117,39,57,339,69,59,106,38,32,14,75,42,86,84,26,94,37,43,331,94,4,41
15061622,54,44,117,52,45,305,54,44,117,76,47,85,28,16,359,84,18,90,26,20,307,96,7,318
15061626,28,16,359,36,39,321,54,44,117,29,8,313,80,42,96,92,6,71,26,20,307,96,7,318
15061627,54,44,117,66,36,309,76,75,107,60,32,41,30,28,345,92,6,71,54,49,320,96,7,318
15061628,54,44,117,92,6,71,69,59,106,79,36,83,32,30,328,84,18,90,38,40,308,96,7,318
15061629,28,16,359,61,43,319,76,75,107,80,41,86,39,28,22,92,6,71,26,20,307,96,7,318
15061630,28,16,359,41,58,318,62,43,124,28,11,318,75,33,74,80,42,96,26,20,307,96,7,318
15061632,54,44,117,43,58,322,54,44,117,35,29,17,80,36,17,92,6,71,44,54,353,96,7,318
15061633,28,16,359,49,57,317,54,44,117,79,36,83,79,36,83,92,6,71,43,40,309,94,4,41
15061638,54,44,117,54,39,308,54,44,117,75,35,83,43,33,10,84,26,94,33,26,314,96,7,318
15061639,49,21,132,61,43,319,54,44,117,30,28,345,84,18,90,92,6,71,43,58,322,96,7,318
15061640,28,16,359,38,40,308,54,44,117,29,8,313,81,32,84,84,18,90,26,20,307,96,7,318
15061641,54,44,117,54,49,320,54,44,117,30,28,345,82,35,93,94,5,52,59,48,315,96,7,318
15061642,54,44,117,54,49,320,54,44,117,45,25,28,42,36,346,84,18,90,26,20,307,94,4,41
15061645,54,44,117,54,49,320,69,59,106,29,8,313,80,41,86,84,18,90,27,28,306,96,7,318
15061646,54,44,117,92,6,71,54,44,117,50,29,17,82,26,80,84,26,94,26,20,307,96,7,318
15061649,54,44,117,54,39,308,58,45,128,30,28,345,75,35,83,84,18,90,33,26,314,96,7,318
15061650,54,44,117,52,45,305,66,48,118,80,42,96,27,36,17,82,35,93,33,26,314,94,4,41
15061651,58,45,128,43,58,322,69,59,106,30,28,345,75,35,83,92,6,71,33,26,314,94,4,41
15061653,54,44,117,52,55,328,54,44,117,75,35,83,43,39,17,84,26,94,48,58,336,96,7,318
15061654,54,44,117,43,58,322,54,44,117,50,26,342,80,28,67,92,6,71,33,26,314,94,4,41
