MarkerName,SampleName,X,Y,R,ratio
mrk001,AP053,1823.38701,1019.29622,2842.68323,0.358568344598846
mrk001,AP054,2047.36922,1040.77965,3088.14887,0.337023794451982
mrk001,AP055,2060.38534,777.37072,2837.75606,0.273938528740205
mrk001,AP056,2239.11016,720.23118,2959.34134,0.24337550057676
mrk001,AP057,1909.29298,956.52699,2865.81997,0.33377078812107
mrk001,AP058,1860.76608,899.22132,2759.9874,0.325806313463605
mrk001,AP059,1882.62449,1120.22726,3002.85175,0.373054467307618
mrk001,AP061,2071.58535,1095.98689,3167.57224,0.346002176733308
mrk001,AP062,1842.28981,716.92419,2559.214,0.280134521771138
mrk001,AP066,1966.23403,1011.00943,2977.24346,0.339579024551791
mrk001,AP067,2193.30435,715.86294,2909.16729,0.24607142478905
mrk001,AP068,2260.36747,382.51295,2642.88042,0.144733354980926
mrk001,AP069,1967.36904,768.56289,2735.93193,0.280914478014809
mrk001,AP070,1883.53069,421.68425,2305.21494,0.182926217717468
mrk001,AP071,1882.58342,968.95137,2851.53479,0.339799946820919
mrk001,AP072,2116.88559,849.77551,2966.6611,0.286441720626599
mrk001,AP073,1880.17321,748.8755,2629.04871,0.28484656718285
mrk001,AP074,1818.54082,1002.5408,2821.08162,0.355374616917323
mrk001,AP075,1928.02568,895.53577,2823.56145,0.31716531970643
mrk001,AP077,1928.91549,688.17649,2617.09198,0.262954644032037
mrk001,AP078,2054.68242,893.82244,2948.50486,0.303144299378906
mrk001,AP079,2083.76893,686.76953,2770.53846,0.247883052307456
mrk001,AP080,2154.44716,833.96946,2988.41662,0.279067334326363
mrk001,AP081,1808.32155,1180.28522,2988.60677,0.394928242767783
mrk001,AP084,1864.8025,1187.5078,3052.3103,0.389052122256377
mrk001,AP085,1985.36397,1035.85635,3021.22032,0.342860248603121
mrk001,AP089,1891.64989,871.75353,2763.40342,0.315463722629394
mrk001,AP092,1442.08296,1283.21587,2725.29883,0.470853271529126
mrk001,AP093,1795.90388,751.82278,2547.72666,0.295095542156787
mrk001,AP094,2258.37062,546.17294,2804.54356,0.194745750356611
mrk001,AP095,1761.45017,924.52751,2685.97768,0.344205209478881
mrk001,AP096,1989.6562,787.76323,2777.41943,0.283631352719384
mrk001,AP097,1957.87364,807.91841,2765.79205,0.292111046454125
mrk001,AP099,1934.27316,1168.38651,3102.65967,0.376575787959367
mrk001,AP100,1954.49475,717.67858,2672.17333,0.268574860748273
mrk001,AP103,1671.84548,1498.90784,3170.75332,0.472729250347359
mrk001,AP104,1951.14232,1137.50946,3088.65178,0.368286728651554
mrk001,AP105,1735.956,1029.02134,2764.97734,0.372162666620624
mrk001,AP110,1841.71266,731.88413,2573.59679,0.284381816469393
mrk001,AP111,2027.4676,783.78133,2811.24893,0.2788018242127
mrk001,AP112,1768.59648,788.53066,2557.12714,0.308365840581552
mrk001,AP114,1756.58164,970.68743,2727.26907,0.355919201620983
mrk001,AP115,1912.50649,984.66494,2897.17143,0.339871134239371
mrk001,AP116,1934.27189,912.91773,2847.18962,0.320638191284218
mrk001,AP118,1842.57115,929.10468,2771.67583,0.335214049905685
mrk001,AP119,1827.29404,1061.63389,2888.92793,0.367483687971406
mrk001,AP120,1817.37874,860.02668,2677.40542,0.321216455892586
mrk001,AP122,2017.41274,994.99581,3012.40855,0.330299092399004
mrk001,AP131,2111.74368,764.96623,2876.70991,0.265917055918927
mrk001,AP132,1927.65611,1143.60135,3071.25746,0.372356067472116
mrk001,AP133,1925.51656,1017.91924,2943.4358,0.345826887068507
mrk001,AP134,1938.39985,919.94127,2858.34112,0.321844465505923
mrk001,AP135,1897.74187,1097.13218,2994.87405,0.366336667814127
mrk001,AP136,1979.90273,982.45306,2962.35579,0.331645868911648
mrk001,AP137,1877.24482,1041.08929,2918.33411,0.356740952460717
mrk001,AP138,2116.04336,781.36137,2897.40473,0.269676294067484
mrk001,AP139,1905.70312,694.05615,2599.75927,0.266969391362147
mrk001,AP140,1708.71616,904.59719,2613.31335,0.346149530824537
mrk001,AP141,2145.0979,927.86979,3072.96769,0.301945833345225
mrk001,AP151,2113.506255,1341.438765,3454.94502,0.388266313135136
mrk001,AP152,2036.44282,380.33526,2416.77808,0.157372852372114
mrk001,K001,2075.8705,1228.54532,3304.41582,0.371788959659441
mrk001,K002,2091.00895,973.07863,3064.08758,0.317575331838263
mrk001,K003,2212.21613,962.17804,3174.39417,0.303106038025517
mrk001,K004,1932.03048,1100.34318,3032.37366,0.362865300709676
mrk001,K007,2183.43283,1041.32331,3224.75614,0.322915366245337
mrk001,K008,1851.77785,1191.75194,3043.52979,0.391569007773701
mrk001,K009,2134.14223,929.92619,3064.06842,0.303493937645165
mrk001,K010,1939.95604,986.98226,2926.9383,0.337206377052772
mrk001,K011,2167.83446,961.50917,3129.34363,0.307255860552457
mrk001,K012,2010.5857,1064.06694,3074.65264,0.346077123040475
mrk001,K013,2230.56836,1113.81803,3344.38639,0.333041072446177
mrk001,K014,2022.6592,1208.93905,3231.59825,0.374099425880058
mrk001,K015,2249.73453,1128.7935,3378.52803,0.334108076054648
mrk001,K016,2064.62412,1314.12964,3378.75376,0.388939157258977
mrk001,K017,2316.66167,1039.86296,3356.52463,0.309803464781964
mrk001,K019,1964.3399,1225.6657,3190.0056,0.384220548076781
mrk001,K021,2190.95684,1125.94374,3316.90058,0.339456583893148
mrk001,K022,2174.99847,1028.30056,3203.29903,0.321012977673833
mrk001,K023,2210.75718,1413.5778,3624.33498,0.390024047942721
mrk001,K024,2182.87866,1059.01248,3241.89114,0.326665034162745
mrk001,K026,2173.94485,1076.87827,3250.82312,0.331263261718158
mrk001,K027,2025.1704,336.11626,2361.28666,0.142344538549165
mrk001,K029,2273.84019,1009.36738,3283.20757,0.307433312844122
mrk001,K030,2251.96488,1050.94176,3302.90664,0.318186940942418
mrk001,K031,2139.54941,1047.71008,3187.25949,0.328718161570208
mrk001,K032,2116.62113,959.61443,3076.23556,0.311944391540679
mrk001,K033,2140.21848,934.65797,3074.87645,0.303966024390996
mrk001,K034,2184.37697,1034.56027,3218.93724,0.321398086655458
mrk001,K035,2101.58481,1206.74577,3308.33058,0.364759730268551
mrk001,K039,1816.27744,1207.67465,3023.95209,0.399369637499779
mrk001,K040,1854.66038,1163.70623,3018.36661,0.385541711912855
mrk001,K041,2097.16894,1083.31267,3180.48161,0.340612775937415
mrk001,K042,2088.0503,1041.45273,3129.50303,0.332785340041674
mrk001,K043,2216.5255,1055.76366,3272.28916,0.322637642450889
mrk001,K044,2259.70116,956.57821,3216.27937,0.297417636951109
mrk001,K045,2235.73209,1007.52884,3243.26093,0.310653031546247
mrk001,K046,2104.59324,1119.34196,3223.9352,0.347197412652711
mrk001,K049,2220.6994,1086.25126,3306.95066,0.328475194123398
mrk001,K050,1944.29276,1256.04048,3200.33324,0.392471778970117
mrk001,K051,2027.75979,1025.15138,3052.91117,0.335794696574811
mrk001,K052,2160.89831,977.70291,3138.60122,0.311509121888381
mrk001,K053,2030.25048,1013.09538,3043.34586,0.332888677989428
mrk001,K054,2034.72181,1042.35359,3077.0754,0.338748147022982
mrk001,K055,2001.86205,1007.06473,3008.92678,0.334692335052434
mrk001,K056,2189.43955,985.60007,3175.03962,0.310421345230331
mrk001,K058,2329.37179,1020.35192,3349.72371,0.304607785099984
mrk001,K059,2433.55373,928.10167,3361.6554,0.276084714096513
mrk001,K060,2329.04692,940.29294,3269.33986,0.287609419719368
mrk001,K062,2273.6974,1110.82836,3384.52576,0.328207979129105
mrk001,K063,2111.18119,1238.64463,3349.82582,0.369763891186438
mrk001,K064,2070.30673,854.76707,2925.0738,0.292220685166986
mrk001,K065,2090.43955,1110.44072,3200.88027,0.346917293473148
mrk001,K066,1981.87736,1184.01896,3165.89632,0.373991704188216
mrk001,K067,1968.58148,1112.14132,3080.7228,0.361000126333989
mrk001,K068,1880.63312,991.60837,2872.24149,0.345238509175633
mrk001,K069,2010.52988,1109.54188,3120.07176,0.355614218308876
mrk001,K070,1939.95219,1071.10003,3011.05222,0.355722834325338
mrk001,K071,2091.48864,1052.06988,3143.55852,0.334674819414528
mrk001,K072,2307.75232,1151.46152,3459.21384,0.33286797904347
mrk001,K073,2294.14691,952.1407,3246.28761,0.293301399748743
mrk001,K074,1991.18904,1161.48828,3152.67732,0.368413307835767
mrk001,K077,2097.93987,964.74595,3062.68582,0.31499997280165
mrk001,K078,2181.43329,1230.10069,3411.53398,0.360571138148241
mrk001,K080,2089.29844,1139.08058,3228.37902,0.35283359634768
mrk001,K082,1980.26922,988.98333,2969.25255,0.33307484403777
mrk001,K085,2077.14569,1120.26429,3197.40998,0.350366170433984
mrk001,K086,1926.72231,1053.89355,2980.61586,0.353582480769595
mrk001,K088,1941.51604,1065.61974,3007.13578,0.354363692882534
mrk001,K089,2101.17642,1003.3304,3104.50682,0.32318511704864
mrk001,K090,2233.41594,404.95057,2638.36651,0.153485335894443
mrk001,K091,2113.98954,1058.4414,3172.43094,0.333637333646733
mrk001,K093,2157.82651,1051.97113,3209.79764,0.327737523665199
mrk001,K095,2223.52555,1036.86067,3260.38622,0.318017743922375
mrk001,K096,2186.26647,1203.83607,3390.10254,0.355103143871277
mrk001,K097,2152.69187,1048.77719,3201.46906,0.327592480309649
mrk001,K098,1981.82234,984.62653,2966.44887,0.331920950992154
mrk001,K099,2375.70963,870.64781,3246.35744,0.268192220385935
mrk001,K100,2090.73252,1047.54803,3138.28055,0.333796807936754
mrk001,K101,2324.68474,1003.33305,3328.01779,0.301480675077762
mrk001,K102,1946.65134,1099.97592,3046.62726,0.361047094418764
mrk001,K103,2010.22024,1070.99667,3081.21691,0.347588858974554
mrk001,K104,2220.66416,918.35182,3139.01598,0.292560415700719
mrk001,K105,2044.6264,1127.88503,3172.51143,0.35551803512336
mrk001,K106,2118.82316,958.81422,3077.63738,0.311542297422967
mrk001,K107,2020.38215,1155.59669,3175.97884,0.363855286265068
mrk001,K108,2060.98606,1177.24787,3238.23393,0.36354627103793
mrk001,K109,2066.45922,908.60528,2975.0645,0.305406918068499
mrk001,K111,2256.53962,1096.74642,3353.28604,0.327066169398421
mrk001,K113,1939.76625,1161.82385,3101.5901,0.374589746723785
mrk001,K115,2068.52838,1253.10883,3321.63721,0.377256380145139
mrk001,K116,2086.40566,1353.9349,3440.34056,0.39354676561439
mrk001,K118,2016.37015,1077.08331,3093.45346,0.348181514261411
mrk001,K119,2132.23857,908.94289,3041.18146,0.298878216231135
mrk001,K120,2139.19303,1031.74446,3170.93749,0.325375212615749
mrk001,K121,1919.71482,967.71086,2887.42568,0.335146586353004
mrk001,K123,2036.05113,879.81559,2915.86672,0.301733815186176
mrk001,K124,1577.96541,805.22801,2383.19342,0.337877741371072
mrk001,K126,1906.89395,925.47711,2832.37106,0.326749952741008
mrk001,K128,1886.66468,1005.47096,2892.13564,0.34765691694875
mrk001,K130,2069.10276,833.15947,2902.26223,0.287072429702536
mrk001,K131,1741.34627,930.33384,2671.68011,0.348220521056318
mrk001,K132,2270.9771,841.21375,3112.19085,0.270296325175559
mrk001,K134,1906.5738,853.9809,2760.5547,0.309351196699707
mrk001,K135,1990.13501,1056.1015,3046.23651,0.346690579189467
mrk001,K137,2021.44018,1011.71207,3033.15225,0.333551363931698
mrk001,K138,1911.18203,864.61709,2775.79912,0.311484027705867
mrk001,K140,2185.69425,828.58488,3014.27913,0.274886579598221
mrk001,K141,2164.59397,963.39427,3127.98824,0.307991653446881
mrk001,K142,1989.95084,906.34076,2896.2916,0.312931460354337
mrk001,K144,1593.49581,737.84989,2331.3457,0.316490982010948
mrk001,K147,2132.19065,773.03755,2905.2282,0.26608496709484
mrk001,K148,1949.12487,1093.10144,3042.22631,0.359309705660918
mrk001,K151,1777.68031,1086.2886,2863.96891,0.379294829705397
mrk001,K152,1937.8118,1059.04468,2996.85648,0.353385184465023
mrk001,K154,1796.54625,1049.73019,2846.27644,0.368808234944319
mrk001,K155,2075.49455,855.13102,2930.62557,0.291791291509137
mrk001,K156,1877.95973,1039.71793,2917.67766,0.356351198164913
mrk001,K157,1821.77018,870.22777,2691.99795,0.323264648102722
mrk001,K158,1859.92861,1067.66309,2927.5917,0.364689888279161
mrk001,K159,1963.14175,847.02747,2810.16922,0.301415111934078
mrk001,K160,1947.98879,938.16338,2886.15217,0.325056796987943
mrk001,K161,1807.07761,663.4808,2470.55841,0.26855499441521
mrk001,K162,2020.36478,761.89036,2782.25514,0.273839141869642
mrk001,K163,2313.18036,869.30671,3182.48707,0.273153257461624
mrk001,K165,1755.72259,883.69752,2639.42011,0.334807451323086
mrk001,K166,1824.81709,905.93824,2730.75533,0.33175372031591
mrk001,K167,1701.17408,803.2907,2504.46478,0.320743460405141
mrk001,K169,2173.08278,802.371,2975.45378,0.269663405761255
mrk001,K171,1883.66765,954.15818,2837.82583,0.33622859088572
mrk001,K172,2744.48801,1244.54492,3989.03293,0.311991638534806
mrk001,K174,1819.56773,1032.31752,2851.88525,0.361977228922517
mrk001,K175,1648.59276,1044.52907,2693.12183,0.38785065657427
mrk001,K177,1734.91665,909.56137,2644.47802,0.343947411595427
mrk001,K179,2126.4197,930.27603,3056.69573,0.304340409439444
mrk001,K181,1959.41697,848.10376,2807.52073,0.302082813116041
mrk001,K182,1655.58979,937.45294,2593.04273,0.36152622135926
mrk001,K183,1718.55656,803.63487,2522.19143,0.318625644525325
mrk001,K184,1939.2124,817.14268,2756.35508,0.296457697315253
mrk001,K185,1853.06482,817.43874,2670.50356,0.306099101399438
mrk001,K187,2238.88371,1019.18505,3258.06876,0.312818766292704
mrk001,K188,2128.76279,834.27493,2963.03772,0.281560684958138
mrk001,K189,2089.30673,1083.3363,3172.64303,0.341461768549486
mrk001,K190,2028.71574,916.73844,2945.45418,0.311238397875875
mrk001,K191,2019.48619,1058.22872,3077.71491,0.343835849305484
mrk001,K192,1688.15254,975.94204,2664.09458,0.366331603737582
mrk001,K193,1893.34376,940.40732,2833.75108,0.33185953651229
mrk001,K194,1748.83291,905.6197,2654.45261,0.341170038820169
mrk001,K195,1942.15528,758.72003,2700.87531,0.280916348559608
mrk001,K198,1943.2674,973.06706,2916.33446,0.333660995796758
mrk001,K199,1853.17139,866.82836,2719.99975,0.318686926349901
mrk001,K200,1934.78468,798.81833,2733.60301,0.292221777294575
mrk001,K202,1839.32194,838.36537,2677.68731,0.313093081058819
mrk001,K204,2059.43897,839.60268,2899.04165,0.289613872915555
mrk001,K205,2029.95793,940.26311,2970.22104,0.31656334573672
mrk001,K206,2136.6393,974.9252,3111.5645,0.313323153031216
mrk001,K207,1671.73166,947.5227,2619.25436,0.361752838697193
mrk001,K208,2308.70902,1135.6582,3444.36722,0.32971461155643
mrk001,K210,2037.35303,849.24315,2886.59618,0.294202270440197
mrk001,K211,1972.97568,757.66402,2730.6397,0.277467591202164
mrk001,K212,1963.31695,910.17245,2873.4894,0.316748149479862
mrk001,K215,1662.05609,824.36613,2486.42222,0.331547121550418
mrk001,K216,1837.19906,917.18214,2754.3812,0.332990270192085
mrk001,K217,2055.86441,896.76675,2952.63116,0.303717837212014
mrk001,K218,1729.46168,994.00576,2723.46744,0.364978022281772
mrk001,K219,2057.38162,845.69872,2903.08034,0.291310821938879
mrk001,K220,1975.14969,695.53551,2670.6852,0.260433356203869
mrk001,K221,1788.3233,938.37053,2726.69383,0.344142242768782
mrk001,K222,1939.20983,1031.30124,2970.51107,0.347179732947435
mrk001,K223,1988.18369,1046.13773,3034.32142,0.34476826453013
mrk001,K224,1965.63493,970.9467,2936.58163,0.330638416477461
mrk001,K225,1805.74379,933.18805,2738.93184,0.340712403416362
mrk001,K228,2081.41345,866.21432,2947.62777,0.293868285818192
mrk001,K229,1909.08096,828.87961,2737.96057,0.302736138380546
mrk001,K231,1903.30357,896.05568,2799.35925,0.320093135598798
mrk001,N002,2135.39393,869.74125,3005.13518,0.28941834490121
mrk001,N003,2059.22933,433.3016,2492.53093,0.173840009279243
mrk001,N004,2219.64565,917.07726,3136.72291,0.292367954171636
mrk001,N005,2227.26943,452.68176,2679.95119,0.168914180858645
mrk001,N007,2060.25187,948.70348,3008.95535,0.315293306030613
mrk001,N009,2113.60249,316.01646,2429.61895,0.130068322030498
mrk001,N010,2258.85287,335.80801,2594.66088,0.129422697427804
mrk001,N011,2405.80755,738.16895,3143.9765,0.234788316642952
mrk001,N015,2134.20995,888.85308,3023.06303,0.294023998566778
mrk001,N016,2194.38041,806.89793,3001.27834,0.268851415493839
mrk001,N017,2152.82991,681.90429,2834.7342,0.240553167207
mrk001,N018,2375.68293,511.05017,2886.7331,0.177034090889802
mrk001,N019,2160.01001,975.96591,3135.97592,0.311216008954559
mrk001,N020,2114.00212,371.17026,2485.17238,0.149353929323808
mrk001,N022,2180.1791,634.6269,2814.806,0.225460262625559
mrk001,N025,2058.99249,417.72052,2476.71301,0.168659234361594
mrk001,N026,2216.17388,636.65722,2852.8311,0.22316681138256
mrk001,N028,2011.53488,350.93244,2362.46732,0.148544886538367
mrk001,N031,2134.95215,352.76941,2487.72156,0.14180421783216
mrk001,N032,2216.2105,813.45739,3029.66789,0.268497214722766
mrk001,N033,2216.85666,901.65935,3118.51601,0.289130903002804
mrk001,N035,2058.1869,921.37389,2979.56079,0.309231445484286
mrk001,N040,2087.28439,843.24977,2930.53416,0.287746098137959
mrk001,N041,2013.46254,927.02864,2940.49118,0.31526319354578
mrk001,N042,2293.24931,965.18737,3258.43668,0.296211792582693
mrk001,N044,1995.42265,854.22932,2849.65197,0.299766192150124
mrk001,N045,2136.61811,873.54119,3010.1593,0.290197661632061
mrk001,N047,2172.05163,765.58896,2937.64059,0.260613555860487
mrk001,N048,2131.59594,914.87931,3046.47525,0.300307481572351
mrk001,N050,2068.91128,455.97393,2524.88521,0.180591944613593
mrk001,N052,2057.44146,433.69361,2491.13507,0.174094779212433
mrk001,N053,2407.85199,802.17743,3210.02942,0.249897220568153
mrk001,N054,2283.03058,785.68094,3068.71152,0.256029585993798
mrk001,N056,2275.34077,936.23418,3211.57495,0.291518707978464
mrk001,N057,2149.00801,972.3469,3121.35491,0.311514367329667
mrk001,N058,2116.30075,990.902,3107.20275,0.318904841340012
mrk001,N059,2088.85378,821.78772,2910.6415,0.282339037631395
mrk001,N060,2108.8003,1004.40542,3113.20572,0.322627384868097
mrk001,N062,2080.39279,929.55805,3009.95084,0.308828316279079
mrk001,N063,1994.73686,1186.41011,3181.14697,0.37295042360146
mrk001,N064,2183.41695,721.68284,2905.09979,0.248419294402276
mrk001,N065,2107.23264,776.38369,2883.61633,0.269239594020471
mrk001,N067,2237.28886,744.38913,2981.67799,0.24965443367679
mrk001,N068,2393.37481,1064.49257,3457.86738,0.307846557724258
mrk001,N069,2434.25521,1152.64116,3586.89637,0.321347772865822
mrk001,N070,2147.24722,836.98436,2984.23158,0.280468970843074
mrk001,N072,2010.88343,493.51625,2504.39968,0.197059700151375
mrk001,N073,2129.98036,915.64587,3045.62623,0.300642889459223
mrk001,N075,2306.83873,860.91743,3167.75616,0.27177515771921
mrk001,N076,2107.84284,871.54783,2979.39067,0.292525528382621
mrk001,N077,2110.4891,1013.84839,3124.33749,0.324500279897739
mrk001,N078,2043.46302,956.66295,3000.12597,0.318874260469803
mrk001,N079,2038.51293,938.41768,2976.93061,0.315229947533107
mrk001,N081,2031.11496,775.89115,2807.00611,0.276412348101373
mrk001,N082,2117.4496,760.87923,2878.32883,0.264347569349816
mrk001,N083,2112.42361,350.4864,2462.91001,0.142305808404262
mrk001,N086,2398.73148,877.17797,3275.90945,0.267766244271495
mrk001,N087,2171.39413,912.56658,3083.96071,0.295907330155318
mrk001,N088,2116.48122,1067.62145,3184.10267,0.335297432478834
mrk001,N090,2504.41251,820.48662,3324.89913,0.246770379467121
mrk001,N091,2016.87938,760.22665,2777.10603,0.273747794210076
mrk001,N092,2229.75164,750.53471,2980.28635,0.251833086441509
mrk001,N093,2067.7915,887.36075,2955.15225,0.300275814892448
mrk001,N094,2139.43343,828.30778,2967.74121,0.279103776706999
mrk001,N095,2066.10545,1007.64606,3073.75151,0.327822875961759
mrk001,N096,2010.37572,907.2249,2917.60062,0.310948967374431
mrk001,N099,2083.19462,820.2838,2903.47842,0.282517615543359
mrk001,N102,2094.22927,670.25799,2764.48726,0.242452913311671
mrk001,N103,2231.54173,753.46361,2985.00534,0.252416168206922
mrk001,N104,2039.51574,658.53063,2698.04637,0.244076839198283
mrk001,N105,2293.39029,656.51691,2949.9072,0.222555106140288
mrk001,N106,2093.51229,985.68868,3079.20097,0.320111837325123
mrk001,N107,2084.07888,865.54978,2949.62866,0.293443643173714
mrk001,N108,2256.2607,806.54277,3062.80347,0.263334810052308
mrk001,N110,2029.59298,695.83351,2725.42649,0.255311787917641
mrk001,N111,2145.73892,1010.1677,3155.90662,0.320087956214623
mrk001,N112,2105.0357,306.524,2411.5597,0.127106121403505
mrk001,N113,2028.3215,973.8122,3002.1337,0.324373361519509
mrk001,N114,2050.26752,682.40166,2732.66918,0.249719821555568
mrk001,N116,2286.00557,831.76559,3117.77116,0.266782116876083
mrk001,N119,2268.33653,735.865,3004.20153,0.244945285012221
mrk001,N121,2018.91224,921.76864,2940.68088,0.31345415487586
mrk001,N122,2311.90391,803.19725,3115.10116,0.257839860969395
mrk001,N124,2002.51587,284.32887,2286.84474,0.124332389089082
mrk001,N125,2122.09894,849.05904,2971.15798,0.285767046288128
mrk001,N126,2186.16098,849.31277,3035.47375,0.279795788054501
mrk001,N127,2070.81316,1054.41827,3125.23143,0.337388860190748
mrk001,N130,2176.3662,704.80417,2881.17037,0.244624260105799
mrk001,N131,2249.15312,358.22735,2607.38047,0.137389749644017
mrk001,N134,2065.49777,863.36461,2928.86238,0.29477814181218
mrk001,N135,2225.86087,963.84972,3189.71059,0.302174662184634
mrk001,N136,2217.88563,376.16792,2594.05355,0.145011624760021
mrk001,N137,2123.28182,1124.67618,3247.958,0.346271774450285
mrk001,N141,2015.54925,342.15713,2357.70638,0.145122875733152
mrk001,N143,2003.05338,964.17854,2967.23192,0.324942089460941
mrk001,N146,2358.84524,843.91447,3202.75971,0.263496030428084
mrk001,N147,2002.26835,857.52604,2859.79439,0.299855836838676
mrk001,N149,2141.97492,905.95381,3047.92873,0.297235890420574
mrk001,N150,2078.82289,836.95725,2915.78014,0.287044019032244
mrk001,N152,2199.96638,879.09588,3079.06226,0.285507666220429
mrk001,N153,2240.99072,804.32257,3045.31329,0.264118168938868
mrk001,N154,2236.97682,822.9603,3059.93712,0.268946801102893
mrk001,N155,2189.24851,742.68901,2931.93752,0.253309971625862
mrk001,N156,2193.90902,1006.34935,3200.25837,0.314458782276382
mrk001,N157,2085.20197,910.60695,2995.80892,0.30396029063162
mrk001,N158,2326.66178,602.66016,2929.32194,0.205733672277756
mrk001,N159,2072.78803,751.93411,2824.72214,0.266197548902987
mrk001,N162,2008.3541,710.44305,2718.79715,0.261307854467922
mrk001,N163,2044.5818,757.76069,2802.34249,0.270402598077867
mrk001,N164,2208.93704,778.20672,2987.14376,0.260518670182784
mrk001,N165,2087.88467,732.59131,2820.47598,0.2597403116335
mrk001,N167,2091.78867,696.65458,2788.44325,0.249836384513115
mrk001,N168,2169.62934,634.06081,2803.69015,0.226152240824472
mrk001,N169,2141.50206,307.15339,2448.65545,0.125437570238802
mrk001,N170,2273.39532,952.22253,3225.61785,0.295206243975863
mrk001,N171,2154.1837,952.59776,3106.78146,0.306618850493591
mrk001,N172,2086.13811,700.92739,2787.0655,0.251492973523586
mrk001,N173,2129.68048,684.64501,2814.32549,0.243271438372254
mrk001,N176,2097.0719,868.92523,2965.99713,0.292962262576431
mrk001,N178,1897.25269,780.62311,2677.8758,0.291508332836049
mrk001,N184,2019.49687,865.28777,2884.78464,0.299948827375897
mrk001,N185,2068.64735,793.24268,2861.89003,0.277174409807773
mrk001,N186,2219.81292,329.92482,2549.73774,0.129395590308829
mrk001,N190,2245.00588,938.37798,3183.38386,0.2947737443137
mrk001,N191,2186.56565,904.18887,3090.75452,0.292546322960647
mrk001,N192,2176.17343,951.70903,3127.88246,0.304266238316385
mrk001,N193,2167.90181,968.62029,3136.5221,0.308819851771489
mrk001,N195,2233.9091,295.35017,2529.25927,0.116773386383595
mrk001,N196,2077.69087,1000.97602,3078.66689,0.325132940900923
mrk001,N197,2250.12271,722.44892,2972.57163,0.243038355311223
mrk001,N198,2025.00709,805.45374,2830.46083,0.284566290924436
mrk001,N199,2159.56457,769.35382,2928.91839,0.262675062107142
mrk001,N200,2096.03802,914.24029,3010.27831,0.303706234391331
mrk001,N207,2178.05872,733.44848,2911.5072,0.251913675501129
mrk001,N208,1965.20099,784.51947,2749.72046,0.285308809172551
mrk001,N209,1994.60369,787.45553,2782.05922,0.283047723908623
mrk001,N210,1957.18265,1078.74281,3035.92546,0.355325855068919
mrk001,N211,2127.17467,915.47883,3042.6535,0.300881723797994
mrk001,N212,2048.9235,1052.68484,3101.60834,0.33939966772207
mrk001,N213,2222.6071,750.14485,2972.75195,0.252340209548933
mrk001,N214,2029.99014,769.37824,2799.36838,0.274839940858373
mrk001,N215,2065.57423,901.93238,2967.50661,0.303936098056408
mrk001,N216,2085.29019,716.32021,2801.6104,0.255681592986662
mrk001,N217,2104.98699,863.76706,2968.75405,0.290952718026608
