Prefix,Componentes_CHL,Traits,Models,Habilidad_Predictiva
CPBrote,H,CPBrote.H,BA,0.364
CPBrote,H,CPBrote.H,BA,0.384
CPBrote,H,CPBrote.H,BA,0.248
CPBrote,H,CPBrote.H,BA,-0.02
CPBrote,H,CPBrote.H,BA,0.273
CPBrote,H,CPBrote.H,BA,0.407
CPBrote,H,CPBrote.H,BA,0.352
CPBrote,H,CPBrote.H,BA,0.148
CPBrote,H,CPBrote.H,BA,0.369
CPBrote,H,CPBrote.H,BA,0.379
CPBrote,H,CPBrote.H,BB,0.321
CPBrote,H,CPBrote.H,BB,0.226
CPBrote,H,CPBrote.H,BB,0.34
CPBrote,H,CPBrote.H,BB,0.258
CPBrote,H,CPBrote.H,BB,0.36
CPBrote,H,CPBrote.H,BB,0.05
CPBrote,H,CPBrote.H,BB,0.326
CPBrote,H,CPBrote.H,BB,0.34
CPBrote,H,CPBrote.H,BB,0.391
CPBrote,H,CPBrote.H,BB,0.238
CPBrote,H,CPBrote.H,BB,0.358
CPBrote,H,CPBrote.H,BB,0.161
CPBrote,H,CPBrote.H,BB,-0.063
CPBrote,H,CPBrote.H,BB,0.137
CPBrote,H,CPBrote.H,BB,0.246
CPBrote,H,CPBrote.H,BB,0.213
CPBrote,H,CPBrote.H,BB,0.345
CPBrote,H,CPBrote.H,BB,0.221
CPBrote,H,CPBrote.H,BB,0.341
CPBrote,H,CPBrote.H,BB,0.34
CPBrote,H,CPBrote.H,BB,0.209
CPBrote,H,CPBrote.H,BB,0.11
CPBrote,H,CPBrote.H,BB,0.182
CPBrote,H,CPBrote.H,BB,0.368
CPBrote,H,CPBrote.H,BB,0.286
CPBrote,H,CPBrote.H,BC,0.366
CPBrote,H,CPBrote.H,BC,0.324
CPBrote,H,CPBrote.H,BC,0.294
CPBrote,H,CPBrote.H,BC,0.422
CPBrote,H,CPBrote.H,BC,0.379
CPBrote,H,CPBrote.H,BC,0.479
CPBrote,H,CPBrote.H,BC,0.32
CPBrote,H,CPBrote.H,BC,-0.062
CPBrote,H,CPBrote.H,BC,0.408
CPBrote,H,CPBrote.H,BC,0.412
CPBrote,H,CPBrote.H,BC,0.411
CPBrote,H,CPBrote.H,BC,0.347
CPBrote,H,CPBrote.H,BC,0.282
CPBrote,H,CPBrote.H,BC,0.367
CPBrote,H,CPBrote.H,BC,0.34
CPBrote,H,CPBrote.H,BC,0.338
CPBrote,H,CPBrote.H,BC,0.384
CPBrote,H,CPBrote.H,BC,0.129
CPBrote,H,CPBrote.H,BC,0.402
CPBrote,H,CPBrote.H,BC,0.365
CPBrote,H,CPBrote.H,BC,0.421
CPBrote,H,CPBrote.H,BC,0.205
CPBrote,H,CPBrote.H,BC,0.003
CPBrote,H,CPBrote.H,BC,0.373
CPBrote,H,CPBrote.H,BC,0.428
CPBrote,H,CPBrote.H,BL,0.219
CPBrote,H,CPBrote.H,BL,0.076
CPBrote,H,CPBrote.H,BL,0.254
CPBrote,H,CPBrote.H,BL,0.394
CPBrote,H,CPBrote.H,BL,0.327
CPBrote,H,CPBrote.H,BL,0.226
CPBrote,H,CPBrote.H,BL,0.278
CPBrote,H,CPBrote.H,BL,0.275
CPBrote,H,CPBrote.H,BL,0.439
CPBrote,H,CPBrote.H,BL,0.252
CPBrote,H,CPBrote.H,BL,0.349
CPBrote,H,CPBrote.H,BL,0.39
CPBrote,H,CPBrote.H,BL,0.057
CPBrote,H,CPBrote.H,BL,0.167
CPBrote,H,CPBrote.H,BL,0.426
CPBrote,H,CPBrote.H,BL,0.277
CPBrote,H,CPBrote.H,BL,0.33
CPBrote,H,CPBrote.H,BL,0.399
CPBrote,H,CPBrote.H,BL,0.306
CPBrote,H,CPBrote.H,BL,0.417
CPBrote,H,CPBrote.H,BL,0.112
CPBrote,H,CPBrote.H,BL,0.346
CPBrote,H,CPBrote.H,BL,0.41
CPBrote,H,CPBrote.H,BL,0.387
CPBrote,H,CPBrote.H,BL,0.315
CPBrote,H,CPBrote.H,BRR,0.353
CPBrote,H,CPBrote.H,BRR,0.316
CPBrote,H,CPBrote.H,BRR,0.404
CPBrote,H,CPBrote.H,BRR,0.256
CPBrote,H,CPBrote.H,BRR,0.427
CPBrote,H,CPBrote.H,BRR,0.446
CPBrote,H,CPBrote.H,BRR,0.266
CPBrote,H,CPBrote.H,BRR,0.362
CPBrote,H,CPBrote.H,BRR,0.364
CPBrote,H,CPBrote.H,BRR,0.39
CPBrote,H,CPBrote.H,BRR,0.419
CPBrote,H,CPBrote.H,BRR,0.063
CPBrote,H,CPBrote.H,BRR,0.357
CPBrote,H,CPBrote.H,BRR,0.425
CPBrote,H,CPBrote.H,BRR,0.144
CPBrote,H,CPBrote.H,BRR,0.422
CPBrote,H,CPBrote.H,BRR,0.146
CPBrote,H,CPBrote.H,BRR,0.418
CPBrote,H,CPBrote.H,BRR,0.307
CPBrote,H,CPBrote.H,BRR,0.348
CPBrote,H,CPBrote.H,BRR,0.358
CPBrote,H,CPBrote.H,BRR,0.505
CPBrote,H,CPBrote.H,BRR,0.112
CPBrote,H,CPBrote.H,BRR,0.041
CPBrote,H,CPBrote.H,BRR,0.43
CPBrote,H,CPBrote.H,GBLUP,0.338
CPBrote,H,CPBrote.H,GBLUP,0.313
CPBrote,H,CPBrote.H,GBLUP,0.316
CPBrote,H,CPBrote.H,GBLUP,0.117
CPBrote,H,CPBrote.H,GBLUP,0.249
CPBrote,H,CPBrote.H,GBLUP,0.318
CPBrote,H,CPBrote.H,GBLUP,0.198
CPBrote,H,CPBrote.H,GBLUP,0.29
CPBrote,H,CPBrote.H,GBLUP,0.38
CPBrote,H,CPBrote.H,GBLUP,0.371
CPBrote,H,CPBrote.H,GBLUP,0.403
CPBrote,H,CPBrote.H,GBLUP,0.36
CPBrote,H,CPBrote.H,GBLUP,0.146
CPBrote,H,CPBrote.H,GBLUP,0.065
CPBrote,H,CPBrote.H,GBLUP,0.245
CPBrote,H,CPBrote.H,GBLUP,0.25
CPBrote,H,CPBrote.H,GBLUP,0.04
CPBrote,H,CPBrote.H,GBLUP,0.316
CPBrote,H,CPBrote.H,GBLUP,0.384
CPBrote,H,CPBrote.H,GBLUP,0.391
CPBrote,H,CPBrote.H,GBLUP,0.429
CPBrote,H,CPBrote.H,GBLUP,0.368
CPBrote,H,CPBrote.H,GBLUP,0.073
CPBrote,H,CPBrote.H,GBLUP,0.407
CPBrote,H,CPBrote.H,GBLUP,0.135
CPBrote,H,CPBrote.H,RKHS,0.406
CPBrote,H,CPBrote.H,RKHS,0.398
CPBrote,H,CPBrote.H,RKHS,0.476
CPBrote,H,CPBrote.H,RKHS,0.31
CPBrote,H,CPBrote.H,RKHS,0.317
CPBrote,H,CPBrote.H,RKHS,0.386
CPBrote,H,CPBrote.H,RKHS,0.429
CPBrote,H,CPBrote.H,RKHS,0.379
CPBrote,H,CPBrote.H,RKHS,0.398
CPBrote,H,CPBrote.H,RKHS,0.156
CPBrote,H,CPBrote.H,RKHS,0.401
CPBrote,H,CPBrote.H,RKHS,0.159
CPBrote,H,CPBrote.H,RKHS,0.362
CPBrote,H,CPBrote.H,RKHS,0.533
CPBrote,H,CPBrote.H,RKHS,0.346
CPBrote,H,CPBrote.H,RKHS,0.467
CPBrote,H,CPBrote.H,RKHS,0.132
CPBrote,H,CPBrote.H,RKHS,0.336
CPBrote,H,CPBrote.H,RKHS,0.419
CPBrote,H,CPBrote.H,RKHS,0.385
CPBrote,H,CPBrote.H,RKHS,0.257
CPBrote,H,CPBrote.H,RKHS,0.368
CPBrote,H,CPBrote.H,RKHS,0.286
CPBrote,H,CPBrote.H,RKHS,0.488
CPBrote,H,CPBrote.H,RKHS,0.36
CPBrote,L,CPBrote.L,BA,0.55
CPBrote,L,CPBrote.L,BA,0.333
CPBrote,L,CPBrote.L,BA,0.501
CPBrote,L,CPBrote.L,BA,0.399
CPBrote,L,CPBrote.L,BA,0.481
CPBrote,L,CPBrote.L,BA,0.514
CPBrote,L,CPBrote.L,BA,0.368
CPBrote,L,CPBrote.L,BA,0.517
CPBrote,L,CPBrote.L,BA,0.343
CPBrote,L,CPBrote.L,BA,0.386
CPBrote,L,CPBrote.L,BA,0.391
CPBrote,L,CPBrote.L,BA,0.203
CPBrote,L,CPBrote.L,BA,0.493
CPBrote,L,CPBrote.L,BA,0.55
CPBrote,L,CPBrote.L,BA,0.483
CPBrote,L,CPBrote.L,BA,0.429
CPBrote,L,CPBrote.L,BA,0.39
CPBrote,L,CPBrote.L,BA,0.5
CPBrote,L,CPBrote.L,BA,0.355
CPBrote,L,CPBrote.L,BA,0.51
CPBrote,L,CPBrote.L,BA,0.545
CPBrote,L,CPBrote.L,BA,0.422
CPBrote,L,CPBrote.L,BA,0.287
CPBrote,L,CPBrote.L,BA,0.442
CPBrote,L,CPBrote.L,BA,0.477
CPBrote,L,CPBrote.L,BB,0.418
CPBrote,L,CPBrote.L,BB,0.374
CPBrote,L,CPBrote.L,BB,0.341
CPBrote,L,CPBrote.L,BB,0.466
CPBrote,L,CPBrote.L,BB,0.599
CPBrote,L,CPBrote.L,BB,0.525
CPBrote,L,CPBrote.L,BB,0.513
CPBrote,L,CPBrote.L,BB,0.501
CPBrote,L,CPBrote.L,BB,0.362
CPBrote,L,CPBrote.L,BB,0.456
CPBrote,L,CPBrote.L,BB,0.515
CPBrote,L,CPBrote.L,BB,0.4
CPBrote,L,CPBrote.L,BB,0.428
CPBrote,L,CPBrote.L,BB,0.36
CPBrote,L,CPBrote.L,BB,0.403
CPBrote,L,CPBrote.L,BB,0.54
CPBrote,L,CPBrote.L,BB,0.569
CPBrote,L,CPBrote.L,BB,0.407
CPBrote,L,CPBrote.L,BB,0.575
CPBrote,L,CPBrote.L,BB,0.264
CPBrote,L,CPBrote.L,BB,0.412
CPBrote,L,CPBrote.L,BB,0.508
CPBrote,L,CPBrote.L,BB,0.342
CPBrote,L,CPBrote.L,BB,0.403
CPBrote,L,CPBrote.L,BB,0.548
CPBrote,L,CPBrote.L,BC,0.499
CPBrote,L,CPBrote.L,BC,0.339
CPBrote,L,CPBrote.L,BC,0.518
CPBrote,L,CPBrote.L,BC,0.445
CPBrote,L,CPBrote.L,BC,0.432
CPBrote,L,CPBrote.L,BC,0.4
CPBrote,L,CPBrote.L,BC,0.352
CPBrote,L,CPBrote.L,BC,0.517
CPBrote,L,CPBrote.L,BC,0.422
CPBrote,L,CPBrote.L,BC,0.575
CPBrote,L,CPBrote.L,BC,0.405
CPBrote,L,CPBrote.L,BC,0.447
CPBrote,L,CPBrote.L,BC,0.361
CPBrote,L,CPBrote.L,BC,0.533
CPBrote,L,CPBrote.L,BC,0.605
CPBrote,L,CPBrote.L,BC,0.595
CPBrote,L,CPBrote.L,BC,0.353
CPBrote,L,CPBrote.L,BC,0.433
CPBrote,L,CPBrote.L,BC,0.517
CPBrote,L,CPBrote.L,BC,0.455
CPBrote,L,CPBrote.L,BC,0.387
CPBrote,L,CPBrote.L,BC,0.419
CPBrote,L,CPBrote.L,BC,0.483
CPBrote,L,CPBrote.L,BC,0.445
CPBrote,L,CPBrote.L,BC,0.385
CPBrote,L,CPBrote.L,BL,0.338
CPBrote,L,CPBrote.L,BL,0.401
CPBrote,L,CPBrote.L,BL,0.441
CPBrote,L,CPBrote.L,BL,0.364
CPBrote,L,CPBrote.L,BL,0.481
CPBrote,L,CPBrote.L,BL,0.343
CPBrote,L,CPBrote.L,BL,0.505
CPBrote,L,CPBrote.L,BL,0.414
CPBrote,L,CPBrote.L,BL,0.453
CPBrote,L,CPBrote.L,BL,0.446
CPBrote,L,CPBrote.L,BL,0.356
CPBrote,L,CPBrote.L,BL,0.471
CPBrote,L,CPBrote.L,BL,0.485
CPBrote,L,CPBrote.L,BL,0.493
CPBrote,L,CPBrote.L,BL,0.437
CPBrote,L,CPBrote.L,BL,0.377
CPBrote,L,CPBrote.L,BL,0.539
CPBrote,L,CPBrote.L,BL,0.376
CPBrote,L,CPBrote.L,BL,0.411
CPBrote,L,CPBrote.L,BL,0.542
CPBrote,L,CPBrote.L,BL,0.378
CPBrote,L,CPBrote.L,BL,0.433
CPBrote,L,CPBrote.L,BL,0.467
CPBrote,L,CPBrote.L,BL,0.539
CPBrote,L,CPBrote.L,BL,0.311
CPBrote,L,CPBrote.L,BRR,0.506
CPBrote,L,CPBrote.L,BRR,0.335
CPBrote,L,CPBrote.L,BRR,0.372
CPBrote,L,CPBrote.L,BRR,0.49
CPBrote,L,CPBrote.L,BRR,0.55
CPBrote,L,CPBrote.L,BRR,0.372
CPBrote,L,CPBrote.L,BRR,0.452
CPBrote,L,CPBrote.L,BRR,0.601
CPBrote,L,CPBrote.L,BRR,0.415
CPBrote,L,CPBrote.L,BRR,0.446
CPBrote,L,CPBrote.L,BRR,0.495
CPBrote,L,CPBrote.L,BRR,0.432
CPBrote,L,CPBrote.L,BRR,0.351
CPBrote,L,CPBrote.L,BRR,0.403
CPBrote,L,CPBrote.L,BRR,0.44
CPBrote,L,CPBrote.L,BRR,0.5
CPBrote,L,CPBrote.L,BRR,0.507
CPBrote,L,CPBrote.L,BRR,0.465
CPBrote,L,CPBrote.L,BRR,0.299
CPBrote,L,CPBrote.L,BRR,0.392
CPBrote,L,CPBrote.L,BRR,0.41
CPBrote,L,CPBrote.L,BRR,0.318
CPBrote,L,CPBrote.L,BRR,0.519
CPBrote,L,CPBrote.L,BRR,0.492
CPBrote,L,CPBrote.L,BRR,0.475
CPBrote,L,CPBrote.L,GBLUP,0.533
CPBrote,L,CPBrote.L,GBLUP,0.443
CPBrote,L,CPBrote.L,GBLUP,0.449
CPBrote,L,CPBrote.L,GBLUP,0.46
CPBrote,L,CPBrote.L,GBLUP,0.334
CPBrote,L,CPBrote.L,GBLUP,0.474
CPBrote,L,CPBrote.L,GBLUP,0.501
CPBrote,L,CPBrote.L,GBLUP,0.375
CPBrote,L,CPBrote.L,GBLUP,0.292
CPBrote,L,CPBrote.L,GBLUP,0.417
CPBrote,L,CPBrote.L,GBLUP,0.376
CPBrote,L,CPBrote.L,GBLUP,0.64
CPBrote,L,CPBrote.L,GBLUP,0.492
CPBrote,L,CPBrote.L,GBLUP,0.352
CPBrote,L,CPBrote.L,GBLUP,0.345
CPBrote,L,CPBrote.L,GBLUP,0.327
CPBrote,L,CPBrote.L,GBLUP,0.572
CPBrote,L,CPBrote.L,GBLUP,0.288
CPBrote,L,CPBrote.L,GBLUP,0.526
CPBrote,L,CPBrote.L,GBLUP,0.432
CPBrote,L,CPBrote.L,GBLUP,0.495
CPBrote,L,CPBrote.L,GBLUP,0.167
CPBrote,L,CPBrote.L,GBLUP,0.66
CPBrote,L,CPBrote.L,GBLUP,0.466
CPBrote,L,CPBrote.L,GBLUP,0.437
CPBrote,L,CPBrote.L,RKHS,0.329
CPBrote,L,CPBrote.L,RKHS,0.374
CPBrote,L,CPBrote.L,RKHS,0.448
CPBrote,L,CPBrote.L,RKHS,0.443
CPBrote,L,CPBrote.L,RKHS,0.6
CPBrote,L,CPBrote.L,RKHS,0.461
CPBrote,L,CPBrote.L,RKHS,0.478
CPBrote,L,CPBrote.L,RKHS,0.483
CPBrote,L,CPBrote.L,RKHS,0.451
CPBrote,L,CPBrote.L,RKHS,0.401
CPBrote,L,CPBrote.L,RKHS,0.384
CPBrote,L,CPBrote.L,RKHS,0.379
CPBrote,L,CPBrote.L,RKHS,0.458
CPBrote,L,CPBrote.L,RKHS,0.493
CPBrote,L,CPBrote.L,RKHS,0.399
CPBrote,L,CPBrote.L,RKHS,0.425
CPBrote,L,CPBrote.L,RKHS,0.354
CPBrote,L,CPBrote.L,RKHS,0.415
CPBrote,L,CPBrote.L,RKHS,0.462
CPBrote,L,CPBrote.L,RKHS,0.464
CPBrote,L,CPBrote.L,RKHS,0.526
CPBrote,L,CPBrote.L,RKHS,0.554
CPBrote,L,CPBrote.L,RKHS,0.441
CPBrote,L,CPBrote.L,RKHS,0.462
CPBrote,L,CPBrote.L,RKHS,0.276
CPFlor,C,CPFlor.C,BA,0.749
CPFlor,C,CPFlor.C,BA,0.279
CPFlor,C,CPFlor.C,BA,0.63
CPFlor,C,CPFlor.C,BA,0.712
CPFlor,C,CPFlor.C,BA,0.499
CPFlor,C,CPFlor.C,BA,0.634
CPFlor,C,CPFlor.C,BA,0.483
CPFlor,C,CPFlor.C,BA,0.489
CPFlor,C,CPFlor.C,BA,0.654
CPFlor,C,CPFlor.C,BA,0.763
CPFlor,C,CPFlor.C,BA,0.746
CPFlor,C,CPFlor.C,BA,0.686
CPFlor,C,CPFlor.C,BA,0.558
CPFlor,C,CPFlor.C,BA,0.502
CPFlor,C,CPFlor.C,BA,0.597
CPFlor,C,CPFlor.C,BA,0.681
CPFlor,C,CPFlor.C,BA,0.509
CPFlor,C,CPFlor.C,BA,0.446
CPFlor,C,CPFlor.C,BA,0.691
CPFlor,C,CPFlor.C,BA,0.714
CPFlor,C,CPFlor.C,BA,0.671
CPFlor,C,CPFlor.C,BA,0.611
CPFlor,C,CPFlor.C,BA,0.427
CPFlor,C,CPFlor.C,BA,0.545
CPFlor,C,CPFlor.C,BA,0.726
CPFlor,C,CPFlor.C,BB,0.384
CPFlor,C,CPFlor.C,BB,0.432
CPFlor,C,CPFlor.C,BB,0.58
CPFlor,C,CPFlor.C,BB,0.741
CPFlor,C,CPFlor.C,BB,0.664
CPFlor,C,CPFlor.C,BB,0.62
CPFlor,C,CPFlor.C,BB,0.604
CPFlor,C,CPFlor.C,BB,0.744
CPFlor,C,CPFlor.C,BB,0.488
CPFlor,C,CPFlor.C,BB,0.643
CPFlor,C,CPFlor.C,BB,0.505
CPFlor,C,CPFlor.C,BB,0.592
CPFlor,C,CPFlor.C,BB,0.774
CPFlor,C,CPFlor.C,BB,0.613
CPFlor,C,CPFlor.C,BB,0.494
CPFlor,C,CPFlor.C,BB,0.353
CPFlor,C,CPFlor.C,BB,0.665
CPFlor,C,CPFlor.C,BB,0.652
CPFlor,C,CPFlor.C,BB,0.7
CPFlor,C,CPFlor.C,BB,0.513
CPFlor,C,CPFlor.C,BB,0.674
CPFlor,C,CPFlor.C,BB,0.699
CPFlor,C,CPFlor.C,BB,0.483
CPFlor,C,CPFlor.C,BB,0.435
CPFlor,C,CPFlor.C,BB,0.64
CPFlor,C,CPFlor.C,BC,0.627
CPFlor,C,CPFlor.C,BC,0.669
CPFlor,C,CPFlor.C,BC,0.646
CPFlor,C,CPFlor.C,BC,0.696
CPFlor,C,CPFlor.C,BC,0.477
CPFlor,C,CPFlor.C,BC,0.572
CPFlor,C,CPFlor.C,BC,0.512
CPFlor,C,CPFlor.C,BC,0.619
CPFlor,C,CPFlor.C,BC,0.701
CPFlor,C,CPFlor.C,BC,0.652
CPFlor,C,CPFlor.C,BC,0.514
