"Registro","CT","CTallo","CPF","CPFlor","CB","CBaya","CPT","CPTuber","CST","CSTuber","CPC","CPulpa","CSC","CSPulpa","CPB","CPBrote","CSB","CSBrote"
"15060320","2","144A","7","N81B","2","144B","2","160A","6","181B","2","160D","0",NA,"3","72A","1","NN155A"
"15060345","1","144A","7","83D","4","144C","2","160A","6","182A","3","160C","0",NA,"3","72B","1","NN155C"
"15062337","2","144A","7","N81A","2","144B","6","184A","2","160A","2","160D","0",NA,"3","N74C","1","NN155D"
"15062051","2","144A","7","N81A","4","144A","6","184A","2","162B","2","160C","0",NA,"3","N74C","1","NN155D"
"15062052","2","144A","7","N81A","4","N144A","6","182A","2","162B","3","160C","0",NA,"4","N79B","1","NN155C"
"15061917","2","144A","7","N82A","2","N144A","6","183B","2","160A","2","160D","0",NA,"3","NN74C","1","NN155D"
"15060383","3","144A","7","N82C","5","143A","2","161A","6","182B","3","160A","0",NA,"3","N74C","1","NN155D"
"15062338","2","144A","7","N81A","2","144A","6","181A","2","162A","2","160C","0",NA,"3","NN74C","1","NN155C"
"15062339","2","144A","7","N81A","4","N144A","2","162A","7","181A","2","160C","0",NA,"4","83B","1","NN155C"
"15060420","3","144A","7","N81C","4","143B","6","181A","2","161A","3","160D","0",NA,"3","NN74B","1","NN155C"
"15062053","2","144A","7","N81B","4","143A","6","184A","1","162B","2","155A","0",NA,"4","77B","1","NN155C"
"15062363","2","144A","7","N81A","4","144A","6","178A","2","162B","2","160D","0",NA,"3","NN74C","1","NN155D"
"15060467","3","144A","7","N81A","4","143A","7","183D","2","162A","2","160D","0",NA,"4","N92C","1","NN155C"
"15060536","1","144A","7","N82D","4","144A","2","162C","8","183d","4","160D","0",NA,"3","71C","1","NN155C"
"15060543","2","144A","7","N81C","1","144A","6","183C","0",NA,"3","160C","0",NA,"3","71C","1","NN155D"
"15060570","3","144A","7","83C","4","144A","2","162A","6","183C","3","160C","0",NA,"4","N82A","1","NN155D"
"15060797","3","144A","7","83B","4","144A","8","187A","1","162B","4","160B","0",NA,"4","82B","1","NN155D"
"15061918","3","144A","7","N81B",NA,NA,"8","N77D","1","163D","1","155A","0",NA,"4","83A","1","NN155A"
"15060846","2","144A","6","N78C",NA,NA,"8","183C","1","162C","1","155C","0",NA,"4","N92C","1","NN155A"
"15060907","4","N77A","7","N82A","6","144A","8","186B","4","162B","1","155A","7","N79B","4","93A","1","NN155C"
"15060909","2","144A","7","N82C","1","144A","2","160B","6","181A","2","155A","0",NA,"3","NN74C","1","NN155A"
"15060933","1","144A","7","N88B","4","144B","6","182A","2","162C","1","155B","0",NA,"3","71C","1","NN155D"
"15060964","2","144A","7","83B","1","143A","8","N77A","2","162A","3","162C","0",NA,"4","90B","1","NN155D"
"15061007","3","144A","7","N82A","1","144A","8","183D","1","161A","3","162C","0",NA,"4","90B","1","NN155D"
"15061011","2","144A","7","N88B","4","144A","1","160A","8","183D","2","160C","0",NA,"4","92C","1","NN155C"
"15061122","3","144A","7","N80A",NA,NA,"8","183D","1","161A","2","155A","0",NA,"4","N87B","1","NN155D"
"15061204","2","144A","7","84A",NA,NA,"9","N187A","0",NA,"2","160D","0",NA,"4","N92C","0",NA
"15061213","2","144A","6","N81A","2","146D","6","183B","1","161A","3","162D","0",NA,"3","71A","1","NN155A"
"15061215","3","144A","7","N82A","4","144A","6","183A","1","160A","2","160D","0",NA,"4","77B","1","NN155A"
"15061216","3","144A","1","157B","4","144B","8","N187A","1","162C","2","160D","7","183D","4","90A","1","NN155D"
"15061225","2","144A","7","N81A","5","144B","8","183D","1","162D","2","155A","0",NA,"4","91A","1","NN155D"
"15061226","2","144A","8","86B","1","146C","1","162B","8","79A","1","155A","0",NA,"4","88B","1","NN155A"
"15061228","4","N77A","7","N88B","2","143B","8","N187A","1","160B","2","160D","0",NA,"4","N92C","1","NN155C"
"15061235","3","144A","7","92A","5","146B","6","178B","0",NA,"3","160C","0",NA,"3","71D","1","NN155D"
"15061236","3","144A","7","92A","4","144A","2","162C","8","N77B","2","160C","0",NA,"4","N92C","1","NN155C"
"15061237","1","144A","7","86D","4","N144B","5","182A","1","162C","2","NN155B","0",NA,"4","N78B","1","NN155D"
"15061239","1","144A","7","84A","2","144B","2","162B","6","182B","2","155A","0",NA,"3","N78A","1","NN155D"
"15061244","3","144A","7","84A","2","146B","6","183B","0",NA,"2","155A","0",NA,"4","N92C","1","NN155A"
"15061255","2","144A","7","86B","1","144B","1","161B","6","182A","2","160D","0",NA,"3","NN74B","1","NN155B"
"15061256","3","144A","7","N81A","4","144A","9","N187A","1","161A","2","157C","0","83A","4","N92C","1","NN155C"
"15061257","4","N77A","7","86B","6","144B","6","182A",NA,NA,"2","160D","0",NA,"4","N95D","0",NA
"15061258","5","N77A","7","84A","5","144A","8","N187A","1","162B","2","155C","7","79A","4","N92C","1","NN155B"
"15061259","5","N77A","7","86C","5","146A","9","N186A","1","162B","1","155A","7","83A","4","N92C","1","NN155A"
"15062063","3","144A","7","83B","5","144B","6","187A","8","N186A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061926","3","144A","7","N81A","5","N144A","8","N77A","1","162B","2","155C","0",NA,"4","86A","1","NN155A"
"15061927","4","N77A","7","85A","1","N144A","9","N186A","1","160A","2","155A","7","N82A","4","93C","1","NN155A"
"15062344","2","144A","8","N81A",NA,NA,"7","187B","1","160A","2","160D","0",NA,"4","N92C","1","NN155D"
"15061928","5","N77A","7","N81B","4","144A","8","N187A","1","162B","2","155A","0",NA,"4","92B","1","NN155D"
"15062067","2","144A","7","N81B","1","N144A","2","160A","6","181A","2","155A","0",NA,"3","72A","1","NN155A"
"15061929","3","144A","8","83C","2","144A","1","161A","8","N77B","2","155A","0",NA,"4","N92C","1","NN155C"
"15061930","4","N77A","7","N81B",NA,NA,"8","N77D","1","161B","2","155C","0",NA,"4","83A","1","NN155C"
"15062069","4","N77A","8","83A","4","144A","8","N186B","6","187A","3","160C","7","86A","4","N92C","1","NN155D"
"15061260","1","144A","7","N81C","4","143B","8","N187A","1","161A","2","155A","0",NA,"4","N92C","1","NN155A"
"15061261","1","144A","7","92A","1","N144A","1","162B","8","182B","4","160A","0",NA,"4","86A","1","NN155C"
"15061262","2","144A","1","157A","1","143B","5","N177D","1","164B","3","160D","0",NA,"4","N92C","1","NN155A"
"15062071","2","144A","1","157A","5","143A","1","174C","8","N77D","2","160D","0",NA,"4","N92C","1","NN155C"
"15061263","3","144A","1","155A","5","143B","8","N77A","0",NA,"2","160C","0",NA,"4","94C","1","NN155D"
"15061932","1","144A","6","N81C","1","143B","2","160A","0",NA,"2","155A","0",NA,"4","77B","1","NN155A"
"15061264","2","144A","1","155A","1","144A","2","161A","8","183D","3","160C","0",NA,"4","N92C","1","NN155A"
"15061933","3","144A","7","90C","7","146A","7","N77A","2","161A","2","160C","0",NA,"4","N92C","1","NN155A"
"15061265","3","144A","7","92A","4","144B","7","187B","2","160A","2","155A","0",NA,"4","N92C","1","NN155C"
"15061270","2","144A","7","N82B","4","144A","6","182A","0",NA,"2","160D","0",NA,"4","N92C","0",NA
"15062074","3","144A","7","91B","4","144A","2","162B","8","N77D","1","155C","0",NA,"4","N92C","1","NN155A"
"15061934","5","N77A","7","N82A","4","143A","2","162B","7","N77A","3","160C","0",NA,"4","N92C","1","NN155A"
"15061935","1","144A","7","N81A","1","N144A","6","181A","2","162B","2","155A","0",NA,"3","71D","1","NN155A"
"15061271","3","144A","7","N88B","4","143C","8","N187A","2","160A","2","155C","7","N77B","4","N92C","1","NN155D"
"15061936","3","144A","7","N81A","1","146A","6","183A","0",NA,"3","160D","0",NA,"3","71A","1","NN155A"
"15061273","2","144A","7","N87A","5","144A","5","182A","6","183C","2","160C","0",NA,"4","N92C","3","71B"
"15061274","3","144A","7","N88B","5","146A","6","184B","0",NA,"2","160D","0",NA,"3","72B","1","NN155D"
"15061937","3","144A","7","83B","4","144C","7","N77A","1","160A","1","155C","0",NA,"4","N92C","1","NN155A"
"15061277","2","144A","7","N82B","4","143B","2","162B","5","182B","2","155A","0",NA,"4","81A","1","NN155D"
"15062080","2","144A","7","N82A","6","144A","1","162A","8","N77B","2","160D","0",NA,"4","N81C","1","NN155D"
"15062081","7","200A","7","90D","4","144C","8","187A","0",NA,"2","160D","0",NA,"4","N92C","0",NA
"15061279","3","144A","7","N82B","1","144A","6","183B","0",NA,"3","160C","0",NA,"4","N92D","3","72A"
"15061280","3","144A","7","N82A","4","143B","5","181A","1","161B","2","160D","0",NA,"3","72B","1","NN155A"
"15061281","2","144A","7","N80A","2","146B","6","181A","1","160A","2","155A","0",NA,"4","N82B","1","NN155D"
"15061939","1","144A","7","N82A","2","144B","1","160A","0",NA,"2","160C","0",NA,"1","NN155A","4","83A"
"15061282","2","144A","7","N82A","5","146C","8","N77D","1","155A","2","155A","0",NA,"4","N92B","1","NN155D"
"15060910","4","N77A","7","N81A","5","146A","6","182A","2","160A","2","160D","0",NA,"3","N78B","1","NN155D"
"15061940","2","144A","7","N82B","1","144A","1","160B","5","184C","2","155A","0",NA,"4","N82A","1","NN155A"
"15061283","2","144A","7","83A","5","144B","7","183A","1","160A","2","160D","0",NA,"4","N92B","1","NN155B"
"15061284","3","144A","7","84A","5","144B","8","N186C","2","162B","1","155A","0",NA,"4","N92C","1","NN155A"
"15061285","3","144A","6","N82B","5","145A","7","183C","2","162B","2","160D","0",NA,"4","83A","1","NN155D"
"15062346","1","144A","7","86B","2","144A","2","160A","0",NA,"3","160C","0",NA,"4","94A","1","NN155D"
"15061286","2","144A","7","83B","2","144A","6","183B","1","161A","3","160C","0",NA,"4","92D","3","72A"
"15061287","3","144A","7","90C","5","144B","8","184A","2","161A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061288","1","144A","7","86C",NA,NA,"6","184A","1","160B","2","155A","0",NA,"4","80B","1","NN155A"
"15061289","2","144A","7","N81B","1","144B","6","183C","1","161A","3","160D","0",NA,"4","N81C","1","NN155A"
"15061290","2","144A","7","N82B","4","145A","1","160A","8","183D","2","155A","0",NA,"4","N92C","1","NN155C"
"15061291","3","144A","7","N87B","4","144A","6","181A","2","160A","2","160D","0",NA,"4","N81B","1","NN155A"
"15061292","4","N77A","7","N81B","5","144A","9","N186A","1","161A","2","160C","7","183D","4","N92C","1","NN155A"
"15061293","4","N77A","7","84A","1","144B","6","153A","8","N186B","2","160D","0",NA,"4","N92B","1","NN155A"
"15061295","5","166A","7","N82B","4","144C","6","183B","8","N186B","2","155A","7","83A","4","N92C","1","NN155D"
"15061941","2","144A","7","N82B","1","144C","1","161A","6","183D","2","160D","0",NA,"4","N80B","1","NN155A"
"15061296","5","N77A","7","N82B","4","144B","9","N186A","2","161A","3","160C","0",NA,"4","N92D","1","NN155C"
"15061297","2","144A","8","N88B","1","144A","9","N186A","1","162A","2","157B","7","N186B","4","N92C","1","NN155D"
"15061942","3","144A","6","N81C","4","144B","6","185B","2","160A","2","160D","0",NA,"4","N92D","0",NA
"15061298","2","144A","7","N82C","4","144B","6","180C","2","160A","2","160D","0",NA,"4","N92D","1","NN155A"
"15061299","7","200A","7","N82C","5","144A","8","183D","1","161C","1","155A","0",NA,"4","90B","1","NN155D"
"15061300","3","144A","8","N82A","5","146C","1","160A","9","N187A","2","157A","0",NA,"4","N92B","1","NN155A"
"15061301","2","144A","7","N82A","4","144A","6","183C","2","160A","2","160D","0",NA,"4","N92D","3","71A"
"15061302","1","144A","8","83A","1","144B","8","N187A","1","160A","2","160C","0",NA,"4","N92B","1","NN155A"
"15061303","2","144A","7","N81C","2","144B","2","160A","5","183D","1","155A","0",NA,"4","N80B","1","NN155A"
"15061305","2","144A","7","83C","4","144B","2","162B","8","N77B","2","155A","0",NA,"4","N92C","1","NN155A"
"15061307","4","N77A","7","N82C","2","144A","8","N186C","2","160B","2","160D","0",NA,"4","N92B","1","NN155A"
"15061308","7","200A","7","N81C","1","144A","8","N186A","0",NA,"4","160B","7","86A","4","N92B","0",NA
"15061943","7","200A","7","N81B","6","146A","8","N186B","2","161A","1","155A","7","N77B","4","N92C","1","NN155C"
"15061312","1","144A","7","N82C","4","N144A","6","182A","1","161A","2","155A","0",NA,"4","90A","1","NN155A"
"15061313","1","144A","7","N82A","1","N144A","1","161A","5","182A","2","160D","0",NA,"4","N92C","0",NA
"15061314","3","144A","7","N81C","5","N144B","6","183D","0",NA,"4","160D","0",NA,"3","72A","1","NN155D"
"15061944","2","144A","7","N87B","2","N144A","1","160A","6","182A","2","155A","0",NA,"4","N87B","1","NN155D"
"15062088","3","144A","7","83B","4","143C","7","N186B","0",NA,"2","155A","0",NA,"4","N92C","1","NN155A"
"15061317","1","144A","1","155A","5","144B","8","183D","1","161A","2","160C","0",NA,"4","N92D","1","NN155A"
"15061318","3","144A","7","N81A","4","144A","9","N187A","0",NA,"2","155A","0",NA,"4","N92C","1","NN155A"
"15061319","2","144A","7","90C","7","145A","6","180A","2","164B","2","155A","0",NA,"4","N92C","1","NN155B"
"15061320","2","144A","7","N82A","6","145A","2","162B","6","184A","1","160D","0",NA,"2","N78A","1","NN155A"
"15061321","4","N77A","7","N82B","4","144A","9","186B","0",NA,"2","160D","0",NA,"4","N92C","1","NN155C"
"15061323","2","144A","7","N82A","5","144A","1","164C","8","N77B","2","155A","0",NA,"4","N92D","1","NN155D"
"15061324","2","144A",NA,NA,"4","144A","6","183C","2","162A","2","160C","0",NA,"4","N92C","0",NA
"15061327","2","144A","7","N80C","4","144A","6","184B","2","160A","2","155A","0",NA,"4","N92C","1","NN155D"
"15061329","4","N77A","8","83B","6","144A","8","N186B","1","160A","4","160B","7","83B","4","N92B","1","NN155A"
"15061330","3","144A","7","N82A","2","143C","6","184A","0",NA,"3","160C","0",NA,"3","N78A","1","NN155A"
"15061331","1","144A","7","84A","5","144A","4","166D","6","181B","2","155A","0",NA,"4","86A","1","NN155D"
"15061333","2","144A","7","92A","5","144A","9","N186A","0",NA,"2","160D","7","86B","4","N92B","1","NN155D"
"15061334","2","144A","7","N81B","1","144B","7","183C","2","162A","2","160C","0",NA,"4","N82B","1","NN155D"
"15061335","2","144A","8","83B","5","144B","2","161A","8","N77B","2","160D","0",NA,"4","N92B","1","NN155D"
"15061336","1","144A","7","N82A","4","144A","8","79A","2","160A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061337","3","144A","7","N87B","5","144A","7","N79B","0",NA,"2","160D","0",NA,"4","N92D","0",NA
"15061338","5","N77A","7","N82B","6","144B","9","N186A","2","161A","2","155A","7","79A","4","N92C","1","NN155D"
"15061340","5","N77A","7","N82B","4","144A","6","182A","2","161A","3","160D","0",NA,"4","N92B","1","NN155D"
"15061342","2","144A","7","83C","4","N144A","6","183B","2","160A","2","160D","0",NA,"4","N92B","1","NN155D"
"15061344","2","144A","7","N82B","1","144C","8","N77B","0",NA,"2","160D","0",NA,"4","N92B","1","NN155D"
"15061345","2","144A","7","N81A","2","N144A","6","181A","2","161A","2","160D","0",NA,"3","N78A","1","NN155A"
"15061945","2","144A","7","N82A","4","144B","2","161A","5","178B","1","160D","0",NA,"3","N78B","1","NN155D"
"15061346","2","144A","7","N82C","2","144A","7","183C","1","162C","2","160C","0",NA,"3","N78B","1","NN155A"
"15061347","3","144A","7","83C","4","144A","8","N77B","2","160A","1","160D","0",NA,"4","N92C","1","NN155D"
"15061348","3","144A","7","N82A","1","143B","6","187B","0",NA,"2","160D","0",NA,"4","N92C","1","NN155D"
"15061349","2","144A","7","N82C","6","143B","1","162C","8","79D","3","160D","0",NA,"4","N92D","1","NN155D"
"15061350","3","144A","7","N80C","4","143B","6","181A","2","161A","4","160B","0",NA,"3","N78B","1","NN155A"
"15061352","2","144A","7","N81A","1","144B","2","162A","8","N77B","2","160C","0",NA,"1","NN155A","4","N82A"
"15061353","3","144A","7","N81A","1","144A","7","183B","0",NA,"1","155A","0",NA,"4","N92B","1","NN155D"
"15061946","4","N77A","8","86C","4","144A","8","N79A","1","161B","1","155A","0",NA,"4","N92C","1","NN155D"
"15062091","3","144A","8","N87B","1","144A","7","187A","2","160A","2","160D","0",NA,"4","N92C","0",NA
"15061355","4","N77A","8","N81A","1","144A","7","187A","2","162B","2","160D","0",NA,"4","N92C","1","NN155A"
"15062092","3","144A","7","86C","5","143A","7","183B","8","N186B","2","155A","0",NA,"4","N92B","1","NN155A"
"15061356","3","144A","7","N82C","5","144A","3","166D","8","N77D","2","157C","0",NA,"4","N82B","1","NN155D"
"15061357","4","N77A","7","N82A","6","144A","9","N186A","1","161A","2","160D","7","N79D","4","N92C","1","NN155A"
"15061358","2","144A","7","86C","4","143A","2","162B","8","N77B","2","160D","0",NA,"4","N92B","1","NN155D"
"15061359","3","144A","7","N88B","1","143A","7","183C","2","160A","2","160C","0",NA,"4","N92C","1","NN155C"
"15061360","3","144A","7","N81A","1","144A","8","79A","6","184b","2","160D","0",NA,"4","N92C","1","NN155A"
"15061361","2","144A","7","N82A","1","144A","7","183A","0",NA,"2","160D","0",NA,"4","N92C","1","NN155D"
"15062094","7","200A","7","N87A","1","N144A","9","N186A","1","162B","2","155C","7","N79D","4","N92D","1","NN155D"
"15061364","2","144A","7","N82A","1","N144B","7","187B","2","162B","2","160D","0",NA,"4","N92D","1","NN155B"
"15061365","2","144A","7","N82C","4","144A","5","183C","1","161A","2","160D","0",NA,"4","83C","1","NN155D"
"15061367","3","144A","7","N82B",NA,NA,"5","183B","1","161A","2","155A","0",NA,"4","83C","1","NN155A"
"15061948","2","144A","7","N82C","1","144A","6","168A","1","161A","2","160D","0",NA,"4","N81C","1","NN155D"
"15061368","2","144A","7","92A","2","N144A","3","177C","8","N77A","4","160C","0",NA,"4","N92C","1","NN155D"
"15062347","2","144A","7","92A","2","N144A","8","N77A","1","164C","2","160D","0",NA,"4","N92C","1","NN155A"
"15061369","1","144A","7","92A","5","144B","8","N77C","1","174C","2","155A","0",NA,"4","N92C","1","NN155D"
"15062097","3","144A","7","N82A","4","144A","6","176A","2","162B","2","160D","0",NA,"4","N92C","1","NN155D"
"15061370","3","144A","7","N81A","2","144A","6","184B","2","162B","2","160D","0",NA,"3","N78B","1","NN155D"
"15062348","2","144A","7","N82B","4","144A","6","183B","2","162A","2","160C","0",NA,"4","84A","1","NN155A"
"15062349","3","144A","8","83C","1","143A","8","N186B","2","162A","2","160D","0",NA,"4","N92B","1","NN155D"
"15062350","3","144A","7","N82B","1","144A","7","N186C","2","161A","4","160C","0",NA,"4","90A","1","NN155D"
"15061949","3","144A","7","86B","6","144A","8","N186A","1","162A","2","155A","0",NA,"4","N92C","1","NN155A"
"15062351","5","N77A","7","86B","4","N144A","8","N79A","1","161A","2","160D","0",NA,"4","N92C","1","NN155D"
"15062098","3","144A","7","N82B","4","144B","6","178A","1","162A","2","160D","0",NA,"3","N78B","1","NN155A"
"15061376","3","144A","7","N81A","4","144A","6","183C","2","161A","2","160C","0",NA,"3","N78B","1","NN155D"
"15061377","2","144A","7","92A","2","144A","2","162A","6","181A","4","160C","0",NA,"3","N78B","1","NN155A"
"15061378","2","144A","7","N87B","2","144A","2","162A","8","N77D","2","160D","0",NA,"4","90B","1","NN155D"
"15061380","5","N77A","7","N82A","4","144A","7","181A","2","162A","2","160D","0",NA,"4","N92C","0",NA
"15061382","1","144A","7","N88A","1","146B","8","N77D","0",NA,"2","155A","0",NA,"4","N88C","1","NN155D"
"15061383","4","N77A","7","N87B","5","146B","7","183B","0",NA,"2","160D","0",NA,"4","N92C","1","NN155D"
"15061384","5","N77A","7","N82A","5","144A","8","N187A","2","162B","1","155A","7","83A","4","N92B","1","NN155D"
"15061385","5","N77A","7","N82B","1","144A","8","N187A","2","162B","1","155A","7","79A","4","N92C","1","NN155A"
"15061386","3","144A","7","90B","1","144B","8","N77A","0",NA,"2","160D","0",NA,"4","N92C","1","NN155D"
"15061388","2","144A","7","N82C","4","143B","6","183B","2","161C","2","155A","0",NA,"3","72C","1","NN155A"
"15061389","4","N77A","6","N81B","6","144B","8","N187A","2","162A","2","160D","0",NA,"4","94B","1","NN155A"
"15061390","4","N77A","7","N81B","1","144A","8","N187A","2","162B","2","160D","0",NA,"4","N92C","1","NN155A"
"15061391","4","N77A","7","N81A","1","144A","8","N77A","2","162B","2","160D","0",NA,"1","NN155A","4","86A"
"15061392","3","144A","7","92A","1","144A","4","176B","8","N77B","3","160C","0",NA,"4","90B","1","NN155D"
"15061393","3","144A","8","90B","2","146B","6","184B","0",NA,"2","160D","0",NA,"4","N92C","0",NA
"15061394","2","144A","1","155A","1","144B","8","N77D","0",NA,"2","160C","0",NA,"4","N92C","1","NN155D"
"15061396","5","N77A","7","N88B","1","144B","9","N186A","2","162B","1","155A","7","N79A","4","N92C","1","NN155A"
"15061397","2","144A","1","155A","1","143A","8","N77D","2","164C","4","160C","0",NA,"4","94C","1","NN155D"
"15062353","2","144A","7","N81B","2","143B","2","162A","6","178A","2","160D","0",NA,"3","72B","1","NN155A"
"15061400","2","144A","7","N81B","1","N144A","2","161B","6","184B","2","160D","0",NA,"3","N78B","1","NN155D"
"15061401","3","144A","7","N82A","5","144B","8","N77A","0",NA,"2","160D","0",NA,"4","N92D","1","NN155B"
