"GSCORE","TRAIT","LGSCORE","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC","TOOLS"
0.827,"CPulpa.H",0.832,"additive",0.76,"c2_39342","4",61680075,3.56384328949458e-05,4.448081,4.303628,TRUE,77,1,0.76,"GW,GP,TS"
0.825,"CPFlor.L",0.829,"additive",1.197,"c1_11495","2",24792151,7.41310241300918e-06,5.13,4.9,TRUE,51,1,0.803,"GW,GP"
0.825,"CPulpa.H",0.832,"additive",0.76,"c1_13289","1",6218981,1.8474977478725e-08,7.733416,4.303628,TRUE,75,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_57401","9",47335903,7.77173370735101e-10,9.109482,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_50391","2",33624476,1.56507319358636e-09,8.805465,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_4200","9",37679162,5.64690527323994e-09,8.248189,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_38405","1",63687206,7.52064754563672e-09,8.123745,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c1_8186","7",3086913,4.74233445258186e-07,6.324008,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c1_8019","10",49714737,5.90808264409057e-07,6.228553,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_34870","4",65068637,1.02844989646259e-06,5.987817,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_20698","9",63372314,1.35553579035807e-06,5.867889,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_14731","1",86671954,6.01506791590997e-06,5.220759,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c1_4799","1",86886038,1.27171730246278e-05,4.895609,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
0.823,"CPulpa.H",0.832,"additive",0.76,"c2_4910","1",83816270,2.4771438485436e-05,4.606049,4.303628,TRUE,74,1,0.76,"GW,GP,TS"
