Prefix,Componentes_CHL,Models,Traits,Heredabilidad
CPBrote,C,BRR,CPBrote.C,0.521884787304814
CPBrote,C,BRR,CPBrote.C,0.546548733338982
CPBrote,C,BRR,CPBrote.C,0.56220845048613
CPBrote,C,BRR,CPBrote.C,0.527380168028711
CPBrote,C,BRR,CPBrote.C,0.533736565565725
CPBrote,C,BRR,CPBrote.C,0.550959549870134
CPBrote,C,BRR,CPBrote.C,0.523665391636496
CPBrote,C,BRR,CPBrote.C,0.519674073010517
CPBrote,C,BRR,CPBrote.C,0.529202616554443
CPBrote,C,BRR,CPBrote.C,0.463094174864709
CPBrote,C,BRR,CPBrote.C,0.488541737663678
CPBrote,C,BRR,CPBrote.C,0.484472091777945
CPBrote,C,BRR,CPBrote.C,0.472033252152285
CPBrote,C,BRR,CPBrote.C,0.511705946235997
CPBrote,C,BRR,CPBrote.C,0.502935291629389
CPBrote,C,BRR,CPBrote.C,0.519850377371663
CPBrote,C,BRR,CPBrote.C,0.538125566770693
CPBrote,C,BRR,CPBrote.C,0.548362414473296
CPBrote,C,BRR,CPBrote.C,0.482913941703842
CPBrote,C,BRR,CPBrote.C,0.500459484626683
CPBrote,C,BRR,CPBrote.C,0.507334902978477
CPBrote,C,BRR,CPBrote.C,0.588077236208361
CPBrote,C,BRR,CPBrote.C,0.604360921819889
CPBrote,C,BRR,CPBrote.C,0.599856357585344
CPBrote,C,BRR,CPBrote.C,0.577308262959442
CPBrote,C,BRR,CPBrote.C,0.552992756962026
CPBrote,C,BRR,CPBrote.C,0.566489268982377
CPBrote,C,BRR,CPBrote.C,0.580940408333576
CPBrote,C,BRR,CPBrote.C,0.598261064513541
CPBrote,C,BRR,CPBrote.C,0.593027281816486
CPBrote,C,BRR,CPBrote.C,0.572757583246057
CPBrote,C,BRR,CPBrote.C,0.560254803269771
CPBrote,C,BRR,CPBrote.C,0.577723208764378
CPBrote,C,BRR,CPBrote.C,0.561666913520888
CPBrote,C,BRR,CPBrote.C,0.61558338708847
CPBrote,C,BRR,CPBrote.C,0.644791183035941
CPBrote,C,BRR,CPBrote.C,0.644831537011734
CPBrote,C,BRR,CPBrote.C,0.662336644628318
CPBrote,C,BRR,CPBrote.C,0.667811424843569
CPBrote,C,BRR,CPBrote.C,0.621164373861882
CPBrote,C,BRR,CPBrote.C,0.580107893107874
CPBrote,C,BRR,CPBrote.C,0.569476640548253
CPBrote,C,BRR,CPBrote.C,0.564831251046265
CPBrote,C,BRR,CPBrote.C,0.610369212608335
CPBrote,C,BRR,CPBrote.C,0.575084732848818
CPBrote,C,BRR,CPBrote.C,0.584051496380383
CPBrote,C,BRR,CPBrote.C,0.597989654213467
CPBrote,C,BRR,CPBrote.C,0.54271121404359
CPBrote,C,BRR,CPBrote.C,0.559104688401005
CPBrote,C,BRR,CPBrote.C,0.581919719917307
CPBrote,C,BRR,CPBrote.C,0.597868059801034
CPBrote,C,BRR,CPBrote.C,0.540526432730383
CPBrote,C,BRR,CPBrote.C,0.565005317489087
CPBrote,C,BRR,CPBrote.C,0.55637203629311
CPBrote,C,BRR,CPBrote.C,0.556926550095104
CPBrote,C,BRR,CPBrote.C,0.590587497857822
CPBrote,C,BRR,CPBrote.C,0.633726713324584
CPBrote,C,BRR,CPBrote.C,0.626757629564268
CPBrote,C,BRR,CPBrote.C,0.617206897239793
CPBrote,C,BRR,CPBrote.C,0.613829783660558
CPBrote,C,BRR,CPBrote.C,0.539093502972623
CPBrote,C,BRR,CPBrote.C,0.57662428240171
CPBrote,C,BRR,CPBrote.C,0.572661872755544
CPBrote,C,BRR,CPBrote.C,0.58021976919972
CPBrote,C,BRR,CPBrote.C,0.560192761483195
CPBrote,C,BRR,CPBrote.C,0.574356884175114
CPBrote,C,BRR,CPBrote.C,0.580455460360968
CPBrote,C,BRR,CPBrote.C,0.535495120552883
CPBrote,C,BRR,CPBrote.C,0.580817205975346
CPBrote,C,BRR,CPBrote.C,0.586190434021116
CPBrote,C,BRR,CPBrote.C,0.544832476834285
CPBrote,C,BRR,CPBrote.C,0.546379206964419
CPBrote,C,BRR,CPBrote.C,0.589251472161031
CPBrote,C,BRR,CPBrote.C,0.54741024977902
CPBrote,C,BRR,CPBrote.C,0.566734664236131
CPBrote,C,BRR,CPBrote.C,0.531627157012857
CPBrote,C,BRR,CPBrote.C,0.515736361366174
CPBrote,C,BRR,CPBrote.C,0.448942983757093
CPBrote,C,BRR,CPBrote.C,0.486181267974159
CPBrote,C,BRR,CPBrote.C,0.487888749638915
CPBrote,C,BRR,CPBrote.C,0.499255084808168
CPBrote,C,BRR,CPBrote.C,0.509825898306005
CPBrote,C,BRR,CPBrote.C,0.531539502711295
CPBrote,C,BRR,CPBrote.C,0.526629136197462
CPBrote,C,BRR,CPBrote.C,0.568117176496746
CPBrote,C,BRR,CPBrote.C,0.60151584758728
CPBrote,C,BRR,CPBrote.C,0.568446364512651
CPBrote,C,BRR,CPBrote.C,0.600336126164918
CPBrote,C,BRR,CPBrote.C,0.607881522865374
CPBrote,C,BRR,CPBrote.C,0.623864212718162
CPBrote,C,BRR,CPBrote.C,0.65230958040236
CPBrote,C,BRR,CPBrote.C,0.629387121141765
CPBrote,C,BRR,CPBrote.C,0.642746806013887
CPBrote,C,BRR,CPBrote.C,0.596734878350766
CPBrote,C,BRR,CPBrote.C,0.609982224893355
CPBrote,C,BRR,CPBrote.C,0.605355130719822
CPBrote,C,BRR,CPBrote.C,0.611030990832421
CPBrote,C,BRR,CPBrote.C,0.581193557640324
CPBrote,C,BRR,CPBrote.C,0.557855527985627
CPBrote,C,BRR,CPBrote.C,0.560863127240334
CPBrote,C,BRR,CPBrote.C,0.567691417398733
CPBrote,C,BRR,CPBrote.C,0.552049929650351
CPBrote,C,BRR,CPBrote.C,0.547392981947868
CPBrote,C,BRR,CPBrote.C,0.525808351546525
CPBrote,C,BRR,CPBrote.C,0.580703080802385
CPBrote,C,BRR,CPBrote.C,0.548997405901267
CPBrote,C,BRR,CPBrote.C,0.532445788638657
CPBrote,C,BRR,CPBrote.C,0.510218889829484
CPBrote,C,BRR,CPBrote.C,0.553577373643736
CPBrote,C,BRR,CPBrote.C,0.520161053791772
CPBrote,C,BRR,CPBrote.C,0.515063015472284
CPBrote,C,BRR,CPBrote.C,0.501559240177732
CPBrote,C,BRR,CPBrote.C,0.458071497213566
CPBrote,C,BRR,CPBrote.C,0.444663021433769
CPBrote,C,BRR,CPBrote.C,0.459311991765878
CPBrote,C,BRR,CPBrote.C,0.436389026571765
CPBrote,C,BRR,CPBrote.C,0.475147532674414
CPBrote,C,BRR,CPBrote.C,0.502820893910439
CPBrote,C,BRR,CPBrote.C,0.530075058973046
CPBrote,C,BRR,CPBrote.C,0.560363410272927
CPBrote,C,BRR,CPBrote.C,0.554457005404287
CPBrote,C,BRR,CPBrote.C,0.607078580106593
CPBrote,C,BRR,CPBrote.C,0.561530078052142
CPBrote,C,BRR,CPBrote.C,0.581418339754203
CPBrote,C,BRR,CPBrote.C,0.546157336529821
CPBrote,C,BRR,CPBrote.C,0.560437164129529
CPBrote,C,BRR,CPBrote.C,0.5363101225515
CPBrote,C,BRR,CPBrote.C,0.536399969598722
CPBrote,C,BRR,CPBrote.C,0.523857451007389
CPBrote,C,BRR,CPBrote.C,0.559766647387766
CPBrote,C,BRR,CPBrote.C,0.536166744199609
CPBrote,C,BRR,CPBrote.C,0.503950923095857
CPBrote,C,BRR,CPBrote.C,0.514478066181882
CPBrote,C,BRR,CPBrote.C,0.535055587581996
CPBrote,C,BRR,CPBrote.C,0.586096830696073
CPBrote,C,BRR,CPBrote.C,0.502462448750194
CPBrote,C,BRR,CPBrote.C,0.540853462151169
CPBrote,C,BRR,CPBrote.C,0.51205803262552
CPBrote,C,BRR,CPBrote.C,0.527833728216687
CPBrote,C,BRR,CPBrote.C,0.485829272646535
CPBrote,C,BRR,CPBrote.C,0.502282826879688
CPBrote,C,BRR,CPBrote.C,0.490840143088889
CPBrote,C,BRR,CPBrote.C,0.4311817007564
CPBrote,C,BRR,CPBrote.C,0.475309875751096
CPBrote,C,BRR,CPBrote.C,0.509738205488623
CPBrote,C,BRR,CPBrote.C,0.550724997787714
CPBrote,C,BRR,CPBrote.C,0.557923051296964
CPBrote,C,BRR,CPBrote.C,0.514414855378613
CPBrote,C,BRR,CPBrote.C,0.542484223766697
CPBrote,C,BRR,CPBrote.C,0.526714289433576
CPBrote,C,BRR,CPBrote.C,0.565594171486207
CPBrote,C,BRR,CPBrote.C,0.565475038512452
CPBrote,C,BRR,CPBrote.C,0.573201537384374
CPBrote,C,BRR,CPBrote.C,0.565896662876208
CPBrote,C,BRR,CPBrote.C,0.545139833227207
CPBrote,C,BRR,CPBrote.C,0.52468034919728
CPBrote,C,BRR,CPBrote.C,0.508947883277889
CPBrote,C,BRR,CPBrote.C,0.50331055272372
CPBrote,C,BRR,CPBrote.C,0.506948643761453
CPBrote,C,BRR,CPBrote.C,0.521773162722842
CPBrote,C,BRR,CPBrote.C,0.519764237078944
CPBrote,C,BRR,CPBrote.C,0.540379237236613
CPBrote,C,BRR,CPBrote.C,0.545230807882155
CPBrote,C,BRR,CPBrote.C,0.592324945243843
CPBrote,C,BRR,CPBrote.C,0.593105799869183
CPBrote,C,BRR,CPBrote.C,0.566863053605453
CPBrote,C,BRR,CPBrote.C,0.62452480283139
CPBrote,C,BRR,CPBrote.C,0.5836223026631
CPBrote,C,BRR,CPBrote.C,0.615943969524214
CPBrote,C,BRR,CPBrote.C,0.549805123538214
CPBrote,C,BRR,CPBrote.C,0.597218768440918
CPBrote,C,BRR,CPBrote.C,0.527379316525889
CPBrote,C,BRR,CPBrote.C,0.534519846780662
CPBrote,C,BRR,CPBrote.C,0.542060335629062
CPBrote,C,BRR,CPBrote.C,0.52038752882808
CPBrote,C,BRR,CPBrote.C,0.518392922093166
CPBrote,C,BRR,CPBrote.C,0.532238791717483
CPBrote,C,BRR,CPBrote.C,0.491906373416767
CPBrote,C,BRR,CPBrote.C,0.528158953267939
CPBrote,C,BRR,CPBrote.C,0.514374810585164
CPBrote,C,BRR,CPBrote.C,0.514221364221364
CPBrote,C,BRR,CPBrote.C,0.504062519642361
CPBrote,C,BRR,CPBrote.C,0.427981925522312
CPBrote,C,BRR,CPBrote.C,0.449608615868426
CPBrote,C,BRR,CPBrote.C,0.403346816086299
CPBrote,C,BRR,CPBrote.C,0.44387659214465
CPBrote,C,BRR,CPBrote.C,0.476733241044894
CPBrote,C,BRR,CPBrote.C,0.472423905813888
CPBrote,C,BRR,CPBrote.C,0.446704423432427
CPBrote,C,BRR,CPBrote.C,0.481588181084743
CPBrote,C,BRR,CPBrote.C,0.509707914223349
CPBrote,C,BRR,CPBrote.C,0.515597186506693
CPBrote,C,BRR,CPBrote.C,0.577015251131537
CPBrote,C,BRR,CPBrote.C,0.561903742609708
CPBrote,C,BRR,CPBrote.C,0.51704337529086
CPBrote,C,BRR,CPBrote.C,0.496413118014201
CPBrote,C,BRR,CPBrote.C,0.525728000205901
CPBrote,C,BRR,CPBrote.C,0.553412046614862
CPBrote,C,BRR,CPBrote.C,0.513443136724863
CPBrote,C,BRR,CPBrote.C,0.548851431025664
CPBrote,C,BRR,CPBrote.C,0.548699432714855
CPBrote,C,BRR,CPBrote.C,0.530779370180929
CPBrote,C,BRR,CPBrote.C,0.566682383894272
CPBrote,C,BRR,CPBrote.C,0.533838685589407
CPBrote,C,BRR,CPBrote.C,0.521488047643993
CPBrote,C,BRR,CPBrote.C,0.519236526703658
CPBrote,C,BRR,CPBrote.C,0.484216589319939
CPBrote,C,BRR,CPBrote.C,0.480935052606598
CPBrote,C,BRR,CPBrote.C,0.501155156227811
CPBrote,C,BRR,CPBrote.C,0.508301738626941
CPBrote,C,BRR,CPBrote.C,0.507181370028631
CPBrote,C,BRR,CPBrote.C,0.509857543652014
CPBrote,C,BRR,CPBrote.C,0.551863951107429
CPBrote,C,BRR,CPBrote.C,0.497698977790686
CPBrote,C,BRR,CPBrote.C,0.46287767302952
CPBrote,C,BRR,CPBrote.C,0.481476181275472
CPBrote,C,BRR,CPBrote.C,0.467789346086078
CPBrote,C,BRR,CPBrote.C,0.504253232423169
CPBrote,C,BRR,CPBrote.C,0.529033151419378
CPBrote,C,BRR,CPBrote.C,0.551064445116468
CPBrote,C,BRR,CPBrote.C,0.571474672325949
CPBrote,C,BRR,CPBrote.C,0.516650348121716
CPBrote,C,BRR,CPBrote.C,0.536948201307684
CPBrote,C,BRR,CPBrote.C,0.552441259478088
CPBrote,C,BRR,CPBrote.C,0.594919340311447
CPBrote,C,BRR,CPBrote.C,0.622328886440858
CPBrote,C,BRR,CPBrote.C,0.629767233629834
CPBrote,C,BRR,CPBrote.C,0.674668497911339
CPBrote,C,BRR,CPBrote.C,0.615409206708905
CPBrote,C,BRR,CPBrote.C,0.602162461558875
CPBrote,C,BRR,CPBrote.C,0.611359489965717
CPBrote,C,BRR,CPBrote.C,0.619898378334861
CPBrote,C,BRR,CPBrote.C,0.612816418988959
CPBrote,C,BRR,CPBrote.C,0.612547029177116
CPBrote,C,BRR,CPBrote.C,0.632694407523912
CPBrote,C,BRR,CPBrote.C,0.561234584393713
CPBrote,C,BRR,CPBrote.C,0.565650072011806
CPBrote,C,BRR,CPBrote.C,0.605666506589513
CPBrote,C,BRR,CPBrote.C,0.610591049651594
CPBrote,C,BRR,CPBrote.C,0.626796783241297
CPBrote,C,BRR,CPBrote.C,0.589105788990232
CPBrote,C,BRR,CPBrote.C,0.573343976873766
CPBrote,C,BRR,CPBrote.C,0.624566496247897
CPBrote,C,BRR,CPBrote.C,0.617938402382716
CPBrote,C,BRR,CPBrote.C,0.611026373561131
CPBrote,C,BRR,CPBrote.C,0.635313946953325
CPBrote,C,BRR,CPBrote.C,0.665992422021061
CPBrote,C,BRR,CPBrote.C,0.605472869396941
CPBrote,C,BRR,CPBrote.C,0.614027236798212
CPBrote,C,BRR,CPBrote.C,0.621369665066057
CPBrote,C,BRR,CPBrote.C,0.603779951592462
CPBrote,C,BRR,CPBrote.C,0.586392541589992
CPBrote,C,BRR,CPBrote.C,0.615327956050118
CPBrote,C,BRR,CPBrote.C,0.637523447317687
CPBrote,C,BRR,CPBrote.C,0.611494227388845
CPBrote,C,BRR,CPBrote.C,0.653310958496954
CPBrote,C,BRR,CPBrote.C,0.580674896391015
CPBrote,C,BRR,CPBrote.C,0.626255161467199
CPBrote,C,BRR,CPBrote.C,0.586163316255834
CPBrote,C,BRR,CPBrote.C,0.611366711027906
CPBrote,C,BRR,CPBrote.C,0.559539992366618
CPBrote,C,BRR,CPBrote.C,0.520495719111719
CPBrote,C,BRR,CPBrote.C,0.588761183850483
CPBrote,C,BRR,CPBrote.C,0.540178195160246
CPBrote,C,BRR,CPBrote.C,0.538159069289732
CPBrote,C,BRR,CPBrote.C,0.570733097999
CPBrote,C,BRR,CPBrote.C,0.518507719419856
CPBrote,C,BRR,CPBrote.C,0.531514204173012
CPBrote,C,BRR,CPBrote.C,0.563776579697818
CPBrote,C,BRR,CPBrote.C,0.601218780597001
CPBrote,C,BRR,CPBrote.C,0.488453847820125
CPBrote,C,BRR,CPBrote.C,0.540150686739071
CPBrote,C,BRR,CPBrote.C,0.525287809615501
CPBrote,C,BRR,CPBrote.C,0.533455828731276
CPBrote,C,BRR,CPBrote.C,0.504165409496839
CPBrote,C,BRR,CPBrote.C,0.459281959512359
CPBrote,C,BRR,CPBrote.C,0.447326538358995
CPBrote,C,BRR,CPBrote.C,0.539747474073382
CPBrote,C,BRR,CPBrote.C,0.535258487572338
CPBrote,C,BRR,CPBrote.C,0.549435172300539
CPBrote,C,BRR,CPBrote.C,0.596325900140685
CPBrote,C,BRR,CPBrote.C,0.538410664719023
CPBrote,C,BRR,CPBrote.C,0.551490019698051
CPBrote,C,BRR,CPBrote.C,0.561268495325241
CPBrote,C,BRR,CPBrote.C,0.560996749819134
CPBrote,C,BRR,CPBrote.C,0.555785875065284
CPBrote,C,BRR,CPBrote.C,0.564454109218604
CPBrote,C,BRR,CPBrote.C,0.608836745717208
CPBrote,C,BRR,CPBrote.C,0.554042753927742
CPBrote,C,BRR,CPBrote.C,0.535761952477093
CPBrote,C,BRR,CPBrote.C,0.521739313561372
CPBrote,C,BRR,CPBrote.C,0.466419866670267
CPBrote,C,BRR,CPBrote.C,0.479489939860083
CPBrote,C,BRR,CPBrote.C,0.525528681972808
CPBrote,C,BRR,CPBrote.C,0.607745544972082
CPBrote,C,BRR,CPBrote.C,0.602643309761757
CPBrote,C,BRR,CPBrote.C,0.577325491057278
CPBrote,C,BRR,CPBrote.C,0.619868954364199
CPBrote,C,BRR,CPBrote.C,0.639144504922043
CPBrote,C,BRR,CPBrote.C,0.578933595921227
CPBrote,C,BRR,CPBrote.C,0.55387559915407
CPBrote,C,BRR,CPBrote.C,0.563892502602905
CPBrote,C,BRR,CPBrote.C,0.571020242066557
CPBrote,C,BRR,CPBrote.C,0.550379614946818
CPBrote,C,BRR,CPBrote.C,0.559903050088191
CPBrote,C,BRR,CPBrote.C,0.599269747338417
CPBrote,C,BRR,CPBrote.C,0.57248032174614
CPBrote,C,BRR,CPBrote.C,0.546949496103006
CPBrote,C,BRR,CPBrote.C,0.570903655339254
CPBrote,C,BRR,CPBrote.C,0.521756262436763
CPBrote,C,BRR,CPBrote.C,0.527454375735602
CPBrote,C,BRR,CPBrote.C,0.550846209431813
CPBrote,C,BRR,CPBrote.C,0.544188489609621
CPBrote,C,BRR,CPBrote.C,0.529256179385688
CPBrote,C,BRR,CPBrote.C,0.469256648487995
CPBrote,C,BRR,CPBrote.C,0.544679005040598
CPBrote,C,BRR,CPBrote.C,0.534330254672642
CPBrote,C,BRR,CPBrote.C,0.517909792387205
CPBrote,C,BRR,CPBrote.C,0.509018623347318
CPBrote,C,BRR,CPBrote.C,0.510087997299989
CPBrote,C,BRR,CPBrote.C,0.555088176447402
CPBrote,C,BRR,CPBrote.C,0.501310792446305
CPBrote,C,BRR,CPBrote.C,0.520017392402682
CPBrote,C,BRR,CPBrote.C,0.517434333504106
CPBrote,C,BRR,CPBrote.C,0.540702949455423
CPBrote,C,BRR,CPBrote.C,0.527525846892505
CPBrote,C,BRR,CPBrote.C,0.571523484315813
CPBrote,C,BRR,CPBrote.C,0.530908522205459
CPBrote,C,BRR,CPBrote.C,0.524719181893456
CPBrote,C,BRR,CPBrote.C,0.507697259076367
CPBrote,C,BRR,CPBrote.C,0.478636168387656
CPBrote,C,BRR,CPBrote.C,0.523840560089544
CPBrote,C,BRR,CPBrote.C,0.524550341290129
CPBrote,C,BRR,CPBrote.C,0.503098173619229
CPBrote,C,BRR,CPBrote.C,0.470681722651783
CPBrote,C,BRR,CPBrote.C,0.492096563091709
CPBrote,C,BRR,CPBrote.C,0.453181533442848
CPBrote,C,BRR,CPBrote.C,0.438837386359396
CPBrote,C,BRR,CPBrote.C,0.515608661591442
CPBrote,C,BRR,CPBrote.C,0.510672122829256
CPBrote,C,BRR,CPBrote.C,0.501412043066265
CPBrote,C,BRR,CPBrote.C,0.543489706472115
CPBrote,C,BRR,CPBrote.C,0.552155909455678
CPBrote,C,BRR,CPBrote.C,0.595216243968707
CPBrote,C,BRR,CPBrote.C,0.528254780382672
CPBrote,C,BRR,CPBrote.C,0.580813408946189
CPBrote,C,BRR,CPBrote.C,0.552841131702405
CPBrote,C,BRR,CPBrote.C,0.54074736265472
CPBrote,C,BRR,CPBrote.C,0.546200035092692
CPBrote,C,BRR,CPBrote.C,0.475324996976789
CPBrote,C,BRR,CPBrote.C,0.481383817938338
CPBrote,C,BRR,CPBrote.C,0.520584206473341
CPBrote,C,BRR,CPBrote.C,0.533725103667779
CPBrote,C,BRR,CPBrote.C,0.540293851649886
CPBrote,C,BRR,CPBrote.C,0.605699732909878
CPBrote,C,BRR,CPBrote.C,0.563731012616695
CPBrote,C,BRR,CPBrote.C,0.610717540360793
CPBrote,C,BRR,CPBrote.C,0.559177504524845
CPBrote,C,BRR,CPBrote.C,0.563845956853502
CPBrote,C,BRR,CPBrote.C,0.633795001250824
CPBrote,C,BRR,CPBrote.C,0.590408386689123
CPBrote,C,BRR,CPBrote.C,0.585745718964041
CPBrote,C,BRR,CPBrote.C,0.565970379146919
CPBrote,C,BRR,CPBrote.C,0.548406065715721
CPBrote,C,BRR,CPBrote.C,0.595130988591198
CPBrote,C,BRR,CPBrote.C,0.637864590192057
CPBrote,C,BRR,CPBrote.C,0.614707645014662
CPBrote,C,BRR,CPBrote.C,0.602385037233652
CPBrote,C,BRR,CPBrote.C,0.617966814557391
CPBrote,C,BRR,CPBrote.C,0.610646062623627
CPBrote,C,BRR,CPBrote.C,0.579267069601579
CPBrote,C,BRR,CPBrote.C,0.639946742081924
CPBrote,C,BRR,CPBrote.C,0.639984313695988
CPBrote,C,BRR,CPBrote.C,0.605165289797152
CPBrote,C,BRR,CPBrote.C,0.600460765081557
CPBrote,C,BRR,CPBrote.C,0.581023692239657
CPBrote,C,BRR,CPBrote.C,0.583328234478949
CPBrote,C,BRR,CPBrote.C,0.531386212513317
CPBrote,C,BRR,CPBrote.C,0.566000708078236
CPBrote,C,BRR,CPBrote.C,0.601996706103584
CPBrote,C,BRR,CPBrote.C,0.602768642981132
CPBrote,C,BRR,CPBrote.C,0.623636346681338
CPBrote,C,BRR,CPBrote.C,0.611934819169994
CPBrote,C,BRR,CPBrote.C,0.648831834140318
CPBrote,C,BRR,CPBrote.C,0.616663630659623
CPBrote,C,BRR,CPBrote.C,0.575161999371985
CPBrote,C,BRR,CPBrote.C,0.565068243249697
CPBrote,C,BRR,CPBrote.C,0.612524938562885
CPBrote,C,BRR,CPBrote.C,0.549642144653805
CPBrote,C,BRR,CPBrote.C,0.561253934154768
CPBrote,C,BRR,CPBrote.C,0.537804949940557
CPBrote,C,BRR,CPBrote.C,0.563351314451549
CPBrote,C,BRR,CPBrote.C,0.558445445873639
CPBrote,C,BRR,CPBrote.C,0.561113949124699
CPBrote,C,BRR,CPBrote.C,0.542088505852711
CPBrote,C,BRR,CPBrote.C,0.578239262804549
CPBrote,C,BRR,CPBrote.C,0.586549880252332
CPBrote,C,BRR,CPBrote.C,0.610487513827142
CPBrote,C,BRR,CPBrote.C,0.587380206567428
CPBrote,C,BRR,CPBrote.C,0.582596477450973
CPBrote,C,BRR,CPBrote.C,0.578925001293068
CPBrote,C,BRR,CPBrote.C,0.536460651749118
