"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
2000,"CSBrote.LCH.H","CSBrote","H","BL",0.198
2000,"CSBrote.LCH.L","CSBrote","L","BL",0.303444444444444
2000,"CSPulpa.LCH.C","CSPulpa","C","BRR",0.223555555555556
2000,"CSPulpa.LCH.H","CSPulpa","H","GBLUP",0.108222222222222
2000,"CSPulpa.LCH.L","CSPulpa","L","EGBLUP",0.325555555555556
2000,"CSTuber.LCH.C","CSTuber","C","RKHS",0.180777777777778
2000,"CSTuber.LCH.H","CSTuber","H","EGBLUP",0.121111111111111
2000,"CSTuber.LCH.L","CSTuber","L","BA",0.340444444444444
2000,"CTallo.LCH.C","CTallo","C","RKHS",0.658666666666667
2000,"CTallo.LCH.H","CTallo","H","EGBLUP",0.481222222222222
2000,"CTallo.LCH.L","CTallo","L","BB",0.699222222222222
3000,"CBaya.LCH.C","CBaya","C","GBLUP",0.153666666666667
3000,"CBaya.LCH.H","CBaya","H","RKHS",0.0802222222222222
3000,"CBaya.LCH.L","CBaya","L","RKHS",0.107777777777778
3000,"CPBrote.LCH.C","CPBrote","C","RKHS",0.582222222222222
3000,"CPBrote.LCH.H","CPBrote","H","BRR",0.359222222222222
3000,"CPBrote.LCH.L","CPBrote","L","EGBLUP",0.439444444444444
3000,"CPFlor.LCH.C","CPFlor","C","RKHS",0.626111111111111
3000,"CPFlor.LCH.H","CPFlor","H","BL",0.863444444444444
3000,"CPFlor.LCH.L","CPFlor","L","RKHS",0.647666666666667
3000,"CPTuber.LCH.C","CPTuber","C","EGBLUP",0.512111111111111
3000,"CPTuber.LCH.H","CPTuber","H","BC",0.434444444444444
3000,"CPTuber.LCH.L","CPTuber","L","BRR",0.492
3000,"CPulpa.LCH.C","CPulpa","C","EGBLUP",0.458333333333333
3000,"CPulpa.LCH.H","CPulpa","H","EGBLUP",0.344222222222222
3000,"CPulpa.LCH.L","CPulpa","L","RKHS",0.441111111111111
3000,"CSBrote.LCH.C","CSBrote","C","RKHS",0.284555555555556
3000,"CSBrote.LCH.H","CSBrote","H","BC",0.193555555555556
3000,"CSBrote.LCH.L","CSBrote","L","RKHS",0.314888888888889
3000,"CSPulpa.LCH.C","CSPulpa","C","BC",0.221333333333333
3000,"CSPulpa.LCH.H","CSPulpa","H","GBLUP",0.0968888888888889
3000,"CSPulpa.LCH.L","CSPulpa","L","EGBLUP",0.336
3000,"CSTuber.LCH.C","CSTuber","C","RKHS",0.186888888888889
3000,"CSTuber.LCH.H","CSTuber","H","BB",0.146888888888889
3000,"CSTuber.LCH.L","CSTuber","L","RKHS",0.365666666666667
3000,"CTallo.LCH.C","CTallo","C","BB",0.655777777777778
3000,"CTallo.LCH.H","CTallo","H","BB",0.460777777777778
3000,"CTallo.LCH.L","CTallo","L","EGBLUP",0.701888888888889
4000,"CBaya.LCH.C","CBaya","C","BL",0.159222222222222
4000,"CBaya.LCH.H","CBaya","H","EGBLUP",0.108555555555556
4000,"CBaya.LCH.L","CBaya","L","GBLUP",0.108888888888889
4000,"CPBrote.LCH.C","CPBrote","C","RKHS",0.591111111111111
4000,"CPBrote.LCH.H","CPBrote","H","BA",0.336222222222222
4000,"CPBrote.LCH.L","CPBrote","L","BA",0.454333333333333
4000,"CPFlor.LCH.C","CPFlor","C","RKHS",0.630111111111111
4000,"CPFlor.LCH.H","CPFlor","H","RKHS",0.873222222222222
4000,"CPFlor.LCH.L","CPFlor","L","RKHS",0.626
4000,"CPTuber.LCH.C","CPTuber","C","RKHS",0.537222222222222
4000,"CPTuber.LCH.H","CPTuber","H","EGBLUP",0.447111111111111
4000,"CPTuber.LCH.L","CPTuber","L","BRR",0.496666666666667
4000,"CPulpa.LCH.C","CPulpa","C","BB",0.444777777777778
4000,"CPulpa.LCH.H","CPulpa","H","BC",0.325222222222222
4000,"CPulpa.LCH.L","CPulpa","L","BB",0.430444444444444
4000,"CSBrote.LCH.C","CSBrote","C","BB",0.257777777777778
4000,"CSBrote.LCH.H","CSBrote","H","BRR",0.206222222222222
4000,"CSBrote.LCH.L","CSBrote","L","EGBLUP",0.321333333333333
4000,"CSPulpa.LCH.C","CSPulpa","C","RKHS",0.210555555555556
4000,"CSPulpa.LCH.H","CSPulpa","H","BL",0.113111111111111
4000,"CSPulpa.LCH.L","CSPulpa","L","BB",0.333555555555556
4000,"CSTuber.LCH.C","CSTuber","C","BC",0.184555555555556
4000,"CSTuber.LCH.H","CSTuber","H","RKHS",0.114444444444444
4000,"CSTuber.LCH.L","CSTuber","L","RKHS",0.359222222222222
4000,"CTallo.LCH.C","CTallo","C","GBLUP",0.663777777777778
4000,"CTallo.LCH.H","CTallo","H","BA",0.458
4000,"CTallo.LCH.L","CTallo","L","RKHS",0.711222222222222
4641,"CBaya.LCH.C","CBaya","C","GBLUP",0.153
4641,"CBaya.LCH.H","CBaya","H","BC",0.0636666666666667
4641,"CBaya.LCH.L","CBaya","L","BRR",0.111555555555556
4641,"CPBrote.LCH.C","CPBrote","C","RKHS",0.574888888888889
4641,"CPBrote.LCH.H","CPBrote","H","BC",0.346555555555556
4641,"CPBrote.LCH.L","CPBrote","L","BRR",0.451777777777778
4641,"CPFlor.LCH.C","CPFlor","C","RKHS",0.623111111111111
4641,"CPFlor.LCH.H","CPFlor","H","RKHS",0.867888888888889
4641,"CPFlor.LCH.L","CPFlor","L","RKHS",0.639888888888889
4641,"CPTuber.LCH.C","CPTuber","C","BA",0.525222222222222
4641,"CPTuber.LCH.H","CPTuber","H","RKHS",0.425
4641,"CPTuber.LCH.L","CPTuber","L","GBLUP",0.490222222222222
4641,"CPulpa.LCH.C","CPulpa","C","BB",0.445777777777778
4641,"CPulpa.LCH.H","CPulpa","H","BC",0.291666666666667
4641,"CPulpa.LCH.L","CPulpa","L","RKHS",0.422777777777778
4641,"CSBrote.LCH.C","CSBrote","C","BA",0.247444444444444
4641,"CSBrote.LCH.H","CSBrote","H","EGBLUP",0.204444444444444
4641,"CSBrote.LCH.L","CSBrote","L","RKHS",0.303888888888889
4641,"CSPulpa.LCH.C","CSPulpa","C","BRR",0.211555555555556
4641,"CSPulpa.LCH.H","CSPulpa","H","GBLUP",0.139666666666667
4641,"CSPulpa.LCH.L","CSPulpa","L","EGBLUP",0.347777777777778
4641,"CSTuber.LCH.C","CSTuber","C","RKHS",0.190666666666667
4641,"CSTuber.LCH.H","CSTuber","H","EGBLUP",0.146444444444444
4641,"CSTuber.LCH.L","CSTuber","L","BB",0.355888888888889
4641,"CTallo.LCH.C","CTallo","C","RKHS",0.663333333333333
4641,"CTallo.LCH.H","CTallo","H","BL",0.462777777777778
4641,"CTallo.LCH.L","CTallo","L","RKHS",0.709
