SAMPLES,c1_16540,c1_16542,c1_3098,c1_3499,c1_7871,c1_7872,c1_7874,c2_10681,c2_12976,c2_14980,c2_32257,c2_4030,c2_47202,c2_53914,c2_686
15061603,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15060025,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061704,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061334,2,4,4,1,4,4,0,3,3,0,4,1,4,3,2
15061631,1,3,3,2,3,3,1,3,1,2,4,3,3,3,1
15060964,1,4,4,0,4,4,0,4,2,0,4,3,4,2,0
15061778,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061718,1,4,4,0,2,2,0,4,3,2,3,3,4,1,4
15061486,3,3,4,0,4,4,0,2,3,2,4,2,4,1,2
15060214,2,4,4,1,2,3,0,3,3,2,4,1,4,2,3
15061333,1,4,3,0,3,3,1,4,2,2,4,1,2,2,3
15061962,1,4,3,0,2,4,0,3,2,0,3,1,4,3,3
15061624,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15061282,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15061529,1,3,4,2,1,2,2,4,2,NA,4,2,2,2,2
15061935,1,4,3,0,2,4,0,3,2,0,3,1,4,3,3
15061568,1,4,3,0,4,4,0,4,4,0,4,2,4,2,3
15061491,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061318,3,4,3,2,4,4,0,4,3,2,4,1,4,2,2
15061361,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15061515,2,4,4,2,3,3,0,2,2,1,3,2,4,3,2
15062123,1,4,4,1,3,3,1,3,1,2,4,2,3,2,4
15061358,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061428,2,4,3,1,3,3,1,3,2,2,4,1,3,3,3
15061496,1,3,4,1,4,4,0,4,2,0,4,2,4,2,3
15061648,1,4,3,1,2,3,1,3,3,2,4,1,3,3,0
15061808,1,3,2,1,3,4,0,3,3,1,4,3,4,3,2
15061600,1,4,4,0,4,4,0,4,4,0,4,2,4,2,2
15061730,2,3,4,0,3,3,1,4,1,3,3,1,3,3,3
15061623,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061405,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15061299,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15061578,0,4,3,0,3,3,1,4,2,2,4,3,3,2,1
15061476,3,3,3,3,3,4,0,3,3,2,4,1,4,1,2
15061765,1,3,4,2,1,2,2,4,2,NA,4,2,2,2,2
15062111,1,4,3,1,2,3,1,3,2,2,4,1,3,2,3
15061397,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15061713,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061584,4,2,4,0,3,4,0,3,2,0,4,2,4,3,2
15061912,0,4,4,2,1,4,0,4,1,2,4,3,4,2,1
15061260,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15062099,3,4,2,1,4,4,0,3,2,0,3,1,4,2,1
15061350,1,4,4,0,3,3,1,4,4,2,4,3,3,3,3
15060933,3,1,4,1,4,4,0,3,3,0,3,2,4,4,3
15061548,2,4,4,0,4,4,0,4,2,0,4,2,4,2,4
15061348,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15061560,2,4,4,1,3,3,0,3,2,2,2,2,4,3,2
15061544,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15061449,1,4,4,0,2,2,0,4,3,2,3,3,4,1,4
15062348,2,4,3,1,3,3,1,3,2,2,4,1,3,3,3
15061916,2,4,3,1,3,3,1,3,2,2,4,1,2,2,2
15062138,2,3,4,0,4,4,NA,4,2,1,4,0,4,1,3
15061946,1,3,4,1,4,4,0,4,2,0,4,2,4,2,3
15061676,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15060536,3,2,4,2,4,4,0,4,3,0,2,3,4,3,1
15061391,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061662,1,4,4,0,2,2,0,4,3,2,3,3,4,1,4
15061228,3,4,4,2,4,4,0,2,0,0,4,3,4,2,2
15061356,2,2,3,0,2,2,1,4,2,3,3,2,3,2,1
15061963,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061338,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15062331,2,2,NA,0,2,2,1,4,2,3,3,2,3,3,1
15062098,2,4,3,1,3,3,1,3,2,2,4,1,3,3,3
15062114,2,3,4,2,3,4,0,2,0,0,4,1,3,3,4
15062046,0,4,4,2,1,4,0,4,1,2,4,3,4,2,1
15062370,0,4,3,0,3,3,1,4,2,2,4,3,3,2,1
15061685,1,4,3,1,3,3,1,3,2,2,4,2,3,2,3
15061540,1,4,4,1,3,3,1,3,1,2,4,2,3,2,4
15061721,1,4,4,0,3,3,1,4,2,1,4,1,3,2,1
15062074,2,4,4,1,4,4,0,3,3,0,4,2,4,2,3
15062362,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15061689,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061357,0,4,3,0,3,3,1,4,2,2,4,3,3,2,1
15061376,2,4,3,1,3,3,1,3,2,2,4,1,3,3,3
15061308,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
