Samples,CTallo.L,CTallo.C,CTallo.H,CPFlor.L,CPFlor.C,CPFlor.H,CBaya.L,CBaya.C,CBaya.H,CPTuber.L,CPTuber.C,CPTuber.H,CSTuber.L,CSTuber.C,CSTuber.H,CPulpa.L,CPulpa.C,CPulpa.H,CSPulpa.L,CSPulpa.C,CSPulpa.H,CPBrote.L,CPBrote.C,CPBrote.H,CSBrote.L,CSBrote.C,CSBrote.H
15060543,54,44,117,57,46,323,54,44,117,38,32,14,75,47,85,84,26,94,41,36,331,47,59,350,96,7,318
15060570,54,44,117,42,39,319,54,44,117,76,47,85,38,32,14,84,26,94,42,36,346,43,58,322,96,7,318
15060797,54,44,117,36,39,321,54,44,117,27,19,5,80,41,86,82,35,93,31,36,10,59,16,302,96,7,318
15060846,54,44,117,56,48,332,54,28,115,38,32,14,81,32,84,92,3,32,42,39,346,26,20,307,94,4,41
15060907,28,16,359,43,58,322,54,44,117,51,43,355,80,41,86,92,6,71,30,28,345,28,35,303,95,7,318
15060910,28,16,359,36,55,329,44,26,116,43,39,17,80,42,96,84,18,90,41,38,12,48,58,336,96,7,318
15060933,54,44,117,43,58,312,66,48,118,43,39,17,81,32,84,94,5,52,50,38,316,47,59,350,96,7,318
15060964,54,44,117,36,39,321,53,38,132,28,16,359,76,47,85,81,32,84,33,36,329,43,40,309,96,7,318
15061007,54,44,117,43,58,322,54,44,117,43,33,10,75,35,83,81,32,84,37,34,344,43,40,309,96,7,318
15061011,54,44,117,43,58,312,54,44,117,80,42,96,43,33,10,84,26,94,43,34,344,75,26,302,95,7,318
15061122,54,44,117,41,60,332,54,44,118,43,33,10,75,35,83,92,6,71,27,33,345,49,57,317,96,7,318
15061204,54,44,117,53,43,320,54,44,115,30,11,328,45,16,328,84,18,90,31,34,331,26,20,307,94,4,41
15061213,54,44,117,36,55,329,63,32,111,35,29,17,75,35,83,84,24,85,30,33,344,36,47,352,94,4,41
15061215,54,44,117,43,58,322,54,44,117,34,28,21,80,42,96,84,18,90,30,28,328,52,45,330,94,4,41
15061216,54,44,117,89,8,95,66,48,118,30,11,328,81,32,84,84,18,90,43,33,10,38,40,308,96,7,318
15061225,54,44,117,36,55,329,66,48,118,43,33,10,84,24,85,92,6,71,27,36,344,59,40,305,96,7,318
15061226,54,44,117,41,42,316,58,32,112,80,41,86,29,23,333,92,6,71,29,36,316,33,40,314,94,4,41
15061228,28,16,359,43,58,312,58,45,128,30,11,328,82,35,93,84,18,90,29,23,346,26,20,307,95,7,318
15061237,54,44,117,54,39,313,76,75,107,43,39,17,81,32,84,95,5,344,33,36,331,48,58,336,96,7,318
15061256,54,44,117,36,55,329,54,44,117,30,11,328,75,35,83,92,6,88,31,33,324,26,20,307,95,7,318
15061257,28,16,359,41,42,316,66,48,118,43,39,17,82,42,83,84,18,90,30,26,344,27,20,307,96,7,318
15061259,28,16,359,48,40,314,44,26,116,29,8,313,80,41,86,92,6,71,31,33,324,26,20,307,94,4,41
15061260,54,44,117,57,46,323,58,45,128,30,11,328,75,35,83,92,6,71,31,33,333,26,20,307,94,4,41
15061262,54,44,117,88,10,96,58,45,128,35,29,345,66,40,69,84,18,90,29,22,324,26,20,307,94,4,41
15061263,54,44,117,92,6,71,58,45,128,28,16,359,80,16,86,84,26,94,27,37,344,58,42,304,96,7,318
15061264,54,44,117,92,6,71,54,44,117,75,35,83,43,33,10,84,26,94,30,22,345,26,20,307,94,4,41
15061265,54,44,117,52,45,305,66,48,118,30,29,7,80,42,96,92,6,71,30,26,344,26,20,307,95,7,318
15061270,54,44,117,54,49,320,54,44,117,43,39,17,80,47,83,84,18,90,42,36,345,26,20,307,96,4,41
15061273,54,44,117,41,58,318,54,44,117,43,39,17,38,32,14,84,26,94,50,28,333,26,20,307,44,54,353
15061274,54,44,117,43,58,312,44,26,116,41,37,12,82,42,85,84,18,90,36,36,342,44,53,341,96,7,318
15061277,54,44,117,54,49,320,58,45,128,80,41,86,50,29,17,92,6,71,42,34,345,47,58,336,96,7,318
15061282,54,44,117,43,58,322,58,32,112,50,26,342,92,6,71,92,6,71,33,38,12,27,28,306,96,7,318
15061283,54,44,117,31,33,324,66,48,118,34,28,21,80,42,96,84,18,90,36,37,331,27,28,306,95,5,344
15061286,54,44,117,36,39,321,54,44,117,35,29,17,75,35,83,84,26,94,41,36,344,84,16,308,39,53,346
15061288,54,44,117,48,40,314,66,48,132,40,35,16,82,35,93,92,6,71,27,30,345,26,20,307,94,4,41
15061289,54,44,117,45,57,327,66,48,118,38,32,14,75,35,83,84,18,90,42,38,344,57,46,323,94,4,41
15061290,54,44,117,54,49,320,72,45,115,80,42,96,43,33,10,92,6,71,37,22,324,26,20,307,95,7,318
15061291,54,44,117,49,57,317,54,44,117,42,37,18,80,42,96,84,18,90,30,33,316,45,57,327,94,4,41
15061293,28,16,359,53,43,320,66,48,118,65,57,97,28,11,318,84,18,90,31,36,324,27,28,306,94,4,41
15061295,36,19,28,54,49,320,71,50,115,35,29,17,28,11,318,92,6,71,31,33,324,26,20,307,96,7,318
15061296,28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,84,26,94,27,28,334,33,26,314,95,7,318
15061298,54,44,117,61,43,319,66,48,118,54,43,21,80,42,96,84,18,90,41,33,345,33,26,314,94,4,41
15061299,28,6,23,61,43,319,54,44,117,43,33,10,82,26,80,92,6,71,37,36,345,43,40,309,96,7,318
15061303,54,44,117,57,46,323,66,48,118,80,42,96,43,33,10,92,6,71,36,22,344,52,55,328,94,4,41
15061307,28,16,359,61,43,319,54,44,117,30,16,3,82,35,93,84,18,90,30,28,346,27,28,306,94,4,41
15061312,54,44,117,61,43,319,69,59,106,43,39,17,75,35,83,92,6,71,31,22,344,38,40,308,94,4,41
15061313,54,44,117,43,58,322,69,59,106,75,35,83,43,39,17,84,18,90,43,22,344,26,20,307,96,7,318
15061314,54,44,117,57,46,323,76,75,107,43,33,10,75,36,86,84,18,90,42,36,10,39,53,346,96,7,318
15061317,54,44,117,92,6,71,66,48,118,43,33,10,75,35,83,84,26,94,27,22,344,33,26,314,94,4,41
15061318,54,44,117,36,55,329,54,44,117,30,11,328,79,47,96,92,6,71,42,36,345,26,20,307,94,4,41
15061319,54,44,117,49,42,312,72,45,115,44,41,21,66,40,69,92,6,71,30,33,345,26,20,307,95,5,344
15061320,54,44,117,43,58,322,72,45,115,80,41,86,40,35,16,84,18,90,43,36,345,39,57,339,94,4,41
15061323,54,44,117,43,58,322,54,44,117,74,37,74,42,36,346,92,6,71,27,22,324,33,26,314,96,7,318
15061324,54,44,117,43,55,322,54,44,117,38,32,14,76,47,85,84,26,94,27,23,316,26,20,307,95,7,318
15061329,28,16,359,36,39,321,54,44,117,28,11,318,80,42,96,82,35,93,36,39,321,27,28,306,94,4,41
15061334,54,44,117,45,57,327,66,48,118,38,32,14,76,47,85,84,26,94,31,22,344,54,49,320,96,7,318
15061335,54,44,117,36,39,321,66,48,118,75,35,83,42,36,346,84,18,90,36,36,346,27,28,306,96,7,318
15061337,54,44,117,49,57,317,54,44,117,30,28,345,80,42,22,84,18,90,37,34,345,33,26,314,94,7,318
15061338,28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,92,6,71,29,23,333,26,20,307,96,7,318
15061340,28,16,359,54,49,320,54,44,117,43,39,17,75,35,83,84,18,90,36,28,344,27,28,306,96,7,318
15061344,54,44,117,54,49,320,71,50,115,42,36,346,80,39,41,84,18,90,43,36,316,27,28,306,96,7,318
15061345,54,44,117,36,55,329,69,59,106,42,37,18,75,35,83,84,18,90,42,58,346,39,57,339,94,4,41
15061346,54,44,117,61,43,319,54,44,117,38,32,14,81,32,84,84,26,94,42,55,10,48,58,336,94,4,41
15061347,54,44,117,42,39,319,54,44,117,42,36,346,80,42,96,84,18,90,36,36,346,26,20,307,96,7,318
15061348,54,44,117,43,58,322,58,45,128,30,29,7,75,29,84,84,18,90,33,28,346,26,20,307,96,7,318
15061349,54,44,117,61,43,319,58,45,128,81,32,84,44,32,328,84,18,90,30,22,344,33,26,314,96,7,318
15061350,54,44,117,63,40,326,58,45,128,42,37,18,75,35,83,82,35,93,42,55,328,48,58,336,94,4,41
15061352,54,44,117,36,55,329,66,48,118,76,47,85,42,36,346,84,26,94,27,43,345,94,4,41,43,58,322
15061353,54,44,117,36,55,329,54,44,117,35,29,17,75,35,85,92,6,71,30,33,345,27,28,306,96,7,318
15061355,28,16,359,36,55,329,54,44,117,27,19,5,80,41,86,84,18,90,42,36,346,26,20,307,94,4,41
15061356,54,44,117,61,43,319,54,44,117,60,35,53,50,26,342,92,6,88,27,36,344,54,49,320,96,7,318
15061357,28,16,359,43,58,322,54,44,117,29,8,313,75,35,83,84,18,90,43,38,334,26,20,307,94,4,41
15061358,54,44,117,48,40,314,53,38,132,80,41,86,42,36,346,84,18,90,31,28,333,27,28,306,96,7,318
15061360,54,44,117,36,55,329,54,44,117,29,23,333,80,41,96,84,18,90,37,43,345,26,20,307,94,4,41
15061364,54,44,117,43,58,322,76,75,107,30,29,7,80,41,86,84,18,90,36,28,344,33,26,314,95,5,344
15061365,54,44,117,61,43,319,54,44,117,38,32,14,75,35,83,84,18,90,42,42,346,42,39,319,96,7,318
15061367,54,44,117,54,49,320,54,44,132,35,29,17,75,35,83,92,6,71,42,36,344,42,39,319,94,4,41
15061369,54,44,117,52,45,305,66,48,118,47,20,338,60,32,41,92,6,71,42,37,324,26,20,307,96,7,318
15061376,54,44,117,36,55,329,54,44,117,38,32,14,75,35,83,84,26,94,30,37,345,48,58,336,96,7,318
15061378,54,44,117,49,57,317,54,44,117,76,47,85,50,26,342,84,18,90,30,36,344,43,40,309,96,7,318
15061380,28,16,359,43,58,322,54,44,117,42,37,18,76,47,85,84,18,90,30,28,344,26,20,307,95,7,318
15061382,54,44,117,33,58,312,50,28,115,50,26,342,28,18,83,92,6,71,37,38,346,58,45,310,96,7,318
15061383,28,16,359,49,57,317,50,28,115,35,29,17,75,41,25,84,18,90,30,23,344,26,20,307,96,7,318
15061384,28,16,359,43,58,322,54,44,117,30,11,328,80,41,86,92,6,71,31,33,324,27,28,306,96,7,318
15061388,54,44,117,61,43,319,58,45,128,35,29,17,82,26,80,92,6,71,37,38,344,57,53,344,94,4,41
15061390,28,16,359,45,57,327,54,44,117,30,11,328,80,41,86,84,18,90,33,33,344,26,20,307,94,4,41
15061391,28,16,359,36,55,329,54,44,117,28,16,359,80,41,86,84,18,90,27,26,344,94,4,41,33,34,316
15061392,54,44,117,52,45,305,54,44,117,45,25,28,42,36,346,84,26,94,30,36,346,43,40,309,96,7,318
15061394,54,44,117,92,6,71,66,48,118,50,26,342,80,37,83,84,26,94,29,22,344,26,20,307,96,7,318
15061396,28,16,359,43,58,312,66,48,118,29,8,313,80,41,86,92,6,71,27,22,344,26,20,307,94,4,41
15061404,28,6,23,36,55,329,66,48,118,30,11,328,82,35,93,84,18,90,32,30,328,26,20,307,35,41,347
15061406,54,44,117,43,58,322,54,44,117,34,28,21,81,32,84,84,18,90,33,28,10,26,20,307,96,7,318
15061410,54,44,117,36,55,329,54,44,117,42,37,18,81,32,84,92,6,71,42,36,10,36,47,352,96,7,318
15061411,54,44,117,42,39,319,50,28,115,50,26,342,82,35,93,94,4,41,37,42,344,26,20,307,94,4,41
15061414,28,16,359,61,43,319,66,48,118,76,47,85,27,19,5,84,18,90,42,36,346,36,39,321,94,4,41
15061415,54,44,117,41,58,318,53,38,132,42,37,18,81,36,96,84,18,90,43,36,342,39,57,339,96,7,318
15061417,28,16,359,57,46,323,58,45,128,29,8,313,76,47,85,84,24,85,50,26,342,31,33,324,95,5,344
15061418,28,16,359,57,46,323,66,48,118,76,47,85,30,16,3,92,6,71,42,36,346,31,33,324,94,4,41
15061419,28,16,359,41,58,318,54,44,117,29,8,313,80,42,96,92,3,32,31,33,324,26,20,307,94,4,41
15061420,54,44,117,36,39,321,54,44,117,76,47,85,30,16,3,92,6,71,43,36,316,49,42,312,96,7,318
15061421,54,44,117,65,35,303,66,48,118,34,28,21,75,35,83,84,18,90,41,33,342,26,20,307,96,7,318
15061422,54,44,117,52,55,328,54,44,117,30,16,3,80,41,86,92,6,71,43,39,346,39,53,346,94,4,41
15061424,28,16,359,57,46,323,54,44,117,30,16,3,80,42,96,84,26,94,32,30,328,65,35,303,96,7,318
15061425,54,44,117,54,49,320,54,44,117,38,32,14,80,42,96,84,18,90,43,36,12,48,58,336,96,7,318
15061428,54,44,117,54,49,320,66,48,118,38,32,14,80,42,96,84,18,90,42,38,342,48,58,336,94,4,41
15061430,54,44,117,41,60,332,54,44,117,42,37,18,76,47,85,84,18,90,36,34,344,39,57,339,94,4,41
15061435,28,16,359,43,58,322,54,44,117,41,37,12,45,42,0,84,18,90,42,33,344,75,26,302,94,4,41
15061436,54,44,117,57,46,323,50,28,115,76,47,85,50,42,96,92,6,71,42,42,345,43,40,309,94,4,41
15061437,54,44,117,36,39,321,71,50,115,80,42,96,50,26,342,92,6,71,30,36,345,33,26,314,96,7,318
15061439,54,44,117,36,39,321,54,44,117,76,47,85,28,16,359,84,18,90,42,58,344,27,28,306,94,4,41
15061441,28,16,359,42,39,319,66,48,118,80,42,96,29,8,313,84,18,90,30,42,344,65,35,303,96,7,318
15061442,54,44,117,31,33,324,66,48,118,47,20,338,82,35,93,92,6,71,33,36,346,38,40,308,94,4,41
15061444,54,44,117,36,55,329,62,43,124,27,19,5,82,32,96,92,6,71,30,28,345,26,20,307,94,4,41
15061445,28,6,23,42,39,319,54,44,117,80,42,96,45,42,0,84,18,90,41,33,345,38,40,308,94,4,41
15061447,54,44,117,57,46,323,53,38,132,34,28,21,80,42,96,92,6,71,31,22,328,30,28,345,94,4,41
15061449,54,44,117,58,45,310,71,59,117,51,43,355,80,42,96,84,18,90,42,36,345,26,20,307,96,7,318
15061454,54,44,117,43,58,312,54,44,117,27,19,5,80,42,96,84,18,90,42,36,12,38,40,308,94,4,41
15061458,54,44,117,67,41,314,66,48,118,48,39,21,76,47,85,84,26,94,30,28,344,48,58,336,96,7,318
15061459,28,6,23,49,57,317,50,28,115,29,8,313,80,42,96,92,6,71,27,23,344,33,26,314,95,7,318
15061461,54,44,117,58,45,310,69,59,106,80,42,96,38,32,14,84,26,94,42,34,344,48,58,336,96,7,318
15061463,54,44,117,61,43,319,54,44,117,28,16,359,80,42,96,88,10,96,42,36,331,33,26,314,94,4,41
15061469,54,44,117,49,57,317,58,32,112,42,36,346,80,35,83,88,10,96,31,36,316,43,40,309,94,4,41
15061470,54,44,117,61,43,319,66,48,118,50,26,342,84,22,70,92,6,71,31,34,345,31,33,324,94,4,41
15061471,49,21,132,59,48,315,54,44,117,42,36,346,81,32,84,92,6,71,30,36,344,33,26,314,96,7,318
15061475,54,44,117,70,31,304,71,50,115,35,29,17,80,42,96,84,18,90,43,34,12,26,20,307,96,7,318
15061476,28,16,359,49,42,312,71,50,115,27,22,344,80,42,96,92,6,71,30,36,344,33,26,314,94,4,41
15061478,28,16,359,61,43,319,54,44,117,29,8,313,80,42,96,88,10,96,31,33,324,26,20,307,94,4,41
15061479,54,44,117,43,58,322,66,48,118,34,28,21,80,42,96,88,10,96,42,36,316,35,41,347,94,4,41
15061480,28,16,359,52,55,328,54,44,117,45,42,0,80,42,96,84,26,94,27,26,344,43,40,309,96,7,318
15061481,54,44,117,43,58,322,54,44,117,76,47,85,45,25,28,92,6,71,30,23,324,26,20,307,95,5,344
15061484,45,19,134,42,39,319,72,45,115,40,35,16,75,19,69,84,26,94,30,43,344,26,20,307,95,7,318
15061485,54,44,117,38,40,308,66,50,118,80,42,96,54,37,17,84,18,90,41,28,324,36,47,352,94,4,41
15061486,28,6,23,58,45,310,54,44,117,29,8,313,80,32,96,92,6,88,30,22,346,33,26,314,96,7,318
15061489,28,16,359,36,55,329,66,48,118,30,16,3,75,35,83,84,18,90,31,28,344,33,26,314,94,4,41
15061490,28,16,359,43,58,322,66,48,118,30,16,3,80,42,96,84,26,94,29,28,344,48,58,336,94,4,41
15061491,28,16,359,43,58,322,69,59,106,30,11,328,80,41,86,84,18,90,30,28,345,48,58,336,95,7,318
15061492,28,6,23,61,43,319,54,44,117,30,11,328,80,41,86,82,35,93,30,28,345,41,42,316,94,4,41
15061493,54,44,117,43,58,312,54,44,117,30,29,7,80,41,86,84,26,94,30,33,333,33,26,314,95,7,318
15061494,28,16,359,43,58,322,54,44,117,29,8,313,30,29,7,92,6,71,37,30,344,33,26,314,94,4,41
15061495,28,16,359,43,40,309,72,45,115,30,29,7,80,41,86,84,18,90,27,30,344,26,20,307,96,7,318
15061496,28,16,359,33,58,312,54,44,117,39,28,22,80,41,86,92,6,71,27,22,344,33,26,314,96,7,318
15061499,54,44,117,66,36,309,69,59,106,80,41,86,43,39,17,84,18,90,42,22,344,33,26,314,96,7,318
15061500,54,44,117,36,55,329,50,28,115,80,42,96,43,39,17,92,3,32,31,22,324,52,55,328,94,4,41
15061501,28,16,359,43,58,322,50,28,115,69,36,65,42,32,25,92,6,71,43,43,344,41,60,332,96,7,318
15061503,54,44,117,58,45,310,66,48,118,50,26,342,82,35,93,84,26,94,42,36,344,84,16,308,96,7,318
15061504,45,19,134,54,49,320,54,44,117,50,26,342,82,35,93,92,6,71,27,37,324,54,39,308,95,7,318
15061505,49,21,132,36,55,329,66,48,118,43,39,17,82,42,86,84,26,94,31,39,324,39,57,339,96,7,318
15061507,54,44,117,36,55,329,69,59,106,38,32,14,80,42,96,92,6,71,30,34,344,43,40,309,94,4,41
15061508,28,16,359,36,55,329,66,48,118,80,42,96,35,29,17,92,6,71,37,28,344,43,40,309,94,4,41
15061509,54,44,117,92,6,71,66,48,118,30,11,328,80,39,74,84,18,90,27,22,344,33,26,314,94,4,41
15061511,54,44,117,92,6,71,50,28,115,29,8,313,79,42,96,92,6,71,27,22,344,26,20,307,94,4,41
15061515,45,19,134,92,6,71,58,32,112,35,29,17,73,31,53,84,18,90,29,36,331,33,26,314,96,7,318
15061516,28,16,359,41,60,332,66,48,118,38,32,14,75,35,86,94,5,52,27,33,324,36,47,352,95,5,344
15061517,42,17,138,43,58,322,54,44,117,30,29,7,80,42,96,84,18,90,50,58,345,70,31,304,96,7,318
15061518,54,44,117,43,58,322,66,48,118,30,29,7,80,41,86,92,6,71,30,36,344,59,40,305,94,4,41
15061521,28,16,359,61,43,319,66,48,118,35,29,17,80,41,86,82,35,93,30,33,344,36,26,307,96,7,318
15061522,28,16,359,43,58,322,66,48,118,76,47,85,38,32,14,92,6,71,31,22,344,26,20,307,94,4,41
15061524,28,16,359,61,43,319,62,43,124,30,11,328,37,42,3,92,6,71,42,33,344,33,26,314,94,4,41
15061525,54,44,117,31,33,324,72,45,115,42,36,346,80,42,96,92,6,71,37,43,329,49,42,312,96,7,318
15061526,28,16,359,49,42,312,54,44,117,27,19,5,75,35,83,84,26,94,50,43,345,75,26,302,95,7,318
15061528,28,6,23,43,58,322,66,48,118,38,32,14,30,16,3,84,18,90,33,33,344,26,20,307,96,7,318
15061529,54,44,117,92,6,71,66,48,118,30,11,328,80,36,96,84,18,90,31,33,324,33,26,314,96,7,318
15061530,54,44,117,36,39,321,66,48,118,30,16,3,74,37,74,92,6,71,32,36,345,48,45,302,94,4,41
15061533,54,44,117,26,52,310,53,38,132,28,16,359,80,41,86,92,6,71,33,33,316,33,26,314,96,7,318
15061534,54,44,117,54,49,320,50,28,115,28,11,318,75,42,80,80,42,96,33,34,316,38,40,308,95,7,318
15061535,28,16,359,49,57,317,54,44,117,34,28,21,80,41,86,84,18,90,31,33,324,26,20,307,96,7,318
15061536,28,16,359,36,55,329,69,59,106,29,8,313,80,41,86,92,6,71,27,22,344,26,20,307,96,7,318
15061540,54,44,117,43,58,322,72,45,115,80,41,86,42,32,25,84,18,90,43,22,333,26,20,307,94,7,344
15061542,54,44,117,57,46,323,50,28,115,27,19,5,80,41,86,84,18,90,36,36,10,49,57,317,95,7,318
15061543,54,44,117,45,57,327,66,48,118,38,32,14,80,41,86,84,18,90,37,36,344,33,26,314,94,4,41
15061544,28,16,359,66,36,324,50,28,115,27,19,5,76,47,85,92,3,32,27,22,344,33,26,314,94,4,41
15061546,28,16,359,45,57,327,54,44,117,29,8,313,80,41,86,92,6,71,27,22,344,33,26,314,96,7,318
15061548,54,44,117,36,55,329,54,44,117,30,29,7,75,42,84,84,26,94,33,36,316,45,57,327,96,7,318
15061549,49,21,132,36,55,329,53,38,132,30,11,328,81,32,84,84,18,90,36,55,329,26,20,307,94,4,41
15061550,28,16,359,67,41,314,54,44,117,27,19,5,80,42,96,84,26,94,33,33,345,33,26,314,96,7,318
15061553,54,44,117,75,26,302,54,44,117,41,37,12,80,41,16,84,18,90,42,36,344,33,26,314,96,7,318
15061555,42,17,138,65,35,303,54,44,117,48,39,21,82,35,93,84,18,90,33,37,345,26,20,307,96,7,318
15061556,54,44,117,43,58,322,54,44,117,80,42,96,64,28,15,92,6,71,31,33,344,59,48,315,94,4,41
15061560,54,44,117,61,43,319,66,48,118,40,35,16,54,32,41,84,18,90,42,37,324,33,26,314,96,7,318
15061561,54,44,117,43,58,322,54,44,117,80,42,96,42,36,346,84,18,90,31,30,344,66,40,333,94,4,41
15061564,54,44,117,61,43,319,53,38,132,57,56,45,80,42,96,92,6,71,30,33,318,36,55,329,94,4,41
15061565,42,17,138,54,49,320,44,26,116,40,35,16,82,26,80,84,26,94,31,26,12,48,58,336,96,7,318
15061566,28,16,359,49,57,317,50,28,115,29,8,313,80,42,96,92,6,71,27,22,344,33,26,314,94,4,41
15061568,54,44,117,43,58,322,54,44,117,80,42,96,42,37,18,84,18,90,42,33,345,54,49,320,94,4,41
15061571,54,44,117,61,43,319,69,59,106,41,37,12,80,28,67,92,6,71,29,36,316,45,57,327,96,7,318
15061575,49,21,132,41,42,316,66,48,118,39,46,9,75,35,21,84,18,90,27,34,344,26,20,307,95,7,318
15061576,49,21,132,67,41,314,54,44,117,82,35,93,42,36,346,84,18,90,27,28,344,33,26,314,94,4,41
15061577,54,44,117,43,58,322,54,44,117,30,11,328,76,47,85,84,26,94,37,36,328,26,20,307,94,4,41
15061578,28,6,23,61,43,319,54,44,117,30,16,3,79,36,83,92,6,71,32,28,12,36,55,329,94,4,41
15061579,28,16,359,43,58,322,72,45,115,30,16,3,80,42,96,92,6,71,27,22,344,33,26,314,94,4,41
15061580,42,17,138,59,40,305,66,48,118,27,19,5,80,42,96,84,18,90,30,36,346,26,20,307,94,4,41
15061583,54,44,117,59,48,315,54,44,117,50,26,342,84,18,90,92,6,71,27,34,344,54,39,308,96,7,318
15061584,54,44,117,43,58,322,66,48,118,48,39,21,80,41,86,92,6,71,27,22,344,45,57,327,94,4,41
15061585,49,21,132,66,36,324,54,38,115,28,16,359,84,24,85,92,3,32,43,55,316,33,26,314,94,4,41
15061586,54,44,117,67,36,319,66,48,118,80,42,96,54,37,17,92,3,32,37,22,344,46,66,344,95,5,344
15061588,42,17,138,42,39,319,54,44,117,35,29,17,79,36,83,84,18,90,31,36,345,26,20,307,94,4,41
15061600,54,44,117,63,40,326,54,44,117,35,29,17,81,32,84,84,18,90,43,26,12,61,43,319,96,7,318
15061602,54,44,117,66,36,309,53,38,132,40,35,16,48,22,318,84,26,94,36,58,318,33,34,316,96,7,318
15061603,28,6,23,42,39,319,66,48,118,29,8,313,80,42,96,92,3,32,27,22,344,27,28,306,96,7,318
15061604,54,44,117,49,42,312,58,45,128,34,34,8,75,42,96,84,18,90,41,36,346,44,54,353,96,7,318
15061605,54,44,117,61,43,319,66,48,118,80,42,96,51,43,355,89,8,95,30,22,345,54,49,320,96,7,318
15061608,54,44,117,56,48,332,53,38,132,84,26,94,45,42,0,84,26,94,42,22,345,31,33,324,94,4,41
15061609,28,6,23,43,58,322,54,44,117,27,19,5,80,42,96,92,6,71,29,23,333,26,20,307,96,7,318
