"GSCORE","TRAIT","LGSCORE","TOOL","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC"
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_34870","4",65068637,1.02844989646259e-06,5.987817,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_20698","9",63372314,1.35553579035807e-06,5.867889,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_14731","1",86671954,6.01506791590997e-06,5.220759,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c1_4799","1",86886038,1.27171730246278e-05,4.895609,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_4910","1",83816270,2.4771438485436e-05,4.606049,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_5966","11",3559302,3.24842397369017e-05,4.488327,4.303628,TRUE,105,1,0.76
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_28521","8",50650372,0.000812830516164099,3.09,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_56059","6",38800602,0.000954992586021436,3.02,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_8431","5",52989126,0.00199526231496888,2.7,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_15530","10",56158687,0.00707945784384138,2.15,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_31156","6",49274562,0.00831763771102671,2.08,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_22205","11",42339943,0.00954992586021436,2.02,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_3894","1",72533658,0.0102329299228075,1.99,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_3747","11",41925342,0.0102329299228075,1.99,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_27414","12",49216209,0.0151356124843621,1.82,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_36664","1",809153,0.0177827941003892,1.75,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_44634","11",21124779,0.0190546071796325,1.72,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_19537","9",45335256,0.0213796208950223,1.67,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_4978","11",25158648,0.0218776162394955,1.66,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_37406","9",41902886,0.0239883291901949,1.62,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_54335","4",56277376,0.0251188643150958,1.6,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_44804","9",53326789,0.0275422870333817,1.56,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_30361","11",35109336,0.0275422870333817,1.56,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_53708","1",54264723,0.0288403150312661,1.54,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_52887","4",55044845,0.0316227766016838,1.5,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_23170","2",29256125,0.0323593656929628,1.49,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_44816","9",53270453,0.0346736850452532,1.46,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_958","9",40062774,0.0363078054770101,1.44,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_57257","3",52006963,0.0371535229097173,1.43,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_36660","1",808325,0.0380189396320561,1.42,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_52069","5",1907418,0.0380189396320561,1.42,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_12797","9",54103901,0.0398107170553497,1.4,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_39450","4",61191297,0.0407380277804113,1.39,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_6869","3",41009095,0.0436515832240166,1.36,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_4604","1",75196506,0.0457088189614875,1.34,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_49495","2",35025916,0.0478630092322638,1.32,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_27650","9",51854006,0.0478630092322638,1.32,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_40699","12",53644230,0.0501187233627272,1.3,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_15684","5",1135681,0.0524807460249773,1.28,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_54797","1",992483,0.0549540873857625,1.26,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_26509","9",46988850,0.0575439937337157,1.24,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_10751","4",56641710,0.0588843655355589,1.23,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_45886","9",53718180,0.0588843655355589,1.23,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_686","1",14805485,0.0630957344480193,1.2,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_43032","9",59162845,0.0630957344480193,1.2,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_42451","5",52290923,0.0676082975391982,1.17,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_14839","5",5638954,0.0691830970918937,1.16,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_8253","5",53083990,0.0691830970918937,1.16,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_8763","8",59114829,0.0691830970918937,1.16,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_5440","12",319737,0.0812830516164099,1.09,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_52053","5",20212269,0.0831763771102671,1.08,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_19556","9",54713760,0.0831763771102671,1.08,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_9027","10",56953687,0.0870963589956081,1.06,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_42475","5",52353892,0.0891250938133746,1.05,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_43049","9",59168884,0.0891250938133746,1.05,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_4165","9",3915451,0.0954992586021436,1.02,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_27268","2",42001161,0.10471285480509,0.98,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_4030","9",3433410,0.10471285480509,0.98,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_8619","1",7252495,0.107151930523761,0.97,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_13236","2",30080660,0.109647819614319,0.96,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_3793","5",3721408,0.109647819614319,0.96,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_29767","10",57277910,0.112201845430196,0.95,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_7622","5",489125,0.114815362149688,0.94,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_7678","6",54726821,0.114815362149688,0.94,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_27271","2",42001715,0.117489755493953,0.93,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_48687","12",11869192,0.117489755493953,0.93,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_7680","6",54682311,0.120226443461741,0.92,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_12789","9",52720097,0.125892541179417,0.9,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_15580","1",71530961,0.131825673855641,0.88,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_27003","9",59671840,0.131825673855641,0.88,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_28580","8",50583825,0.144543977074593,0.84,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_15579","1",71530931,0.151356124843621,0.82,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_39035","9",1064131,0.154881661891248,0.81,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_13526","10",48923342,0.154881661891248,0.81,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_32467","12",5980197,0.154881661891248,0.81,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_45071","1",6103001,0.162181009735893,0.79,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_23139","2",29015208,0.169824365246174,0.77,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_13349","4",67527515,0.169824365246174,0.77,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_16777","6",48044220,0.177827941003892,0.75,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_33892","6",49952539,0.177827941003892,0.75,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_27903","1",7192782,0.181970085860998,0.74,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_16172","2",35468438,0.181970085860998,0.74,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_35411","9",5445375,0.194984459975805,0.71,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_53998","9",57846815,0.194984459975805,0.71,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_1092","10",2229320,0.194984459975805,0.71,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_19081","8",54991187,0.199526231496888,0.7,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_3497","4",68769666,0.204173794466953,0.69,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_4480","7",41477431,0.204173794466953,0.69,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_58236","9",11085611,0.208929613085404,0.68,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_13751","1",66106436,0.213796208950223,0.67,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_16414","9",58590119,0.218776162394955,0.66,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_4319","11",1240937,0.218776162394955,0.66,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_3867","1",72337680,0.223872113856834,0.65,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_14848","1",87310101,0.223872113856834,0.65,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_52700","8",52035522,0.223872113856834,0.65,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c1_12377","2",35334126,0.234422881531992,0.63,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_14640","9",56854945,0.234422881531992,0.63,4.9,FALSE,108,0,0.996
0.797,"CPTuber.H",0.797,"GWASpoly","additive",0.996,"c2_37472","4",59695907,0.239883291901949,0.62,4.9,FALSE,108,0,0.996
