Registro,CT,CTallo,CPF,CPFlor,CB,CBaya,CPT,CPTuber,CST,CSTuber,CPC,CPulpa,CPB,CPBrote,CSB,CSBrote
15061280,3 Verde con muchas manchas,144A,7 Morado,N82A,4 Verde con abundantes puntos blancos,143B,5 Rosado,181A,1 Blanco-crema,161B,2 Crema,160D,3 Rojo,72B,1 Blanco,NN155A
15061281,2 Verde con pocas manchas,144A,7 Morado,N80A,2 Verde con pocos puntos blancos,146B,6 Rojo,181A,1 Blanco-crema,160A,2 Crema,155A,4 Morado,N82B,1 Blanco,NN155D
15061939,1 Verde,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,144B,1 Blanco-crema,160A,0 Ausente,00,2 Crema,160C,1 Blanco,NN155A,4 Morado,83A
15061282,2 Verde con pocas manchas,144A,7 Morado,N82A,5 Verde con áreas pigmentadas,146C,8 Morado,N77D,1 Blanco-crema,155A,2 Crema,155A,4 Morado,N92B,1 Blanco,NN155D
15060910,4 Pigmentado con abundante verde,N77A,7 Morado,N81A,5 Verde con áreas pigmentadas,146A,6 Rojo,182A,2 Amarillo,160A,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155D
15061940,2 Verde con pocas manchas,144A,7 Morado,N82B,1 Verde,144A,1 Blanco-crema,160B,5 Rosado,184C,2 Crema,155A,4 Morado,N82A,1 Blanco,NN155A
15061283,2 Verde con pocas manchas,144A,7 Morado,83A,5 Verde con áreas pigmentadas,144B,7 Rojo-morado,183A,1 Blanco-crema,160A,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155B
15061284,3 Verde con muchas manchas,144A,7 Morado,84A,5 Verde con áreas pigmentadas,144B,8 Morado,N186C,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155A
15061285,3 Verde con muchas manchas,144A,6 Lila,N82B,5 Verde con áreas pigmentadas,145A,7 Rojo-morado,183C,2 Amarillo,162B,2 Crema,160D,4 Morado,83A,1 Blanco,NN155D
15062346,1 Verde,144A,7 Morado,86B,2 Verde con pocos puntos blancos,144A,2 Amarillo,160A,0 Ausente,,3 Amarillo claro,160C,4 Morado,94A,1 Blanco,NN155D
15061286,2 Verde con pocas manchas,144A,7 Morado,83B,2 Verde con pocos puntos blancos,144A,6 Rojo,183B,1 Blanco-crema,161A,3 Amarillo claro,160C,4 Morado,92D,3 Rojo,72A
15061287,3 Verde con muchas manchas,144A,7 Morado,90C,5 Verde con áreas pigmentadas,144B,8 Morado,184A,2 Amarillo,161A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061288,1 Verde,144A,7 Morado,86C,.,.,6 Rojo,184A,1 Blanco-crema,160B,2 Crema,155A,4 Morado,80B,1 Blanco,NN155A
15061289,2 Verde con pocas manchas,144A,7 Morado,N81B,1 Verde,144B,6 Rojo,183C,1 Blanco-crema,161A,3 Amarillo claro,160D,4 Morado,N81C,1 Blanco,NN155A
15061290,2 Verde con pocas manchas,144A,7 Morado,N82B,4 Verde con abundantes puntos blancos,145A,1 Blanco-crema,160A,8 Morado,183D,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155C
15061291,3 Verde con muchas manchas,144A,7 Morado,N87B,4 Verde con abundantes puntos blancos,144A,6 Rojo,181A,2 Amarillo,160A,2 Crema,160D,4 Morado,N81B,1 Blanco,NN155A
15061292,4 Pigmentado con abundante verde,N77A,7 Morado,N81B,5 Verde con áreas pigmentadas,144A,9 Negruzco,N186A,1 Blanco-crema,161A,2 Crema,160C,4 Morado,N92C,1 Blanco,NN155A
15061293,4 Pigmentado con abundante verde,N77A,7 Morado,84A,1 Verde,144B,6 Rojo,153A,8 Morado,N186B,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155A
15061295,5 Pigmentado con poco verde,166A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144C,6 Rojo,183B,8 Morado,N186B,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155D
15061941,2 Verde con pocas manchas,144A,7 Morado,N82B,1 Verde,144C,1 Blanco-crema,161A,6 Rojo,183D,2 Crema,160D,4 Morado,N80B,1 Blanco,NN155A
15061296,5 Pigmentado con poco verde,N77A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144B,9 Negruzco,N186A,2 Amarillo,161A,3 Amarillo claro,160C,4 Morado,N92D,1 Blanco,NN155C
15061297,2 Verde con pocas manchas,144A,8 Violeta,N88B,1 Verde,144A,9 Negruzco,N186A,1 Blanco-crema,162A,2 Crema,157B,4 Morado,N92C,1 Blanco,NN155D
15061942,3 Verde con muchas manchas,144A,6 Lila,N81C,4 Verde con abundantes puntos blancos,144B,6 Rojo,185B,2 Amarillo,160A,2 Crema,160D,4 Morado,N92D,0 Ausente,
15061298,2 Verde con pocas manchas,144A,7 Morado,N82C,4 Verde con abundantes puntos blancos,144B,6 Rojo,180C,2 Amarillo,160A,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155A
15061299,7 Morado,200A,7 Morado,N82C,5 Verde con áreas pigmentadas,144A,8 Morado,183D,1 Blanco-crema,161C,1 Blanco,155A,4 Morado,90B,1 Blanco,NN155D
15061300,3 Verde con muchas manchas,144A,8 Violeta,N82A,5 Verde con áreas pigmentadas,146C,1 Blanco-crema,160A,9 Negruzco,N187A,2 Crema,157A,4 Morado,N92B,1 Blanco,NN155A
15061301,2 Verde con pocas manchas,144A,7 Morado,N82A,4 Verde con abundantes puntos blancos,144A,6 Rojo,183C,2 Amarillo,160A,2 Crema,160D,4 Morado,N92D,3 Rojo,71A
15061302,1 Verde,144A,8 Violeta,83A,1 Verde,144B,8 Morado,N187A,1 Blanco-crema,160A,2 Crema,160C,4 Morado,N92B,1 Blanco,NN155A
15061303,2 Verde con pocas manchas,144A,7 Morado,N81C,2 Verde con pocos puntos blancos,144B,2 Amarillo,160A,5 Rosado,183D,1 Blanco,155A,4 Morado,N80B,1 Blanco,NN155A
15061305,2 Verde con pocas manchas,144A,7 Morado,83C,4 Verde con abundantes puntos blancos,144B,2 Amarillo,162B,8 Morado,N77B,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15061307,4 Pigmentado con abundante verde,N77A,7 Morado,N82C,2 Verde con pocos puntos blancos,144A,8 Morado,N186C,2 Amarillo,160B,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155A
15061308,7 Morado,200A,7 Morado,N81C,1 Verde,144A,8 Morado,N186A,0 Ausente,,4 Amarillo,160B,4 Morado,N92B,0 Ausente,
15061943,7 Morado,200A,7 Morado,N81B,6 Verde con bandas pigmentadas,146A,8 Morado,N186B,2 Amarillo,161A,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155C
15061312,1 Verde,144A,7 Morado,N82C,4 Verde con abundantes puntos blancos,N144A,6 Rojo,182A,1 Blanco-crema,161A,2 Crema,155A,4 Morado,90A,1 Blanco,NN155A
15061313,1 Verde,144A,7 Morado,N82A,1 Verde,N144A,1 Blanco-crema,161A,5 Rosado,182A,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061314,3 Verde con muchas manchas,144A,7 Morado,N81C,5 Verde con áreas pigmentadas,N144B,6 Rojo,183D,0 Ausente,,4 Amarillo,160D,3 Rojo,72A,1 Blanco,NN155D
15061944,2 Verde con pocas manchas,144A,7 Morado,N87B,2 Verde con pocos puntos blancos,N144A,1 Blanco-crema,160A,6 Rojo,182A,2 Crema,155A,4 Morado,N87B,1 Blanco,NN155D
15062088,3 Verde con muchas manchas,144A,7 Morado,83B,4 Verde con abundantes puntos blancos,143C,7 Rojo-morado,N186B,0 Ausente,,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15061317,1 Verde,144A,1 Blanco,155A,5 Verde con áreas pigmentadas,144B,8 Morado,183D,1 Blanco-crema,161A,2 Crema,160C,4 Morado,N92D,1 Blanco,NN155A
15061318,3 Verde con muchas manchas,144A,7 Morado,N81A,4 Verde con abundantes puntos blancos,144A,9 Negruzco,N187A,0 Ausente,,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15061319,2 Verde con pocas manchas,144A,7 Morado,90C,7 Predominantemente pigmentado,145A,6 Rojo,180A,2 Amarillo,164B,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155B
15061320,2 Verde con pocas manchas,144A,7 Morado,N82A,6 Verde con bandas pigmentadas,145A,2 Amarillo,162B,6 Rojo,184A,1 Blanco,160D,2 Rosado,N78A,1 Blanco,NN155A
15061321,4 Pigmentado con abundante verde,N77A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144A,9 Negruzco,186B,0 Ausente,,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155C
15061323,2 Verde con pocas manchas,144A,7 Morado,N82A,5 Verde con áreas pigmentadas,144A,1 Blanco-crema,164C,8 Morado,N77B,2 Crema,155A,4 Morado,N92D,1 Blanco,NN155D
15061324,2 Verde con pocas manchas,144A,.,..,4 Verde con abundantes puntos blancos,144 A,6 Rojo,183C,2 Amarillo,162A,2 Crema,160C,4 Morado,N92C,0 Ausente,
15061327,2 Verde con pocas manchas,144A,7 Morado,N80C,4 Verde con abundantes puntos blancos,144A,6 Rojo,184B,2 Amarillo,160A,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155D
15061329,4 Pigmentado con abundante verde,N77A,8 Violeta,83B,6 Verde con bandas pigmentadas,144A,8 Morado,N186B,1 Blanco-crema,160A,4 Amarillo,160B,4 Morado,N92B,1 Blanco,NN155A
15061330,3 Verde con muchas manchas,144A,7 Morado,N82A,2 Verde con pocos puntos blancos,143C,6 Rojo,184A,0 Ausente,00,3 Amarillo claro,160C,3 Rojo,N78A,1 Blanco,NN155A
15061331,1 Verde,144A,7 Morado,84A,5 Verde con áreas pigmentadas,144A,4 Marrón,166D,6 Rojo,181B,2 Crema,155A,4 Morado,86A,1 Blanco,NN155D
15061333,2 Verde con pocas manchas,144A,7 Morado,92A,5 Verde con áreas pigmentadas,144A,9 Negruzco,N186A,0 Ausente,00,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155D
15061334,2 Verde con pocas manchas,144A,7 Morado,N81B,1 Verde,144B,7 Rojo-morado,183C,2 Amarillo,162A,2 Crema,160C,4 Morado,N82B,1 Blanco,NN155D
15061335,2 Verde con pocas manchas,144A,8 Violeta,83B,5 Verde con áreas pigmentadas,144B,2 Amarillo,161A,8 Morado,N77B,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155D
15061336,1 Verde,144A,7 Morado,N82A,4 Verde con abundantes puntos blancos,144A,8 Morado,79A,2 Amarillo,160A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061337,3 Verde con muchas manchas,144A,7 Morado,N87B,5 Verde con áreas pigmentadas,144A,7 Rojo-morado,N79 B,0 Ausente,,2 Crema,160D,4 Morado,N92D,0 Ausente,
15061338,5 Pigmentado con poco verde,N77A,7 Morado,N82B,6 Verde con bandas pigmentadas,144B,9 Negruzco,N186A,2 Amarillo,161A,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155D
15061340,5 Pigmentado con poco verde,N77A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144A,6 Rojo,182A,2 Amarillo,161A,3 Amarillo claro,160D,4 Morado,N92B,1 Blanco,NN155D
15061342,2 Verde con pocas manchas,144A,7 Morado,83C,4 Verde con abundantes puntos blancos,N144A,6 Rojo,183B,2 Amarillo,160A,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155D
15061344,2 Verde con pocas manchas,144A,7 Morado,N82B,1 Verde,144C,8 Morado,N77B,0 Ausente,,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155D
15061345,2 Verde con pocas manchas,144A,7 Morado,N81A,2 Verde con pocos puntos blancos,N144A,6 Rojo,181A,2 Amarillo,161A,2 Crema,160D,3 Rojo,N78A,1 Blanco,NN155A
15061945,2 Verde con pocas manchas,144A,7 Morado,N82A,4 Verde con abundantes puntos blancos,144B,2 Amarillo,161A,5 Rosado,178B,1 Blanco,160D,3 Rojo,N78B,1 Blanco,NN155D
15061346,2 Verde con pocas manchas,144A,7 Morado,N82C,2 Verde con pocos puntos blancos,144A,7 Rojo-morado,183C,1 Blanco-crema,162C,2 Crema,160C,3 Rojo,N78B,1 Blanco,NN155A
15061347,3 Verde con muchas manchas,144A,7 Morado,83C,4 Verde con abundantes puntos blancos,144A,8 Morado,N77B,2 Amarillo,160A,1 Blanco,160D,4 Morado,N92C,1 Blanco,NN155D
15061348,3 Verde con muchas manchas,144A,7 Morado,N82A,1 Verde,143B,6 Rojo,187B,0 Ausente,,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061349,2 Verde con pocas manchas,144A,7 Morado,N82C,6 Verde con bandas pigmentadas,143B,1 Blanco-crema,162C,8 Morado,79D,3 Amarillo claro,160D,4 Morado,N92D,1 Blanco,NN155D
15061350,3 Verde con muchas manchas,144A,7 Morado,N80C,4 Verde con abundantes puntos blancos,143B,6 Rojo,181A,2 Amarillo,161A,4 Amarillo,160B,3 Rojo,N78B,1 Blanco,NN155A
15061352,2 Verde con pocas manchas,144A,7 Morado,N81A,1 Verde,144B,2 Amarillo,162A,8 Morado,N77B,2 Crema,160C,1 Blanco,NN155A,4 Morado,N82A
15061353,3 Verde con muchas manchas,144A,7 Morado,N81A,1 Verde,144A,7 Rojo-morado,183B,0 Ausente,,1 Blanco,155A,4 Morado,N92B,1 Blanco,NN155D
15061946,4 Pigmentado con abundante verde,N77A,8 Violeta,86C,4 Verde con abundantes puntos blancos,144A,8 Morado,N79A,1 Blanco-crema,161B,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155D
15062091,3 Verde con muchas manchas,144A,8 Violeta,N87B,1 Verde,144A,7 Rojo-morado,187A,2 Amarillo,160A,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061355,4 Pigmentado con abundante verde,N77A,8 Violeta,N81A,1 Verde,144A,7 Rojo-morado,187A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15062092,3 Verde con muchas manchas,144A,7 Morado,86C,5 Verde con áreas pigmentadas,143A,7 Rojo-morado,183B,8 Morado,N186B,2 Crema,155A,4 Morado,N92B,1 Blanco,NN155A
15061356,3 Verde con muchas manchas,144A,7 Morado,N82C,5 Verde con áreas pigmentadas,144A,3 Anaranjado,166D,8 Morado,N77D,2 Crema,157C,4 Morado,N82B,1 Blanco,NN155D
15061357,4 Pigmentado con abundante verde,N77A,7 Morado,N82A,6 Verde con bandas pigmentadas,144A,9 Negruzco,N186A,1 Blanco-crema,161A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061358,2 Verde con pocas manchas,144A,7 Morado,86C,4 Verde con abundantes puntos blancos,143A,2 Amarillo,162B,8 Morado,N77B,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155D
15061359,3 Verde con muchas manchas,144A,7 Morado,N88B,1 Verde,143A,7 Rojo-morado,183C,2 Amarillo,160A,2 Crema,160C,4 Morado,N92C,1 Blanco,NN155C
15061360,3 Verde con muchas manchas,144A,7 Morado,N81A,1 Verde,144A,8 Morado,79A,6 Rojo,184b,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061361,2 Verde con pocas manchas,144A,7 Morado,N82A,1 Verde,144A,7 Rojo-morado,183A,0 Ausente,00,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15062094,7 Morado,200A,7 Morado,N87A,1 Verde,N144A,9 Negruzco,N186A,1 Blanco-crema,162B,2 Crema,155C,4 Morado,N92D,1 Blanco,NN155D
15061364,2 Verde con pocas manchas,144A,7 Morado,N82A,1 Verde,N144B,7 Rojo-morado,187B,2 Amarillo,162B,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155B
15061365,2 Verde con pocas manchas,144A,7 Morado,N82C,4 Verde con abundantes puntos blancos,144A,5 Rosado,183C,1 Blanco-crema,161A,2 Crema,160D,4 Morado,83C,1 Blanco,NN155D
15061367,3 Verde con muchas manchas,144A,7 Morado,N82B,.,.,5 Rosado,183B,1 Blanco-crema,161A,2 Crema,155A,4 Morado,83C,1 Blanco,NN155A
15061948,2 Verde con pocas manchas,144A,7 Morado,N82C,1 Verde,144A,6 Rojo,168A,1 Blanco-crema,161A,2 Crema,160D,4 Morado,N81C,1 Blanco,NN155D
15061368,2 Verde con pocas manchas,144A,7 Morado,92A,2 Verde con pocos puntos blancos,N144A,3 Anaranjado,177C,8 Morado,N77A,4 Amarillo,160C,4 Morado,N92C,1 Blanco,NN155D
15062347,2 Verde con pocas manchas,144A,7 Morado,92A,2 Verde con pocos puntos blancos,N144A,8 Morado,N77A,1 Blanco-crema,164C,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061369,1 Verde,144A,7 Morado,92A,5 Verde con áreas pigmentadas,144B,8 Morado,N77C,1 Blanco-crema,174C,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155D
15062097,3 Verde con muchas manchas,144A,7 Morado,N82A,4 Verde con abundantes puntos blancos,144A,6 Rojo,176A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061370,3 Verde con muchas manchas,144A,7 Morado,N81A,2 Verde con pocos puntos blancos,144A,6 Rojo,184B,2 Amarillo,162B,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155D
15062348,2 Verde con pocas manchas,144A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144A,6 Rojo,183B,2 Amarillo,162A,2 Crema,160C,4 Morado,84A,1 Blanco,NN155A
15062349,3 Verde con muchas manchas,144A,8 Violeta,83C,1 Verde,143A,8 Morado,N186B,2 Amarillo,162A,2 Crema,160D,4 Morado,N92B,1 Blanco,NN155D
15062350,3 Verde con muchas manchas,144A,7 Morado,N82B,1 Verde,144A,7 Rojo-morado,N186C,2 Amarillo,161A,4 Amarillo,160C,4 Morado,90A,1 Blanco,NN155D
15061949,3 Verde con muchas manchas,144A,7 Morado,86B,6 Verde con bandas pigmentadas,144A,8 Morado,N186A,1 Blanco-crema,162A,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15062351,5 Pigmentado con poco verde,N77A,7 Morado,86B,4 Verde con abundantes puntos blancos,N144A,8 Morado,N79A,1 Blanco-crema,161A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15062098,3 Verde con muchas manchas,144A,7 Morado,N82B,4 Verde con abundantes puntos blancos,144B,6 Rojo,178A,1 Blanco-crema,162A,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155A
15061376,3 Verde con muchas manchas,144A,7 Morado,N81A,4 Verde con abundantes puntos blancos,144A,6 Rojo,183C,2 Amarillo,161A,2 Crema,160C,3 Rojo,N78B,1 Blanco,NN155D
15061377,2 Verde con pocas manchas,144A,7 Morado,92A,2 Verde con pocos puntos blancos,144A,2 Amarillo,162A,6 Rojo,181A,4 Amarillo,160C,3 Rojo,N78B,1 Blanco,NN155A
15061378,2 Verde con pocas manchas,144A,7 Morado,N87B,2 Verde con pocos puntos blancos,144A,2 Amarillo,162A,8 Morado,N77D,2 Crema,160D,4 Morado,90B,1 Blanco,NN155D
15061380,5 Pigmentado con poco verde,N77A,7 Morado,N82A,4 Verde con abundantes puntos blancos,144A,7 Rojo-morado,181A,2 Amarillo,162A,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061382,1 Verde,144A,7 Morado,N88A,1 Verde,146B,8 Morado,N77D,0 Ausente,,2 Crema,155A,4 Morado,N88C,1 Blanco,NN155D
15061383,4 Pigmentado con abundante verde,N77A,7 Morado,N87B,5 Verde con áreas pigmentadas,146B,7 Rojo-morado,183B,0 Ausente,,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061384,5 Pigmentado con poco verde,N77A,7 Morado,N82A,5 Verde con áreas pigmentadas,144A,8 Morado,N187A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92B,1 Blanco,NN155D
15061385,5 Pigmentado con poco verde,N77A,7 Morado,N82B,1 Verde,144A,8 Morado,N187A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155A
15061386,3 Verde con muchas manchas,144A,7 Morado,90B,1 Verde,144B,8 Morado,N77A,0 Ausente,,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061388,2 Verde con pocas manchas,144A,7 Morado,N82C,4 Verde con abundantes puntos blancos,143B,6 Rojo,183B,2 Amarillo,161C,2 Crema,155A,3 Rojo,72C,1 Blanco,NN155A
15061389,4 Pigmentado con abundante verde,N77A,6 Lila,N81B,6 Verde con bandas pigmentadas,144B,8 Morado,N187A,2 Amarillo,162A,2 Crema,160D,4 Morado,94B,1 Blanco,NN155A
15061390,4 Pigmentado con abundante verde,N77A,7 Morado,N81B,1 Verde,144A,8 Morado,N187A,2 Amarillo,162B,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15061391,4 Pigmentado con abundante verde,N77A,7 Morado,N81A,1 Verde,144A,8 Morado,N77A,2 Amarillo,162B,2 Crema,160D,1 Blanco,NN155A,4 Morado,86A
15061392,3 Verde con muchas manchas,144A,7 Morado,92A,1 Verde,144A,4 Marrón,176B,8 Morado,N77B,3 Amarillo claro,160C,4 Morado,90B,1 Blanco,NN155D
15061393,3 Verde con muchas manchas,144A,8 Violeta,90B,2 Verde con pocos puntos blancos,146B,6 Rojo,184B,0 Ausente,,2 Crema,160D,4 Morado,N92C,0 Ausente,
15061394,2 Verde con pocas manchas,144A,1 Blanco,155A,1 Verde,144B,8 Morado,N77D,0 Ausente,00,2 Crema,160C,4 Morado,N92C,1 Blanco,NN155D
15061396,5 Pigmentado con poco verde,N77A,7 Morado,N88B,1 Verde,144B,9 Negruzco,N186A,2 Amarillo,162B,1 Blanco,155A,4 Morado,N92C,1 Blanco,NN155A
15061397,2 Verde con pocas manchas,144A,1 Blanco,155A,1 Verde,143A,8 Morado,N77D,2 Amarillo,164C,4 Amarillo,160C,4 Morado,94C,1 Blanco,NN155D
15062353,2 Verde con pocas manchas,144A,7 Morado,N81B,2 Verde con pocos puntos blancos,143B,2 Amarillo,162A,6 Rojo,178A,2 Crema,160D,3 Rojo,72B,1 Blanco,NN155A
15061400,2 Verde con pocas manchas,144A,7 Morado,N81B,1 Verde,N144A,2 Amarillo,161B,6 Rojo,184B,2 Crema,160D,3 Rojo,N78B,1 Blanco,NN155D
15061401,3 Verde con muchas manchas,144A,7 Morado,N82A,5 Verde con áreas pigmentadas,144B,8 Morado,N77A,0 Ausente,,2 Crema,160D,4 Morado,N92D,1 Blanco,NN155B
15062099,3 Verde con muchas manchas,144A,7 Morado,N81B,5 Verde con áreas pigmentadas,144A,8 Morado,N79A,0 Ausente,,2 Crema,160C,4 Morado,90A,1 Blanco,NN155A
15062100,3 Verde con muchas manchas,144A,7 Morado,N87C,1 Verde,144A,1 Blanco-crema,160A,5 Rosado,181B,2 Crema,155A,4 Morado,N80B,1 Blanco,NN155A
15062101,4 Pigmentado con abundante verde,N77A,7 Morado,90B,4 Verde con abundantes puntos blancos,144B,6 Rojo,184B,0 Ausente,00,3 Amarillo claro,160D,4 Morado,N92C,0 Ausente,
15062102,1 Verde,144A,1 Blanco,155A,4 Verde con abundantes puntos blancos,143B,1 Blanco-crema,161B,5 Rosado,174C,2 Crema,155A,4 Morado,N82B,1 Blanco,NN155A
15061404,7 Morado,200A,6 Lila,N81A,6 Verde con bandas pigmentadas,144B,9 Negruzco,N187A,2 Amarillo,160B,2 Crema,160D,4 Morado,N92C,3 Rojo,N79C
15061405,2 Verde con pocas manchas,144A,7 Morado,N88C,5 Verde con áreas pigmentadas,146B,8 Morado,N77B,0 Ausente,00,2 Crema,155A,4 Morado,N92C,1 Blanco,NN155A
15061406,2 Verde con pocas manchas,144A,7 Morado,N82A,5 Verde con áreas pigmentadas,144A,7 Rojo-morado,183A,2 Amarillo,162C,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155D
15061410,2 Verde con pocas manchas,144A,6 Lila,N81A,5 Verde con áreas pigmentadas,144A,6 Rojo,181A,1 Blanco-crema,162C,1 Blanco,155A,3 Rojo,71A,0 Ausente,0
15061411,2 Verde con pocas manchas,144A,8 Violeta,83C,2 Verde con pocos puntos blancos,146B,8 Morado,N77D,1 Blanco-crema,160B,1 Blanco,NN155A,4 Morado,N92C,1 Blanco,NN155A
15061413,5 Pigmentado con poco verde,N77A,7 Morado,N82C,1 Verde,144C,9 Negruzco,N186A,2 Amarillo,162A,2 Crema,160D,4 Morado,N92C,1 Blanco,NN155A
15062103,3 Verde con muchas manchas,144A,7 Morado,N81A,1 Verde,143A,2 Amarillo,162A,8 Morado,N79A,3 Amarillo claro,160C,4 Morado,86B,1 Blanco,NN155A
15061414,5 Pigmentado con poco verde,N77A,7 Morado,N82C,6 Verde con bandas pigmentadas,144B,2 Amarillo,162A,8 Morado,187A,2 Crema,160D,4 Morado,83B,1 Blanco,NN155A
15062104,3 Verde con muchas manchas,144A,8 Violeta,N88A,6 Verde con bandas pigmentadas,143B,2 Amarillo,161B,8 Morado,N185A,1 Blanco,160D,4 Morado,N92C,1 Blanco,NN155A
15062105,5 Pigmentado con poco verde,N77A,7 Morado,83C,5 Verde con áreas pigmentadas,144A,8 Morado,N186C,1 Blanco-crema,160A,1 Blanco,155C,2 Rosado,N92C,1 Blanco,NN155A
15061415,3 Verde con muchas manchas,144A,7 Morado,N87A,4 Verde con abundantes puntos blancos,143A,6 Rojo,181A,0 Ausente,00,1 Blanco,160D,3 Rojo,N78A,1 Blanco,NN155D
15062106,7 Morado,200A,7 Morado,N81A,5 Verde con áreas pigmentadas,144A,8 Morado,N187A,0 Ausente,,2 Crema,160D,4 Morado,N92C,3 Rojo,N79C
15061416,3 Verde con muchas manchas,144A,7 Morado,N82C,2 Verde con pocos puntos blancos,144A,7 Rojo-morado,183B,2 Amarillo,160A,1 Blanco,155C,4 Morado,N92C,1 Blanco,NN155D
15061417,4 Pigmentado con abundante verde,N77A,7 Morado,N81C,1 Verde,143B,8 Morado,N186A,2 Amarillo,162A,2 Crema,162D,4 Morado,83A,1 Blanco,NN155B
15061418,4 Pigmentado con abundante verde,N77A,7 Morado,N81C,1 Verde,144B,2 Amarillo,162A,8 Morado,N186C,2 Crema,155A,4 Morado,83A,1 Blanco,NN155A
15061419,5 Pigmentado con poco verde,N77A,7 Morado,N87A,6 Verde con bandas pigmentadas,144A,8 Morado,N186A,2 Amarillo,160A,1 Blanco,155C,4 Morado,N92C,1 Blanco,NN155A
15061420,2 Verde con pocas manchas,144A,8 Violeta,83B,2 Verde con pocos puntos blancos,144A,2 Amarillo,162A,8 Morado,N186C,2 Crema,155A,4 Morado,90C,1 Blanco,NN155D
15061421,3 Verde con muchas manchas,144A,7 Morado,92B,4 Verde con abundantes puntos blancos,144B,6 Rojo,183A,2 Amarillo,161A,2 Crema,160D,3 Rojo,N92C,1 Blanco,NN155D
15062366,2 Verde con pocas manchas,144A,7 Morado,84A,2 Verde con pocos puntos blancos,144B,7 Rojo-morado,N79B,2 Amarillo,161A,1 Blanco,155C,4 Morado,N92D,1 Blanco,NN155A
15062107,3 Verde con muchas manchas,144A,7 Morado,83C,2 Verde con pocos puntos blancos,143A,8 Morado,N77D,1 Blanco-crema,161B,1 Blanco,155C,4 Morado,N92D,1 Blanco,NN155A
15062108,5 Pigmentado con poco verde,N77A,7 Morado,84A,1 Verde,144A,9 Negruzco,N186A,1 Blanco-crema,162B,2 Crema,155A,4 Morado,N92D,1 Blanco,NN155A
15061422,3 Verde con muchas manchas,144A,7 Morado,N80B,6 Verde con bandas pigmentadas,144A,7 Rojo-morado,N186C,2 Amarillo,162B,1 Blanco,155A,4 Morado,72A,1 Blanco,NN155A
15061423,3 Verde con muchas manchas,144A,7 Morado,N82B,2 Verde con pocos puntos blancos,144A,6 Rojo,183B,2 Amarillo,162B,1 Blanco,155A,4 Morado,83A,1 Blanco,NN155A
